Date,Open,High,Low,Close,Volume,OpenInt
20170106,52,54,52,52.25,4165,0
20170109,52,52,50.25,52,5248,0
20170110,51,52.05,50.748,50.748,2741,0
20170111,50.5996,53,50.5996,52,4695,0
20170113,52,52.1125,50.7331,52,1600,0
20170117,50.29,52.7,50.29,52,2978,0
20170118,50.3,52,47.1,49.9,2427,0
20170119,50.3225,52,50.01,51.8,6235,0
20170120,51.17,52.575,50,51.73,7164,0
20170123,51.9,52,50,51.94,3124,0
20170124,51.75,51.75,50.9,50.98,4593,0
20170125,50.5,51.8,50.5,51,2075,0
20170126,51,51,48.177,50.36,5543,0
20170127,49.25,51,49.1998,49.9,31814,0
20170130,48.55,51,48.55,50.4,5032,0
20170131,49,51,48,51,10142,0
20170201,49.85,50,48.24,48.98,6158,0
20170202,49.45,49.69,48.99,49,8269,0
20170203,49.1,50.2,48.75,49,18643,0
20170206,49.2,49.25,48.6305,49.25,9332,0
20170207,48.99,49.5,46.0572,48.89,13050,0
20170208,49.25,50,46.01,49,14663,0
20170209,49.9,49.9,48.99,49.5,4923,0
20170210,49.5,49.5,48.7,49,11464,0
20170213,49.35,49.35,48.8,49,6752,0
20170214,48.9,49.5,48.85,49.47,5525,0
20170215,49.5,49.5,48.73,49.04,13129,0
20170216,49,49,44.69,49,1527,0
20170217,49,49.72,48.8271,49.72,3467,0
20170221,49.16,49.16,48.89,48.98,19865,0
20170222,48.9,49,48.7401,49,7902,0
20170223,46.23,49.22,46.23,49.22,15065,0
20170224,49,49.275,48.5262,49,15539,0
20170227,49.7,49.74,48.834,49.19,11784,0
20170228,49.99,49.99,48.51,49,17414,0
20170301,49.2,49.2,48.75,49,7699,0
20170302,49,49.4,48.6,48.82,5858,0
20170303,49.3,49.3,48.79,49.08,3843,0
20170306,49.95,49.95,48.99,49,2267,0
20170307,49,49,48.67,48.67,1503,0
20170308,48.77,50,48.69,49,9816,0
20170309,49,49,47.5,47.695,13135,0
20170310,47.9,48.54,44.14,47.27,15603,0
20170313,46.3,47.2,43.4005,44.035,32946,0
20170314,43.95,44.65,43.7,43.94,19520,0
20170315,44.75,45.6,44.5,45.6,38406,0
20170316,48.44,48.44,46.4,47.84,26308,0
20170317,47.8,48.48,42.5,44.8,58888,0
20170320,45,46.4,43.46,43.59,17607,0
20170321,45.125,46.94,42.4,44,22078,0
20170322,43.81,45.475,41.4001,43,18155,0
20170323,42.8,42.8,41.8615,42.73,1973,0
20170324,42.2,42.7,42.2,42.7,13998,0
20170327,42.5,45,42.5,44,3455,0
20170328,44.45,44.825,43.75,43.96,12834,0
20170329,43.96,45.89,43.96,44.95,7333,0
20170330,45.07,45.9399,43.76,44.44,9555,0
