Date,Open,High,Low,Close,Volume,OpenInt
20140205,17,17.75,14.61,14.61,4689665,0
20140206,14.77,14.999,13.3,13.41,515346,0
20140207,13.16,15,13.1,14.79,194327,0
20140210,14.98,15.68,14.82,15.57,314762,0
20140211,15.74,16,15.61,15.86,286643,0
20140212,15.96,16.51,15.93,16.02,208589,0
20140213,16.02,16.2,15.85,16.14,20620,0
20140214,16.1,16.39,15.91,15.95,71849,0
20140218,15.8,16.4,15.6,16.37,44305,0
20140219,16.4,16.48,16.11,16.25,21192,0
20140220,16.38,16.5,16.31,16.5,11147,0
20140221,16.5,17.09,16.5,17.09,67414,0
20140224,17.02,18.25,16.9,18.015,131567,0
20140225,18.39,18.39,17.66,17.885,53864,0
20140226,18.06,18.75,17.55,18.05,139076,0
20140227,18.03,18.29,17.62,18,110239,0
20140228,17.9,18.01,16.23,16.5,81769,0
20140303,16.62,16.62,15.01,15.88,109686,0
20140304,16.13,16.272,15.48,15.69,48472,0
20140305,15.81,15.99,15.06,15.38,75179,0
20140306,15.64,15.87,15.05,15.14,39692,0
20140307,15.36,15.91,15,15.72,50054,0
20140310,15.77,15.77,14.99,15.24,136057,0
20140311,15.36,15.92,15.113,15.2,101383,0
20140312,15.04,15.63,14.76,14.91,138382,0
20140313,15.2,15.762,14.99,15.39,63969,0
20140314,15.02,15.52,14.83,14.83,98241,0
20140317,14.76,15.41,14.7,15.07,127650,0
20140318,14.7,15.88,14.7,15.76,107952,0
20140319,15.69,16.215,15.53,15.99,153064,0
20140320,15.92,17.1,15.9,16.794,115062,0
20140321,16.91,17.09,16,16.88,99223,0
20140324,16.85,16.868,16.01,16.18,126812,0
20140325,16.44,16.5,16.02,16.27,208150,0
20140326,16.44,16.5,15.92,15.93,91500,0
20140327,15.93,16.141,15.17,15.61,19656,0
20140328,15.72,16.489,15.15,15.6,40769,0
20140331,15.59,15.85,15.42,15.58,54944,0
20140401,15.455,15.86,15.455,15.66,20738,0
20140402,15.75,16.5,15.75,16.15,44966,0
20140403,16.27,16.34,15.54,15.78,91322,0
20140404,15.64,16,14.985,15.44,101340,0
20140407,15.245,15.31,14.262,14.41,114012,0
20140408,14.34,14.99,13.55,13.56,101298,0
20140409,14.36,14.7,13.587,14.5,48250,0
20140410,14.48,14.48,13.53,13.77,56364,0
20140411,13.63,14.42,13,13.04,82811,0
20140414,13.619,13.619,11.85,12,74586,0
20140415,12.28,12.28,9.61,9.78,152990,0
20140416,9.82,9.82,8.99,9.105,133190,0
20140417,9.1,9.1,8.5101,9,119242,0
20140421,9,9.05,8.78,8.9,86800,0
20140422,9.1,10.22,8.89,9.9,221349,0
20140423,10.15,10.34,9.52,9.62,98824,0
20140424,9.68,10.43,9.23,10.15,195477,0
20140425,10.15,11.03,10.06,11,370186,0
20140428,11,11.1,10.24,10.45,95640,0
20140429,10.45,10.59,10.11,10.49,109547,0
20140430,10.42,10.51,9.83,10.27,150697,0
20140501,10.35,11,10.25,10.88,14714,0
