Date,Open,High,Low,Close,Volume,OpenInt
20050225,7.2405,7.4503,7.2019,7.3773,128448,0
20050228,7.3133,7.3988,7.1633,7.1633,93561,0
20050301,7.1505,7.3088,7.1505,7.2701,268733,0
20050302,7.3862,7.3902,7.1974,7.2701,218969,0
20050303,7.2701,7.9471,7.2701,7.767,253657,0
20050304,7.8526,8.0453,7.75,7.8442,226991,0
20050307,8.0411,8.0453,7.7585,7.7799,238633,0
20050308,7.6986,7.8957,7.6858,7.7755,98738,0
20050309,7.6684,8.4816,7.6558,8.1096,383301,0
20050310,7.951,8.5083,7.951,8.4048,581682,0
20050311,8.3793,8.525,8.3793,8.474,273817,0
20050314,8.5544,8.8536,8.4438,8.5895,648179,0
20050315,8.5421,8.5851,8.1481,8.2122,442263,0
20050316,8.2421,8.2466,8.088,8.1352,302351,0
20050317,8.0282,8.208,7.823,8.1651,189840,0
20050318,8.0238,8.2421,7.9471,8.0152,230670,0
20050321,7.9252,8.1952,7.887,8.1009,160305,0
20050322,8.0925,8.225,8.0838,8.1181,71257,0
20050323,8.1181,8.1181,7.8784,8.0195,149238,0
20050324,8.0498,8.1096,7.951,7.9813,88511,0
20050328,7.917,8.0539,7.917,8.0539,66527,0
20050329,7.9082,8.0539,7.8442,7.8996,201145,0
20050330,7.8738,8.1396,7.8738,8.1352,248096,0
20050331,8.1266,8.1396,8.0453,8.1136,154999,0
20050401,8.1136,8.2421,7.994,8.0368,109445,0
20050404,7.9768,8.2636,7.8784,8.2636,165759,0
20050405,8.208,8.4393,8.208,8.3837,162419,0
20050406,8.3623,8.6489,8.3623,8.5215,201525,0
20050407,8.5974,8.6627,8.5588,8.6445,97392,0
20050408,8.6627,8.6847,8.1738,8.3752,159866,0
20050411,8.4305,8.4605,8.0112,8.2421,73309,0
20050412,8.259,8.6847,8.2038,8.5342,168015,0
20050413,8.4517,8.7429,8.3496,8.4093,157807,0
20050414,8.4093,8.4483,8.1952,8.2038,121764,0
20050415,8.259,8.3837,7.9128,8.0026,183520,0
20050418,8.0238,8.1651,7.8185,8.1225,119101,0
20050419,8.3364,8.418,8.2552,8.418,66179,0
20050420,8.3451,8.3623,7.7455,7.9895,183522,0
20050421,8.058,8.0966,7.87,8.0453,85363,0
20050422,7.9595,7.9595,7.3942,7.5399,194050,0
20050425,7.4458,7.8141,7.3862,7.7884,184171,0
20050426,7.8267,7.8267,7.5143,7.6086,83625,0
20050427,7.5399,7.6516,7.2446,7.4803,127894,0
20050428,7.4884,7.6086,7.2575,7.3815,124406,0
20050429,7.4758,7.6381,7.2575,7.5702,89674,0
20050502,7.5528,7.7843,7.4245,7.6127,69342,0
20050503,7.6639,7.9684,7.6639,7.8398,134627,0
20050504,7.8996,8.0798,7.7585,8.0453,95548,0
20050505,8.0667,8.1307,7.8483,8.1266,56056,0
20050506,8.1481,8.1908,7.8483,7.8483,93379,0
20050509,7.8829,8.2938,7.7284,8.2381,138605,0
20050510,8.1396,8.1952,8.0282,8.071,100843,0
20050511,8.1181,8.1352,7.9853,8.1055,65669,0
20050512,8.0798,8.1994,8.0798,8.1307,68819,0
20050513,8.2552,8.2552,7.87,7.994,79421,0
