Date,Open,High,Low,Close,Volume,OpenInt
20150716,8.2005,8.2005,8.2005,8.2005,477,0
20150727,7.9903,7.9903,7.9903,7.9903,477,0
20150803,7.9903,7.9903,7.9903,7.9903,189,0
20150804,8.1165,8.1165,8.1165,8.1165,477,0
20150805,8.2005,8.2005,7.9903,7.9903,1785,0
20150806,8.2005,8.2005,8.2005,8.2005,2380,0
20150811,8.411,9.2528,8.2005,9.2528,7849,0
20150812,8.411,8.411,8.2929,8.411,2259,0
20150813,8.368,8.8313,8.344,8.8313,4991,0
20150814,8.2602,8.411,8.2602,8.411,3804,0
20150818,8.2929,8.4533,8.2929,8.4533,4755,0
20150819,8.411,8.411,8.411,8.411,121,0
20150820,8.2929,8.6288,8.2929,8.5876,3923,0
20150821,8.5785,8.5785,8.544,8.5619,1163,0
20150824,8.2869,8.5785,8.2869,8.2869,473,0
20150825,8.5526,8.5526,8.5526,8.5526,119,0
20150826,8.5705,8.5785,8.2869,8.5785,1864,0
20150827,8.39,8.5705,8.39,8.5705,468,0
20150901,8.3724,8.3724,8.3635,8.3635,468,0
20150904,8.5705,8.5705,8.5705,8.5705,119,0
20150910,8.2869,8.2869,8.2869,8.2869,124,0
20150911,8.5785,8.5785,8.5785,8.5785,934,0
20150917,8.5358,8.5358,8.5358,8.5358,698,0
20150921,8.5619,8.5785,8.5619,8.5785,934,0
20150928,8.3664,8.3664,8.3664,8.3664,119,0
20151005,8.3304,8.3304,8.3304,8.3304,119,0
20151006,8.2869,8.2869,8.2869,8.2869,119,0
20151009,8.2869,8.2869,8.2869,8.2869,119,0
20151013,8.5107,8.5107,8.5107,8.5107,1163,0
20151019,8.5785,8.5785,8.5785,8.5785,232,0
20151021,8.5785,8.5785,8.5785,8.5785,119,0
20151023,8.3635,8.3635,8.3635,8.3635,468,0
20151028,8.4507,8.4507,8.4507,8.4507,232,0
20151030,8.5785,8.5785,8.3635,8.3635,584,0
20151103,8.4507,8.4507,8.4507,8.4507,584,0
20151104,8.4815,8.4815,8.4507,8.4751,1371,0
20151105,8.4507,8.4507,8.4507,8.4507,1284,0
20151106,8.4507,8.4507,8.4507,8.4507,351,0
20151109,8.4016,8.4016,8.4016,8.4016,357,0
20151110,8.3724,8.3724,8.3215,8.3215,13287,0
20151116,8.5785,9.0162,8.5785,8.7167,91969,0
20151117,8.7512,8.7512,8.4076,8.4076,31474,0
20151118,7.721,8.15,7.721,8.15,11770,0
20151120,8.4094,8.4094,8.4094,8.4094,117,0
20151123,8.5046,8.5046,8.5046,8.5046,348,0
20151125,8.3741,8.3741,8.3741,8.3741,231,0
20151127,8.5464,8.5464,8.5383,8.5464,1503,0
20151130,8.5302,8.6331,8.5215,8.5464,14247,0
20151201,8.5464,8.5464,8.5383,8.5464,952,0
20151202,8.5036,8.5036,8.5036,8.5036,348,0
20151203,8.2017,8.5135,8.2017,8.5135,695,0
20151208,8.5464,8.5464,8.5464,8.5464,2363,0
20151209,8.5464,8.5464,8.5046,8.5464,1620,0
20151214,8.4613,8.4613,8.4613,8.4613,231,0
20151216,8.5046,8.5464,8.5046,8.5464,694,0
20151229,8.5464,8.6331,8.5464,8.6331,11643,0
20151230,8.5046,8.6322,8.5046,8.5464,5283,0
20151231,8.4173,8.6331,8.4173,8.5464,463,0
20160104,8.279,8.5464,8.0032,8.3224,2455,0
20160105,8.279,8.5907,8.279,8.5907,567,0
20160106,8.3822,8.5464,8.3822,8.5464,3241,0
20160107,8.5464,8.5464,8.5046,8.5046,348,0
20160108,8.1069,8.4613,8.0464,8.4173,8670,0
