Date,Open,High,Low,Close,Volume,OpenInt
20190925,25.19,25.24,25.1,25.13,120301,0
20190926,25.13,25.1532,25.0599,25.07,81276,0
20190927,25.14,25.19,25.07,25.08,99210,0
20190930,25.12,25.24,25.07,25.07,175084,0
20191001,25.11,25.1694,25.07,25.1,41209,0
20191002,25.1,25.1215,24.88,25.06,127900,0
20191003,25.09,25.09,25,25.04,61683,0
20191004,25.05,25.13,25.05,25.1,44919,0
20191007,25.12,25.3943,25.12,25.39,160791,0
20191008,25.49,25.54,25.245,25.38,284025,0
20191009,25.42,25.45,25.36,25.37,25222,0
20191010,25.3602,25.365,25.23,25.27,17170,0
20191011,25.1,25.22,25.1,25.212,12311,0
20191014,25.19,25.22,25.16,25.205,18177,0
20191015,25.22,25.27,25.1,25.18,17044,0
20191016,25.23,25.24,25.12,25.1738,15152,0
20191017,25.16,25.2252,25.16,25.19,4924,0
20191018,25.21,25.24,25.2,25.24,3915,0
20191021,25.2,25.24,25.17,25.18,5292,0
20191022,25.15,25.2399,25.13,25.18,24810,0
20191023,25.1999,25.1999,25.18,25.18,856,0
20191024,25.1536,25.1536,25.08,25.08,19322,0
20191025,25.15,25.22,25.15,25.1749,3990,0
20191028,25.1575,25.22,25.06,25.12,13189,0
20191029,25.12,25.15,25.06,25.06,19279,0
20191030,25.06,25.1293,25,25.1,56549,0
20191031,25.1352,25.21,25,25,75398,0
20191101,25.05,25.19,25.05,25.1171,25889,0
20191104,25.1858,25.1858,25.08,25.08,19655,0
20191105,25.1,25.2,25.05,25.2,25996,0
20191106,25.2,25.22,25.11,25.2,4616,0
20191107,25.1,25.22,25.02,25.15,26534,0
20191108,25.14,25.17,25.07,25.07,4726,0
20191111,25.2025,25.7,25.165,25.23,6903,0
20191112,25.25,25.25,25.16,25.16,4623,0
20191113,25.16,25.26,25.06,25.23,28236,0
20191114,25.21,25.21,25.1,25.16,9655,0
20191115,25.08,25.19,25.07,25.1,13079,0
20191118,25.1,25.18,25.05,25.18,32706,0
20191119,25.19,25.323,25.13,25.13,8207,0
20191120,25.2183,25.3192,25.17,25.27,6370,0
20191121,25.31,25.38,25.29,25.35,9366,0
20191122,25.276,25.29,25.18,25.2312,17775,0
20191125,25.317,25.37,25.2,25.31,16468,0
20191126,25.38,25.38,25.24,25.35,8266,0
20191127,25.38,25.38,25.235,25.25,24684,0
20191129,25.25,25.3499,25.11,25.17,23308,0
20191202,25.11,25.175,25.07,25.0974,10426,0
20191203,25.15,25.21,25.1,25.1,33912,0
20191204,25.1596,25.19,25.1,25.15,15320,0
20191205,25.1762,25.25,25.1,25.1,14686,0
20191206,25.18,25.23,25.15,25.16,15328,0
20191209,25.1896,25.1896,25.11,25.15,11363,0
20191210,25.1247,25.17,25.11,25.11,11074,0
20191211,25.13,25.14,25.1,25.11,11261,0
20191212,25.125,25.15,25.08,25.08,12748,0
20191213,25.1,25.2,25.09,25.16,9175,0
20191216,25.15,25.2345,25.12,25.15,9683,0
20191217,25.15,25.2,25.12,25.15,11469,0
20191218,25.15,25.2217,25.12,25.14,20185,0
20191219,25.15,25.19,25.12,25.1616,20721,0
20191220,25.15,25.19,25.12,25.15,25462,0
20191223,25.1741,25.24,25.17,25.24,19390,0
20191224,25.24,25.24,25.2,25.2225,3273,0
20191226,25.15,25.21,25.15,25.205,7121,0
20191227,25.2,25.2,25.12,25.12,6049,0
20191230,25.15,25.24,25.12,25.16,78866,0
20191231,25.18,25.22,25.15,25.2,35020,0
20200102,25.2,25.305,25.2,25.305,19386,0
20200103,25.3645,25.37,25.3127,25.37,24700,0
20200106,25.35,25.455,25.35,25.4,68266,0
20200107,25.4,25.45,25.38,25.425,34871,0
20200108,25.44,25.48,25.41,25.45,29003,0
20200109,25.43,25.48,25.4,25.42,32935,0
20200110,25.4,25.476,25.4,25.4,37355,0
20200113,25.4,25.47,25.39,25.4,41932,0
20200114,25.19,25.3379,25.1543,25.28,28811,0
20200115,25.28,25.29,25.1712,25.215,26526,0
20200116,25.2,25.2999,25.19,25.195,21562,0
20200117,25.2,25.3,25.2,25.245,25689,0
20200121,25.2,25.3299,25.14,25.2,31285,0
20200122,25.25,25.28,25.2,25.21,27438,0
20200123,25.2,25.25,25.17,25.17,33784,0
