Date,Open,High,Low,Close,Volume,OpenInt
20160705,12.18,12.28,12.11,12.28,138500,0
20160706,12.28,12.3,12.234,12.286,55540,0
20160707,12.29,12.7,12.2852,12.29,70337,0
20160708,12.4,12.4,12.27,12.27,107804,0
20160711,12.25,12.34,12.22,12.335,115752,0
20160712,12.3,12.35,12.28,12.35,49711,0
20160713,12.3,12.4,12.3,12.36,133365,0
20160714,12.384,12.45,12.36,12.418,79173,0
20160715,12.4,12.45,12.35,12.37,58189,0
20160718,12.45,12.68,12.43,12.65,71381,0
20160719,12.78,12.78,12.45,12.5,17565,0
20160720,12.5401,12.74,12.5401,12.65,58666,0
20160721,12.65,12.75,12.63,12.7,53270,0
20160722,12.6698,12.7,12.63,12.7,44600,0
20160725,12.631,12.675,12.63,12.66,21867,0
20160726,12.7,12.7475,12.65,12.695,10920,0
20160727,12.7128,12.74,12.69,12.69,4400,0
20160728,12.701,12.8,12.65,12.75,33240,0
20160729,12.775,12.813,12.7434,12.76,3200,0
20160801,12.78,12.8,12.7383,12.8,13800,0
20160802,12.75,12.8,12.75,12.75,48654,0
20160803,12.7785,12.8,12.7531,12.8,14200,0
20160804,12.8,12.85,12.7597,12.77,17150,0
20160805,12.78,12.7893,12.78,12.7893,600,0
20160808,12.8,12.8,12.75,12.75,20713,0
20160809,12.7901,12.8,12.75,12.79,15102,0
20160810,12.7812,12.79,12.75,12.75,2446,0
20160811,12.72,12.79,12.72,12.79,5900,0
20160812,12.7899,12.7899,12.7766,12.7766,1200,0
20160815,12.79,12.79,12.76,12.76,900,0
20160816,12.75,12.77,12.75,12.75,6936,0
20160817,12.7501,12.79,12.66,12.75,8731,0
20160818,12.75,12.76,12.74,12.76,7900,0
20160819,12.81,12.81,12.75,12.81,7710,0
20160822,12.7516,12.76,12.75,12.76,11940,0
20160823,12.76,12.76,12.7,12.76,1900,0
20160824,12.7525,12.81,12.75,12.81,5269,0
20160825,12.7599,12.81,12.75,12.81,17600,0
20160826,12.75,12.83,12.75,12.83,9223,0
20160829,12.8,12.8,12.69,12.75,14673,0
20160830,12.61,12.77,12.61,12.77,16184,0
20160831,12.69,12.79,12.68,12.79,10814,0
20160901,12.8,12.83,12.68,12.7,37752,0
20160902,12.6814,12.82,12.68,12.79,15467,0
20160906,12.8,12.98,12.77,12.96,35151,0
20160907,12.96,12.98,12.82,12.98,19170,0
20160908,12.95,13.08,12.85,13.08,30457,0
20160909,12.9684,13.05,12.85,13.05,14674,0
20160912,13.01,13.15,12.85,13.08,21724,0
20160913,13.11,13.15,13.105,13.15,15721,0
20160914,13.12,13.18,13.1,13.15,11108,0
20160915,13.15,13.15,13.05,13.07,18041,0
