Date,Open,High,Low,Close,Volume,OpenInt
20160422,14,14.6,14,14,7833670,0
20160425,14.1,14.1,13.5,13.5,877834,0
20160426,13.55,13.7418,13.25,13.7,603462,0
20160427,13.99,14.05,13.55,13.68,382776,0
20160428,13.55,13.6999,13.34,13.44,207998,0
20160429,13.4,13.49,13.1,13.33,198553,0
20160502,13.11,13.48,13.02,13.34,85430,0
20160503,13.38,13.75,13.155,13.65,230176,0
20160504,13.7,13.7,13.3,13.53,127687,0
20160505,13.67,13.68,13.355,13.5,175111,0
20160506,13.32,13.59,13.085,13.27,212490,0
20160509,13.11,13.325,12.1716,13.05,537271,0
20160510,12.8,13.22,12.55,13.105,238005,0
20160511,13.2,13.2,12.65,12.67,268886,0
20160512,12.61,13.01,11.96,12.21,375858,0
20160513,12.59,12.8775,12.17,12.45,159795,0
20160516,12.21,13.9,12.21,13.81,248103,0
20160517,13.97,14.328,12.92,13.16,504209,0
20160518,13.08,13.84,13.08,13.53,79771,0
20160519,13.58,13.7,13.18,13.61,69219,0
20160520,13.57,13.99,13.5332,13.87,84444,0
20160523,13.92,13.98,13.11,13.26,76963,0
20160524,13.23,13.82,13.15,13.65,69976,0
20160525,13.67,13.89,13.61,13.76,71359,0
20160526,13.82,13.9303,13.36,13.63,98944,0
20160527,13.46,13.91,13.23,13.735,326015,0
20160531,13.98,13.98,13.5,13.8,105930,0
20160601,14.13,14.38,13.11,13.69,603951,0
20160602,13.66,13.79,13.12,13.28,172715,0
20160603,13.25,13.55,13.25,13.45,49269,0
20160606,13.31,14.08,13.25,13.53,252132,0
20160607,13.42,13.5,13.19,13.28,62491,0
20160608,13.18,13.6,13.11,13.49,52524,0
20160609,13.33,13.6,13.1,13.11,124028,0
20160610,13.11,13.39,12.67,13.3001,157359,0
20160613,13.29,13.6,13.05,13.18,135966,0
20160614,13.44,15.14,12.77,14.91,790278,0
20160615,15.27,16.23,13.8742,14.01,578799,0
20160616,14.05,15.5,13.5,15.49,527031,0
20160617,15.28,15.87,14.81,15.09,1050124,0
20160620,15.27,15.27,14.09,14.52,191347,0
20160621,14.64,14.64,13.95,14.16,106330,0
20160622,13.9,14.49,13.71,13.98,225075,0
20160623,14.12,14.22,13.82,14.12,178010,0
20160624,13.5,13.93,13.01,13.04,580558,0
20160627,13.01,13.66,12.5,13.09,170255,0
20160628,13.4,13.56,12.78,12.92,288631,0
20160629,13.08,14.24,13.08,13.77,230075,0
20160630,13.91,14.2299,13.48,14.1,143467,0
20160701,14.08,14.08,13.8505,14,43043,0
20160705,13.89,14.0701,13.49,13.91,100997,0
20160706,13.71,14.11,13.51,14.04,170753,0
20160707,14,14.08,13.67,13.79,157587,0
20160708,13.92,13.9836,13.29,13.86,179276,0
20160711,13.78,14.79,13.78,14.54,231574,0
20160712,14.5,14.99,14.5,14.74,88693,0
20160713,14.73,14.9578,14.25,14.74,301902,0
20160714,15,15.025,14.5,14.83,87076,0
20160715,14.92,15.42,14.73,15.36,218341,0
20160718,15.35,15.46,14.97,15.14,63639,0
20160719,15.19,15.19,14.55,14.75,34380,0
