Date,Open,High,Low,Close,Volume,OpenInt
20111027,22800,25500,22500,22800,9,0
20111028,22200,22500,21300,22500,6,0
20111031,24600,24600,21600,22200,3,0
20111101,22500,22500,21300,21900,6,0
20111102,21300,22200,20700,21300,11,0
20111103,21000,24000,21000,24000,6,0
20111104,24000,24000,21900,23370,8,0
20111107,23400,23400,21000,21600,6,0
20111108,21300,21600,20700,21000,8,0
20111109,21300,21900,20700,21300,5,0
20111110,21600,21900,21000,21600,3,0
20111111,21600,21600,21000,21000,2,0
20111114,21600,21600,19800,21000,3,0
20111115,21600,21600,20100,21000,5,0
20111116,21000,21600,19500,21000,3,0
20111117,21300,21600,19500,21300,2,0
20111118,19800,21000,19800,20400,4,0
20111121,20100,20400,18300,19200,8,0
20111122,20100,20100,18000,18300,6,0
20111123,18000,18300,15900,16800,7,0
20111125,16200,16500,15000,15300,10,0
20111128,19500,21300,18300,19200,22,0
20111129,19500,19800,18600,19500,5,0
20111130,19500,20940,18000,18000,10,0
20111201,19500,20400,18300,20400,8,0
20111202,20700,20700,18900,20100,4,0
20111205,20400,21000,20400,20700,6,0
20111206,21600,21600,14493,16206,69,0
20111207,19200,19800,17466,17901,23,0
20111208,18000,18000,16569,16800,7,0
20111209,17100,18300,16800,17100,9,0
20111212,17400,17400,15000,16200,13,0
20111213,15300,15900,14700,15000,28,0
20111214,14700,15000,14100,14400,8,0
20111215,14400,15000,11700,12300,29,0
20111216,12900,13494,11409,11700,17,0
20111219,12600,12900,11100,11100,11,0
20111220,11400,12300,10800,11400,19,0
20111221,11100,12300,11100,11700,11,0
20111222,11700,14250,11700,13500,22,0
20111223,13500,15900,13497,14100,19,0
20111227,14100,15000,13050,13200,11,0
20111228,13200,14280,12000,12900,7,0
20111229,12600,14700,12090,14400,7,0
20111230,14400,14400,13200,14070,12,0
20120103,14700,14700,13251,14100,3,0
20120104,13500,14100,13500,13710,5,0
20120105,13200,14100,12900,13200,7,0
20120106,14100,17400,13800,17220,22,0
20120109,18900,20100,16800,19800,35,0
20120110,20700,23970,20349,22500,39,0
20120111,22500,23100,20100,20700,17,0
20120112,22500,22500,20700,21600,10,0
20120113,20700,21900,20100,20400,14,0
20120117,22800,22800,20100,20850,19,0
20120118,22200,22800,20400,22650,11,0
20120119,22800,23040,21300,21300,5,0
20120120,23100,23100,20400,20700,30,0
20120123,22200,22200,20100,20700,10,0
20120124,20700,20700,18033,20340,11,0
20120125,20100,20850,18900,19770,8,0
20120126,20550,20550,18456,19080,11,0
20120127,19200,19497,18066,19407,3,0
20120130,19500,19503,17700,19500,13,0
20120131,19200,19503,18660,18900,10,0
20120201,18900,19494,18600,19200,6,0
20120202,19500,24900,19500,23700,60,0
20120203,24600,31200,24012,31200,102,0
20120206,31800,41700,31200,37800,189,0
20120207,36000,36000,29400,30300,110,0
20120208,32700,33900,30300,31200,41,0
20120209,32700,35400,32400,33000,56,0
20120210,33300,33900,31200,32700,27,0
20120213,34200,34800,31200,31500,30,0
20120214,32700,33000,31200,31200,19,0
20120215,31200,32400,27000,27900,39,0
20120216,27600,29400,25500,28200,41,0
20120217,29400,31500,28200,30900,24,0
