Date,Open,High,Low,Close,Volume,OpenInt
20151221,14.976,16.214,14.976,16.214,8218,0
20151222,15.47,15.47,15.47,15.47,1093,0
20151223,15.465,15.665,15.186,15.286,5813,0
20151230,15.066,16.453,15.066,16.024,2639,0
20151231,15.266,16.064,15.166,16.054,5965,0
20160106,15.924,15.924,15.565,15.715,2856,0
20160107,15.715,15.715,14.967,15.316,24554,0
20160108,15.316,15.396,15.316,15.316,43369,0
20160111,15.465,15.465,15.066,15.465,8563,0
20160112,15.465,15.465,15.465,15.465,1102,0
20160113,15.45,15.465,15.316,15.366,27303,0
20160114,15.366,15.366,15.366,15.366,5011,0
20160115,199553.36,199553.36,14.976,15.515,35916,0
20160120,15.415,15.415,15.316,15.316,15535,0
20160121,15.316,15.964,14.967,15.964,61709,0
20160122,15.366,15.615,15.086,15.366,38028,0
20160125,15.366,15.565,15.246,15.565,29416,0
20160126,15.366,15.366,15.316,15.316,200,0
20160127,15.447,15.447,15.447,15.447,501,0
20160129,15.715,15.964,15.455,15.964,3389,0
20160201,15.924,15.964,15.525,15.864,7072,0
20160203,15.517,15.583,15.515,15.515,4004,0
20160205,15.515,15.515,15.515,15.515,2004,0
20160208,15.864,15.864,14.967,14.967,1403,0
20160209,14.967,14.967,14.967,14.967,2639,0
20160210,14.967,14.967,14.967,14.967,301,0
20160211,15.066,15.066,14.717,14.867,1328,0
20160216,14.967,14.967,14.967,14.967,677,0
20160217,15.056,15.056,15.056,15.056,140,0
20160218,15.066,15.066,14.967,15.066,9822,0
20160219,15.415,15.415,15.116,15.316,3090,0
20160222,15.415,15.415,15.415,15.415,501,0
20160223,15.316,15.316,15.316,15.316,501,0
20160224,15.076,15.186,15.076,15.141,4260,0
20160225,15.086,15.096,15.066,15.066,1904,0
20160229,15.076,15.465,15.066,15.465,936,0
20160302,15.24,15.645,15.24,15.645,1804,0
20160307,15.136,15.864,15.116,15.864,3618,0
20160308,15.864,15.864,15.116,15.815,4335,0
20160309,15.565,15.565,15.565,15.565,200,0
20160310,15.565,15.565,15.116,15.465,8927,0
20160311,15.465,15.954,15.465,15.954,6893,0
20160314,15.954,16.333,15.775,16.014,49780,0
20160315,16.064,17.012,16.064,17.012,29453,0
20160316,16.962,17.062,16.653,16.962,23464,0
20160317,17.94,17.94,16.748,17.461,27481,0
20160318,17.461,18.439,17.221,18.09,177861,0
20160321,17.182,17.75,17.172,17.501,2936,0
20160323,17.501,17.602,15.086,15.136,14498,0
20160324,15.465,18.359,15.465,17.8,34647,0
20160328,18.359,18.359,18.07,18.309,6547,0
20160329,18.309,18.409,17.79,18.359,7098,0
20160330,16.668,18.299,16.668,18.299,1061,0
20160331,18.316,18.459,18.299,18.459,4591,0
20160404,17.481,18.459,17.481,18.439,6600,0
20160405,17.87,18,17.621,17.95,1102,0
20160406,17.68,18.339,17.461,17.541,1115,0
20160407,17.461,17.461,17.461,17.461,301,0
20160408,17.067,18.459,17.067,17.68,802,0
20160411,17.76,17.76,17.491,17.571,783,0
20160412,17.88,18.708,17.8,18.708,3574,0
20160413,17.461,18.159,17.461,18.159,1403,0
20160414,17.571,18.708,17.571,18.379,708,0
20160419,17.641,17.641,17.641,17.641,100,0
20160420,17.561,17.561,16.573,16.663,1258,0
20160421,16.463,16.463,16.463,16.463,37083,0
20160422,16.613,16.613,16.613,16.613,165,0
20160425,16.872,17.96,16.872,17.96,1885,0
20160426,18.635,18.708,16.493,16.593,4492,0
20160427,16.713,17.368,16.493,16.493,621,0
20160428,16.493,16.493,16.463,16.463,1146,0
20160502,16.513,16.513,16.513,16.513,177,0
20160503,16.513,16.513,16.463,16.463,711,0
20160504,16.473,16.493,16.004,16.084,3865,0
20160506,15.216,16.363,15.216,16.363,301,0
20160509,15.964,15.964,15.964,15.964,893,0
20160510,16.304,16.353,16.304,16.353,496,0
20160511,15.968,15.968,15.964,15.964,921,0
20160512,15.974,15.974,15.974,15.974,151,0
20160513,16.313,16.313,16.313,16.313,109,0
20160517,15.964,15.964,15.964,15.964,228,0
20160518,15.964,15.964,15.964,15.964,301,0
20160520,15.974,15.974,15.974,15.974,148,0
20160524,16.164,16.164,16.164,16.164,200,0
20160531,15.835,15.835,15.755,15.755,758,0
20160601,15.776,15.776,15.465,15.465,746,0
20160602,15.455,15.455,15.216,15.216,329,0
20160603,15.036,15.106,14.617,15.066,6465,0
20160606,15.146,15.575,14.577,15.076,32376,0
20160607,15.116,16.034,15.116,15.465,40262,0
