Date,Open,High,Low,Close,Volume,OpenInt
20061220,325,782.6,325,520,1954,0
20061221,780,780,520,650,4953,0
20061222,650,650,546,546,338,0
20061226,590.2,689,572,650,278,0
20061227,650,663,650,650,41,0
20061228,676,676,585,585,32,0
20061229,663,780,611,780,818,0
20070103,780,780,585,655.2,454,0
20070104,702,715,702,715,55,0
20070105,741,780,728,780,577,0
20070108,780,780,741,741,423,0
20070109,767,780,759.2,767,288,0
20070110,780,845,767,845,1486,0
20070111,845,845,819,819,365,0
20070112,845,845,819,832,139,0
20070116,832,832,780,806,258,0
20070117,808.6,808.6,699.4,767,354,0
20070118,715,756.6,715,754,191,0
20070119,754,767,741,754,108,0
20070122,754,767,676,702,148,0
20070123,689,741,689,741,103,0
20070124,730.6,730.6,717.6,717.6,44,0
20070125,712.4,712.4,652.6,712.4,282,0
20070126,728,728,702,715,186,0
20070129,715,715,676,689,81,0
20070130,689,702,689,702,82,0
20070131,702,702,676,689,70,0
20070201,696.8,702,696.8,702,23,0
20070202,702,767,689,741,394,0
20070205,746.2,754,738.4,738.4,72,0
20070206,728,738.4,702,715,159,0
20070207,728,728,707.2,707.2,183,0
20070208,702,728,702,725.4,91,0
20070209,715,787.8,715,787.8,583,0
20070212,793,793,728,741,209,0
20070213,741,806,728,728,210,0
20070214,751.4,793,728,728,145,0
20070215,728,741,699.4,728,73,0
20070216,728,746.2,720.2,728,70,0
20070220,738.4,741,728,728,64,0
20070221,733.2,733.2,702,725.4,82,0
20070222,715,728,676,728,55,0
20070223,733.2,733.2,720.2,720.2,33,0
20070226,712.4,712.4,702,702,8,0
20070227,689,699.4,650,663,150,0
20070228,702,702,650,663,53,0
20070301,650,717.6,637,717.6,138,0
20070302,717.6,722.8,652.6,699.4,40,0
20070305,676,676,637,637,47,0
20070306,637,676,637,676,64,0
20070307,704.6,704.6,676,676,51,0
20070308,689,704.6,676,702,95,0
20070309,704.6,704.6,676,678.6,26,0
20070312,686.4,696.8,686.4,686.4,85,0
20070313,691.6,691.6,686.4,691.6,112,0
20070314,689,709.8,683.8,704.6,188,0
20070315,709.8,733.2,704.6,720.2,225,0
20070316,722.8,738.4,717.6,717.6,328,0
20070319,717.6,842.4,717.6,793,1858,0
20070320,834.6,837.2,785.2,806,688,0
20070321,819,845,793,845,485,0
20070322,845,873.6,821.6,821.6,386,0
20070323,839.8,858,819,832,114,0
20070326,852.8,858,832,858,122,0
20070327,852.8,858,850.2,852.8,137,0
20070328,858,858,832,832,134,0
20070329,834.6,834.6,816.4,819,72,0
20070330,821.6,832,819,832,60,0
20070402,832,832,816.4,832,64,0
20070403,829.4,832,790.4,793,265,0
20070404,795.6,824.2,790.4,819,182,0
20070405,824.2,824.2,793,806,83,0
20070409,816.4,819,795.6,798.2,111,0
20070410,808.6,824.2,803.4,819,40,0
20070411,819,839.8,819,826.8,196,0
20070412,806,858,806,858,211,0
20070413,860.6,928.2,860.6,907.4,669,0
20070416,910,910,897,910,477,0
20070417,910,933.4,897,923,458,0
20070418,938.6,977.6,923,969.8,536,0
20070419,969.8,982.8,951.6,954.2,106,0
20070420,962,962,899.6,949,414,0
20070423,975,975,912.6,915.2,48,0
20070424,928.2,962,907.4,949,69,0
20070425,954.2,954.2,933.4,933.4,81,0
20070426,936,1053,920.4,1050.4,678,0
20070427,1084.2,1084.2,920.4,1027,478,0
20070430,975,1032.2,938.6,1001,83,0
20070501,962,975,936,943.8,242,0
20070502,917.8,949,917.8,936,146,0
20070503,936,936,884,933.4,136,0
20070504,897,946.4,871,910,115,0
20070507,910,988,910,938.6,188,0
20070508,933.4,962,897,946.4,123,0
20070509,907.4,936,871,936,229,0
20070510,912.6,1001,871,988,185,0
20070511,988,1014,954.2,1001,189,0
20070514,995.8,1008.8,959.4,975,103,0
20070515,975,990.6,912.6,972.4,150,0
20070516,936,995.8,923,995.8,101,0
20070517,995.8,1032.2,941.2,975,384,0
20070518,975,975,941.2,959.4,23,0
20070521,975,988,928.2,988,502,0
20070522,988,1006.2,949,962,273,0
20070523,972.4,972.4,949,962,148,0
20070524,951.6,982.8,925.6,982.8,446,0
20070525,980.2,985.4,959.4,980.2,122,0
20070529,980.2,982.8,967.2,975,191,0
20070530,982.8,1014,925.6,949,826,0
20070531,954.2,982.8,912.6,912.6,348,0
20070601,915.2,915.2,863.2,863.2,388,0
20070604,915.2,923,858,923,187,0
20070605,915.2,915.2,860.6,860.6,105,0
20070606,868.4,868.4,842.4,842.4,205,0
20070607,834.6,845,829.4,829.4,160,0
20070608,816.4,832,787.8,819,126,0
20070611,806,816.4,780,816.4,129,0
20070612,816.4,842.4,780,842.4,73,0
20070613,839.8,858,826.8,832,149,0
20070614,845,858,832,832,108,0
20070615,793,832,780,793,82,0
20070618,793,811.2,780,800.8,82,0
20070619,793,793,738.4,772.2,322,0
20070620,754,819,743.6,780,200,0
20070621,780,780,759.2,761.8,47,0
20070622,780,780,746.2,761.8,91,0
20070625,761.8,761.8,746.2,754,127,0
20070626,754,777.4,728,728,437,0
20070627,754,754,728,741,87,0
20070628,741,754,720.2,720.2,131,0
20070629,728,728,715,715,191,0
