Date,Open,High,Low,Close,Volume,OpenInt
20180809,3.25,3.25,2.27,2.4,654239,0
20180810,2.49,2.79,2.4,2.77,246945,0
20180813,2.95,3.25,2.85,3.25,325312,0
20180814,3.3,4.15,3.2,3.92,766440,0
20180815,3.75,3.89,3.5,3.61,232894,0
20180816,3.88,3.88,3.621,3.795,195361,0
20180817,3.88,3.88,3.65,3.68,53069,0
20180820,3.98,3.98,3.52,3.7,89064,0
20180821,3.69,3.7699,3.55,3.6,87721,0
20180822,3.7,3.75,3.55,3.63,73629,0
20180823,3.63,3.65,3.55,3.6375,45841,0
20180824,3.69,3.69,3.3,3.3916,62869,0
20180827,3.41,3.41,2.9501,3.12,117949,0
20180828,3.15,3.38,3.1,3.16,35891,0
20180829,3.2,3.6,3.12,3.6,100111,0
20180830,3.75,3.9,3.508,3.6818,134274,0
20180831,3.83,3.83,3.6,3.6,32264,0
20180904,3.6,3.6,3.2575,3.31,23353,0
20180905,3.24,3.4724,3.15,3.3,70732,0
20180906,3.3,3.3,3.2,3.2451,3100,0
20180907,3.24,3.39,3.2,3.25,10053,0
20180910,3.25,3.44,3.25,3.25,21193,0
20180911,3.25,3.299,3.2,3.21,17787,0
20180912,3.2,3.2495,2.851,2.9232,79526,0
20180913,2.87,2.95,2.4001,2.52,146924,0
20180914,2.73,2.9262,2.56,2.63,27267,0
20180917,2.79,2.9144,2.7,2.75,13049,0
20180918,2.81,2.81,2.6,2.61,29909,0
20180919,2.7,2.7,2.61,2.64,15341,0
20180920,2.55,2.55,2.37,2.42,46536,0
20180921,2.69,2.69,2.4549,2.576,10074,0
20180924,2.74,2.74,2.45,2.5252,15685,0
20180925,2.52,2.6027,2.45,2.45,19162,0
20180926,2.45,2.5882,2.28,2.4475,40594,0
20180927,2.57,2.57,2.45,2.45,14229,0
20180928,2.49,2.639,2.45,2.46,16793,0
20181001,2.59,2.675,2.46,2.59,15731,0
20181002,2.7,2.7,2.59,2.66,16685,0
20181003,2.73,3.4,2.63,2.8912,235222,0
20181004,3.04,3.05,2.82,2.91,23289,0
20181005,3.2,3.2,2.795,2.8,31625,0
20181008,2.78,2.95,2.7101,2.822,10696,0
20181009,2.81,2.95,2.65,2.65,29095,0
20181010,2.67,2.97,2.6,2.61,32898,0
20181011,2.7,2.8345,2.7,2.76,13241,0
20181012,2.78,2.91,2.5929,2.61,14452,0
20181015,2.8921,2.8921,2.6,2.61,8201,0
20181016,2.75,2.8417,2.62,2.7,21642,0
20181017,2.61,2.77,2.61,2.7,13235,0
20181018,2.62,2.6819,2.575,2.65,14310,0
20181019,2.54,2.7004,2.54,2.6,1579,0
20181022,2.61,2.61,2.45,2.49,16595,0
20181023,2.4527,2.5999,2.33,2.33,15501,0
20181024,2.33,2.4352,2.33,2.36,4613,0
20181025,2.35,2.4,2.2,2.2,39213,0
20181026,2.21,2.23,2.15,2.18,17147,0
20181029,5.6,7.48,4.08,4.55,21827097,0
20181030,4.1,4.1,3.28,3.31,1653215,0
20181031,3.2,3.7,2.86,3.18,1094834,0
20181101,3.45,3.75,3.21,3.75,788484,0
20181102,3.95,4.05,3.45,3.53,562992,0
20181105,3.59,3.6,2.9,3.07,814615,0
20181106,2.93,3,2.55,2.55,705420,0
20181107,2.05,2.19,1.84,1.93,2901433,0
20181108,1.95,1.95,1.84,1.86,591340,0
20181109,1.85,1.93,1.75,1.92,449473,0
20181112,1.92,1.97,1.83,1.85,236811,0
20181113,1.89,1.9,1.78,1.79,200731,0
20181114,1.84,1.8409,1.61,1.67,397388,0
20181115,1.38,1.55,1.29,1.465,831863,0
20181116,1.41,1.5,1.3,1.35,427385,0
20181119,1.45,1.67,1.35,1.53,757890,0
20181120,1.35,1.455,1.3301,1.38,169199,0
20181121,1.38,1.5681,1.35,1.45,201925,0
20181123,1.45,1.5,1.36,1.4379,179181,0
20181126,1.43,1.58,1.43,1.49,648327,0
20181127,1.45,1.5599,1.35,1.45,228110,0
20181128,1.42,1.45,1.3,1.4,255580,0
20181129,1.4,1.4,1.3,1.38,169498,0
20181130,1.62,1.69,1.35,1.43,3689234,0
20181203,1.46,1.46,1.3,1.34,501564,0
20181204,1.35,1.38,1.21,1.2885,341330,0
20181206,1.27,1.27,1.14,1.21,300270,0
20181207,1.2,1.2439,1.19,1.206,109888,0
20181210,1.24,1.26,1.12,1.18,170435,0
20181211,1.2,1.25,1.17,1.1799,91676,0
20181212,1.2,1.2,1.1,1.16,154070,0
20181213,1.17,1.189,1.1,1.11,170714,0
20181214,1.1,1.16,1.05,1.07,181123,0
20181217,1.1,1.23,1.1,1.206,158223,0
20181218,1.21,1.43,1.14,1.35,454676,0
20181219,1.41,1.449,1.25,1.36,477556,0
20181220,1.27,1.33,1.14,1.18,190341,0
20181221,1.15,1.34,1.1,1.21,232354,0
20181224,1.22,1.2359,0.9,0.948,539710,0
20181226,1.06,1.06,0.95,1.02,99303,0
20181227,1.02,1.2,1.02,1.15,159050,0
20181228,1.09,1.09,1.02,1.06,136722,0
20181231,1.06,1.09,1.03,1.065,68352,0
20190102,1.08,1.2,1.05,1.17,102109,0
20190103,1.2,1.2961,1.1604,1.265,167509,0
20190104,1.24,1.4,1.2352,1.32,509414,0
20190107,1.42,1.64,1.4,1.46,575557,0
20190108,1.5,1.63,1.46,1.535,284061,0
20190109,1.6,1.65,1.48,1.5005,266292,0
20190110,1.5,1.5525,1.4,1.41,180416,0
20190111,1.44,1.4429,1.36,1.3789,104861,0
20190114,1.38,1.45,1.31,1.36,124904,0
20190115,1.37,1.4248,1.3,1.3467,107880,0
20190116,1.35,1.37,1.3,1.32,57402,0
20190117,1.32,1.336,1.2,1.29,175919,0
20190118,1.3,1.38,1.25,1.2691,121913,0
20190122,1.26,1.3,1.2,1.21,82829,0
20190123,1.18,1.2973,1.18,1.2715,34478,0
20190124,1.27,1.34,1.2301,1.2919,69432,0
20190125,1.29,1.32,1.22,1.2775,56845,0
20190128,1.28,1.35,1.21,1.2306,70706,0
20190129,1.28,1.53,1.26,1.37,277221,0
20190130,1.35,1.44,1.3295,1.35,129484,0
20190131,1.34,1.37,1.31,1.32,29520,0
20190201,1.33,1.33,1.28,1.3085,118256,0
20190204,1.3,1.4,1.2612,1.2799,154777,0
20190205,1.32,1.3304,1.22,1.2391,131215,0
20190206,1.24,1.2799,1.1768,1.21,153580,0
20190207,1.2,1.2352,1.18,1.23,138056,0
20190208,1.23,1.23,1.1915,1.22,57966,0
20190211,1.25,1.3,1.21,1.2477,99388,0
20190212,1.34,1.39,1.27,1.35,133503,0
20190213,1.68,4.43,1.6,4.33,40126623,0
20190214,5.67,6.74,4.57,4.81,50323312,0
20190215,4.67,5,4.2301,4.39,10549502,0
20190219,4.5,5.15,4.4,4.61,8039833,0
20190220,4.47,4.58,4.03,4.21,4612214,0
20190221,4.06,4.43,4.05,4.15,3199704,0
20190222,4.08,4.1679,3.72,3.77,2573455,0
20190225,4.04,4.22,3.8,3.89,2624982,0
20190226,3.99,4.88,3.9121,4.14,11531082,0
20190227,4.2,4.55,4.2,4.32,2672131,0
20190228,4.3,4.3009,4.03,4.12,1049761,0
20190301,4.15,4.36,4.01,4.17,1055697,0
20190304,4.2,4.25,3.87,3.99,1126562,0
20190305,3.95,4,3.85,3.98,516622,0
20190306,3.9,3.9,3.76,3.85,572149,0
20190307,3.87,3.9,3.65,3.81,512074,0
20190308,3.72,3.78,3.65,3.75,331099,0
20190311,3.75,3.94,3.6,3.84,539564,0
20190312,3.8,3.9,3.72,3.84,249312,0
20190313,3.79,3.85,3.6,3.71,504439,0
20190314,3.68,3.7,3.33,3.37,845546,0
20190315,3.36,3.4899,3.33,3.33,213994,0
20190318,3.37,3.41,3.2,3.23,299889,0
20190319,3.24,3.55,3.12,3.42,648013,0
20190320,3.86,4.75,3.65,4.26,20463146,0
20190321,4.45,5.13,4.3,4.89,12369900,0
20190322,4.84,5.15,4.4,4.46,3960912,0
20190325,4.01,4.08,3.75,3.88,2965682,0
20190326,3.93,4.015,3.69,3.74,1116642,0
20190327,3.65,3.8,3.6,3.66,916586,0
20190328,3.69,3.8,3.5,3.57,874082,0
20190329,3.62,3.6426,3.46,3.56,797403,0
20190401,3.63,3.93,3.6,3.64,1335023,0
20190402,3.66,3.82,3.65,3.77,904309,0
20190403,3.82,3.9,3.53,3.72,753087,0
20190404,3.74,3.74,3.52,3.6,703770,0
20190405,3.64,3.64,3.5,3.54,459171,0
20190408,3.52,3.52,3.36,3.45,732254,0
20190409,3.42,3.47,3.35,3.4,441686,0
20190410,3.46,3.52,3.25,3.31,955781,0
20190411,3.25,3.35,3.25,3.33,373949,0
20190412,3.35,3.45,3.3,3.41,520453,0
20190415,3.42,3.45,3.3,3.35,267963,0
20190416,3.38,3.39,3.22,3.33,389401,0
20190417,3.32,3.57,3.27,3.42,765663,0
20190418,3.43,3.4699,3.35,3.42,158560,0
20190422,3.32,3.42,3.25,3.35,275813,0
20190423,3.35,3.41,3.35,3.36,212734,0
20190424,3.41,3.4161,3.3,3.38,201793,0
20190425,3.37,3.3894,3.28,3.29,262238,0
20190426,3.28,3.32,3.24,3.25,309211,0
20190429,3.33,3.44,3.27,3.36,705692,0
20190430,3.4,3.4,3.26,3.27,241592,0
20190501,3.31,3.31,3.22,3.24,228577,0
20190502,3.25,3.25,3.14,3.18,267855,0
20190503,3.16,3.28,3.15,3.27,197421,0
20190506,3.23,3.34,3.16,3.24,640672,0
20190507,3.22,3.2556,3.14,3.17,263592,0
20190508,3.11,3.1433,2.83,3.07,855568,0
20190509,3.05,3.0724,2.9376,2.96,144714,0
20190510,2.94,3.09,2.85,3.05,381296,0
20190513,2.91,2.98,2.82,2.87,319857,0
20190514,2.85,2.87,2.78,2.78,187146,0
20190515,2.78,2.85,2.78,2.84,134642,0
20190516,2.84,2.85,2.75,2.75,153412,0
20190517,2.75,2.76,2.53,2.61,451179,0
20190520,2.6,2.63,2.5,2.62,170345,0
20190521,2.63,2.64,2.54,2.61,253946,0
20190522,2.57,2.6,2.53,2.56,177622,0
20190523,2.54,2.5436,2.43,2.44,193294,0
20190524,2.5,2.54,2.43,2.53,108725,0
20190528,2.53,2.84,2.5109,2.8,318848,0
20190529,2.75,2.83,2.6,2.8,194493,0
20190530,2.82,2.85,2.62,2.65,120574,0
20190531,2.63,2.7,2.52,2.58,116994,0
20190603,2.6,2.6,2.41,2.47,252244,0
20190604,2.53,2.59,2.4724,2.54,111828,0
20190605,2.55,2.6,2.48,2.58,97004,0
20190606,2.58,2.64,2.53,2.56,146947,0
20190607,2.56,2.75,2.5396,2.67,242559,0
20190610,2.69,2.7,2.57,2.58,61048,0
20190611,2.6,2.6,2.5,2.51,60497,0
20190612,2.51,2.6,2.5,2.56,47609,0
20190613,2.6,2.64,2.58,2.64,53419,0
20190614,2.59,2.62,2.51,2.54,58446,0
20190617,2.57,2.66,2.5202,2.57,111326,0
20190618,2.57,2.76,2.57,2.65,232836,0
20190619,2.71,2.85,2.67,2.82,236186,0
20190620,2.8,2.8,2.65,2.71,281464,0
20190621,2.82,2.82,2.65,2.7,127502,0
20190624,2.7,2.8,2.56,2.67,233679,0
20190625,2.7,2.7166,2.61,2.6364,125916,0
20190626,2.62,2.637,2.535,2.56,100185,0
20190627,2.54,2.58,2.5002,2.52,93015,0
20190628,2.55,2.5814,2.44,2.5,168133,0
20190701,2.5,2.54,2.4,2.4,168146,0
20190702,2.41,2.418,2.3,2.35,94400,0
20190703,2.32,2.43,2.31,2.3823,117322,0
20190705,2.32,2.43,2.32,2.36,126874,0
20190708,2.32,2.3899,2.31,2.3499,96534,0
20190709,2.54,3.25,2.49,3.14,8670936,0
20190710,3,3.09,2.81,2.93,1602119,0
20190711,2.96,3,2.7906,2.86,852569,0
20190712,2.91,2.99,2.75,2.84,767709,0
20190715,2.75,2.86,2.75,2.82,325157,0
20190716,2.97,2.97,2.67,2.77,463983,0
20190717,2.75,2.7941,2.69,2.74,148006,0
20190718,2.7,2.76,2.7,2.74,87829,0
20190719,2.74,2.95,2.7316,2.88,522194,0
20190722,2.9,2.95,2.81,2.85,181365,0
20190723,2.85,2.88,2.77,2.85,134394,0
20190724,2.81,2.84,2.76,2.81,110667,0
20190725,2.8,2.85,2.77,2.82,115331,0
20190726,2.85,2.87,2.7767,2.8218,138516,0
20190729,2.83,3.1,2.82,2.98,847230,0
20190730,2.92,2.99,2.835,2.9,219458,0
20190731,2.9,2.95,2.82,2.83,169779,0
20190801,2.82,2.8445,2.73,2.73,193090,0
20190802,2.7,2.79,2.6,2.61,235646,0
20190805,2.61,2.69,2.5,2.5,201044,0
20190806,2.54,2.58,2.45,2.54,177122,0
20190807,2.51,2.53,2.44,2.5,120720,0
20190808,2.5,2.53,2.46,2.53,79739,0
20190809,2.55,2.56,2.43,2.51,113007,0
20190812,2.52,2.52,2.41,2.45,105019,0
20190813,2.43,2.49,2.38,2.4,151703,0
20190814,2.49,2.49,2.11,2.22,406766,0
20190815,2.23,2.23,2.12,2.17,125398,0
20190816,2.21,2.31,2.19,2.21,92051,0
20190819,2.26,2.305,2.15,2.22,76904,0
20190820,2.22,2.25,2.18,2.21,75979,0
20190821,2.24,2.41,2.22,2.37,152632,0
20190822,2.35,2.45,2.31,2.36,102116,0
20190823,2.38,2.6,2.37,2.46,307249,0
20190826,2.47,2.5,2.39,2.425,69901,0
20190827,2.41,2.459,2.36,2.39,128084,0
20190828,2.36,2.44,2.36,2.4,62068,0
20190829,2.46,2.48,2.4,2.45,68196,0
20190830,2.45,2.49,2.4,2.41,76823,0
20190903,2.38,2.44,2.36,2.39,61085,0
20190904,2.43,2.44,2.32,2.42,98976,0
20190905,2.43,2.44,2.32,2.36,91672,0
20190906,2.36,2.47,2.36,2.41,118663,0
20190909,2.36,2.55,2.36,2.49,198348,0
20190910,2.51,2.54,2.3702,2.44,269212,0
20190911,2.43,2.49,2.36,2.4282,189242,0
20190912,2.38,2.449,2.32,2.37,145712,0
20190913,2.37,2.39,2.33,2.36,67257,0
20190916,2.34,2.4,2.33,2.39,75482,0
20190917,2.38,2.4,2.34,2.36,43347,0
20190918,2.36,2.49,2.32,2.41,397473,0
20190919,2.4,2.49,2.36,2.433,188760,0
20190920,2.48,2.6,2.42,2.47,520062,0
20190923,2.47,2.55,2.34,2.35,164540,0
20190924,2.37,2.39,2.22,2.305,280636,0
20190925,2.3,2.3,2.2201,2.26,102672,0
20190926,2.26,2.3,2.23,2.23,92656,0
20190927,2.25,2.3,2.15,2.1631,100083,0
20190930,2.18,2.23,2.01,2.0356,166851,0
20191001,2.01,2.05,1.82,1.88,314211,0
20191002,1.84,1.84,1.6,1.76,194290,0
20191003,1.75,1.84,1.65,1.78,140702,0
20191004,1.77,1.8,1.7,1.79,175248,0
20191007,1.8,1.85,1.75,1.8,101912,0
20191008,1.86,1.86,1.76,1.76,111961,0
20191009,1.8,1.8178,1.75,1.77,42420,0
20191010,1.78,1.83,1.7,1.73,118625,0
20191011,1.74,1.748,1.66,1.71,73490,0
20191014,1.7,1.76,1.66,1.68,79356,0
20191015,1.71,1.81,1.66,1.81,204765,0
20191016,1.82,1.87,1.78,1.78,117711,0
20191017,2,2.1,1.75,1.82,311138,0
20191018,1.88,1.9017,1.8,1.89,135711,0
20191021,1.95,1.95,1.85,1.88,72573,0
20191022,1.8919,1.97,1.87,1.96,146351,0
20191023,1.96,1.98,1.92,1.92,69755,0
20191024,1.97,1.97,1.9,1.93,52888,0
20191025,1.91,1.9761,1.91,1.92,91475,0
20191028,1.9626,1.97,1.92,1.95,128581,0
20191029,1.96,1.97,1.92,1.93,72601,0
20191030,1.94,1.94,1.89,1.91,57494,0
20191031,1.88,1.94,1.88,1.9,50938,0
20191101,1.9,1.96,1.9,1.94,77092,0
20191104,1.94,1.94,1.89,1.9,128083,0
20191105,1.92,2.25,1.88,2.1996,740316,0
20191106,2.25,2.25,2.07,2.11,187399,0
20191107,2.15,2.15,1.98,2.05,333945,0
20191108,2.03,2.105,1.97,2.07,143178,0
20191111,2.01,2.08,1.98,2,119112,0
20191112,1.98,2.15,1.98,2.1309,254924,0
20191113,2.13,2.15,1.99,2.01,199758,0
20191114,2,2.06,1.99,2.01,80845,0
20191115,2.02,2.02,1.9498,1.98,152594,0
20191118,2,2,1.92,1.9719,75087,0
20191119,1.98,2,1.91,1.96,102986,0
20191120,1.96,2,1.85,1.91,196987,0
20191121,1.89,1.9263,1.73,1.89,305987,0
20191122,1.88,1.88,1.76,1.82,132949,0
20191125,1.79,1.895,1.76,1.88,350468,0
20191126,1.88,1.94,1.78,1.79,284884,0
20191127,1.8,1.85,1.75,1.78,146971,0
20191129,1.78,1.83,1.75,1.79,28706,0
20191202,1.82,1.8246,1.75,1.77,127731,0
20191203,1.75,1.82,1.74,1.8,120407,0
20191204,1.8,1.88,1.78,1.86,203765,0
20191205,1.87,1.92,1.81,1.85,113322,0
20191206,1.85,1.95,1.85,1.91,215693,0
20191209,2,2.2,1.995,2.17,1370304,0
20191210,2.29,2.58,2.24,2.44,1546975,0
20191211,2.69,2.73,2.45,2.51,1999255,0
20191212,2.53,2.53,2.1505,2.28,826331,0
20191213,2.33,2.34,2.2116,2.26,216536,0
20191216,2.22,2.26,2.0544,2.08,523748,0
20191217,2.05,2.12,2.03,2.06,259929,0
20191218,2.07,2.1,2.05,2.07,205229,0
20191219,2.12,2.28,2.06,2.26,524823,0
20191220,2.32,2.33,2.11,2.256,368631,0
20191223,2.21,2.238,2.1028,2.18,263550,0
20191224,2.21,2.21,2.11,2.12,104750,0
20191226,2.1,2.13,2.04,2.1,293611,0
20191227,2.07,2.14,2.04,2.14,301255,0
20191230,2.1,2.65,2.08,2.28,1512486,0
20191231,2.31,2.4,2.13,2.15,452515,0
20200102,2.19,2.265,2.15,2.23,143514,0
20200103,2.18,2.23,2.18,2.19,172302,0
20200106,2.2,2.24,2.18,2.19,122691,0
20200107,2.19,2.22,2.15,2.22,140916,0
20200108,2.19,2.3,2.16,2.26,867470,0
20200109,2.25,2.2576,2.15,2.18,236733,0
20200110,2.17,2.22,2.16,2.17,180561,0
20200113,2.18,2.239,2.12,2.21,283461,0
20200114,2.25,2.29,2.18,2.22,218091,0
20200115,2.19,2.25,2.175,2.19,224334,0
20200116,2.23,2.58,2.18,2.41,1580304,0
20200117,2.35,2.4175,2.23,2.3,456001,0
20200121,2.39,2.45,2.3,2.32,567909,0
20200122,2.39,2.45,2.28,2.31,511037,0
20200123,2.28,2.37,2.2618,2.28,282392,0
