Date,Open,High,Low,Close,Volume,OpenInt
20180926,18.75,20,16.57,17.24,18628180,0
20180927,18.14,18.4,16,16.12,4079106,0
20180928,16,16.46,15.2,16.03,2140018,0
20181001,16.27,16.4,15.45,15.7,1507218,0
20181002,15.14,15.22,14.25,14.29,3740552,0
20181003,14.5,15.25,14.22,14.74,1431442,0
20181004,14.56,14.65,13.2,13.48,1720185,0
20181005,13.42,13.9,13.3028,13.83,801010,0
20181008,13.8,14.39,13.2,14.21,1383127,0
20181009,14.07,14.07,12.6401,12.85,1181523,0
20181010,12.79,12.9001,11.37,11.935,1613367,0
20181011,11.61,12.58,11.61,12.47,1118436,0
20181012,12.62,12.95,12.29,12.89,765717,0
20181015,12.88,13,12.24,12.82,362261,0
20181016,12.87,13.17,12.6,13.06,332806,0
20181017,13.03,13.59,12.71,13.49,386952,0
20181018,13.47,13.99,13.39,13.75,389301,0
20181019,13.75,13.9294,12.65,13.02,394517,0
20181022,12.96,13.03,11.31,11.63,629394,0
20181023,11.48,11.494,10.72,11.07,417288,0
20181024,11.03,11.12,10.8,10.99,315179,0
20181025,11,11.47,10.76,11.45,399439,0
20181026,11.25,11.91,11.015,11.39,368119,0
20181029,11.46,11.76,10.08,10.34,327263,0
20181030,10.31,10.56,10.05,10.3,289573,0
20181031,10.38,10.79,10.24,10.71,473763,0
20181101,10.77,11.33,10.48,11.28,209067,0
20181102,11.26,11.7,11.25,11.57,161942,0
20181105,11.6,11.6,10.88,11.23,132220,0
20181106,11.2,11.38,11.0902,11.25,80121,0
20181107,11.29,11.95,11.25,11.9,387836,0
20181108,12,12,11.32,11.43,324118,0
20181109,11.26,11.3743,10.545,10.77,407662,0
20181112,11.34,11.9,10.62,11.5,755345,0
20181113,11.49,11.88,11.0768,11.29,714545,0
20181114,11.95,13.45,11,12.77,1262165,0
20181115,13.15,13.7,12.8,13.21,1192687,0
20181116,12.37,14.27,12.37,14.15,1496253,0
20181119,14.1,14.1,12.25,12.99,971002,0
20181120,12.25,13.1,12.24,13.05,637152,0
20181121,12.8,13.3,12.27,12.8,484470,0
20181123,12.58,13.45,12.505,13,167597,0
20181126,13.15,13.47,12.79,13.32,230741,0
20181127,13.21,13.54,13.03,13.31,147527,0
20181128,13.44,14.1,13.4229,14.01,408607,0
20181129,14.1,14.93,13.81,14.54,776930,0
20181130,14.54,15.24,13.23,14.28,1480675,0
20181203,14.38,14.75,14.04,14.34,420495,0
20181204,14.2,14.54,13.92,14.22,394619,0
20181206,13.61,14.25,13.21,13.89,549088,0
20181207,13.9,14.25,13.4,13.51,490236,0
20181210,13.43,13.89,13.08,13.21,469887,0
20181211,13.42,13.8,12.8319,12.94,470126,0
20181212,13.15,13.268,12.86,13.04,325771,0
20181213,13.04,13.44,12.82,12.94,234499,0
20181214,12.75,13.03,12.38,12.45,347157,0
20181217,12.37,12.37,10.78,10.97,1305338,0
20181218,11.08,11.47,10.992,11.01,472256,0
20181219,11.06,11.71,10.71,11.05,543350,0
20181220,10.94,11.14,10.56,11.03,539256,0
20181221,11.09,11.37,10.715,10.98,2919860,0
20181224,10.72,11.35,10.55,10.85,326406,0
20181226,10.8,11.35,10.345,11.34,415392,0
20181227,11.24,11.24,10.6,11.19,329744,0
20181228,11.18,11.45,11.01,11.22,321314,0
20181231,11.19,12.31,11.16,12.27,864438,0
20190102,12.06,12.38,11.7,11.91,468067,0
