Date,Open,High,Low,Close,Volume,OpenInt
20050225,7.1412,7.5617,6.8973,7.5617,829121,0
20050228,7.7048,8.3106,5.3833,6.1823,5866373,0
20050301,5.9383,6.5355,5.888,6.4345,1304431,0
20050302,6.4431,6.7121,6.3673,6.4768,922922,0
20050303,6.4768,6.5355,6.1823,6.2664,763021,0
20050304,6.2329,6.3841,5.8965,6.0141,1487281,0
20050307,6.0141,6.0141,5.4842,5.644,1878895,0
20050308,5.6019,5.9635,5.6019,5.7953,814141,0
20050309,5.829,6.2664,5.8123,6.0309,1135730,0
20050310,6.1235,6.1235,5.1309,5.2907,1940239,0
20050311,5.2318,5.5935,4.9628,5.501,1337602,0
20050314,5.5093,5.5935,5.2149,5.3076,503249,0
20050315,5.4253,5.4588,4.9375,4.9962,1433780,0
20050316,4.9205,5.1225,4.4581,5.0973,1531506,0
20050317,5.1394,5.4506,5.1394,5.4506,1191608,0
20050318,5.543,5.7618,5.4674,5.7618,817230,0
20050321,5.8037,5.9467,5.6355,5.6524,1107198,0
20050322,5.6019,5.8037,5.5935,5.6104,426687,0
20050323,5.5935,5.5935,5.1984,5.3243,810694,0
20050324,5.257,5.4421,5.1394,5.257,386027,0
20050328,5.257,5.3664,5.1645,5.1645,216849,0
20050329,5.1729,5.3411,5.0383,5.0383,472577,0
20050330,4.9795,5.0383,4.6598,5.0133,1120871,0
20050331,5.03,5.501,5.03,5.3916,820440,0
20050401,5.6019,5.6524,5.4338,5.5683,512286,0
20050404,5.5683,5.5935,5.4253,5.4421,394827,0
20050405,5.3833,5.3833,5.1729,5.2907,500277,0
20050406,5.2403,5.56,5.2066,5.4506,431323,0
20050407,5.501,5.5515,5.2907,5.3411,312672,0
20050408,5.3411,5.3664,5.1729,5.2149,347627,0
20050411,5.1729,5.1729,4.9375,5.0551,631766,0
20050412,5.0805,5.0805,4.8282,4.845,520013,0
20050413,4.8029,4.887,4.6178,4.7692,767537,0
20050414,4.7187,4.8364,4.6347,4.6682,453081,0
20050415,4.5841,4.6262,4.4161,4.5421,559127,0
20050418,4.5758,4.5758,3.9954,4.0795,1186496,0
20050419,4.0543,4.4328,4.0543,4.4161,647458,0
20050420,4.4749,4.7271,4.2728,4.3233,866808,0
20050421,4.2057,4.4581,4.2057,4.4413,505747,0
20050422,4.7104,4.9541,4.7104,4.8112,941468,0
20050425,4.8282,5.1225,4.8282,4.9962,1074386,0
20050426,4.988,5.1645,4.9628,5.1309,825316,0
20050427,5.1729,5.257,4.7943,4.845,987716,0
20050428,4.5925,4.6935,4.5421,4.5758,531544,0
20050429,4.5841,4.7104,4.2057,4.3571,762661,0
20050502,4.3233,4.6178,4.3066,4.6008,440003,0
20050503,4.6094,4.6094,4.2561,4.3233,447848,0
20050504,4.3319,4.3655,4.1721,4.3233,471270,0
20050505,4.3484,4.4581,4.2561,4.2898,248237,0
20050506,4.3066,4.3655,4.2898,4.3319,268565,0
20050509,4.3066,4.5841,4.3066,4.5589,393042,0
20050510,4.5841,4.8112,4.5673,4.6262,329436,0
20050511,4.5841,4.6431,4.4161,4.4581,213996,0
20050512,4.3822,4.4413,4.0376,4.2141,593011,0
20050513,4.2057,4.2898,4.1215,4.1382,267850,0
20050516,4.0795,4.0795,3.7009,3.8525,873346,0
20050517,3.8607,4.029,3.8272,4.0037,330863,0
20050518,4.0037,4.1298,3.7515,3.8018,514900,0
20050519,3.8525,3.9618,3.7768,3.7768,206863,0
20050520,3.7768,3.8692,3.659,3.7598,347387,0
20050523,3.7768,3.8525,3.5496,3.6504,376279,0
20050524,3.6253,3.7768,3.6083,3.7262,424427,0
20050525,3.7684,3.886,3.7179,3.8356,399461,0
20050526,3.8356,4.2057,3.8356,4.1889,548665,0
20050527,4.3319,4.5169,4.2898,4.4496,441428,0
20050531,4.5169,4.5841,4.2645,4.2898,389594,0
20050601,4.3319,4.5421,4.3319,4.5252,248237,0
20050602,4.5086,4.6262,4.4581,4.4832,361891,0
20050603,4.5086,4.702,4.5086,4.6768,284379,0
20050606,4.8785,5.0805,4.8364,5.0634,602640,0
20050607,5.1309,5.1564,4.7104,4.7104,626655,0
20050608,4.7104,5.0133,4.6516,4.8785,442736,0
20050609,4.9628,5.1394,4.8785,5.1141,522984,0
20050610,5.1309,5.3664,5.1309,5.333,696679,0
20050613,5.3916,5.4674,5.3411,5.4338,580052,0
20050614,5.4842,5.5093,5.1309,5.2823,631054,0
20050615,5.3076,5.4674,5.3076,5.417,317787,0
20050616,5.4506,5.4674,5.3916,5.4253,305540,0
20050617,5.5093,5.5935,5.4674,5.5935,602640,0
20050620,5.7534,5.9299,5.703,5.8542,729372,0
20050621,5.8626,5.888,5.7534,5.7953,509669,0
20050622,5.7953,5.8207,5.7365,5.8037,399226,0
20050623,5.8037,5.9383,5.8037,5.8542,502178,0
20050624,5.8207,5.9216,5.7195,5.8123,310771,0
20050627,5.8123,6.1823,5.8123,6.0815,973687,0
20050628,6.0897,6.1488,5.4674,5.5263,1580726,0
20050629,5.5515,5.5515,5.2235,5.4842,847071,0
20050630,5.4,5.6104,5.4,5.56,306728,0
20050701,5.56,5.6776,5.4506,5.6104,217683,0
20050705,5.6776,5.8965,5.6355,5.8542,541532,0
20050706,5.8626,6.0141,5.7365,5.8626,526315,0
20050707,5.7702,5.9554,5.6524,5.9299,458192,0
20050708,5.9299,5.972,5.787,5.8375,289847,0
20050711,5.787,5.8965,5.7195,5.7618,436913,0
20050712,5.787,5.9554,5.787,5.8542,701794,0
20050713,5.8797,5.9047,5.6861,5.6861,528573,0
20050714,5.6944,5.7449,5.4926,5.5263,542837,0
20050715,5.4674,5.5348,5.4253,5.4757,343464,0
20050718,5.4842,5.4842,5.1984,5.3243,526432,0
20050719,5.3748,5.3748,5.2485,5.2823,378895,0
20050720,5.3411,5.4506,5.1984,5.3411,387811,0
20050721,5.3076,5.3833,5.257,5.2991,375210,0
20050722,5.257,5.3159,5.1476,5.2235,421695,0
20050725,5.1984,5.2149,4.9205,5.0973,984267,0
20050726,5.0889,5.1309,5.0047,5.1309,322660,0
20050727,5.0889,5.2485,5.0889,5.2235,315289,0
20050728,5.2403,5.4,5.2403,5.3916,385669,0
20050729,5.5093,5.8458,5.4757,5.6776,1108506,0
20050801,5.8037,5.829,5.6273,5.7195,615360,0
20050802,5.7195,5.7282,5.2823,5.4421,1033725,0
20050803,5.4506,5.5178,5.2991,5.3833,536776,0
20050804,5.4,5.4421,5.3076,5.3243,343108,0
20050805,5.2907,5.3496,5.1476,5.2485,354879,0
20050808,5.2823,5.56,5.2318,5.4085,449629,0
20050809,5.4253,5.4842,5.3411,5.3496,279505,0
20050810,5.3664,5.3748,5.2149,5.3581,572205,0
20050811,5.3916,5.4842,5.3581,5.4588,418601,0
20050812,5.4506,5.6524,5.4338,5.4926,351193,0
20050815,5.501,5.543,5.3411,5.3581,203060,0
20050816,5.3411,5.3496,5.1729,5.1729,300905,0
20050817,5.0889,5.1898,4.9712,5.0216,865381,0
20050818,5.03,5.03,4.9205,4.988,359754,0
20050819,5.0047,5.2235,4.9795,5.1984,328485,0
20050822,5.3243,5.417,5.2739,5.3833,395656,0
20050823,5.4421,5.4926,5.1813,5.2739,295911,0
20050824,5.257,5.4674,5.1813,5.4674,380796,0
20050825,5.4926,5.5935,5.2403,5.257,670642,0
20050826,5.2318,5.333,5.0889,5.1225,422763,0
20050829,5.333,5.417,5.1898,5.2739,418364,0
20050830,5.3159,5.3916,5.1729,5.257,296387,0
20050831,5.2739,5.2991,5.1898,5.2403,444757,0
20050901,5.2403,5.4338,5.2403,5.4085,598480,0
20050902,5.4253,5.5093,5.2654,5.3076,402434,0
20050906,5.257,5.2991,5.1309,5.2066,440954,0
20050907,5.1813,5.2654,5.1141,5.1645,305064,0
20050908,5.1729,5.2066,5.072,5.0973,238607,0
20050909,5.0889,5.2235,5.0634,5.1645,293057,0
20050912,5.1476,5.1984,5.0047,5.072,782160,0
20050913,5.1309,5.1476,5.0634,5.0805,241341,0
20050914,5.1225,5.1984,5.072,5.0973,349765,0
20050915,5.1225,5.1225,4.9541,5.0216,351669,0
20050916,4.9962,5.0216,4.9459,4.9962,494214,0
20050919,5.0889,5.2907,5.0133,5.2823,569946,0
20050920,5.2823,5.4,5.2739,5.3581,500635,0
20050921,5.6776,5.8458,5.3916,5.6524,894034,0
20050922,5.7449,5.7449,5.257,5.4253,687762,0
20050923,5.4588,5.4674,5.1309,5.2991,397203,0
20050926,5.3076,5.4338,5.2149,5.4253,324088,0
20050927,5.4421,5.4421,5.2739,5.3833,237894,0
20050928,5.3916,5.3916,5.2654,5.3411,299357,0
20050929,5.2991,5.4674,5.2991,5.3411,444878,0
20050930,5.3243,5.3411,5.2654,5.2907,216970,0
