Date,Open,High,Low,Close,Volume,OpenInt
20050225,24.12,24.309,24.103,24.309,17162,0
20050228,24.163,24.302,24.059,24.302,18180,0
20050301,24.127,24.264,24.08,24.264,16280,0
20050302,24.157,24.302,24.02,24.112,25212,0
20050303,24.234,24.234,23.931,23.982,10190,0
20050304,24.302,24.318,23.944,24.309,9838,0
20050307,24.02,24.264,23.931,24.013,15596,0
20050308,23.988,24.005,23.656,23.656,22718,0
20050309,23.624,23.785,23.019,23.549,100663,0
20050310,23.815,23.868,23.39,23.39,6491,0
20050311,23.656,23.725,23.344,23.565,28318,0
20050314,23.261,23.692,23.094,23.223,34969,0
20050315,23.17,23.336,22.942,22.942,12086,0
20050316,22.942,23.17,22.942,22.977,15450,0
20050317,23.223,23.39,23.019,23.184,35170,0
20050318,23.738,23.738,22.986,23.019,79212,0
20050321,23.285,23.382,23.019,23.193,17054,0
20050322,23.019,23.519,22.977,23.032,8372,0
20050323,22.977,23.123,22.895,22.895,19890,0
20050324,23.236,23.236,22.934,22.934,9863,0
20050328,22.851,23.101,22.851,23.101,14316,0
20050329,22.986,23.094,22.902,22.977,11593,0
20050330,23.2,23.2,22.851,23.131,14905,0
20050331,23.123,23.123,21.648,22.446,62580,0
20050401,22.6,23.019,21.142,21.277,58863,0
20050404,21.551,22.005,21.215,21.74,32093,0
20050405,21.947,22.69,21.931,22.297,70574,0
20050406,22.325,22.585,22.107,22.316,8317,0
20050407,22.098,22.721,22.039,22.463,10555,0
20050408,22.41,22.568,21.194,21.225,15076,0
20050411,21.437,21.437,19.94,19.94,60393,0
20050412,19.802,20.808,19.789,20.397,80563,0
20050413,20.692,20.692,20.054,20.36,57934,0
20050414,20.153,20.808,20.054,20.054,26084,0
20050415,20.054,20.2,18.991,19.287,30500,0
20050418,19.183,20.2,19.183,19.844,61385,0
20050419,20.161,20.2,19.751,20.038,68239,0
20050420,19.871,20.018,19.41,19.41,32426,0
20050421,19.782,20.625,19.477,20.221,31076,0
20050422,20.13,20.457,19.553,19.592,34709,0
20050425,19.887,19.896,19.599,19.794,19172,0
20050426,19.599,19.905,19.599,19.743,44325,0
20050427,19.668,20.183,19.183,19.964,42451,0
20050428,19.811,20.115,19.743,19.751,24433,0
20050429,19.971,20.261,19.751,20.221,35226,0
20050502,20.282,20.472,20.13,20.367,92590,0
20050503,20.207,20.632,20.207,20.632,34486,0
20050504,20.663,20.67,20.337,20.67,16839,0
20050505,20.776,20.836,20.276,20.565,11010,0
20050506,20.35,21.027,20.35,20.982,11011,0
20050509,20.99,21.811,20.89,21.74,29477,0
20050510,21.566,21.893,21.073,21.073,33672,0
20050511,21.338,21.414,20.935,20.935,26366,0
20050512,21.142,21.256,20.557,20.601,17404,0
20050513,20.511,20.579,20.115,20.2,14987,0
20050516,20.268,21.005,20.268,20.844,42475,0
20050517,21.019,21.125,20.761,20.973,19931,0
20050518,21.256,21.338,20.996,21.338,30005,0
20050519,21.308,21.385,20.511,20.588,14744,0
20050520,20.782,20.99,20.639,20.679,6544,0
20050523,20.608,20.868,20.511,20.511,21591,0
20050524,20.625,20.656,20.519,20.548,121637,0
20050525,20.548,20.594,20.511,20.594,34445,0
20050526,20.594,20.844,20.548,20.706,4693,0
20050527,20.625,21.027,20.579,20.996,23374,0
20050531,21.05,21.149,20.588,20.588,40691,0
20050601,20.706,21.118,20.608,21.027,32480,0
20050602,21.118,21.118,20.588,20.706,20252,0
20050603,20.663,20.749,20.565,20.715,70534,0
