Date,Open,High,Low,Close,Volume,OpenInt
20190912,54,58,51,52.75,7326286,0
20190913,52.75,54.355,49.15,52.27,1025218,0
20190916,52.45,56,52.01,55.2,269867,0
20190917,56.21,60.9,55.4227,56.78,602753,0
20190918,56.85,62.27,55.65,62,1590198,0
20190919,62.81,63.3752,61.03,61.12,425182,0
20190920,61.71,62.42,59.82,60.5,392018,0
20190923,60.22,61.485,59.94,60.33,137223,0
20190924,61,61,54,54.3,713785,0
20190925,54.46,55.88,52.5627,52.76,261234,0
20190926,52.78,53.69,46.62,49.99,596379,0
20190927,51.13,55,50.7,51.03,621292,0
20190930,51.05,52,49.25,50.4,168913,0
20191001,50.51,51.92,46,47.03,536295,0
20191002,46.78,47.23,45.11,46.07,519610,0
20191003,46.77,48.24,45.75,48.12,703884,0
20191004,48,53.34,47.82,51.45,322434,0
20191007,52.1,53.22,49.03,50.36,476614,0
20191008,50,51.27,49,49.55,285066,0
20191009,49.63,51.525,49.575,50.01,201132,0
20191010,50.55,50.55,48.1001,48.44,222083,0
20191011,48.41,50.22,48.12,49.3,135709,0
20191014,49.31,51.2199,49,50.26,83555,0
20191015,50.5,51.65,48.51,48.66,157427,0
20191016,48.54,51.75,48.5026,51.13,139458,0
20191017,51.08,52.32,50.11,51.89,130965,0
20191018,51.61,54.23,51.32,52.5,169970,0
20191021,52.49,56.5,52.1456,53.36,161613,0
20191022,53.35,56,52.9787,54.63,130965,0
20191023,54.99,58.96,54.65,58.63,188393,0
20191024,58.63,59.1,54.88,56.82,91063,0
20191025,57.44,58.8996,51.49,52.5,127685,0
20191028,52.78,56.55,52.78,56.05,115829,0
20191029,55.97,56,54.5,54.76,55169,0
20191030,55.33,58.99,55.12,57.7,173324,0
20191031,58.44,59.0835,56.8417,58,83361,0
20191101,58.49,58.5999,56.955,58.25,139931,0
20191104,58.66,60.67,57.3,57.83,151560,0
20191105,57.84,58.72,55.2,55.33,72311,0
20191106,55.58,57.7008,53.85,54.06,118346,0
20191107,55.93,55.97,52.03,55.28,170198,0
20191108,54.74,56.01,51.155,55.72,481395,0
20191111,55.88,61.28,55.88,60.3,312601,0
20191112,60.4,61.09,58.21,59.65,133722,0
20191113,59.31,61.1756,59.2452,60.95,113540,0
20191114,60.62,64.61,59,63.5,356627,0
20191115,63.7,68.185,63,67.85,135341,0
20191118,67.85,68.3638,60.51,61.34,344380,0
20191119,61.85,65,61.85,64.41,275360,0
20191120,63.89,65.88,62.2001,63.55,91540,0
20191121,64.08,64.25,61.04,61.81,99026,0
20191122,61.99,64.38,61.99,63.86,115711,0
20191125,64.16,67.49,64.16,66,212531,0
20191126,66,67.4355,64.04,64.04,168583,0
20191127,64.24,65,62.32,62.55,100686,0
20191129,62.67,65.47,62.53,64.89,39809,0
20191202,65.94,65.95,63.56,64.75,69177,0
20191203,63.91,65.49,63.7344,64.96,58424,0
20191204,65.3,65.5903,63.31,63.55,91213,0
20191205,63.67,63.82,60.05,62.61,158366,0
20191206,62.69,63.9,61.51,63.41,131800,0
20191209,63.81,65.35,62.92,63.2,178670,0
20191210,63.25,66.99,62.63,65.95,254619,0
20191211,66.55,67.069,62.95,65.16,252920,0
20191212,64.7,66.0716,61,61.54,181013,0
20191213,62.05,63.21,60.61,60.97,113106,0
20191216,61.25,62.92,61.03,61.99,203450,0
20191217,62.36,62.67,61.39,62.02,178852,0
20191218,62.04,71.98,61.585,69.71,365094,0
20191219,69.56,69.56,56.47,61.73,785670,0
20191220,64.61,74.961,63.2201,73.82,1224281,0
20191223,74,88.98,72.2213,79.54,970068,0
20191224,78.66,80.98,78.03,79.44,107274,0
20191226,79.51,81.96,74.26,74.45,188706,0
20191227,74.94,80.65,74.94,78.15,322681,0
20191230,78.15,79.16,74.54,76.13,149648,0
20191231,76,77.245,74.62,76.25,164801,0
20200102,76.91,77.99,71.48,72.83,220198,0
20200103,71.52,76.1884,70.58,75.56,288316,0
20200106,75.27,77.35,73.56,75.55,220670,0
20200107,76,77.28,75.32,75.98,182702,0
20200108,76.09,76.9498,72.74,74.84,172146,0
20200109,75.58,77.94,75.5,77.17,183648,0
20200110,77.64,83.55,77.1341,79.75,295837,0
20200113,80.85,84.71,80.524,83.72,196765,0
20200114,83.81,85.14,81.64,84.61,152147,0
20200115,85.46,90.37,85.14,85.8,308071,0
20200116,86.82,87.15,84.01,85.89,126018,0
20200117,86.11,87.7579,80.27,83.63,140668,0
20200121,84.99,88.86,83.01,87.75,207616,0
20200122,89.54,96.7377,89.2,91.81,395216,0
20200123,92.35,95.06,90,95,197300,0
