Date,Open,High,Low,Close,Volume,OpenInt
20110720,9.3994,10.056,9.3706,9.964,117322,0
20110721,10.056,10.056,9.826,9.9,112292,0
20110722,9.9,9.964,9.854,9.947,77859,0
20110725,9.788,9.807,9.4872,9.653,54990,0
20110726,9.589,9.635,9.4182,9.534,56019,0
20110727,9.4683,9.653,9.2684,9.644,218145,0
20110728,9.554,10.056,9.554,9.891,129425,0
20110729,10.02,10.145,9.845,9.992,95016,0
20110801,10.038,10.275,10.01,10.238,153645,0
20110802,10.064,10.238,9.909,10.137,163786,0
20110803,10.145,10.145,9.726,9.872,170574,0
20110804,9.955,10.038,9.3706,9.3706,179892,0
20110805,9.4092,9.691,9.1511,9.2296,209675,0
20110808,8.8201,9.194,7.8796,8.2729,449287,0
20110809,9.1054,9.2491,8.0805,9.2491,374542,0
20110810,8.9121,8.9298,8.2361,8.2453,280646,0
20110811,8.2545,8.7657,8.2545,8.5927,179169,0
20110812,8.6291,8.6841,8.3092,8.5105,245156,0
20110815,8.6016,8.7479,8.3731,8.7384,117197,0
20110816,8.6016,8.8929,8.2634,8.4647,253133,0
20110817,8.4647,9.0603,8.4647,8.949,167657,0
20110818,8.757,8.8391,8.035,8.1902,329732,0
20110819,8.1174,8.355,7.8888,8.2634,241995,0
20110822,8.4463,8.5194,8.099,8.1354,207226,0
20110823,8.1722,8.6841,7.9893,8.6476,194443,0
20110824,8.6476,9.1415,8.5466,8.729,261431,0
20110825,8.8027,8.9774,8.3824,8.4647,133086,0
20110826,8.4098,8.6199,8.291,8.4098,176029,0
20110829,8.4738,9.544,8.4738,9.426,425371,0
20110830,9.3706,9.58,9.2131,9.4092,284304,0
20110831,9.4504,9.616,8.5466,9.4409,2265137,0
20110901,9.4409,9.524,9.0419,9.2394,544032,0
20110902,8.9954,9.1415,8.6476,8.9954,365440,0
20110906,8.6109,8.9954,8.5927,8.9396,269064,0
20110907,9.0869,9.4872,8.9954,9.3994,271583,0
20110908,9.2785,9.352,8.729,8.866,137102,0
20110909,8.7657,8.8483,8.483,8.5654,198561,0
20110912,8.3914,8.8929,8.3914,8.8201,156672,0
20110913,8.8846,9.2785,8.7199,8.8296,233792,0
20110914,9.1415,9.2684,8.7384,9.115,140403,0
20110915,9.221,9.3706,9.0051,9.3617,128847,0
20110916,9.2864,9.3804,9.0419,9.1511,407419,0
20110919,8.9205,9.0419,8.3276,8.4192,224121,0
20110920,8.4278,8.5743,8.2271,8.2361,168097,0
20110921,8.2089,8.4463,7.7151,7.7425,207560,0
20110922,7.3129,7.8614,7.0113,7.5229,344258,0
20110923,7.5141,7.6878,7.2765,7.5872,166455,0
20110926,7.5962,8.0169,7.5962,7.9984,173650,0
20110927,8.1902,8.6748,8.1537,8.3276,181275,0
20110928,8.3456,8.4098,7.5781,7.5872,233827,0
20110929,8.0805,8.0805,7.4227,7.8614,205857,0
20110930,7.6784,7.8432,7.4953,7.761,457515,0
20111003,7.6328,8.0441,6.9837,6.9929,305256,0
20111004,6.9013,7.7331,6.7278,7.6054,277070,0
20111005,7.6694,7.788,7.4593,7.761,182480,0
20111006,7.6328,7.9436,7.6145,7.9253,257078,0
20111007,7.9527,7.9619,7.267,7.3219,172891,0
20111010,7.5049,7.9162,7.3677,7.9071,203466,0
20111011,7.7971,8.1354,7.6968,8.0441,143236,0
20111012,7.6968,7.7971,7.2121,7.3129,354584,0
20111013,7.3219,7.3494,7.1484,7.2765,147577,0
20111014,7.3861,7.3861,6.9381,7.1299,208710,0
20111017,7.0387,7.2489,6.6913,6.7093,174161,0
20111018,6.7553,6.9564,6.6455,6.9013,446448,0
20111019,6.865,7.0568,6.7645,6.8558,130476,0
20111020,6.8924,6.9107,6.4902,6.7186,242669,0
20111021,6.9013,6.9013,6.5818,6.7553,260513,0
20111024,6.8192,7.2765,6.6455,7.2489,226545,0
20111025,7.1942,7.1942,6.9472,7.1391,180609,0
20111026,7.2765,7.7059,7.0568,7.5413,309261,0
20111027,7.2765,7.7151,7.0476,7.4953,588760,0
20111028,7.4867,7.4953,7.1669,7.2489,266867,0
20111031,7.0844,7.0844,6.7461,6.7553,212771,0
20111101,6.4078,6.7461,6.2983,6.4902,405026,0
20111102,6.6273,6.81,6.4445,6.6273,252605,0
20111103,6.7645,6.8192,6.3895,6.6184,415066,0
20111104,6.4993,6.5908,6.4078,6.4628,173356,0
20111107,6.4445,6.6822,6.3803,6.6273,248388,0
20111108,6.6273,6.7007,6.4445,6.6184,250481,0
20111109,6.4352,6.5357,6.289,6.2983,328141,0
20111110,6.4445,6.6273,6.4352,6.6088,212037,0
20111111,6.6546,6.7007,6.5449,6.5908,176172,0
20111114,6.5357,6.5721,6.28,6.3163,214086,0
20111115,6.2615,6.4719,6.2342,6.4445,176233,0
20111116,6.344,6.5543,6.1701,6.2067,217681,0
20111117,6.2067,6.4263,6.1701,6.2067,123270,0
20111118,6.1886,6.2525,6.0241,6.2433,161414,0
20111121,6.0969,6.2433,6.0607,6.1609,147437,0
20111122,6.1886,6.3073,6.0147,6.0969,89581,0
20111123,6.0332,6.0422,5.7407,5.7588,209867,0
20111125,5.6858,5.9052,5.6858,5.7407,72476,0
20111128,5.9874,6.2251,5.8776,5.9964,189578,0
20111129,5.969,6.0969,5.8776,5.9418,106371,0
20111130,6.216,6.4902,6.0057,6.3621,524613,0
20111201,6.3621,6.4536,6.1521,6.3989,366433,0
20111202,6.5176,6.5633,6.3895,6.4902,223972,0
20111205,6.5357,6.6822,6.4536,6.5997,195557,0
20111206,6.5818,6.5818,6.3989,6.4169,117079,0
20111207,6.3989,6.5357,6.1701,6.481,138380,0
20111208,6.3895,6.3895,5.8776,5.9052,176495,0
20111209,5.9325,6.0513,5.9052,6.0147,179768,0
20111212,5.9052,6.0422,5.8503,6.0147,104624,0
20111213,6.0422,6.0422,5.7131,5.7863,142436,0
20111214,5.704,5.9601,5.704,5.9601,171574,0
20111215,6.0788,6.2067,6.0513,6.1521,241950,0
20111216,6.2067,6.2067,5.9785,6.0607,469361,0
20111219,6.0883,6.1609,5.8503,5.8593,450357,0
20111220,6.0147,6.1245,6.0147,6.0695,211000,0
20111221,6.0057,6.2342,5.9418,6.2342,86517,0
20111222,6.2615,6.5449,6.1793,6.4169,150281,0
20111223,6.4536,6.4628,6.3621,6.4263,73178,0
20111227,6.3803,6.4719,6.28,6.4169,98169,0
20111228,6.4078,6.4628,6.1886,6.2342,91868,0
20111229,6.1976,6.3716,6.1976,6.3346,105561,0
20111230,6.3073,6.4445,6.2251,6.3895,124704,0
20120103,6.5449,6.6729,6.5269,6.6088,329449,0
20120104,6.5357,6.6364,6.4993,6.5721,123185,0
20120105,6.5449,6.7278,6.3895,6.6184,148154,0
20120106,6.5633,6.5633,5.8503,5.9325,451524,0
20120109,5.9508,6.0057,5.8227,5.8776,190929,0
20120110,5.9964,6.1427,5.8503,6.0332,528747,0
20120111,6.0607,6.2433,5.969,6.1521,385796,0
20120112,6.2707,6.4993,6.0969,6.481,134928,0
20120113,6.3716,6.4993,6.2067,6.4628,172610,0
20120117,6.5082,6.5818,6.289,6.3258,144360,0
20120118,6.344,6.4993,6.344,6.4719,131644,0
20120119,6.4628,6.4719,6.3073,6.3621,77255,0
20120120,6.3073,6.4536,6.3073,6.3989,98111,0
20120123,6.3803,6.4445,6.3531,6.3895,74040,0
20120124,6.344,6.4902,6.3073,6.4628,97745,0
20120125,6.4628,6.737,6.3895,6.7278,124440,0
20120126,6.7186,6.7553,6.3163,6.4993,200491,0
20120127,6.4445,6.8467,6.4352,6.8285,152237,0
20120130,6.7645,6.8741,6.6638,6.8285,128656,0
20120131,6.801,7.0752,6.7093,6.9381,234555,0
