Date,Open,High,Low,Close,Volume,OpenInt
20150427,17.785,18.448,17.197,17.204,5897907,0
20150428,17.029,18.693,16.941,18.436,10877464,0
20150429,18.647,19.211,18.518,18.96,4541082,0
20150430,18.786,18.96,18.574,18.809,3525824,0
20150501,18.791,18.96,18.481,18.742,2049709,0
20150504,18.361,19.005,18.299,18.861,2745151,0
20150505,18.605,19.167,18.605,18.91,2047468,0
20150506,18.854,18.948,17.779,17.861,2839434,0
20150507,17.649,17.949,17.197,17.272,3601422,0
20150508,17.354,17.502,16.93,17.292,2249274,0
20150511,17.14,17.261,16.789,17.14,2201142,0
20150512,16.783,17.649,16.759,17.579,1823921,0
20150513,17.485,17.573,17.248,17.384,1683839,0
20150514,17.297,17.485,17.204,17.39,1674244,0
20150515,17.323,17.416,17.197,17.216,885736,0
20150518,17.197,17.197,16.753,16.798,1385345,0
20150519,16.735,16.798,16.367,16.397,2247034,0
20150520,16.328,16.522,16.042,16.066,1334437,0
20150521,15.964,16.604,15.848,16.572,2280298,0
20150522,16.359,16.835,16.315,16.748,1477073,0
20150526,16.567,16.884,16.403,16.567,1096779,0
20150527,16.266,16.516,16.204,16.342,1395681,0
20150528,16.353,16.409,16.185,16.247,1003395,0
20150529,16.165,16.334,16.103,16.29,1505219,0
20150601,16.133,16.385,16.042,16.172,1013825,0
20150602,16.116,16.772,16.058,16.522,1656229,0
20150603,16.342,16.499,16.185,16.258,1227459,0
20150604,16.054,16.266,15.885,15.916,1325164,0
20150605,16.116,16.116,15.879,15.958,1113284,0
20150608,15.958,16.103,15.948,16.008,1250487,0
20150609,16.042,16.054,15.722,15.939,1867951,0
20150610,15.996,16.024,15.829,15.879,1467342,0
20150611,15.871,16.172,15.86,16.158,1455063,0
20150612,16.279,16.499,16.196,16.334,1239613,0
20150615,16.266,16.334,15.948,16.058,1301499,0
20150616,15.977,16.428,15.902,16.367,1743642,0
20150617,16.24,16.546,16.222,16.467,1516092,0
20150618,16.446,16.641,16.428,16.522,951456,0
20150619,16.539,16.753,16.516,16.722,2841096,0
20150622,16.853,17.116,16.759,17.11,1213706,0
20150623,17.049,17.335,17.049,17.204,1112368,0
20150624,17.197,17.255,16.996,17.147,1620514,0
20150625,17.166,17.272,17.073,17.261,2337863,0
20150626,17.153,17.158,16.34,16.39,6717540,0
20150629,16.091,16.461,15.665,15.775,1776782,0
20150630,15.629,15.889,15.501,15.709,1849058,0
20150701,15.679,15.779,15.08,15.234,2107530,0
20150702,15.247,15.355,14.923,14.949,1352414,0
20150706,14.802,15.1,14.732,15.094,1200571,0
20150707,15.094,15.183,14.496,14.654,2081726,0
20150708,14.502,14.618,14.278,14.364,2379903,0
20150709,14.415,14.654,14.235,14.254,1963716,0
20150710,14.352,14.732,14.272,14.707,954638,0
20150713,14.618,14.908,14.478,14.787,1336049,0
20150714,14.661,14.908,14.65,14.883,1906273,0
20150715,14.908,15.15,14.725,15.127,1515799,0
20150716,15.062,15.494,15.043,15.406,1564838,0
20150717,15.321,15.406,15.094,15.164,953534,0
20150720,15.107,15.512,14.949,15.398,1285541,0
20150721,15.228,15.406,14.592,14.858,1853415,0
20150722,14.778,14.949,14.224,14.261,1492612,0
20150723,14.211,14.337,13.866,13.927,1304425,0
20150724,13.855,13.91,13.302,13.468,1646342,0
20150727,13.271,13.358,12.933,13.162,1819740,0
20150728,13.093,13.41,12.973,13.25,1892277,0
20150729,13.206,13.403,13.059,13.334,909006,0
20150730,13.245,13.417,13.149,13.309,1091371,0
20150731,13.302,13.376,13.137,13.25,1956006,0
20150803,13.194,13.487,13.185,13.468,932549,0
20150804,13.461,13.71,13.461,13.644,1000581,0
20150805,13.644,13.786,13.403,13.493,1304425,0
20150806,13.664,14.247,13.218,13.564,1953290,0
20150807,13.523,13.683,13.417,13.511,1090426,0
20150810,13.5,13.995,13.395,13.988,815852,0
20150811,13.919,14.026,13.493,13.695,1022243,0
20150812,13.505,13.575,13.194,13.481,1359339,0
20150813,13.245,14.301,13.245,14.116,1429042,0
20150814,14.078,14.681,14.033,14.654,1263514,0
20150817,14.565,14.883,14.383,14.796,1486161,0
20150818,14.746,14.883,14.673,14.707,1057228,0
20150819,14.707,14.707,14.078,14.471,1039451,0
20150820,14.272,14.457,13.799,13.833,1257218,0
20150821,13.664,13.799,13.098,13.098,1767029,0
20150824,12.369,13.194,11.672,12.526,1682480,0
20150825,12.584,12.877,12.56,12.56,1268235,0
20150826,12.761,12.983,12.584,12.83,1216465,0
20150827,12.896,13.468,12.804,13.144,1000423,0
20150828,13.086,13.309,13.027,13.093,1085551,0
20150831,13.009,13.144,12.699,12.775,1965764,0
20150901,12.775,12.99,12.614,12.755,1788427,0
20150902,12.902,13.277,12.83,12.99,1212060,0
20150903,12.973,13.346,12.902,13.009,1961199,0
20150904,12.896,13.041,12.691,12.838,1032994,0
20150908,13.041,13.059,12.761,12.843,1193491,0
20150909,13.002,13.168,12.887,12.896,1009551,0
20150910,12.83,13.093,12.743,13.041,1269076,0
20150911,12.946,13.346,12.927,13.25,943466,0
20150914,13.079,13.174,12.838,13.017,644343,0
20150915,12.996,13.429,12.933,13.353,787061,0
20150916,13.353,13.72,13.185,13.594,1066981,0
20150917,13.601,13.823,13.277,13.626,918760,0
20150918,13.395,13.803,13.24,13.25,1841456,0
20150921,13.29,13.448,13.137,13.277,635218,0
20150922,13.112,13.245,12.99,13.093,680692,0
20150923,13.168,13.417,13.093,13.174,791306,0
20150924,13.05,13.168,12.825,13.022,765831,0
20150925,13.098,13.13,12.726,12.767,1027806,0
20150928,12.709,12.717,11.903,11.916,971585,0
20150929,11.955,11.975,11.511,11.549,1517645,0
20150930,11.76,11.777,11.465,11.725,1200438,0
20151001,11.725,11.798,11.109,11.418,1162578,0
20151002,11.266,11.975,11.201,11.963,2630612,0
20151005,11.969,12.315,11.969,12.212,979420,0
20151006,12.643,12.643,12.362,12.374,1367587,0
20151007,12.402,12.814,12.383,12.806,1291260,0
20151008,12.761,12.99,12.616,12.901,869949,0
20151009,12.939,13.095,12.709,12.84,814693,0
20151012,12.603,12.806,12.532,12.616,572800,0
20151013,12.513,12.754,12.447,12.552,618081,0
20151014,12.52,12.643,12.284,12.335,611056,0
20151015,12.689,12.75,12.447,12.717,1017409,0
20151016,12.754,13.051,12.709,12.956,1210970,0
20151019,12.873,13.226,12.873,12.946,753478,0
20151020,12.873,13.366,12.873,13.357,807076,0
20151021,13.366,13.711,13.32,13.351,858196,0
20151022,13.43,13.566,13.207,13.368,1112815,0
20151023,13.43,13.528,13.124,13.142,1072668,0
20151026,13.135,13.142,12.873,12.951,751341,0
20151027,12.886,13.019,12.643,12.75,974362,0
20151028,12.775,13.345,12.761,13.108,1185170,0
20151029,13.044,13.124,12.879,12.951,1041988,0
20151030,12.976,13.207,12.939,13.161,813927,0
20151102,13.124,13.594,13.003,13.574,1135400,0
20151103,13.541,13.566,13.32,13.368,1226388,0
20151104,13.376,13.43,13.174,13.252,1178612,0
20151105,13.324,13.594,13.201,13.417,910859,0
20151106,13.338,13.489,13.069,13.376,1479936,0
20151109,13.3,13.332,13.124,13.258,1554253,0
20151110,13.233,13.277,12.918,12.964,1614879,0
20151111,12.956,13.135,12.56,12.56,1808135,0
20151112,12.478,12.983,12.355,12.973,2223037,0
20151113,13.101,13.277,12.29,12.466,2656103,0
20151116,12.322,12.717,12.048,12.683,1655028,0
