Date,Open,High,Low,Close,Volume,OpenInt
20050225,211.8,287.4,155.4,240,19971,0
20050228,256.2,270.6,244.8,250.8,11420,0
20050301,256.2,256.2,237,241.2,2561,0
20050302,244.2,249,231,248.4,3420,0
20050303,250.2,253.2,244.8,247.8,1901,0
20050304,256.2,256.2,242.4,243.6,2562,0
20050307,245.4,255,245.4,249.6,2866,0
20050308,249.6,283.2,248.4,259.8,10768,0
20050309,275.4,281.4,259.2,259.2,4251,0
20050310,255.6,255.6,238.8,244.8,3438,0
20050311,241.8,254.4,241.8,252.6,1673,0
20050314,250.2,252.6,244.8,247.8,1250,0
20050315,253.2,253.2,241.8,247.8,626,0
20050316,241.8,245.4,238.2,241.2,977,0
20050317,241.8,326.4,241.8,308.4,45442,0
20050318,341.4,381,333,379.8,140505,0
20050321,396.6,475.8,382.2,450.6,271496,0
20050322,431.4,458.4,380.4,391.8,124817,0
20050323,381,386.4,336,350.4,68301,0
20050324,358.8,396,350.4,360.6,68254,0
20050328,361.8,367.8,333,336,27147,0
20050329,343.2,376.8,333.6,339,63100,0
20050330,345,361.2,336,339,18830,0
20050331,359.4,369,340.2,352.2,41733,0
20050401,358.2,363,334.8,346.2,20321,0
20050404,354.6,388.8,345,350.4,50272,0
20050405,350.4,355.8,342,348,9871,0
20050406,348.6,353.4,336,344.4,6237,0
20050407,342,362.4,339,342,11464,0
20050408,342,346.8,309.6,314.4,16686,0
20050411,315.6,317.4,298.2,301.8,9637,0
20050412,292.2,300.6,278.4,278.4,13913,0
20050413,283.8,289.8,268.2,279,8619,0
20050414,279.6,280.2,252,256.8,13449,0
20050415,250.8,254.4,231,231.6,8448,0
20050418,225.6,237.6,218.4,218.4,7800,0
20050419,222.6,258.6,222.6,252.6,9503,0
20050420,253.2,254.4,232.8,232.8,9239,0
20050421,252.6,252.6,218.4,228.6,5689,0
20050422,235.8,241.2,229.8,229.8,3903,0
20050425,228.6,234.6,225.6,226.2,2912,0
20050426,226.8,234.6,223.8,228.6,3969,0
20050427,245.4,273.6,240,247.8,22575,0
20050428,251.4,251.4,225.6,228.6,7472,0
20050429,235.8,235.8,217.8,222,4500,0
20050502,220.8,228,207.6,208.8,6026,0
20050503,207,217.8,196.2,209.4,4682,0
20050504,209.4,222.6,209.4,216.6,3899,0
20050505,221.4,230.4,219.6,228.6,4769,0
20050506,236.4,243,234.6,241.8,4566,0
20050509,249.6,253.2,238.8,245.4,6099,0
20050510,252.6,252.6,241.8,247.2,1739,0
20050511,243,246.6,231.6,232.2,4441,0
20050512,234.6,234.6,219,229.8,2785,0
20050513,233.4,233.4,217.8,219.6,1400,0
20050516,216,220.2,210,212.4,2240,0
20050517,216,219.6,210.6,214.2,1464,0
20050518,214.8,227.4,214.2,219.6,1760,0
20050519,222,232.8,219,228,1710,0
20050520,226.8,241.2,221.4,225,1861,0
20050523,222.6,235.2,218.4,219,787,0
20050524,215.4,222.6,215.4,221.4,857,0
20050525,221.4,235.8,214.8,216.6,2011,0
20050526,215.4,220.8,215.4,220.2,1203,0
20050527,215.4,259.2,215.4,235.8,10209,0
20050531,238.8,250.2,229.8,237,5660,0
20050601,238.8,277.2,231,247.2,6555,0
20050602,244.2,252,235.8,238.8,3992,0
20050603,241.8,276.6,238.2,266.4,12976,0
20050606,277.8,324,277.8,288.6,33768,0
20050607,288,297.6,252,261.6,9837,0
20050608,256.8,281.4,249,276.6,7333,0
20050609,280.8,305.4,274.2,275.4,14505,0
20050610,283.2,285,252,259.8,10329,0
20050613,258.6,264.6,232.8,241.2,18837,0
20050614,238.8,244.2,225.6,226.2,7837,0
20050615,228.6,250.2,226.8,232.2,15210,0
