Date,Open,High,Low,Close,Volume,OpenInt
20050225,17.725,18.006,17.725,17.782,3836,0
20050228,17.89,18.006,17.75,17.982,8002,0
20050301,17.75,17.89,17.725,17.881,26304,0
20050302,17.89,17.89,17.756,17.773,5244,0
20050303,17.84,17.84,17.604,17.611,2606,0
20050304,17.611,17.849,17.611,17.725,7240,0
20050307,17.604,17.807,17.402,17.662,9765,0
20050308,17.203,17.807,17.147,17.807,7656,0
20050309,17.807,18.118,17.419,17.5,1191,0
20050310,17.5,17.807,17.5,17.604,1889,0
20050311,17.532,17.62,17.41,17.62,1787,0
20050314,17.807,18.006,17.725,17.725,20652,0
20050315,17.814,17.814,17.611,17.725,3669,0
20050316,17.849,17.898,17.589,17.898,19044,0
20050317,17.89,17.89,17.212,17.532,8602,0
20050318,17.604,17.604,17.604,17.604,2031,0
20050321,17.353,17.79,17.353,17.5,1943,0
20050322,17.5,17.5,17.5,17.5,123,0
20050323,17.129,17.525,17.129,17.402,6334,0
20050324,17.807,17.807,17.402,17.574,2987,0
20050328,17.203,17.807,17.203,17.782,13031,0
20050329,17.79,17.79,17.402,17.41,2455,0
20050330,17.095,17.645,17.095,17.645,2391,0
20050331,17.79,17.807,17.715,17.807,6785,0
20050401,17.113,17.823,17.113,17.823,7382,0
20050404,17.823,17.823,17.532,17.725,12484,0
20050405,17.807,17.89,17.697,17.697,9476,0
20050406,17.203,17.725,17.203,17.549,4848,0
20050407,17.212,17.725,17.203,17.558,25802,0
20050408,17.221,17.807,17.221,17.807,12245,0
20050411,17.688,17.89,17.62,17.62,2316,0
20050412,17.463,17.725,17.463,17.725,14813,0
20050413,17.662,17.89,17.645,17.89,2948,0
20050414,17.807,17.807,17.645,17.79,24994,0
20050415,17.362,17.734,17.362,17.517,3959,0
20050418,17.41,17.41,17.035,17.203,4302,0
20050419,17.773,17.807,17.402,17.402,4538,0
20050420,17.566,17.773,17.491,17.773,14308,0
20050421,17.645,17.662,17.177,17.662,7647,0
20050422,17.095,17.89,17.095,17.832,26949,0
20050425,17.798,17.832,17.295,17.604,1258,0
20050426,17.604,17.706,17.604,17.611,4000,0
20050427,17.611,17.773,17.611,17.773,4009,0
20050428,17.386,17.688,17.386,17.688,4296,0
20050429,17.725,17.725,17.566,17.604,2404,0
20050502,17.362,17.604,17.362,17.481,4004,0
20050503,17.362,17.725,17.362,17.645,5096,0
20050504,17.362,17.832,17.304,17.832,1970,0
20050505,17.832,18.015,17.798,17.89,5576,0
20050506,17.89,17.89,17.322,17.566,6093,0
20050509,17.604,17.645,17.402,17.402,1434,0
20050510,17.604,17.604,17.566,17.566,2391,0
20050511,17.525,18.19,17.525,17.734,12465,0
20050512,17.765,18.049,17.688,17.898,13843,0
20050513,17.948,18.006,17.549,17.549,12781,0
20050516,17.688,17.688,17.688,17.688,602,0
20050517,17.5,18.066,17.481,18.066,2652,0
20050518,17.346,18.092,17.346,18.092,14215,0
20050519,17.549,17.807,17.549,17.725,2449,0
20050520,18.049,18.049,17.377,17.645,1553,0
20050523,17.645,17.908,17.645,17.807,4481,0
20050524,17.807,17.849,17.604,17.849,6093,0
20050525,18.408,18.408,18.049,18.049,23174,0
20050526,17.966,17.966,17.807,17.807,478,0
20050527,17.604,18.023,17.604,18.006,2701,0
20050531,18.206,18.206,17.611,17.611,1311,0
20050601,17.697,17.725,17.604,17.604,1374,0
20050602,17.908,17.908,17.908,17.908,123,0
20050603,17.481,17.958,17.402,17.402,2802,0
20050606,19.019,19.019,17.589,17.636,7182,0
20050607,17.581,17.807,16.991,17.645,157213,0
20050608,17.369,17.574,16.991,17.362,128508,0
20050609,17.035,17.481,17.026,17.472,2329,0
20050610,17.481,17.549,17.481,17.549,16725,0
20050613,17.525,17.525,17.088,17.369,3108,0
20050614,17.463,17.508,17.313,17.472,4660,0
20050615,16.911,17.419,16.352,17.353,4837,0
20050616,16.828,17.463,16.828,17.463,8364,0
20050617,17.463,17.463,17.026,17.026,50490,0
20050620,16.828,17.322,16.593,17.322,7064,0
20050621,17.322,18.049,17.304,17.741,40765,0
20050622,17.177,17.807,17.155,17.807,3107,0
20050623,17.807,17.807,17.428,17.454,6210,0
20050624,17.017,17.346,17.017,17.346,833,0
20050627,17.322,17.322,17.221,17.322,520,0
20050628,17.163,17.163,17.163,17.163,1312,0
20050629,16.991,17.472,16.991,17.313,4360,0
20050630,17.377,17.566,17.322,17.33,3266,0
20050701,17.706,17.706,16.828,16.991,60793,0
20050705,17.491,17.508,17.247,17.337,5310,0
20050706,17.088,17.402,17.088,17.247,29427,0
20050707,17.088,17.798,17.088,17.782,16427,0
20050708,17.322,17.849,17.322,17.597,20746,0
20050711,17.337,17.881,17.337,17.881,24229,0
20050712,17.873,17.873,17.697,17.807,1434,0
20050713,17.807,17.807,17.725,17.734,6933,0
20050714,17.807,17.966,17.807,17.966,1282,0
20050715,17.741,18.049,17.741,17.864,1614,0
20050718,18.558,18.558,17.908,17.966,5170,0
20050719,17.966,18.206,17.856,17.966,10548,0
20050720,17.807,17.807,17.75,17.75,2267,0
20050721,17.966,17.966,17.782,17.958,2539,0
20050722,17.933,18.424,17.807,17.849,9914,0
20050725,17.849,18.109,17.849,17.881,1553,0
20050726,17.849,18.109,17.849,18.006,2479,0
20050727,18.151,18.173,18.057,18.057,1333,0
20050728,18.057,18.4,18.057,18.4,2364,0
20050729,18.417,18.424,18.268,18.424,1491,0
20050801,18.517,18.869,18.46,18.809,13497,0
20050802,18.937,19.22,18.921,19.22,13757,0
20050803,19.431,19.673,19.431,19.673,2867,0
20050804,19.835,19.835,19.279,19.835,10669,0
20050805,19.631,19.631,19.631,19.631,1523,0
20050808,19.148,19.392,18.618,19.392,2745,0
20050809,19.173,19.173,19.071,19.071,602,0
20050810,19.383,19.383,19.027,19.287,5615,0
20050811,19.253,19.705,19.037,19.705,3069,0
20050812,19.48,19.607,19.287,19.607,1505,0
20050815,19.27,19.705,18.816,19.186,6269,0
20050816,19.193,19.312,19.186,19.193,2745,0
20050817,18.834,19.383,18.834,19.262,911,0
20050818,19.22,19.262,18.653,18.979,2333,0
20050819,19.193,19.193,19.13,19.13,478,0
20050822,19.13,19.555,19.019,19.439,23046,0
20050823,19.705,19.705,18.816,19.623,14814,0
20050824,18.494,19.914,18.494,19.914,3008,0
