Date,Open,High,Low,Close,Volume,OpenInt
20190812,23.544,24.474,23.544,24.474,12121,0
20190813,24.474,24.474,24.474,24.474,8190,0
20190819,25.012,25.012,25.012,25.012,24517,0
20190820,25.012,25.012,24.986,25.012,13586,0
20190821,25.012,25.012,25.012,25.012,4597,0
20190823,25.012,25.012,24.95,25.012,313831,0
20190827,24.865,29.369,24.689,29.369,6435,0
20190828,28.879,28.879,25.12,25.355,3402,0
20190829,24.983,24.983,24.719,24.816,29959,0
20190903,24.963,24.963,24.963,24.963,460,0
20190904,24.963,24.973,24.914,24.963,4086,0
20190905,24.963,26.285,24.963,26.285,8389,0
20190910,24.797,25.453,24.719,25.335,38430,0
20190911,25.306,25.306,25.247,25.247,204,0
20190912,24.963,24.983,24.963,24.963,1203,0
20190913,24.973,24.973,24.963,24.963,817,0
20190916,24.963,24.963,24.963,24.963,1629,0
20190930,25.061,25.061,25.061,25.061,102,0
20191001,24.921,24.963,24.921,24.963,10235,0
20191002,24.916,24.963,24.916,24.944,2349,0
20191003,24.933,24.963,24.933,24.963,1010,0
20191004,24.963,24.963,24.963,24.963,3065,0
20191007,24.963,24.963,24.928,24.963,2452,0
20191008,24.963,24.963,24.963,24.963,2043,0
20191009,25.942,25.942,25.316,25.795,716,0
20191014,25.844,25.844,25.844,25.844,255,0
20191015,25.1,25.404,25.1,25.404,511,0
20191018,25.913,25.913,25.825,25.825,255,0
20191021,25.208,25.208,25.208,25.208,102,0
20191030,24.963,24.997,24.963,24.973,1389,0
20191031,24.983,24.983,24.949,24.963,3312,0
20191101,24.973,24.973,24.865,24.963,2043,0
20191104,24.963,24.973,24.963,24.965,5618,0
20191105,24.983,24.983,24.963,24.963,2615,0
20191106,24.67,24.67,24.65,24.67,62959,0
20191107,24.963,24.963,24.963,24.963,511,0
20191108,24.963,24.963,24.963,24.963,410,0
20191113,24.807,24.807,24.719,24.719,10910,0
20191118,24.963,24.963,24.699,24.719,97100,0
20191119,24.865,24.865,24.865,24.865,2790,0
20191120,24.919,24.983,24.865,24.865,1532,0
20191121,24.917,24.917,24.767,24.767,3820,0
20191122,24.767,25.453,24.767,25.453,722,0
20191125,24.767,24.914,24.767,24.831,1418,0
20191126,24.963,24.963,24.963,24.963,1226,0
20191203,24.963,25.012,24.963,24.963,1226,0
20191204,25.218,25.218,25.061,25.061,9670,0
20191205,25.071,25.071,25.051,25.061,42046,0
20191206,25.022,25.061,25.012,25.012,7876,0
20191209,24.865,25.942,24.865,25.942,13502,0
20191210,25.365,25.746,25.208,25.698,3146,0
20191212,26,26,26,26,200,0
20191216,25.4,25.4,25.3,25.37,7200,0
20191217,25.4,28.56,25.337,25.51,4126,0
20191218,25.62,25.62,25.62,25.62,289,0
20191219,25.56,25.56,25.56,25.56,100,0
20191223,25.57,25.57,25.57,25.57,190,0
20191227,25.99,27,25.99,26,600,0
20191231,26,26,26,26,100,0
20200107,25.5,25.5,25.4205,25.5,7877,0
20200108,25.8,25.8,25.8,25.8,100,0
20200109,25.4505,25.5,25.4505,25.4997,10458,0
20200110,25.49,25.49,25.49,25.49,122,0
20200113,25.5,25.5,25.488,25.488,2262,0
20200115,26,26,26,26,400,0
20200117,25.8,26,25.8,26,367,0
20200121,26.1,26.1,26.1,26.1,100,0
20200122,27.75,27.75,25.7,25.7,5033,0
