Date,Open,High,Low,Close,Volume,OpenInt
20190719,6,6.1499,5.63,6.01,17370,0
20190722,6.9,6.9,6,6.5,22210,0
20190723,6.44,7.4083,6.3005,7,103280,0
20190724,7.2426,8.74,7.01,7.38,73477,0
20190725,7.5,7.5,6.696,6.88,94936,0
20190726,6.95,6.95,6.5501,6.57,16262,0
20190729,6.58,6.74,6.25,6.2705,10685,0
20190730,6.14,6.5,6.01,6.37,30797,0
20190731,6.37,6.53,6.34,6.465,21286,0
20190801,6.74,7,6.51,7,47545,0
20190802,7,7,6.7,6.7162,24975,0
20190805,6.7,6.825,6,6.8,25877,0
20190806,6.44,6.93,6.25,6.6726,33576,0
20190807,6.74,7,6.5,6.95,98748,0
20190808,7,7,6.6127,6.85,16709,0
20190809,6.5,6.895,6.5,6.795,7923,0
20190812,6.7875,7.1995,6.7875,7.15,32336,0
20190813,7.15,7.2,6.7,7.1,26337,0
20190814,7,7.0968,6.8162,7.0804,87523,0
20190815,6.95,7.14,6.9001,7.14,35655,0
20190816,6.85,7.2,6.85,7.18,45435,0
20190819,7.2,7.2,6.9,7.17,91667,0
20190820,6.9001,7.0115,6.665,6.86,46686,0
20190821,7.04,8.55,7.04,8.45,564968,0
20190822,8,8.85,7.91,8.79,349095,0
20190823,8.79,9.03,8.25,8.55,210549,0
20190826,8.62,8.9129,8.26,8.79,60175,0
20190827,8.73,8.8687,8.34,8.78,73697,0
20190828,8.77,9.94,8.52,9.94,127728,0
20190829,9.98,10.29,9.3682,10.27,173452,0
20190830,10.27,10.815,10.15,10.52,278393,0
20190903,10.59,10.6,9.67,10.23,96698,0
20190904,10.75,12.36,10.7014,11.08,290982,0
20190905,11.25,11.89,11.13,11.6,174811,0
20190906,11.98,11.99,11.201,11.74,236553,0
20190909,11.9,13.2,11.9,12.72,547439,0
20190910,12.66,12.72,11,11.1,500684,0
20190911,10.9,11.9,9.21,10.68,469935,0
20190912,10.68,10.91,9.75,10.09,246784,0
20190913,9.98,11.18,9.75,10.88,137844,0
20190916,10.88,11.82,10.5462,11.55,190441,0
20190917,11.6,11.87,11.01,11.87,290059,0
20190918,11.81,12,11.03,11.24,311034,0
20190919,11.25,12.25,11.25,11.89,251573,0
20190920,11.94,12.3914,11.61,11.61,511617,0
20190923,11.61,12.17,10.82,11.07,164747,0
20190924,11.15,11.74,10.94,11.3,181241,0
20190925,11.27,11.45,10.8506,11.14,47722,0
20190926,11.15,11.92,11.13,11.73,89909,0
20190927,11.75,11.95,11.29,11.5,134182,0
20190930,11.65,11.95,11.29,11.8,73239,0
20191001,11.92,12.15,11.5416,11.67,215048,0
20191002,11.59,11.59,10.15,11.1,189042,0
20191003,10.97,11.1,10.32,10.71,50461,0
20191004,10.59,10.8,10.4001,10.74,50587,0
20191007,10.81,10.97,10.54,10.65,45996,0
20191008,10.51,10.55,10,10.33,87280,0
20191009,10.41,10.95,10.0347,10.46,56759,0
20191010,10.45,10.53,9.76,9.9,70981,0
20191011,9.95,10.5799,9.7,9.9,178380,0
20191014,9.8,9.8042,9.15,9.34,89977,0
20191015,9.39,9.56,9.28,9.52,52446,0
20191016,9.45,9.6,9.3035,9.58,30449,0
20191017,9.59,10.19,9.57,10.03,49520,0
20191018,10.05,10.41,9.955,10.2,41366,0
20191021,10.3,10.41,9.95,10.17,48654,0
20191022,10.25,10.42,10.02,10.3,95699,0
20191023,10.25,11.35,10.1225,11.04,217803,0
20191024,11.06,11.451,10.5882,11.2,47280,0
20191025,11.15,11.27,10.67,10.85,64335,0
20191028,10.88,11.3,10.68,10.77,97322,0
20191029,10.76,11.24,10.54,10.57,32508,0
20191030,10.57,11.62,10.3817,11.08,123540,0
20191031,11.14,11.28,10.81,10.9,53118,0
20191101,10.98,11.0907,10.62,10.75,60548,0
20191104,10.79,10.98,10.75,10.81,59815,0
20191105,10.85,10.97,10.64,10.93,126576,0
20191106,10.93,11.14,10.7,10.76,133777,0
20191107,10.85,10.85,10.75,10.8,80986,0
20191108,10.85,10.96,10.75,10.81,64762,0
20191111,11.35,14.19,11.35,14.14,970510,0
20191112,14.15,14.65,13.12,13.76,456970,0
20191113,13.7,14.02,13.06,13.93,154567,0
20191114,13.91,14.09,13.51,13.89,133242,0
20191115,13.96,15.1346,13.91,14.8,367279,0
20191118,15,15.69,14.5,15.65,377888,0
20191119,15.9,16,14.15,14.48,292561,0
20191120,14.48,14.6749,13.85,14.27,194023,0
20191121,14.48,16.14,13.65,15.84,848978,0
20191122,15.98,16.15,15.58,15.97,213712,0
20191125,16.19,16.23,15.4,15.7,247129,0
20191126,15.76,16,15.43,15.92,107851,0
20191127,16,16.1,15.6,15.91,98439,0
20191129,15.85,15.9,15.65,15.7,34408,0
20191202,15.86,16.01,15.4,15.63,99398,0
20191203,15.48,16.2664,15.41,16,181496,0
20191204,16.13,16.19,15.65,16,121389,0
20191205,16.02,16.05,15.493,15.57,84835,0
20191206,15.6,16.13,15.6,15.98,82077,0
20191209,15.98,15.98,15.12,15.42,131330,0
20191210,15.41,15.41,14.62,15.06,181798,0
20191211,15.08,15.7,14.85,15.61,86304,0
20191212,15.61,15.99,15.57,15.98,80201,0
20191213,16,16,15.52,15.7,67344,0
20191216,15.69,15.86,15.15,15.46,112712,0
20191217,15.45,15.4716,14.69,14.91,100439,0
20191218,14.8,15.03,14.4,14.57,106572,0
20191219,14.42,14.5,14.03,14.4,138613,0
20191220,14.41,14.6668,14.12,14.54,149294,0
20191223,14.6,14.94,14.5,14.83,69390,0
20191224,14.84,14.8999,14.55,14.75,114554,0
20191226,14.75,14.82,14.6,14.65,40899,0
20191227,14.65,14.87,14.53,14.64,99158,0
20191230,14.6,14.71,14.4,14.55,109225,0
20191231,14.53,14.87,14.41,14.65,164386,0
20200102,14.71,14.9,14.24,14.35,89502,0
20200103,14.43,15.87,14.43,15.52,365418,0
20200106,15.81,15.8699,15.0282,15.3,198474,0
20200107,15.5,15.55,14.15,14.34,248176,0
20200108,14.2,14.9577,14.16,14.37,117172,0
20200109,14.39,14.6228,14.35,14.4,139517,0
20200110,14.49,14.5,14.19,14.25,156094,0
20200113,14.25,14.7,14.25,14.68,313113,0
20200114,14.74,14.94,14.46,14.68,148811,0
20200115,14.84,14.99,14.6,14.89,133562,0
20200116,14.98,15.2677,14.68,14.7,170113,0
20200117,14.79,14.9346,14.75,14.92,81463,0
