Date,Open,High,Low,Close,Volume,OpenInt
20150623,40.087,40.245,39.947,39.947,326,0
20150624,40.385,41.779,40.325,41.739,5973,0
20150625,41.381,42.816,40.725,42.099,11093,0
20150626,41.979,44.17,41.979,43.274,19675,0
20150629,45.645,47.397,43.554,47.397,27204,0
20150630,45.246,46.402,43.672,44.13,15691,0
20150701,42.377,44.07,42.039,43.771,10791,0
20150702,42.836,44.17,42.836,43.712,3714,0
20150706,44.927,45.007,42.337,42.975,4468,0
20150707,42.676,44.629,42.576,42.576,7027,0
20150708,43.771,46.422,43.633,46.283,5571,0
20150709,43.911,44.887,43.633,44.629,11895,0
20150710,42.656,43.951,42.437,42.477,6274,0
20150713,41.141,41.141,40.087,40.165,15207,0
20150714,39.887,40.027,37.277,37.376,19836,0
20150715,36.001,37.038,34.866,36.579,14908,0
20150716,35.962,36.4,35.046,35.225,9687,0
20150717,35.384,35.982,34.707,34.707,2861,0
20150720,34.429,34.826,33.87,34.786,10289,0
20150721,34.866,36.42,34.866,35.245,13552,0
20150722,36.579,36.999,35.185,35.464,36891,0
20150723,35.284,36.021,34.806,35.703,9485,0
20150724,37.776,40.465,36.939,40.107,29211,0
20150727,41.261,42.596,40.645,41.421,15559,0
20150728,40.145,41.341,38.193,38.473,23841,0
20150729,39.01,40.485,38.193,39.827,7328,0
20150730,40.365,42.019,39.19,39.508,11494,0
20150731,38.75,39.13,37.456,38.293,14757,0
20150803,37.875,39.31,37.656,38.273,5225,0
20150804,37.915,38.313,37.257,37.994,6424,0
20150805,37.019,37.118,36.081,37.098,13552,0
20150806,37.038,41.879,37.038,41.879,39383,0
20150807,41.141,44.729,41.141,42.437,30767,0
20150810,40.844,41.66,40.007,41.501,19274,0
20150811,42.736,43.891,41.041,42.816,10206,0
20150812,44.13,46.263,41.62,41.899,30767,0
20150813,42.159,43.215,41.141,43.215,27706,0
20150814,43.692,45.665,43.135,43.911,8683,0
20150817,44.827,45.027,41.022,41.121,18622,0
20150818,41.061,42.239,40.745,42.039,14957,0
20150819,43.653,44.509,42.119,43.095,21332,0
20150820,44.569,48.315,43.474,48.315,62739,0
20150821,50.107,52.797,47.199,52.538,132307,0
20150824,65.768,71.635,52.817,60.369,97276,0
20150825,52.857,59.691,51.901,59.552,54508,0
20150826,54.611,59.831,50.207,50.506,21633,0
20150827,47.717,49.41,46.044,46.7,51246,0
20150828,47.179,47.637,45.586,45.625,36188,0
20150831,45.705,50.107,45.206,50.048,30166,0
20150901,53.833,54.232,50.506,53.495,79303,0
20150902,51.343,53.396,47.817,47.817,47632,0
20150903,47.457,50.825,46.442,50.566,22286,0
20150904,53.016,53.356,49.928,51.084,47080,0
20150908,48.435,48.912,44.549,44.649,43064,0
20150909,43.334,47.837,43.195,47.597,28911,0
20150910,47.917,47.917,44.13,44.867,40659,0
20150911,45.824,45.944,43.255,43.294,29813,0
20150914,43.195,45.166,43.015,43.791,20578,0
20150915,43.613,44.17,42.039,42.297,17668,0
20150916,42.019,44.031,42.019,42.956,19023,0
20150917,43.414,43.414,39.05,40.365,25698,0
20150918,42.039,42.556,41.041,42.317,30317,0
