Date,Open,High,Low,Close,Volume,OpenInt
20050225,24.353,25.718,24.353,24.918,563505,0
20050228,24.87,25.037,23.736,23.964,531592,0
20050301,23.854,24.314,23.098,23.243,407724,0
20050302,23.486,23.486,22.28,22.774,424632,0
20050303,22.792,23.553,22.62,22.766,279673,0
20050304,22.801,23.513,22.756,23.108,598701,0
20050307,24.021,24.061,23.078,23.359,644573,0
20050308,23.486,23.523,22.156,22.185,437944,0
20050309,22.27,22.415,20.964,21.03,508891,0
20050310,20.993,21.25,20.037,20.281,674183,0
20050311,20.886,21.636,20.357,20.672,610987,0
20050314,20.595,21.05,19.171,19.642,792955,0
20050315,19.556,20.462,19.46,20.056,616514,0
20050316,20.916,21.023,19.365,20.896,1031053,0
20050317,20.876,21.193,20.443,20.759,392244,0
20050318,21.137,21.27,20.261,20.547,269864,0
20050321,20.556,20.876,19.45,19.885,467837,0
20050322,20.066,20.538,19.622,19.729,402129,0
20050323,19.594,19.885,18.527,18.556,400275,0
20050324,18.566,19.112,18.374,18.47,272060,0
20050328,18.422,18.556,17.429,18.334,565604,0
20050329,18.138,18.518,17.449,17.545,644613,0
20050330,17.372,17.899,16.66,16.927,783179,0
20050331,17.187,17.496,16.64,16.843,484627,0
20050401,16.945,17.429,16.871,16.907,380119,0
20050404,16.823,16.833,16.253,16.456,314090,0
20050405,16.955,16.965,16.398,16.775,382518,0
20050406,16.389,16.794,16.262,16.602,269939,0
20050407,16.736,16.983,16.533,16.945,242005,0
20050408,16.888,16.936,16.514,16.726,346194,0
20050411,16.726,16.726,15.886,15.983,289477,0
20050412,16.022,16.207,15.118,15.59,689940,0
20050413,15.502,15.637,14.982,15.236,319202,0
20050414,15.226,15.293,14.368,14.463,540245,0
20050415,14.368,14.915,14.165,14.642,575002,0
20050418,14.3,15.05,14.165,14.625,352680,0
20050419,14.502,15.472,14.415,15.312,444420,0
20050420,15.435,15.628,15.118,15.177,261051,0
20050421,15.283,15.695,14.502,15.07,429540,0
20050422,14.972,15.206,14.251,14.953,277531,0
20050425,14.972,15.444,14.799,15.444,305118,0
20050426,15.425,15.818,15.425,15.743,618559,0
20050427,15.435,15.599,14.925,14.944,618652,0
20050428,14.868,14.982,13.857,13.857,735418,0
20050429,13.876,14.127,13.664,13.779,371708,0
20050502,13.664,13.818,13.248,13.556,311260,0
20050503,13.488,13.808,13.326,13.432,243893,0
20050504,13.386,15.628,13.386,14.925,598520,0
