Date,Open,High,Low,Close,Volume,OpenInt
20190904,24.316,24.397,24.286,24.375,32429,0
20190905,24.572,24.621,24.539,24.586,34486,0
20190906,24.651,24.651,24.603,24.641,9574,0
20190909,24.651,24.67,24.582,24.641,16258,0
20190910,24.532,24.562,24.513,24.551,14804,0
20190911,24.641,24.72,24.621,24.696,5018,0
20190912,24.805,24.805,24.759,24.759,482,0
20190913,24.828,24.828,24.729,24.739,18337,0
20190916,24.739,24.739,24.7,24.7,609,0
20190917,24.729,24.749,24.673,24.739,3199,0
20190918,24.69,24.719,24.614,24.678,18205,0
20190919,24.769,24.769,24.695,24.695,357,0
20190920,24.645,24.645,24.645,24.645,473,0
20190923,24.652,24.652,24.641,24.641,3008,0
20190924,24.667,24.667,24.497,24.497,7679,0
20190925,24.503,24.601,24.483,24.601,665,0
20190926,24.552,24.591,24.552,24.591,767,0
20190927,24.532,24.591,24.477,24.477,3239,0
20190930,24.547,24.601,24.542,24.562,10183,0
20191001,24.631,24.631,24.352,24.352,1218,0
20191002,24.207,24.207,24.095,24.095,5096,0
20191003,23.951,24.227,23.951,24.205,8385,0
20191004,24.365,24.443,24.325,24.443,2175,0
20191007,24.473,24.473,24.408,24.408,1054,0
20191008,24.177,24.177,24.106,24.106,1031,0
20191009,24.268,24.268,24.268,24.268,42,0
20191010,24.414,24.414,24.377,24.377,355,0
20191011,24.7,24.72,24.587,24.587,1573,0
20191014,24.561,24.561,24.561,24.561,25,0
20191015,24.769,24.769,24.729,24.729,239,0
20191016,24.729,24.729,24.66,24.676,675,0
20191017,24.722,24.722,24.722,24.722,25,0
20191018,24.66,24.67,24.66,24.67,290,0
20191021,24.759,24.766,24.759,24.766,577,0
20191022,24.742,24.742,24.742,24.742,25,0
20191023,24.729,24.75,24.699,24.75,4300,0
20191024,24.794,24.794,24.794,24.794,25,0
20191025,24.829,24.857,24.809,24.857,609,0
20191028,24.93,24.93,24.93,24.93,25,0
20191029,24.966,24.966,24.951,24.951,3211,0
20191030,24.977,24.977,24.977,24.977,25,0
20191031,25.015,25.015,24.93,24.93,584,0
20191101,25.094,25.099,25.083,25.099,9593,0
20191104,25.193,25.193,25.15,25.15,696,0
20191105,25.183,25.183,25.143,25.143,2272,0
20191106,25.134,25.134,25.134,25.134,25,0
20191107,25.258,25.258,25.17,25.17,101,0
20191108,25.217,25.217,25.217,25.217,25,0
20191111,25.194,25.194,25.194,25.194,25,0
20191112,25.231,25.231,25.231,25.231,20,0
20191113,25.246,25.246,25.246,25.246,20,0
20191114,25.252,25.252,25.247,25.247,279,0
20191115,25.39,25.39,25.39,25.39,39,0
20191118,25.4,25.4,25.4,25.4,25,0
20191119,25.48,25.48,25.39,25.4098,6690,0
20191120,25.3299,25.3299,25.3299,25.3299,175,0
20191121,25.33,25.33,25.3115,25.3115,125,0
20191122,25.37,25.37,25.3474,25.3474,6197,0
20191125,25.44,25.4746,25.43,25.4746,6645,0
20191126,25.4701,25.5089,25.4701,25.5089,2962,0
20191127,25.6,25.6,25.5795,25.5795,270,0
20191129,25.5187,25.5187,25.5187,25.5187,91,0
20191202,25.4001,25.4139,25.385,25.385,523,0
20191203,25.2736,25.2736,25.2736,25.2736,2,0
20191204,25.3747,25.3747,25.3747,25.3747,120,0
20191205,25.39,25.4,25.39,25.4,4097,0
20191206,25.532,25.532,25.532,25.532,35,0
20191209,25.4952,25.4952,25.4952,25.4952,2,0
20191210,25.4622,25.4622,25.4622,25.4622,24,0
20191211,25.5081,25.532,25.5054,25.5054,579,0
20191212,25.6099,25.65,25.6099,25.6491,4825,0
20191213,25.6543,25.6543,25.6543,25.6543,2,0
20191216,25.7674,25.7674,25.7674,25.7674,2,0
20191217,25.7605,25.7605,25.7605,25.7605,500,0
20191218,25.792,25.8,25.7698,25.7698,1700,0
20191219,25.8164,25.8164,25.8164,25.8164,3,0
20191220,25.88,25.88,25.88,25.88,3,0
20191223,25.94,25.94,25.89,25.89,600,0
20191224,25.8912,25.8912,25.8912,25.8912,500,0
20191226,25.951,25.951,25.951,25.951,5,0
20191227,25.941,25.941,25.941,25.941,3,0
20191230,25.9072,25.92,25.8743,25.8743,575,0
20191231,25.84,25.9155,25.84,25.9155,518,0
20200102,25.995,26.05,25.95,26.05,6030,0
20200103,25.97,25.97,25.97,25.97,10,0
20200106,25.941,26.0052,25.941,26.0052,396,0
20200107,25.98,25.98,25.98,25.98,3,0
20200108,26.0418,26.0418,26.0418,26.0418,10,0
20200109,26.1194,26.1194,26.1194,26.1194,10,0
20200110,26.14,26.14,26.105,26.105,4488,0
20200113,26.17,26.1807,26.17,26.1807,394,0
20200114,26.2,26.22,26.18,26.18,3468,0
20200115,26.2002,26.2002,26.2002,26.2002,10,0
20200116,26.3048,26.3048,26.3048,26.3048,10,0
20200117,26.3281,26.3281,26.3281,26.3281,10,0
20200121,26.34,26.34,26.315,26.315,2900,0
20200122,26.35,26.36,26.329,26.329,580,0
