Date,Open,High,Low,Close,Volume,OpenInt
20090714,17.732,17.916,17.69,17.812,596304,0
20090715,18.078,18.379,18.072,18.379,613330,0
20090716,18.288,18.559,18.243,18.492,313891,0
20090717,18.509,18.545,18.398,18.492,133966,0
20090720,18.615,18.651,18.496,18.651,45435,0
20090721,18.728,18.764,18.586,18.764,163837,0
20090722,18.669,18.854,18.669,18.741,247831,0
20090723,18.787,19.241,18.767,19.187,92230,0
20090724,19.13,19.264,18.999,19.251,130818,0
20090727,19.241,19.32,19.13,19.286,473725,0
20090728,19.277,19.306,19.064,19.286,372842,0
20090729,19.205,19.296,19.109,19.224,214961,0
20090730,19.401,19.637,18.696,19.423,222880,0
20090731,18.886,19.601,18.886,19.42,13073,0
20090803,19.675,20.503,19.518,19.71,174124,0
20090804,19.688,19.769,19.58,19.735,227687,0
20090805,19.773,19.817,19.585,19.759,202212,0
20090806,19.755,19.755,19.229,19.614,120199,0
20090807,19.773,19.961,19.688,19.872,321287,0
20090810,19.741,19.837,19.659,19.675,128025,0
20090811,19.735,19.735,19.524,19.585,162750,0
20090812,19.486,19.903,19.486,19.764,375816,0
20090813,19.993,19.993,19.688,19.895,153353,0
20090814,19.948,19.948,19.555,19.701,70422,0
20090817,19.45,19.45,19.237,19.315,106119,0
20090818,19.323,19.498,18.886,19.478,29994,0
20090819,19.396,19.675,19.391,19.614,22040,0
20090820,19.651,19.801,19.651,19.801,46915,0
20090821,19.948,20.237,19.948,20.237,17426,0
20090824,20.353,20.376,20.144,20.169,85831,0
20090825,20.311,20.449,20.198,20.224,203445,0
20090826,20.215,20.34,20.134,20.251,174202,0
20090827,20.182,20.336,20.031,20.311,106580,0
20090828,20.372,20.441,20.139,20.259,111445,0
20090831,20.103,20.103,19.993,20.054,12876,0
20090901,20.048,20.256,19.701,19.701,211183,0
20090902,19.61,19.728,19.551,19.601,224119,0
20090903,19.659,19.788,19.659,19.788,1129,0
20090904,19.773,20.022,19.769,20.022,35432,0
20090908,20.247,20.247,20.139,20.22,181718,0
20090909,20.23,20.476,20.22,20.449,103870,0
20090910,20.495,20.661,20.336,20.651,54762,0
20090911,20.696,20.745,20.57,20.642,83819,0
20090914,20.5,20.736,20.5,20.736,78609,0
20090915,20.794,20.866,20.71,20.823,103157,0
20090916,20.928,21.094,20.834,21.077,55680,0
20090917,21.122,21.2,20.959,21.024,99830,0
20090918,21.059,21.171,21.028,21.098,14006,0
20090921,20.967,22.251,20.857,21.02,79371,0
20090922,21.218,21.218,21.065,21.149,116866,0
20090923,21.171,21.353,21.002,21.006,159794,0
20090924,21.002,21.01,20.676,20.731,103090,0
20090925,20.672,20.811,20.57,20.642,101753,0
20090928,20.981,21.055,20.963,21.033,6795,0
20090929,21.089,21.2,21.006,21.067,63409,0
20090930,21.102,21.112,20.806,21.006,36538,0
20091001,20.95,20.95,20.453,20.476,140460,0
20091002,20.247,20.445,20.247,20.336,71165,0
20091005,20.412,20.691,20.376,20.661,39810,0
20091006,20.823,21.067,20.823,20.998,31105,0
20091007,20.963,21.024,20.928,21.015,13491,0
20091008,21.145,21.28,21.126,21.183,25154,0
20091009,21.139,21.298,21.139,21.298,51020,0
20091012,21.455,21.475,21.353,21.442,2816,0
20091013,21.298,21.389,21.241,21.375,38200,0
20091014,21.586,21.707,21.498,21.707,37955,0
20091015,21.658,21.758,21.554,21.758,50806,0
20091016,21.595,21.681,21.485,21.59,59029,0
20091019,21.747,21.853,21.604,21.798,38723,0
20091020,21.823,21.823,21.545,21.641,39415,0
20091021,21.654,21.789,21.429,21.434,38794,0
20091022,21.438,21.767,21.361,21.707,46238,0
20091023,21.747,21.78,21.415,21.485,39028,0
20091026,21.485,21.685,21.228,21.249,23899,0
20091027,21.306,21.321,21.187,21.187,31046,0
20091028,21.08,21.08,20.736,20.736,52127,0
20091029,20.876,21.241,20.854,21.228,16807,0
20091030,21.149,21.153,20.607,20.647,31340,0
20091102,20.715,20.898,20.554,20.834,52786,0
20091103,20.589,20.88,20.589,20.88,37120,0
20091104,21.178,21.178,20.755,20.854,54075,0
20091105,20.989,21.214,20.989,21.214,53713,0
20091106,21.145,21.33,21.139,21.302,31674,0
20091109,21.434,21.842,21.434,21.842,38212,0
20091110,21.771,21.789,21.685,21.784,38035,0
20091111,21.942,22.052,21.814,21.905,27184,0
20091112,21.808,21.955,21.641,21.681,70228,0
20091113,21.767,21.87,21.662,21.823,38454,0
20091116,21.942,22.181,21.942,22.096,59171,0
20091117,21.977,22.12,21.902,22.12,32952,0
20091118,22.136,22.136,21.935,22.087,23118,0
20091119,21.842,21.842,21.641,21.747,30444,0
20091120,21.668,21.747,21.586,21.747,28332,0
20091123,21.955,22.08,21.905,21.969,104264,0
20091124,21.994,22.015,21.325,22.015,30040,0
20091125,22.062,22.062,21.964,22.025,13762,0
20091127,21.586,21.804,21.545,21.717,47519,0
20091130,21.685,21.771,21.576,21.758,91668,0
20091201,21.983,22.062,21.915,22.007,16470,0
20091202,22.052,22.156,21.973,22.038,26220,0
20091203,22.124,22.181,21.828,21.865,21140,0
20091204,22.141,22.204,21.832,21.969,34935,0
20091207,22.007,22.08,22.002,22.028,25265,0
20091208,21.86,21.86,21.662,21.698,13479,0
20091209,21.614,21.798,21.581,21.798,586203,0
20091210,21.937,21.983,21.93,21.942,23151,0
20091211,22.033,22.062,21.942,22.011,28129,0
20091214,22.186,22.261,22.1,22.261,39108,0
20091215,22.15,22.169,22.052,22.105,14096,0
20091216,22.186,22.251,22.1,22.12,27333,0
20091217,22.002,22.002,21.845,21.845,15870,0
20091218,21.994,21.997,21.837,21.99,16824,0
20091221,21.738,22.27,21.738,22.204,198069,0
20091222,22.238,22.34,22.238,22.326,27129,0
20091223,22.372,22.372,22.273,22.348,22006,0
20091224,22.393,22.476,22.357,22.476,76577,0
20091228,22.523,22.523,22.434,22.485,10821,0
20091229,22.547,22.547,22.502,22.514,6340,0
20091230,22.434,22.448,22.385,22.448,7188,0
20091231,22.462,22.462,22.235,22.235,10862,0
20100104,22.425,22.572,22.34,22.55,24416,0
20100105,22.592,22.665,22.542,22.656,26256,0
20100106,22.665,22.74,22.633,22.69,30460,0
20100107,22.686,22.796,22.651,22.782,28808,0
20100108,22.746,22.777,22.656,22.759,17509,0
20100111,22.912,22.912,22.801,22.897,9822,0
20100112,22.796,22.827,22.646,22.726,46794,0
20100113,22.714,22.921,22.7,22.912,18189,0
20100114,23.547,23.547,22.844,22.931,9402,0
20100115,22.884,22.884,22.629,22.675,9432,0
20100119,22.679,22.917,22.606,22.907,26399,0
20100120,22.793,22.793,22.511,22.683,25537,0
20100121,22.801,22.801,22.235,22.295,30147,0
20100122,22.235,22.278,21.842,21.878,22552,0
20100125,22.019,22.028,21.878,21.93,45625,0
20100126,21.837,22.083,21.837,21.865,21643,0
20100127,21.902,22.028,21.763,22.028,42432,0
20100128,22.033,22.033,21.658,21.767,15805,0
20100129,21.837,21.985,21.545,21.581,33749,0
20100201,21.641,21.784,21.632,21.784,35095,0
20100202,21.86,22.093,21.828,22.093,13871,0
20100203,22.038,22.08,21.93,22.042,40631,0
20100204,21.814,21.814,21.37,21.37,60929,0
20100205,21.375,21.397,20.976,21.397,35503,0
20100208,21.424,21.46,20.819,21.228,43769,0
20100209,21.402,21.572,21.315,21.451,35583,0
20100210,21.434,21.489,21.267,21.41,14398,0
20100211,21.419,21.624,21.306,21.59,43679,0
20100212,21.357,21.586,21.051,21.586,41459,0
20100216,22.389,22.389,21.689,21.95,30835,0
20100217,22.062,22.067,22.002,22.067,3507,0
20100218,22.083,22.23,22.028,22.226,7640,0
20100219,22.308,22.308,22.242,22.265,6795,0
20100222,22.238,22.321,22.204,22.208,10303,0
20100223,22.204,22.242,21.945,21.99,51698,0
20100224,22.057,22.194,22.025,22.194,18582,0
20100225,21.969,22.156,21.87,22.156,28904,0
20100226,22.087,22.33,22.087,22.257,590888,0
20100301,22.385,22.506,22.34,22.494,113001,0
20100302,22.61,22.638,22.523,22.55,431461,0
20100303,22.629,22.714,22.499,22.537,36496,0
20100304,22.665,22.665,22.53,22.656,20677,0
20100305,22.73,22.963,22.73,22.963,15213,0
20100308,22.963,22.989,22.931,22.963,23428,0
20100309,22.893,23.056,22.884,22.958,21281,0
20100310,23.034,23.128,23.034,23.114,174956,0
20100311,23.074,23.222,23.056,23.222,23260,0
20100312,23.24,23.24,23.157,23.162,14565,0
20100315,23.162,23.204,23.029,23.17,12810,0
20100316,23.138,23.422,23.138,23.391,14319,0
20100317,23.484,23.608,23.474,23.519,22464,0
20100318,23.538,23.597,23.464,23.56,11268,0
20100319,23.589,23.589,23.35,23.428,12532,0
20100322,23.377,23.631,23.373,23.618,23073,0
20100323,23.75,23.801,23.6,23.791,87235,0
20100324,23.709,23.709,23.566,23.621,7347,0
20100325,23.787,23.84,23.579,23.579,19084,0
20100326,23.649,23.705,23.123,23.566,15927,0
20100329,23.714,23.731,23.639,23.727,23275,0
20100330,23.705,23.801,23.627,23.735,17650,0
20100331,23.649,23.735,23.583,23.649,16600,0
20100401,23.853,23.866,23.663,23.768,25593,0
20100405,23.814,23.986,23.796,23.976,64691,0
20100406,23.926,24.061,23.926,24.014,21710,0
20100407,23.953,24.039,23.857,23.909,45572,0
20100408,23.827,24.061,23.778,24.043,78894,0
20100409,24.023,24.146,23.989,24.136,45362,0
20100412,24.159,24.223,24.132,24.198,75614,0
20100413,24.173,24.251,24.033,24.228,96583,0
20100414,24.348,24.519,24.301,24.511,110532,0
20100415,24.506,24.619,24.479,24.585,102808,0
20100416,24.511,24.511,24.029,24.146,73596,0
20100419,23.635,24.219,23.575,24.219,100916,0
20100420,24.395,24.457,24.314,24.432,100028,0
20100421,24.451,24.506,24.278,24.409,161470,0
20100422,24.301,24.487,24.127,24.474,108139,0
20100423,24.453,24.571,24.405,24.563,53033,0
20100426,24.562,24.612,24.487,24.501,37694,0
20100427,24.292,24.375,23.814,23.85,83381,0
20100428,23.94,24.097,23.663,24.003,119472,0
20100429,24.207,24.382,24.184,24.314,62219,0
20100430,24.369,24.392,23.94,23.94,86591,0
20100503,24.089,24.269,23.989,24.232,21277,0
20100504,23.953,23.953,23.566,23.658,28384,0
20100505,23.498,23.718,23.383,23.57,42573,0
20100506,23.405,23.524,19.948,22.669,128667,0
20100507,22.61,22.71,22.16,22.434,32507,0
20100510,23.442,23.442,23.059,23.24,84011,0
20100511,23.029,23.543,23.029,23.263,74612,0
20100512,23.377,23.56,23.354,23.534,14734,0
