Date,Open,High,Low,Close,Volume,OpenInt
20060621,9.842,10.036,9.842,9.972,1458198,0
20060622,9.867,9.89,9.815,9.887,324973,0
20060623,9.847,9.947,9.81,9.853,518679,0
20060626,9.857,9.904,9.798,9.904,1231044,0
20060627,9.91,9.91,9.674,9.685,507738,0
20060628,9.703,9.769,9.663,9.757,313397,0
20060629,9.852,10.148,9.852,10.144,811483,0
20060630,10.205,10.205,10.105,10.141,249681,0
20060703,10.162,10.225,10.162,10.225,177600,0
20060705,10.104,10.124,10.044,10.084,313397,0
20060706,10.159,10.265,10.15,10.223,615208,0
20060707,10.105,10.124,9.941,9.985,1317269,0
20060710,10.038,10.119,9.966,9.993,666681,0
20060711,9.984,10.063,9.864,10.044,1097845,0
20060712,10.05,10.052,9.801,9.802,707862,0
20060713,9.718,9.727,9.4885,9.4995,1354603,0
20060714,9.4755,9.4755,9.2799,9.325,1249054,0
20060717,9.3994,9.4202,9.2915,9.3396,1077885,0
20060718,9.4544,9.4544,9.2314,9.4271,920868,0
20060719,9.572,9.847,9.527,9.79,1194360,0
20060720,9.847,9.857,9.643,9.662,471041,0
20060721,9.45,9.656,9.45,9.543,559202,0
20060724,9.681,9.865,9.631,9.847,1117782,0
20060725,9.852,10.004,9.768,9.957,1426660,0
20060726,9.919,10.036,9.85,9.952,621632,0
20060727,10.071,10.092,9.919,9.949,790233,0
20060728,10.086,10.197,10.047,10.146,636454,0
20060731,10.078,10.137,10.074,10.092,301815,0
20060801,10.044,10.044,9.902,9.986,296662,0
20060802,10.074,10.165,10.035,10.098,484563,0
20060803,10.031,10.233,10.031,10.183,559849,0
20060804,10.303,10.4,10.098,10.196,962700,0
20060807,10.168,10.173,10.099,10.151,74655,0
20060808,10.175,10.247,10.006,10.057,982642,0
20060809,10.181,10.192,9.877,9.89,523822,0
20060810,9.893,10.017,9.837,9.974,503232,0
20060811,9.954,9.954,9.845,9.921,382262,0
20060814,10.017,10.141,9.913,9.929,601671,0
20060815,10.105,10.215,10.042,10.151,893198,0
20060816,10.233,10.364,10.222,10.35,4541291,0
20060817,10.337,10.441,10.036,10.381,1047000,0
20060818,10.407,10.457,10.349,10.449,378384,0
20060821,10.374,10.407,10.355,10.396,293446,0
20060822,10.378,10.457,10.299,10.376,369378,0
20060823,10.387,10.433,10.238,10.281,426006,0
20060824,10.33,10.349,10.261,10.309,382262,0
20060825,10.267,10.326,10.256,10.295,247111,0
20060828,10.289,10.465,10.278,10.402,342996,0
20060829,10.392,10.446,10.306,10.446,537971,0
20060830,10.444,10.488,10.42,10.466,333330,0
20060831,10.469,10.494,10.447,10.467,157014,0
20060901,10.521,10.622,10.483,10.599,292808,0
20060905,10.561,10.638,10.556,10.612,495514,0
20060906,10.532,10.551,10.471,10.484,316625,0
20060907,10.428,10.462,10.337,10.357,490360,0
20060908,10.392,10.483,10.378,10.461,195625,0
