Date,Open,High,Low,Close,Volume,OpenInt
20061117,44.213,44.222,44.213,44.222,236,0
20061121,44.265,44.265,44.265,44.265,101,0
20061122,44.399,44.399,44.399,44.399,101,0
20061127,43.846,43.846,43.661,43.679,1482,0
20061128,43.679,43.679,43.679,43.679,573,0
20061129,43.96,44.128,43.96,44.092,3428,0
20061130,43.969,44.265,43.969,44.265,916,0
20061201,44.136,44.136,43.917,43.944,916,0
20061205,44.619,44.65,44.619,44.65,1828,0
20061206,44.703,44.703,44.659,44.659,3315,0
20061207,44.793,44.793,44.538,44.538,2631,0
20061208,44.591,44.619,44.591,44.619,2057,0
20061211,44.748,44.748,44.677,44.677,1828,0
20061214,44.93,45.062,44.93,45.038,4914,0
20061215,45.166,45.166,45.166,45.166,338,0
20061218,45.055,45.055,45.055,45.055,1374,0
20061219,45.003,45.003,44.904,44.904,458,0
20061220,44.904,44.904,44.819,44.819,573,0
20061221,44.836,44.836,44.836,44.836,685,0
20061222,44.572,44.572,44.485,44.485,1602,0
20061227,44.802,44.802,44.774,44.774,1258,0
20061228,44.819,44.819,44.774,44.811,1715,0
20061229,44.896,44.896,44.748,44.748,11662,0
20070103,44.879,44.879,44.65,44.659,458,0
20070104,44.677,44.94,44.677,44.94,5599,0
20070105,44.555,44.572,44.555,44.572,236,0
20070108,44.642,44.703,44.627,44.703,25492,0
20070109,44.563,44.642,44.563,44.642,458,0
20070110,44.563,44.836,44.563,44.836,2742,0
20070111,45.038,45.186,45.038,45.186,338,0
20070112,45.186,45.369,45.186,45.334,12457,0
20070116,45.403,45.403,45.297,45.403,4914,0
20070117,45.351,45.449,45.239,45.239,36119,0
20070118,45.275,45.306,45.195,45.195,1374,0
20070119,45.124,45.239,45.124,45.239,338,0
20070122,45.257,45.257,44.958,45.038,16686,0
20070123,45.055,45.08,45.012,45.08,1258,0
20070124,45.23,45.449,45.23,45.449,5256,0
20070125,45.493,45.493,45.003,45.062,5828,0
20070126,44.958,44.958,44.896,44.896,458,0
20070129,45.02,45.02,44.896,45.012,3083,0
20070130,45.038,45.204,44.887,45.176,21261,0
20070131,45.204,46.83,45.15,45.51,1944,0
20070201,45.534,45.553,45.534,45.553,8687,0
20070202,45.771,45.771,45.725,45.725,573,0
20070205,45.7,45.7,45.682,45.682,458,0
20070206,45.682,45.682,45.484,45.623,1482,0
20070207,45.571,45.816,45.571,45.682,24806,0
20070208,45.571,45.641,45.553,45.641,685,0
20070209,45.771,45.771,45.36,45.36,11430,0
20070212,45.315,45.315,45.247,45.275,1142,0
20070213,46.305,46.305,45.475,45.475,3083,0
20070214,45.935,45.998,45.935,45.979,1944,0
20070215,45.969,46.052,45.969,46.052,1944,0
20070216,45.953,45.969,45.895,45.961,1258,0
20070220,45.945,46.071,45.945,46.071,916,0
20070221,46.052,46.146,45.988,46.08,25837,0
20070222,46.13,46.13,45.905,45.961,7318,0
20070223,45.789,45.844,45.789,45.844,2970,0
20070226,45.844,45.844,45.651,45.651,4914,0
20070227,45.142,45.142,44.092,44.136,2057,0
20070228,44.293,44.642,44.293,44.485,1715,0
20070301,44.092,44.355,44.092,44.265,685,0
20070302,44.265,44.346,43.804,43.863,10172,0
20070305,43.829,43.829,43.487,43.487,573,0
20070306,43.743,44.031,43.743,44.022,3083,0
20070307,43.985,44.003,43.846,43.846,3888,0
20070308,44.257,44.283,44.056,44.12,1258,0
20070309,44.232,44.249,44.074,44.128,1944,0
20070312,44.145,44.205,44.111,44.205,2399,0
20070313,44.145,44.145,43.479,43.479,2057,0
