Date,Open,High,Low,Close,Volume,OpenInt
20071101,1694.87,1728.92,1669.85,1727,792,0
20071102,1686.05,1758.21,1674.63,1699.38,1216,0
20071105,1762.76,1846.84,1762.76,1814.69,6476,0
20071106,1720.61,1771.31,1674.86,1681.75,3193,0
20071107,1725.82,1810.4,1710.37,1810.4,6654,0
20071108,1764.42,1906.65,1740.59,1796.57,54458,0
20071109,1833.75,1881.84,1796.57,1864.7,16928,0
20071112,1908.08,2063.61,1904,2060.07,39601,0
20071113,1953.33,1953.33,1765.16,1781.56,13308,0
20071114,1708.46,1798.49,1688.2,1779.92,9595,0
20071115,1818.03,1894,1781.11,1854.47,10245,0
20071116,1830.64,1890.46,1806.13,1814.69,8080,0
20071119,1881.84,1992.16,1874.26,1968.84,10656,0
20071120,1919.5,1969.76,1834.48,1891.63,12367,0
20071121,2013.35,2086.75,1989.08,2059.57,10805,0
20071123,1953.33,1990.5,1933.52,1954.76,4789,0
20071126,1919.99,2097.67,1890.91,2096.74,11985,0
20071127,2031.7,2064.34,1924.98,1934.77,12540,0
20071128,1910.45,1910.45,1732.51,1756.8,18869,0
20071129,1788.01,1798.24,1727,1778.01,12577,0
20071130,1676.3,1768.46,1676.3,1753.93,8742,0
20071203,1747.53,1788.26,1747.53,1765.36,6003,0
20071204,1776.83,1796.14,1745.12,1766.58,4393,0
20071205,1692,1692,1629.38,1629.38,11685,0
20071206,1650.8,1653.16,1574.83,1581.48,5192,0
20071207,1592.67,1630.8,1592.67,1618.69,5005,0
20071210,1635.08,1635.53,1601.96,1617.21,2758,0
20071211,1604.81,1768.7,1592.67,1740.59,9421,0
20071212,1591.97,1728.24,1568.88,1656.76,12646,0
20071213,1742.27,1784.21,1715.34,1732.95,15539,0
20071214,1810.16,1825.87,1766.34,1815.87,6618,0
20071217,1891.4,1980.69,1882.82,1969.28,13825,0
20071218,1860.67,1974.54,1854.96,1887.1,17932,0
20071219,1866.14,1882.08,1823.26,1844.97,7459,0
20071220,1814.94,1864.7,1811.83,1832.56,5814,0
20071221,1769.45,1774.17,1717.5,1721.3,7208,0
20071224,1729.41,1729.41,1655.56,1655.56,2779,0
20071226,1682.7,1683.44,1631.74,1631.74,4191,0
20071227,1672.71,1720.86,1659.37,1705.6,11564,0
20071228,1676.3,1723.47,1668.41,1693.67,7454,0
20071231,1693.67,1746.54,1693.67,1740.59,4810,0
20080102,1717.75,1816.86,1697.03,1793.96,6180,0
20080103,1757.96,1781.56,1741.34,1764.17,13363,0
20080104,1797.06,1905.67,1796.33,1871.59,29559,0
20080107,1849.94,1907.83,1821.24,1844.72,21110,0
20080108,1803.27,1885.44,1765.6,1881.84,19652,0
20080109,1825.87,1873.29,1755.36,1755.36,21960,0
20080110,1813.51,1826.61,1691.52,1715.14,21692,0
20080111,1788.51,1825.42,1743.7,1808.35,13694,0
20080114,1761.82,1788.94,1738.93,1760.63,11156,0
20080115,1827.53,1929.49,1821.14,1912.61,31346,0
20080116,1973.12,2131.5,1953.33,2073.61,68801,0
20080117,2036.72,2208.2,1981.44,2207.95,52591,0
20080118,2066.47,2198.2,2030.76,2089.11,59277,0
20080122,2382.09,2384.95,2101.7,2194.51,64766,0
20080123,2382.09,2531.02,2150.35,2150.35,70282,0
20080124,2167.72,2184.87,2042.63,2073.61,30133,0
20080125,2004.08,2215.34,1970.01,2143.91,29982,0
20080128,2177.24,2233.46,2055.04,2055.04,29368,0
20080129,2052.68,2119.83,2048.6,2065.27,15517,0
20080130,2123.86,2149.85,1966.17,2120.08,31890,0
20080131,2195.85,2217.75,2006.69,2060.76,38029,0
20080201,2011.91,2030.03,1932.6,1949.04,19959,0
20080204,1931.67,1960.21,1910.45,1935.69,15394,0
20080205,2021.71,2156.75,2016.45,2141.49,28751,0
20080206,2120.8,2230.34,2062.91,2230.34,42400,0
20080207,2227.25,2274.91,2099.6,2124.86,41793,0
20080208,2191.56,2208.2,2120.08,2150.8,26545,0
20080211,2191.07,2213.22,2096.24,2096.49,19765,0
20080212,2094.13,2094.13,1953.33,2032.39,31500,0
20080213,1960.02,2029.34,1924.73,1935.46,21256,0
20080214,1899.72,1988.08,1887.1,1988.08,20509,0
20080215,1974.99,2020.72,1955.01,1957.37,15849,0
20080219,1873.77,1928.81,1854.37,1899.28,19213,0
20080220,1985.02,1985.22,1860.43,1879.48,40460,0
20080221,1858.25,1937.87,1844.72,1929.49,17704,0
20080222,1937.63,1975.74,1875.53,1875.93,23773,0
20080225,1919.5,1919.5,1802.53,1803.51,24726,0
20080226,1787.06,1842.69,1742.27,1763.49,23048,0
20080227,1785.4,1795.15,1706.76,1728.24,15370,0
20080228,1783,1783.46,1737.99,1764.47,18415,0
20080229,1784.45,1911.63,1784.45,1856.38,27126,0
20080303,1909.95,1949.73,1872.84,1902.36,29317,0
20080304,1969.28,2041.45,1915.21,1973.8,45391,0
20080305,1967.85,1967.85,1875.19,1896.61,27988,0
20080306,1934.27,2025.25,1900.94,2024.56,25242,0
20080307,2096,2104.63,1984.53,2079.12,59244,0
20080310,2083.14,2191.56,2055.78,2165.37,49032,0
20080311,1954.51,2039.58,1850.87,1865.89,72776,0
20080312,1900.69,1933.77,1850.87,1930.68,28957,0
20080313,2035.06,2066.96,1924.24,1959.52,54236,0
20080314,1909.26,2128.63,1909.26,2096.24,62902,0
20080317,2227.5,2297.81,2164.39,2201.05,86931,0
20080318,2053.63,2120.08,1971.43,1974.44,46906,0
20080319,1977.15,2220.11,1977.15,2203.47,46527,0
20080320,2262.07,2281.35,2133.66,2147.25,44777,0
20080324,2096.24,2105.79,1947.86,1978.33,46956,0
20080325,1948.8,1969.04,1906.17,1908.08,25751,0
20080326,1953.33,1981.93,1928.81,1962.39,29763,0
20080327,1915.46,1970.01,1907.58,1962.87,24406,0
20080328,1964.99,1986.46,1924.29,1977.15,14523,0
20080331,1969.52,1985.22,1946.87,1960.96,29140,0
20080401,1905.67,1916.15,1793.71,1806.8,37381,0
20080402,1801.11,1837.34,1769.89,1805.63,31971,0
20080403,1818.48,1820.89,1731.1,1757.53,21661,0
20080404,1773.22,1792.04,1721.55,1763.74,18289,0
20080407,1708.69,1747.98,1674.86,1720.86,18645,0
20080408,1751.82,1764.42,1723.96,1735.38,17631,0
20080409,1756.1,1808.73,1742.03,1793.71,14980,0
20080410,1785.15,1801.11,1727.5,1737.49,22956,0
20080411,1783.96,1814.69,1759.89,1799.67,24766,0
20080414,1816.86,1834.24,1772.75,1806.8,48326,0
20080415,1772.06,1798.49,1758.46,1767.53,12626,0
20080416,1727,1727,1655.56,1655.56,27674,0
20080417,1691.07,1708.69,1669.85,1670.09,16006,0
20080418,1631.25,1663.55,1614.37,1641.73,28040,0
20080421,1655.56,1657.69,1612.2,1621.25,14007,0
20080422,1634.59,1671.52,1623.86,1646.03,10275,0
20080423,1614.62,1640.07,1601.96,1603.14,11434,0
