Date,Open,High,Low,Close,Volume,OpenInt
20070223,13.978,13.987,13.938,13.952,239498,0
20070226,13.995,13.995,13.941,13.941,5717,0
20070227,13.775,13.81,13.488,13.488,12847,0
20070228,13.587,13.587,13.537,13.539,14991,0
20070301,13.494,13.548,13.494,13.548,1060,0
20070302,13.447,13.461,13.365,13.394,26413,0
20070305,13.241,13.371,13.241,13.286,62817,0
20070306,13.347,13.347,13.347,13.347,4292,0
20070307,13.405,13.479,13.405,13.479,8936,0
20070308,13.537,13.537,13.537,13.537,352,0
20070309,13.531,13.531,13.507,13.507,2495,0
20070312,13.482,13.482,13.482,13.482,3563,0
20070313,13.316,13.316,13.283,13.283,4639,0
20070314,13.191,13.191,13.191,13.191,352,0
20070315,13.362,13.382,13.341,13.382,32121,0
20070316,13.344,13.408,13.344,13.356,23202,0
20070320,13.504,13.557,13.504,13.557,8936,0
20070321,13.81,13.827,13.807,13.807,3213,0
20070322,13.827,13.855,13.827,13.843,4639,0
20070323,13.878,13.878,13.878,13.878,352,0
20070326,13.829,13.829,13.829,13.829,352,0
20070327,13.78,13.783,13.76,13.783,7144,0
20070329,13.684,13.684,13.676,13.676,709,0
20070330,13.709,13.709,13.709,13.709,2141,0
20070402,13.661,13.661,13.661,13.661,352,0
20070404,13.84,13.849,13.84,13.84,4292,0
20070405,13.868,13.915,13.868,13.905,18928,0
20070409,13.938,13.941,13.907,13.918,14991,0
20070410,13.949,13.963,13.93,13.963,2854,0
20070411,13.961,13.961,13.889,13.891,12496,0
20070412,13.849,13.946,13.849,13.946,11421,0
20070413,13.969,13.984,13.969,13.978,8936,0
20070416,14.059,14.147,14.059,14.147,21066,0
20070417,14.159,14.191,14.15,14.164,6775,0
20070418,14.15,14.209,14.147,14.203,5003,0
20070419,14.096,14.194,14.096,14.173,7844,0
20070420,14.266,14.282,14.266,14.282,5717,0
20070423,14.322,14.325,14.277,14.285,19985,0
20070424,14.227,14.285,14.209,14.285,237718,0
20070425,14.334,14.414,14.29,14.414,13920,0
20070426,14.401,14.401,14.383,14.383,7497,0
20070427,14.348,14.404,14.348,14.374,210592,0
20070430,14.369,14.411,14.277,14.277,85303,0
20070501,14.285,14.303,14.242,14.303,76740,0
20070502,14.334,14.414,14.334,14.386,18211,0
20070503,14.411,14.467,14.407,14.454,47120,0
20070504,14.515,14.515,14.486,14.495,8213,0
20070507,14.524,14.541,14.521,14.533,25339,0
20070508,14.495,14.524,14.467,14.524,11421,0
