Date,Open,High,Low,Close,Volume,OpenInt
20071108,252.26,258.2,252.26,255.16,9124,0
20071109,266.19,267.93,263.71,263.71,4662,0
20071112,264.99,265.35,260.08,264.83,2180,0
20071113,261.03,261.03,254.52,254.52,7670,0
20071114,250.38,254.48,250.38,254.48,777,0
20071115,256.92,258.64,255.12,258.64,1279,0
20071116,258.8,262.59,258.8,261.39,576,0
20071119,265.87,271.64,265.87,269.17,6066,0
20071120,256.04,261.43,253.89,254.8,5013,0
20071121,268.25,270.05,264.19,264.99,1504,0
20071123,256.2,256.72,254.12,254.12,3686,0
20071126,250.98,255.72,249.38,255.4,3058,0
20071127,250.66,250.66,245.32,245.6,1254,0
20071128,247.5,247.98,240.33,240.33,2832,0
20071129,239.41,239.41,236.42,238.85,1980,0
20071130,233.27,239.13,233.27,239.13,1304,0
20071203,238.34,240.13,238.34,240.13,250,0
20071204,243.6,244.96,243.44,243.44,927,0
20071205,234.07,235.06,233.79,234.42,927,0
20071206,234.22,235.22,228.87,228.99,2957,0
20071207,232.31,233.35,232.31,232.35,1629,0
20071210,232.35,232.35,231.27,231.63,852,0
20071211,231.23,243.4,231.23,243.04,4437,0
20071212,232.11,241.2,232.03,239.53,4261,0
20071213,249.7,252.86,248.98,249.78,10778,0
20071214,256.68,262.31,255.96,260.95,6191,0
20071217,269.97,276.31,268.33,275.51,4662,0
20071218,269.61,275.07,266.47,268.21,6768,0
20071219,269.93,272.76,268.25,272.76,2332,0
20071220,268.25,271.16,266.15,268.25,1604,0
20071221,264.55,265.51,259.32,259.32,8473,0
20071224,266.63,266.63,251.06,261.75,1655,0
20071226,257,257.96,256.64,257.96,300,0
20071227,261.27,264.35,259.72,264.35,1479,0
20071228,261.19,262.35,261.15,262.35,3133,0
20071231,261.79,264.55,261.79,262.23,5189,0
20080102,258.48,263.67,258.48,263.27,3083,0
20080103,260.91,262.71,260.16,260.99,2707,0
20080104,266.71,276.87,266.71,275.67,8096,0
20080107,275.43,278.91,275.43,276.67,5489,0
20080108,271,278.91,269.81,278.71,4387,0
20080109,270.84,274.59,266.39,266.39,5189,0
20080110,275.35,276.91,268.97,271.36,5539,0
20080111,278.91,282.65,278.55,281.18,7019,0
20080114,275.15,277.43,273.87,273.87,2882,0
20080115,285.65,294.74,284.89,291.88,8323,0
20080116,299.13,305.56,295.78,301.32,10809,0
20080117,295.94,309.91,293.55,308.91,6392,0
20080118,293.98,303.4,290.64,292.4,10176,0
20080122,329.65,329.65,307.83,313.57,10051,0
20080123,330.93,337.2,309.59,309.59,26619,0
20080124,306.12,308.27,300.24,302.12,5314,0
20080125,283.65,297.33,281.14,292.72,13535,0
20080128,299.85,304.32,292.52,295.82,9114,0
20080129,287.8,290.24,286.17,286.89,5690,0
20080130,292.88,295.02,280.34,287.76,9374,0
20080131,290.44,290.92,277.03,278.59,11706,0
20080201,276.63,278.75,275.03,275.59,2155,0
20080204,275.51,278.75,275.15,278.75,2005,0
20080205,287.12,297.13,287.08,296.34,13987,0
20080206,297.73,304,297.69,303.36,7544,0
20080207,304.44,305.76,297.81,302.88,1705,0
20080208,308.55,317.96,307.47,315.45,5444,0
20080211,321.91,321.91,307.15,309.31,18097,0
20080212,300.36,304.04,297.93,300.96,9701,0
20080213,303.84,308.67,303.12,303.6,4537,0
20080214,295.5,299.77,290.08,299.77,10277,0
20080215,294.54,299.13,293.44,293.98,3383,0
20080219,293.04,293.04,279.47,286.96,19677,0
20080220,296.02,303.72,295.18,297.85,9274,0
20080221,289.44,295.22,286.85,293.98,6211,0
20080222,296.89,299.61,288.4,290.28,15214,0
20080225,282.18,285.49,277.07,278.31,10044,0
20080226,278.59,279.71,269.97,271.08,6793,0
20080227,270.68,276.55,269.69,274.27,2482,0
20080228,277.23,279.95,276.15,279.95,3413,0
20080229,288.08,288.08,283.25,287.64,6079,0
20080303,289.16,292.36,287.52,288.72,6016,0
20080304,298.57,306.52,296.85,299.57,12714,0
20080305,295.82,299.61,291.28,298.53,12985,0
20080306,294.86,303.2,294.3,303.08,23286,0
20080307,307.39,311.7,304.84,310.39,16042,0
20080310,312.94,314.69,306.36,314.69,9299,0
20080311,304.6,306.12,295.82,295.82,11380,0
20080312,292.44,296.73,290.88,296.73,6342,0
20080313,305.36,310.91,292.36,294.06,43615,0
20080314,288.2,315.17,288.2,312.58,35180,0
20080317,319.84,324.11,309.23,316.05,45744,0
20080318,306.87,306.87,298.41,298.49,14964,0
20080319,299.65,315.37,299.49,315.05,7945,0
20080320,320.83,320.83,301.16,302.04,6543,0
20080324,293.32,293.32,285.53,286.09,4862,0
20080325,285.45,285.45,276.87,279.79,14713,0
20080326,278.23,284.85,277.79,282.61,8623,0
20080327,279.15,283.97,279.03,283.97,4173,0
20080328,283.97,283.97,276.87,282.65,2732,0
20080331,286.85,287.28,283.89,285.53,1755,0
20080401,286.57,286.57,271.04,271.44,6718,0
20080402,265.71,273.44,265.71,272,6918,0
20080403,270.17,270.72,265.83,268.53,5738,0
20080404,268.09,269.81,265.39,266.71,5364,0
20080407,263.67,266.03,261.39,266.03,5489,0
20080408,273.08,274.43,271.84,272.24,5464,0
20080409,277.91,281.9,277.91,281.14,2882,0
20080410,287.84,287.84,277.15,281.62,5164,0
20080411,289.72,289.72,275.55,280.82,5038,0
20080414,282.02,283.05,278.91,283.05,2811,0
20080415,279.19,282.41,278.63,279.67,1028,0
20080416,275.15,275.15,261.11,261.11,14000,0
20080417,263.71,268.37,263.71,267.07,1463,0
20080418,261.47,262.67,257.96,258.32,2632,0
20080421,258.68,260.44,255.88,255.88,1642,0
20080422,262.43,265.79,262.43,264.95,3936,0
20080423,263.27,265.11,260.44,261.19,1554,0
20080424,263.55,267.89,260.12,260.12,3836,0
20080425,253.3,255.92,252.1,254.68,2405,0
20080428,250.5,250.5,243.36,245.72,2757,0
20080429,246.08,249.46,245.64,249.46,1264,0
20080430,248.02,249.5,243.52,248.38,2325,0
20080501,250.62,250.62,243.36,243.36,1224,0
20080502,241.52,245.72,241.2,244.2,2743,0
20080505,241.24,245.4,241.24,243.16,1356,0
20080506,245.12,245.12,240.65,241.12,1242,0
20080507,240.65,247.62,239.13,246.52,2441,0
20080508,244.84,246.84,243.56,245.08,1955,0
20080509,252.62,253.81,250.1,251.98,3563,0
20080512,251.1,253.65,250.22,250.74,2384,0
20080513,248.98,252.14,248.3,250.98,3102,0
20080514,246.68,246.68,243.8,246.52,2256,0
20080515,240.76,241.32,236.7,236.7,3625,0
20080516,236.46,236.86,233.03,234.46,2382,0
20080519,232.31,235.22,230.99,235.22,2840,0
20080520,236.38,239.61,236.14,239.61,2998,0
20080521,241.8,247.27,241.08,245.92,3874,0
20080522,240.25,242.36,239.01,242.36,1949,0
20080523,241.68,246.84,241.68,244.28,4482,0
20080527,247.11,247.58,243.96,243.96,2907,0
20080528,249.58,250.74,248.94,249.26,3128,0
20080529,248.62,248.62,242.72,243.32,1465,0
20080530,237.34,237.66,235.38,236.18,3393,0
20080602,238.46,238.46,234.26,235.94,4129,0
20080603,239.89,239.89,232.75,235.94,3531,0
20080604,232.03,232.91,228.35,231.11,3645,0
20080605,229.55,233.83,227.56,228.07,4302,0
20080606,235.18,242.96,234.86,242.96,3892,0
20080609,246.48,246.48,239.69,242.88,5890,0
20080610,245.88,254,245.88,252.74,4296,0
20080611,252.78,260.2,251.5,260.2,3795,0
20080612,259.68,262.63,258.48,261.39,3981,0
20080613,262.59,262.59,256.6,256.6,3222,0
20080616,255,255,250.66,252.22,1956,0
20080617,247.31,249.42,246.72,249.14,2322,0
20080618,245.84,254.48,245.84,254.48,3477,0
20080619,257.6,258.96,255.2,255.56,5333,0
20080620,256.96,272.4,256.96,271.4,20474,0
20080623,275.15,275.15,267.38,268.17,8529,0
20080624,263.47,273.28,263.47,271.44,7331,0
20080625,265.67,266.23,260,264.19,12633,0
20080626,272.04,280.66,271.88,278.23,21297,0
20080627,274.83,277.71,272.76,274.67,17241,0
20080630,272.84,273.44,268.25,273.44,5444,0
20080701,275.87,281.14,271.4,272.4,8480,0
20080702,275.15,282.61,274.43,282.61,5814,0
20080703,277.99,282.53,277.99,282.06,7142,0
20080707,280.66,282.57,276.27,280.19,3526,0
20080708,286.17,290.08,282.02,282.02,5118,0
20080709,283.57,291.64,283.49,291.64,6533,0
20080710,290,292.36,285.77,287.44,7375,0
20080711,295.26,299.73,292.4,295.42,5498,0
20080714,292.44,293.87,285.89,291.76,8582,0
20080715,299.89,303.8,291.8,299.61,9061,0
20080716,297.57,297.57,285.61,285.77,5529,0
20080717,278.63,290.04,278.63,287.6,5594,0
20080718,290.16,294.22,290.16,291.64,6211,0
20080721,289.2,292.36,288.04,290.64,3422,0
20080722,290.84,290.84,282.29,282.29,1780,0
20080723,280.27,282.02,277.91,279.59,2921,0
20080724,274.43,281.66,273.32,281.26,6351,0
20080725,273.12,286.81,273.12,285.45,2665,0
20080728,284.89,292.36,284.09,292.36,1428,0
20080729,295.58,296.93,290.12,290.28,4274,0
20080730,279.83,288.32,279.83,286.29,3359,0
20080731,290.6,294.74,288.96,293.36,2327,0
20080801,292.52,303.72,292.52,301.76,4060,0
20080804,307.79,317.29,299.61,316.21,10194,0
20080805,319.84,319.84,295.78,300.92,12411,0
20080806,298.21,309.31,297.17,306.28,2998,0
20080807,316.29,320.31,314.53,319.28,4419,0
20080808,323.31,325.55,310.27,311.9,14251,0
20080811,307.83,311.11,305.68,307.11,10093,0
20080812,311.11,313.65,310.19,311.11,3980,0
20080813,316.77,324.55,316.77,323.35,7486,0
20080814,327.93,330.25,322.79,326.18,6306,0
20080815,329.17,331.37,325.78,330.25,2464,0
20080818,317.45,327.69,316.33,325.55,29228,0
20080819,334.24,337.28,331.33,334.12,7995,0
20080820,333.24,335.64,329.49,329.61,12138,0
20080821,332.93,332.93,323.67,326.73,7520,0
20080822,330.73,333.6,328.09,328.09,10029,0
20080825,326.93,336.4,326.93,335.32,7454,0
20080826,334.04,334.04,326.57,329.33,7173,0
20080827,324.71,332.61,322.47,328.77,1756,0
20080828,326.53,326.73,319.95,323.19,3578,0
20080829,318.52,323.19,315.93,317.25,5011,0
20080902,316.37,332.41,316.37,331.13,5966,0
20080903,334.64,334.64,329.45,329.65,8873,0
20080904,340.46,349.84,338.44,349.4,10793,0
20080905,353.47,357.5,347.4,349.12,18432,0
20080908,330.09,341.01,328.41,334.68,20730,0
20080909,340.26,350.48,338.36,350.48,12368,0
20080910,340.18,345.49,337.88,343.77,7073,0
20080911,359.65,359.65,343.69,343.89,12791,0
20080912,347.16,347.76,341.25,343.37,5347,0
20080915,353.43,378.17,353.43,361.09,21358,0
20080916,375.61,379.64,363.97,366.19,13174,0
20080917,379.96,395.52,371.74,393.92,13482,0
20080918,382.64,390.01,347.32,358.58,21643,0
20080919,326.77,344.17,316.73,319.84,14122,0
20080922,321.95,344.77,321.95,343.73,7559,0
20080923,340.82,354.31,337.32,344.01,8280,0
20080924,336.76,342.41,335.36,337.76,1367,0
20080925,343.49,343.49,323.23,325.03,4039,0
20080926,333.84,336.76,327.25,327.25,2741,0
20080929,341.01,387.26,324.79,374.69,9404,0
20080930,367.39,367.39,349,351.92,7456,0
20081001,362.21,362.65,351.96,357.7,6649,0
20081002,371.98,389.25,369.7,381.16,6070,0
20081003,393,401.34,378.25,401.34,9069,0
20081006,429.95,450.9,421.65,432.34,14267,0
20081007,424.09,462.22,423.73,462.22,12915,0
20081008,500.36,500.36,462.34,495.26,12025,0
20081009,465.69,542.02,462.62,533.27,6792,0
20081010,613.23,643.31,563.28,584.18,14167,0
20081013,495.7,502.4,405.85,410.73,7291,0
20081014,347.12,417.86,340.5,400.78,17353,0
