Date,Open,High,Low,Close,Volume,OpenInt
20140618,98.89,100.28,98.51,100.24,19211,0
20140619,119.75,119.75,99.71,100.26,12173,0
20140620,100.46,101.23,100.32,100.51,4062,0
20140623,100.23,100.4,100.15,100.4,9864,0
20140624,100.47,101,99.1,99.33,17564,0
20140625,99.71,100.69,99.49,100.69,32332,0
20140626,99.33,100.4,99.33,100.4,37689,0
20140627,100.26,101,100.23,101,30161,0
20140630,101.04,101.47,101,101.15,16208,0
20140701,102.36,103.33,102.27,103.15,11316,0
20140702,103.17,103.21,102.79,102.81,22200,0
20140703,103.47,103.58,103.33,103.58,6227,0
20140707,103.59,103.59,102.4,102.9,11048,0
20140708,102.97,102.97,100.54,101.16,13706,0
20140709,101.83,102.19,101.36,102.08,32405,0
20140710,102.2,102.2,99.9,101.12,52705,0
20140711,101.63,101.75,101.23,101.74,13450,0
20140714,101.75,103.27,101.75,102.96,2582,0
20140715,103.22,103.22,101.14,101.81,86484,0
20140716,102.64,102.64,102.05,102.09,7165,0
20140717,101.47,101.47,99.75,99.82,68375,0
20140718,100.88,102.02,100.75,102.02,23198,0
20140721,101.71,101.71,101.55,101.55,22121,0
20140722,102.86,103.02,102.77,102.92,7949,0
20140723,103.2,103.59,103.2,103.38,27806,0
20140724,103.32,103.88,103.32,103.5,23545,0
20140725,102.75,102.75,102.16,102.32,20006,0
20140728,102.26,102.26,101.43,101.76,56229,0
20140729,103.02,103.02,102.19,102.72,31049,0
20140730,102.77,102.77,101.6,102.33,70765,0
20140731,102.03,102.03,98.1,98.31,25850,0
20140801,97.93,98.99,96.7,97.64,10472,0
20140804,98.1,99.31,97.9,99.28,4429,0
20140805,98.07,99.99,97.13,97.4,12629,0
20140806,96.52,97.39,96.52,97.3,2815,0
20140807,97.7,98.08,95.96,95.96,9040,0
20140808,96.45,98.05,96.45,97.98,4965,0
20140811,99.55,99.8,99.44,99.44,1606,0
20140812,99.5,99.5,98.36,98.36,6028,0
20140813,99.47,100.39,97.53,100.39,2484,0
20140814,100.98,101.21,100.98,101,1191,0
20140815,102.45,102.45,100.78,101.72,8988,0
20140818,103.58,103.58,103.35,103.57,1623,0
20140819,104.39,104.72,104.39,104.72,1102,0
20140820,105.02,105.15,105.02,105.15,959,0
20140821,105.6,105.62,105.22,105.61,1172,0
20140822,104.35,105.64,104.35,105.64,2196,0
20140825,106.67,106.9,105.64,106.51,3720,0
20140826,106.94,106.94,106.85,106.85,595,0
20140827,106.73,106.73,106.31,106.59,2734,0
20140828,106.53,106.53,105.95,106.38,3563,0
20140829,106.17,106.89,106.17,106.69,1448,0
20140902,106.09,107.47,106.09,107.1,24702,0
20140903,106.33,106.94,106.33,106.94,952,0
20140904,106.25,107.12,106.07,106.08,2590,0
20140905,105.87,107.02,105.87,107.02,1814,0
20140908,107.13,107.13,106.43,106.83,985,0
20140909,106.56,106.76,105.35,105.35,4192,0
20140910,105.23,106.7,105.23,106.65,1325,0
20140911,105.69,106.77,105.68,106.77,665,0
20140912,105.98,105.98,105.24,105.24,699,0
20140915,104.35,104.35,104.35,104.35,918,0
20140916,104.98,106.28,103.96,106.13,1837,0
20140917,106.21,106.98,105.62,106.18,7429,0
20140918,106.52,107.34,106.52,107.2,3536,0
20140919,108.01,108.11,106.71,107.51,6081,0
20140922,106.48,106.48,104.85,105.01,1650,0
20140923,104.96,105.08,104.25,104.25,5658,0
20140924,104.19,106.32,103.87,106.07,3264,0
20140925,104.73,104.73,102.9,102.9,7478,0
20140926,102.61,104.7,102.61,104.56,8081,0
20140929,102.85,104.66,102.85,104.66,2731,0
20140930,103.75,104.02,103.56,103.87,3406,0
20141001,101.64,102.64,100.85,101.15,2286,0
20141002,101.06,101.12,99.45,100.8,6380,0
20141003,101.06,103.3,101.06,103.3,5194,0
20141006,102.85,103.78,101.91,102.88,6019,0
20141007,101.89,101.96,99.98,100.33,6466,0
20141008,99.41,103.46,99,103.17,4493,0
20141009,102.81,102.96,99.75,99.75,13042,0
20141010,97.69,99.2,96.37,96.37,5181,0
20141013,96.1,96.27,92.33,92.83,7100,0
20141014,92.8,94.28,92.54,93.13,7326,0
20141015,91.65,92.29,83,92.27,12600,0
20141016,90.3,93,89.29,92.02,11776,0
20141017,94.11,94.74,93.41,94.66,12950,0
20141020,95.21,97.01,94.75,96.6,3241,0
20141022,101.72,101.72,98.58,99.54,1341,0
20141023,100.41,102.8,100.41,102.1,10259,0
20141024,102.31,103.38,101.73,103.2,5014,0
20141027,101.98,103.2,101.96,102.94,2478,0
20141028,105.05,105.05,104.6,104.68,1539,0
20141029,106.13,106.13,104.01,104.01,8140,0
20141030,105.5,107,105.25,106.07,10746,0
20141031,108.71,109.06,108.43,109.03,7673,0
20141103,109,109.73,109,109,1699,0
20141104,107.92,108.25,107.92,108.25,1220,0
20141105,108.46,109.4,108.46,108.46,781,0
20141106,109.4,109.82,108.87,109.82,1915,0
20141107,109.8,110.25,109.78,109.8,3685,0
20141110,110.54,110.54,110.54,110.54,432,0
20141111,110.47,110.9,110.47,110.65,1878,0
20141112,111.11,111.73,111.11,111.73,1052,0
20141113,111.97,111.97,110.63,110.63,4720,0
20141114,111.2,113.69,110.74,111.64,4849,0
20141117,111.63,111.63,111.16,111.27,1762,0
20141118,112.19,112.93,112.13,112.72,1455,0
20141119,111.59,112.34,111.59,112.23,2421,0
20141120,112.95,113,112.84,112.84,1458,0
20141121,114.67,114.68,113.61,113.96,2480,0
20141124,113.24,115,113.24,115,3809,0
20141125,115.03,115.2,115.03,115.18,2554,0
20141126,115.24,115.55,114.86,114.86,2040,0
20141128,116.21,116.27,116.04,116.04,4435,0
20141201,115.24,115.24,113.64,113.64,4189,0
20141202,113.83,114.45,113.73,114.45,5482,0
20141203,114.4,115.33,114.4,115.33,1031,0
20141204,114.88,115.53,114.88,115.03,4577,0
20141205,114.63,115.5,114.63,114.85,4717,0
20141208,115.3,115.3,114.08,114.08,8507,0
20141209,111.52,112.78,111.3,112.78,4193,0
20141210,113.03,113.94,109.7,110.22,5680,0
20141211,112.43,113.05,111.08,111.08,4204,0
20141212,110.39,110.39,108.99,108.99,3921,0
20141215,109,109.49,106.4,107.16,12324,0
20141216,106,108.78,105.26,105.26,9450,0
20141217,105.57,108.57,105.57,108.57,11912,0
20141218,112.23,112.72,111.75,112.72,6326,0
20141219,113.91,119,113.23,114.99,5473,0
20141222,114.9,115.28,114.6,115.25,1478,0
20141223,115.3,115.88,115.25,115.46,2457,0
20141224,115.68,116.1,115.01,115.68,3251,0
20141226,116.35,116.89,116.35,116.78,1858,0
20141229,116.78,116.87,116.63,116.74,1731,0
20141230,116.29,116.34,115.46,115.46,1555,0
20141231,115.79,115.92,113.83,113.83,2213,0
20150102,114.03,114.77,112.1,113.15,4904,0
20150105,111.13,111.13,108.16,109.63,10662,0
20150106,111.16,111.16,106.46,107.93,4865,0
20150107,109.41,118.28,108.61,109.63,9025,0
20150108,112.92,113.94,112.92,113.93,2616,0
20150109,113.7,115.81,111.97,112.74,4625,0
20150112,112.19,112.19,109.69,110.39,5370,0
20150113,113.46,113.72,108.71,109.91,7242,0
20150114,108.03,109.1,107.03,109.08,3637,0
20150115,109.5,109.5,106.95,107.5,6752,0
20150116,107.49,108.61,106.57,108.5,6797,0
20150120,109.29,110.78,108.47,110.45,5546,0
20150121,110.7,112.08,110.35,111.32,5166,0
20150122,111.9,114.73,111.11,114.62,3478,0
20150123,114.7,115,114.52,114.63,3079,0
20150126,113.9,115.05,113.59,114.75,7585,0
20150127,112.72,112.72,111.44,112.32,7255,0
20150128,112,113.39,112,113.39,7059,0
20150129,110.61,112.09,108.62,112.09,12512,0
20150130,111,112.52,109.99,109.99,6196,0
20150202,109.4,111.8,108.39,111.63,5791,0
20150203,112.47,114.81,112.47,114.81,4325,0
20150204,114.9,115.32,114.56,114.56,3453,0
20150205,115.01,116.2,115.01,116.16,2880,0
20150206,116.68,117.34,115.15,115.23,8925,0
20150209,114.91,115.38,114.42,114.75,2673,0
20150210,115.54,117.29,115.54,117.29,1252,0
20150211,117.7,118.44,117.39,118.17,4465,0
20150212,119.23,119.92,118.92,119.92,3317,0
20150213,120.81,121.41,120.81,121.4,2661,0
20150217,121.76,121.8,121.4,121.49,3143,0
20150218,121.62,122.43,121.62,122.09,3147,0
20150219,123,123,121.62,122.7,1508,0
20150220,122.61,123.96,122.19,123.96,4394,0
20150223,124.02,124.42,122.97,124.41,2647,0
20150224,124.19,125.31,124.19,125.31,2691,0
20150225,125.02,125.62,124.55,124.96,3648,0
20150226,125.06,125.45,124.6,125.41,1906,0
20150227,124.72,124.8,124.49,124.49,3160,0
20150302,125.06,126.21,125.02,126.21,12700,0
20150303,125.73,125.73,124.15,124.64,5200,0
20150304,124.31,124.35,123.04,124.3,10900,0
20150305,123.15,124.92,123.15,124.64,3800,0
20150306,123.78,123.78,120.4,120.98,3700,0
20150309,121.58,122.6,121.53,122.6,1400,0
20150310,119.59,119.68,118.76,118.97,4600,0
20150311,118.55,118.56,116.67,116.67,5800,0
20150312,116.75,120.1,116.75,120.04,2700,0
