Date,Open,High,Low,Close,Volume,OpenInt
20140327,11.864,11.938,11.858,11.886,865812,0
20140328,12.014,12.014,11.886,11.886,204462,0
20140331,11.973,12.062,11.886,12.004,106712,0
20140401,12.062,12.062,11.886,11.886,210234,0
20140402,11.893,11.907,11.871,11.901,136735,0
20140403,11.886,12.004,11.886,11.922,189283,0
20140404,11.973,11.973,11.886,11.886,114890,0
20140407,11.907,11.949,11.886,11.886,105038,0
20140408,11.901,11.954,11.886,11.886,116448,0
20140409,11.91,11.91,11.886,11.886,48258,0
20140410,11.907,11.907,11.878,11.886,111186,0
20140411,11.886,11.949,11.878,11.886,127025,0
20140414,11.886,11.926,11.878,11.886,121443,0
20140415,11.901,11.901,11.878,11.893,82030,0
20140416,11.91,11.938,11.893,11.932,47125,0
20140417,11.938,12.03,11.916,11.954,91141,0
20140421,12.152,12.152,11.959,12.03,72778,0
20140422,12.054,12.057,11.922,11.973,159285,0
20140423,12.004,12.004,11.942,11.973,39240,0
20140424,11.985,11.999,11.901,11.916,25775,0
20140425,11.901,11.901,11.871,11.886,207383,0
20140428,11.886,11.959,11.878,11.893,121989,0
20140429,11.893,11.938,11.878,11.886,102148,0
20140430,11.932,11.932,11.878,11.916,134874,0
20140501,11.932,12.329,11.932,12.062,270265,0
20140502,12.142,12.164,11.954,12.039,49703,0
20140505,12.035,12.073,11.98,12.073,66222,0
20140506,11.886,11.886,11.612,11.722,403804,0
20140507,11.707,11.811,11.707,11.811,146876,0
20140508,11.821,11.821,11.643,11.764,242475,0
20140509,11.813,11.886,11.623,11.886,474111,0
20140512,11.832,11.832,11.574,11.574,193670,0
20140513,11.559,11.559,11.366,11.39,145575,0
20140514,11.405,11.518,11.336,11.444,98902,0
20140515,11.423,11.464,11.411,11.44,127360,0
20140516,11.444,11.529,11.366,11.418,79792,0
20140519,11.423,11.752,11.405,11.694,293594,0
20140520,11.627,11.75,11.497,11.574,152967,0
20140521,11.665,11.713,11.434,11.44,191033,0
20140522,11.47,11.47,11.39,11.39,91351,0
20140523,11.643,11.643,11.459,11.497,155921,0
20140527,11.497,11.604,11.336,11.351,177435,0
20140528,11.354,11.434,11.208,11.303,284534,0
20140529,11.29,11.451,11.234,11.44,206809,0
20140530,11.351,11.44,11.303,11.411,151600,0
20140602,11.35,11.53,11.35,11.53,136928,0
20140603,11.512,11.57,11.434,11.526,77120,0
20140604,11.47,11.732,11.44,11.702,180893,0
20140605,11.751,11.751,11.53,11.623,108633,0
20140606,11.71,11.71,11.464,11.519,143491,0
20140609,11.476,11.644,11.476,11.519,77744,0
20140610,11.49,11.554,11.47,11.554,100615,0
20140611,11.498,11.637,11.476,11.498,117437,0
20140612,11.505,11.537,11.39,11.434,76492,0
20140613,11.384,11.588,11.377,11.498,82811,0
20140616,11.542,11.623,11.451,11.47,142590,0
20140617,11.459,11.575,11.459,11.49,133718,0
20140618,11.53,11.666,11.44,11.575,214557,0
20140619,11.526,11.619,11.519,11.519,77555,0
20140620,11.619,11.623,11.56,11.575,91041,0
20140623,11.542,11.649,11.542,11.619,178982,0
20140624,11.629,11.649,11.459,11.49,234710,0
20140625,11.554,11.554,11.354,11.418,216168,0
20140626,11.411,11.542,11.377,11.498,132206,0
20140627,11.629,11.629,11.498,11.537,70609,0
20140630,11.605,11.702,11.565,11.661,236773,0
20140701,11.898,12.004,11.818,11.831,155197,0
20140702,11.76,12.008,11.76,11.837,83107,0
20140703,11.831,11.919,11.666,11.702,38804,0
20140707,11.649,11.751,11.581,11.697,104625,0
20140708,11.831,11.831,11.623,11.71,158621,0
20140709,11.919,11.998,11.732,11.931,184922,0
20140710,11.931,11.946,11.661,11.751,131690,0
20140711,11.831,11.978,11.751,11.926,110236,0
20140714,11.931,11.991,11.8,11.89,88742,0
20140715,11.936,11.946,11.773,11.8,66834,0
20140716,11.849,11.94,11.793,11.824,118320,0
20140717,11.768,11.946,11.76,11.831,84838,0
20140718,11.919,12.004,11.726,11.833,64554,0
20140721,11.936,12.008,11.831,11.931,165152,0
20140722,11.946,12.004,11.8,11.875,85820,0
20140723,11.983,11.983,11.837,11.844,123000,0
20140724,11.856,11.856,11.71,11.818,183491,0
20140725,11.831,11.831,11.661,11.702,139375,0
20140728,11.702,11.787,11.569,11.697,166508,0
20140729,11.726,11.793,11.619,11.697,164290,0
20140730,11.808,11.808,11.574,11.637,118292,0
20140731,11.542,11.768,11.236,11.655,205945,0
20140801,11.593,11.619,11.517,11.558,32289,0
20140804,11.565,11.637,11.352,11.409,109366,0
20140805,11.374,11.374,11.054,11.054,175298,0
20140806,11.107,11.171,10.912,11.045,172637,0
20140807,11.022,11.125,10.958,10.958,111599,0
20140808,10.986,11.153,10.963,11.1,134235,0
20140811,11.462,12.071,11.437,11.448,160006,0
20140812,11.468,11.619,11.299,11.357,141658,0
20140813,11.462,11.593,11.346,11.536,143516,0
20140814,11.619,11.714,11.471,11.565,73165,0
20140815,11.649,11.683,11.574,11.681,85455,0
20140818,11.768,11.768,11.517,11.661,273247,0
20140819,11.675,11.719,11.569,11.574,172797,0
20140820,11.683,11.697,11.574,11.644,176270,0
20140821,11.719,11.719,11.574,11.629,123823,0
20140822,11.649,11.697,11.481,11.581,153567,0
20140825,11.547,11.71,11.497,11.574,137006,0
20140826,11.637,11.666,11.525,11.586,245866,0
20140827,11.586,11.71,11.574,11.702,160082,0
20140828,11.751,11.834,11.644,11.751,150190,0
20140829,11.768,11.857,11.619,11.644,206101,0
20140902,11.71,11.71,11.623,11.623,91346,0
20140903,11.623,11.69,11.574,11.683,61725,0
20140904,11.715,11.715,11.541,11.564,93052,0
20140905,11.552,11.702,11.51,11.681,84958,0
20140908,11.681,11.739,11.681,11.728,185065,0
20140909,11.755,11.775,11.546,11.574,116761,0
20140910,11.586,11.637,11.51,11.552,150708,0
20140911,11.574,11.586,11.421,11.467,143546,0
20140912,11.381,11.51,10.973,11.048,499008,0
20140915,11.061,11.128,10.763,10.909,373316,0
20140916,10.839,11.102,10.839,10.995,237573,0
20140917,11.091,11.102,11.019,11.048,192787,0
20140918,11.048,11.15,11.019,11.053,321518,0
20140919,11.069,11.158,11.038,11.078,225872,0
20140922,11.056,11.097,10.909,11.078,423225,0
20140923,11.097,11.116,10.901,10.901,231857,0
20140924,10.879,11.024,10.801,10.967,275093,0
20140925,10.967,10.995,10.826,10.826,233618,0
20140926,10.834,11.024,10.758,11.006,177793,0
20140929,10.901,11.048,10.901,11.024,216187,0
20140930,11.031,11.421,11.031,11.414,308219,0
20141001,11.393,11.462,11.303,11.373,201708,0
20141002,11.355,11.436,11.253,11.34,225596,0
20141003,11.355,11.387,11.253,11.26,126386,0
20141006,11.335,11.335,10.958,10.979,294003,0
20141007,10.969,11.156,10.857,10.963,404759,0
20141008,10.929,10.969,10.807,10.883,361055,0
20141009,10.889,10.908,10.624,10.778,290258,0
20141010,10.729,10.74,10.356,10.548,205192,0
20141013,10.489,10.598,9.969,10.063,287360,0
20141014,10.336,10.349,9.663,9.926,585731,0
20141015,9.833,10.46,9.67,10.407,424849,0
20141016,10.253,10.986,10.207,10.807,364536,0
20141017,10.979,11.023,10.581,10.632,216336,0
20141020,10.613,10.753,10.543,10.669,210752,0
20141021,10.74,10.917,10.74,10.792,385388,0
20141022,10.889,11.004,10.761,10.969,496678,0
20141023,11.023,11.121,10.889,10.953,257648,0
20141024,10.998,11.088,10.904,10.993,273690,0
20141027,10.917,10.963,10.816,10.897,234566,0
20141028,10.941,10.993,10.857,10.933,281687,0
20141029,10.929,11.01,10.772,10.897,443217,0
20141030,10.883,11.055,10.85,10.929,252545,0
20141031,11.121,11.121,10.889,10.933,209002,0
20141103,10.986,11.024,10.873,10.963,241989,0
20141104,10.929,10.953,10.683,10.804,281845,0
20141105,10.841,11.037,10.771,11.005,254465,0
20141106,11.005,11.043,10.873,10.948,230921,0
20141107,11.037,11.11,10.979,11.089,188817,0
20141110,11.067,11.143,10.958,11.005,181108,0
20141111,10.929,10.969,10.837,10.969,327209,0
20141112,10.917,10.958,10.841,10.866,269872,0
20141113,10.873,10.963,10.7,10.728,360831,0
20141114,10.823,11.059,10.797,11.043,271686,0
20141117,11.067,11.128,10.986,11.095,261310,0
20141118,11.15,11.217,10.998,11.037,364905,0
20141119,11.081,11.248,11.043,11.208,314676,0
20141120,11.224,11.423,11.193,11.41,362912,0
20141121,11.5,11.567,11.346,11.367,240111,0
20141124,11.493,11.493,11.01,11.185,448326,0
20141125,11.217,11.267,11.143,11.232,327677,0
20141126,11.238,11.367,11.2,11.337,195059,0
20141128,11.217,11.238,10.883,11.005,303843,0
20141201,10.888,10.969,10.506,10.763,432049,0
20141202,10.718,11.186,10.718,11.09,448128,0
20141203,11.165,11.413,11.138,11.195,362346,0
20141204,11.186,11.28,11.055,11.186,368207,0
20141205,11.225,11.273,11.165,11.225,206728,0
20141208,11.182,11.219,10.738,10.903,591094,0
20141209,10.783,11.053,10.681,10.856,451112,0
20141210,10.797,10.797,10.615,10.687,268454,0
20141211,10.642,10.917,10.642,10.687,313995,0
20141212,10.608,10.707,10.466,10.466,415118,0
20141215,10.599,10.599,10.182,10.368,370404,0
20141216,10.272,10.557,10.153,10.288,477776,0
20141217,10.385,10.805,10.355,10.803,428932,0
20141218,11.024,11.134,10.776,11.043,393150,0
20141219,11.158,11.158,10.923,11.102,233186,0
20141222,11.102,11.15,10.783,11.116,474948,0
20141223,11.122,11.339,11.102,11.176,251351,0
20141224,11.195,11.273,11.158,11.17,113584,0
20141226,11.287,11.287,11.165,11.195,188087,0
20141229,11.244,11.28,11.111,11.158,467789,0
20141230,11.165,11.176,10.896,11.068,603401,0
20141231,11.082,11.129,10.932,11.047,763495,0
20150102,11.117,11.227,11.117,11.22,96614,0
20150105,11.135,11.138,10.805,10.814,249744,0
20150106,10.88,10.912,10.547,10.69,107798,0
20150107,10.801,10.887,10.681,10.716,130728,0
20150108,10.787,10.952,10.781,10.834,260523,0
20150109,10.912,10.917,10.696,10.805,247262,0
20150112,10.749,10.749,10.493,10.552,183132,0
20150113,10.632,10.632,10.377,10.457,198427,0
20150114,10.381,10.605,10.301,10.566,196609,0
20150115,10.801,10.848,10.612,10.62,201758,0
20150116,10.696,10.962,10.696,10.939,136571,0
20150120,10.917,11.068,10.839,10.985,126400,0
20150121,11.06,11.281,11.017,11.24,121660,0
20150122,11.321,11.328,11.145,11.321,152893,0
20150123,11.235,11.421,11.22,11.294,177548,0
20150126,11.361,11.361,11.263,11.313,120038,0
20150127,11.27,11.313,11.166,11.288,114120,0
20150128,11.321,11.321,11.129,11.158,190827,0
20150129,11.166,11.22,11.03,11.176,102945,0
20150130,11.06,11.301,11.043,11.176,145898,0
20150202,11.308,11.308,11.055,11.182,83308,0
20150203,11.345,11.47,11.235,11.396,90752,0
20150204,11.276,11.415,11.276,11.367,107866,0
20150205,11.451,11.574,11.423,11.534,132397,0
20150206,11.595,11.595,11.515,11.515,62736,0
20150209,11.595,11.62,11.374,11.382,76062,0
20150210,11.444,11.444,11.251,11.374,108372,0
20150211,11.329,11.352,11.259,11.336,102532,0
20150212,11.363,11.423,11.302,11.321,84464,0
20150213,11.388,11.439,11.288,11.314,85180,0
20150217,11.336,11.341,11.135,11.176,159103,0
20150218,11.195,11.202,11.052,11.111,137807,0
20150219,11.042,11.129,10.983,11.042,228559,0
20150220,11.081,11.245,11.029,11.122,187325,0
20150223,11.129,11.158,11.009,11.151,264313,0
20150224,11.158,11.259,11.138,11.235,164580,0
20150225,11.235,11.439,11.235,11.409,158840,0
20150226,11.409,11.409,11.251,11.308,112228,0
20150227,11.302,11.374,11.145,11.251,170398,0
20150302,11.263,11.276,11.158,11.158,82434,0
20150303,11.176,11.345,11.138,11.263,130104,0
20150304,11.245,11.263,11.144,11.212,109215,0
20150305,11.263,11.352,11.195,11.295,91356,0
20150306,11.276,11.276,11.144,11.176,84820,0
20150309,11.15,11.202,10.982,10.99,59155,0
20150310,10.95,11.075,10.905,11.04,107467,0
20150311,11.007,11.028,10.829,10.862,132660,0
20150312,10.884,10.925,10.823,10.823,78769,0
20150313,10.841,10.841,10.664,10.671,119898,0
20150316,10.73,10.73,10.519,10.519,173796,0
20150317,10.466,10.79,10.466,10.742,129946,0
20150318,10.696,10.93,10.49,10.862,180646,0
20150319,10.806,10.812,10.686,10.696,95030,0
20150320,10.797,10.862,10.75,10.829,78287,0
20150323,10.85,10.974,10.823,10.925,97098,0
20150324,10.974,10.974,10.631,10.664,194364,0
20150325,10.737,10.763,10.675,10.705,180334,0
20150326,10.783,10.823,10.712,10.763,111294,0
20150327,10.806,10.936,10.758,10.856,123888,0
20150330,10.92,10.93,10.85,10.905,99970,0
20150331,10.891,10.959,10.686,10.717,179694,0
20150401,10.798,10.816,10.743,10.77,85271,0
20150402,10.792,10.824,10.692,10.752,102702,0
20150406,10.764,10.931,10.752,10.892,110630,0
20150407,10.816,10.985,10.816,10.969,86313,0
20150408,10.928,11.005,10.869,10.892,113010,0
20150409,10.938,10.951,10.813,10.931,79808,0
20150410,10.961,11.005,10.931,10.951,71319,0
20150413,11.005,11.031,10.931,10.946,74965,0
20150414,10.998,11.084,10.931,11.044,77191,0
20150415,11.132,11.232,11.07,11.191,140718,0
20150416,11.155,11.239,11.148,11.148,156194,0
20150417,11.057,11.098,10.928,10.969,184805,0
20150420,11.011,11.078,10.951,10.978,63303,0
20150421,11.031,11.031,10.892,10.907,221503,0
20150422,10.946,10.998,10.907,10.951,82091,0
20150423,10.958,11.048,10.958,11.044,125847,0
20150424,11.084,11.112,10.961,11.053,111106,0
20150427,11.053,11.207,11.005,11.019,203346,0
20150428,11.061,11.084,10.993,11.038,147719,0
20150429,11.044,11.199,11.005,11.199,126163,0
20150430,11.199,11.249,11.126,11.191,151678,0
20150501,11.24,11.24,11.107,11.212,46016,0
20150504,11.208,11.244,11.137,11.148,74699,0
20150505,11.201,11.208,11.132,11.168,57835,0
20150506,11.226,11.226,10.993,11.099,88995,0
20150507,11.093,11.093,10.931,10.931,58347,0
20150508,10.998,11.038,10.946,11.005,102117,0
20150511,10.951,10.969,10.884,10.916,120704,0
20150512,10.937,10.985,10.876,10.931,78938,0
20150513,11.053,11.168,11.019,11.143,84469,0
20150514,11.226,11.259,11.168,11.226,74538,0
20150515,11.281,11.288,11.193,11.208,77322,0
20150518,11.208,11.288,11.181,11.234,77935,0
20150519,11.219,11.263,10.961,11.024,128908,0
20150520,11.078,11.078,10.958,10.993,197299,0
20150521,11.061,11.061,10.931,10.961,137417,0
20150522,10.921,11.107,10.921,11.085,56887,0
20150526,11.085,11.085,10.783,10.868,183117,0
20150527,10.906,10.937,10.776,10.851,187521,0
