Date,Open,High,Low,Close,Volume,OpenInt
20150210,19.698,19.944,19.526,19.714,38350,0
20150211,19.805,19.979,19.617,19.683,38859,0
20150212,19.714,19.969,19.698,19.905,24563,0
20150213,19.912,19.944,19.698,19.805,34032,0
20150217,19.797,19.953,19.733,19.756,43821,0
20150218,19.96,19.96,19.631,19.905,32018,0
20150219,19.896,19.896,19.534,19.549,43408,0
20150220,19.575,19.78,19.549,19.724,19303,0
20150223,19.78,19.846,19.698,19.823,30530,0
20150224,19.854,19.854,19.476,19.526,62584,0
20150225,19.534,19.741,19.534,19.567,27172,0
20150226,19.763,19.763,19.379,19.401,35929,0
20150227,19.468,19.559,19.353,19.526,27539,0
20150302,19.674,19.797,19.567,19.631,26681,0
20150303,19.584,19.714,19.436,19.575,20224,0
20150304,19.567,19.567,19.393,19.401,11696,0
20150305,19.526,19.608,19.46,19.46,18764,0
20150306,19.494,19.494,18.877,18.877,62871,0
20150309,19.035,19.05,18.959,19.05,19127,0
20150310,18.992,19.05,18.944,19.025,21201,0
20150311,19.116,19.116,18.944,19.008,22420,0
20150312,19.116,19.288,19.116,19.288,9262,0
20150313,19.303,19.303,19.138,19.255,29121,0
20150316,19.428,19.494,19.411,19.428,53367,0
20150317,19.428,19.484,19.343,19.411,33261,0
20150318,19.42,19.846,19.329,19.805,33019,0
20150319,19.887,19.896,19.77,19.79,21079,0
20150320,20.041,20.235,19.835,20.235,18698,0
20150323,20.216,20.348,20.216,20.216,38458,0
20150324,20.173,20.241,20.083,20.09,17051,0
20150325,20.181,20.181,19.72,19.739,46445,0
20150326,19.768,19.768,19.597,19.621,20802,0
20150327,19.687,19.71,19.523,19.695,24432,0
20150330,19.829,19.916,19.72,19.91,16206,0
20150331,19.968,19.978,19.753,19.777,29269,0
20150401,19.811,19.829,19.637,19.746,35800,0
20150402,19.844,19.951,19.829,19.91,13423,0
20150406,20.033,20.099,19.959,20.067,24914,0
20150407,19.978,20.149,19.787,19.787,63584,0
20150408,19.86,20.001,19.768,19.802,13059,0
20150409,19.802,19.853,19.44,19.463,36228,0
20150410,19.504,19.645,19.432,19.447,35800,0
20150413,19.514,19.523,19.432,19.432,28180,0
20150414,19.523,19.53,19.447,19.463,27819,0
20150415,19.504,19.523,19.374,19.374,36977,0
20150416,19.374,19.455,19.256,19.44,24065,0
20150417,19.432,19.432,19.24,19.316,23830,0
20150420,19.423,19.432,19.306,19.346,10172,0
20150421,19.472,19.472,19.331,19.381,30942,0
20150422,19.432,19.472,19.381,19.381,16320,0
20150423,19.432,19.48,19.374,19.455,42935,0
20150424,19.463,19.571,19.432,19.488,21285,0
20150427,19.571,19.613,19.432,19.463,29871,0
20150428,19.455,19.48,19.374,19.455,33019,0
20150429,19.346,19.381,19.074,19.109,22613,0
20150430,19.074,19.074,18.768,18.835,35195,0
20150501,18.819,19.041,18.819,18.943,38581,0
20150504,18.967,19.116,18.967,19,16085,0
20150505,18.952,19.091,18.597,18.612,29027,0
20150506,18.587,18.636,18.463,18.561,37590,0
20150507,18.521,18.843,18.521,18.784,37685,0
20150508,19.091,19.231,19.041,19.05,31445,0
20150511,19.065,19.074,18.776,18.8,12094,0
20150512,18.685,18.835,18.587,18.835,14953,0
20150513,18.884,18.974,18.66,18.66,31204,0
20150514,18.828,18.992,18.685,18.983,6891,0
20150515,19.065,19.165,19.035,19.165,10856,0
20150518,19.222,19.222,19.057,19.139,55629,0
20150519,19.1,19.182,19.083,19.116,18625,0
20150520,19.041,19.174,19.041,19.074,17418,0
20150521,19.083,19.157,18.917,18.967,12458,0
20150522,18.828,19.008,18.828,18.992,10160,0
20150526,19.041,19.041,18.819,18.843,22576,0
20150527,18.959,19.016,18.843,19.016,13908,0
20150528,19.1,19.1,18.909,18.983,13807,0
20150529,18.909,19.074,18.768,18.784,9797,0
20150601,18.791,19,18.784,18.983,13908,0
20150602,18.835,18.992,18.8,18.843,16690,0
20150603,18.784,18.9,18.587,18.621,23345,0
20150604,18.628,18.851,18.553,18.58,24309,0
20150605,18.515,18.515,18.357,18.388,24309,0
