Date,Open,High,Low,Close,Volume,OpenInt
20190422,49.341,49.341,49.341,49.341,21,0
20190423,49.351,49.351,49.351,49.351,1,0
20190424,49.38,49.39,49.365,49.365,7114,0
20190425,49.375,49.375,49.375,49.375,5,0
20190426,49.45,49.45,49.425,49.425,833,0
20190429,49.44,49.45,49.41,49.425,509,0
20190430,49.676,49.676,49.435,49.435,345,0
20190501,49.425,49.425,49.425,49.425,49,0
20190502,49.46,49.46,49.435,49.435,191,0
20190503,49.455,49.455,49.455,49.455,5,0
20190506,49.46,49.46,49.46,49.46,129,0
20190507,49.487,49.487,49.463,49.463,100,0
20190508,49.45,49.45,49.45,49.45,11,0
20190509,49.497,49.497,49.473,49.473,145,0
20190510,49.473,49.473,49.473,49.473,95,0
20190513,49.492,49.492,49.492,49.492,8,0
20190514,49.483,49.483,49.483,49.483,100,0
20190515,49.493,49.493,49.493,49.493,10,0
20190516,49.483,49.483,49.483,49.483,12,0
20190517,49.512,49.512,49.512,49.512,12,0
20190520,49.481,49.481,49.481,49.481,12,0
20190521,49.502,49.502,49.502,49.502,12,0
20190522,49.522,49.522,49.522,49.522,10,0
20190523,49.557,49.557,49.545,49.545,5082,0
20190524,49.527,49.527,49.527,49.527,12,0
20190528,49.557,49.557,49.557,49.557,12,0
20190529,49.562,49.562,49.562,49.562,20,0
20190530,49.572,49.572,49.572,49.572,10,0
20190531,49.617,49.617,49.617,49.617,10,0
20190603,49.642,49.642,49.642,49.642,1,0
20190604,49.612,49.612,49.612,49.612,10,0
20190605,49.637,49.637,49.637,49.637,10,0
20190606,49.637,49.637,49.637,49.637,10,0
20190607,49.696,49.696,49.666,49.666,10268,0
20190610,49.656,49.656,49.647,49.656,10130,0
20190611,49.656,49.656,49.656,49.656,7090,0
20190612,49.666,49.676,49.637,49.637,13928,0
20190613,49.647,49.686,49.627,49.656,10230,0
20190614,49.671,49.671,49.671,49.671,10,0
20190617,49.656,49.656,49.647,49.647,10130,0
20190618,49.696,49.706,49.696,49.696,11235,0
20190619,49.656,49.721,49.656,49.721,1623,0
20190620,49.746,49.81,49.746,49.746,153480,0
20190621,49.666,49.666,49.666,49.666,8105,0
20190624,49.686,49.726,49.656,49.706,9908,0
20190625,49.736,49.746,49.736,49.736,10130,0
20190626,49.706,49.73,49.696,49.706,9623,0
20190627,49.716,49.748,49.706,49.716,7730,0
20190628,49.776,49.776,49.776,49.776,10132,0
20190701,49.776,49.776,49.756,49.756,2022,0
20190702,49.776,49.785,49.766,49.766,5068,0
20190703,49.785,49.795,49.785,49.795,8588,0
20190705,49.805,49.805,49.771,49.771,6357,0
20190708,49.776,49.776,49.756,49.756,10015,0
20190709,49.756,49.771,49.746,49.771,1277,0
20190710,49.781,49.781,49.781,49.781,11,0
20190711,49.815,49.815,49.79,49.79,1881,0
20190712,49.805,49.805,49.805,49.805,11,0
20190715,49.82,49.82,49.82,49.82,1,0
20190716,49.805,49.805,49.805,49.805,1,0
20190717,49.834,49.834,49.834,49.834,5,0
20190718,49.834,49.834,49.832,49.832,712,0
20190719,49.839,49.839,49.839,49.839,18,0
20190722,49.859,49.859,49.859,49.859,18,0
20190723,49.854,49.854,49.849,49.849,606,0
20190724,49.864,49.864,49.859,49.859,4643,0
20190725,49.854,49.854,49.854,49.854,30,0
20190726,49.854,49.854,49.854,49.854,30,0
20190729,49.878,49.878,49.864,49.864,304,0
20190730,49.883,49.883,49.873,49.878,13863,0
20190731,49.873,49.873,49.873,49.873,30,0
20190801,49.864,49.878,49.864,49.878,1435,0
20190802,49.883,49.893,49.883,49.888,1072,0
20190805,49.918,49.918,49.918,49.918,226,0
20190806,49.913,49.923,49.913,49.923,200,0
20190807,49.933,49.933,49.933,49.933,2,0
20190808,49.927,49.927,49.927,49.927,19,0
20190809,49.928,49.928,49.928,49.928,1,0
20190812,49.943,49.943,49.943,49.943,1,0
20190813,49.938,49.938,49.938,49.938,1,0
20190814,49.962,49.972,49.957,49.957,7340,0
20190815,49.962,49.972,49.962,49.972,605,0
20190816,49.982,49.982,49.972,49.977,2882,0
20190819,49.982,49.982,49.982,49.982,1,0
20190820,50.022,50.022,50.007,50.007,4067,0
20190821,50.013,50.022,50.007,50.007,2997,0
20190822,50,50,49.993,49.997,1726,0
20190823,50.012,50.012,50.002,50.012,1282,0
20190826,50.022,50.032,50.022,50.022,5749,0
20190827,50.037,50.037,50.037,50.037,150,0
20190828,50.031,50.042,50.031,50.042,405,0
20190829,50.044,50.052,50.042,50.042,535,0
20190830,50.047,50.047,50.047,50.047,32,0
20190903,50.042,50.052,50.042,50.047,4631,0
20190904,50.042,50.082,50.042,50.082,30360,0
20190905,50.062,50.077,50.062,50.077,220,0
20190906,50.072,50.072,50.072,50.072,30,0
20190909,50.077,50.077,50.077,50.077,6,0
20190910,50.067,50.067,50.067,50.067,14,0
20190911,50.072,50.072,50.06,50.06,585,0
20190912,50.058,50.058,50.052,50.057,3055,0
20190913,50.042,50.042,50.042,50.042,5,0
20190916,50.072,50.072,50.072,50.072,4686,0
20190917,50.062,50.072,50.057,50.057,4042,0
20190918,50.082,50.091,50.077,50.077,944,0
20190919,50.067,50.067,50.067,50.067,1,0
20190920,50.087,50.087,50.087,50.087,1,0
20190923,50.111,50.111,50.096,50.096,1510,0
20190924,50.116,50.116,50.115,50.115,3162,0
20190925,50.111,50.111,50.111,50.111,16,0
20190926,50.121,50.121,50.121,50.121,2095,0
20190927,50.131,50.131,50.131,50.131,16,0
20190930,50.121,50.151,50.121,50.146,5144,0
20191001,50.171,50.171,50.16,50.166,684,0
20191002,50.164,50.191,50.164,50.191,889,0
20191003,50.201,50.201,50.181,50.201,3016,0
20191004,50.211,50.231,50.211,50.226,355075,0
20191007,50.211,50.211,50.211,50.211,1,0
20191008,50.211,50.212,50.207,50.212,346901,0
20191009,50.215,50.231,50.215,50.231,6538,0
20191010,50.228,50.231,50.221,50.231,2761,0
20191011,50.231,50.231,50.224,50.228,1945,0
20191014,50.22,50.221,50.22,50.221,1450,0
20191015,50.231,50.231,50.206,50.206,455,0
20191016,50.241,50.25,50.211,50.221,12929,0
20191017,50.241,50.241,50.231,50.236,2802,0
20191018,50.234,50.238,50.234,50.238,1492,0
20191021,50.26,50.265,50.26,50.265,2303,0
20191022,50.27,50.27,50.265,50.265,369,0
20191023,50.27,50.275,50.27,50.275,1972,0
20191024,50.29,50.29,50.27,50.275,4275,0
20191025,50.29,50.29,50.28,50.29,9663,0
20191028,50.265,50.28,50.265,50.27,754,0
20191029,50.289,50.294,50.285,50.285,3895,0
20191030,50.3,50.3,50.29,50.29,315,0
20191031,50.32,50.32,50.315,50.315,2978,0
20191101,50.317,50.317,50.31,50.31,777,0
20191104,50.33,50.34,50.3,50.325,16725,0
20191105,50.33,50.33,50.32,50.32,7455,0
20191106,50.324,50.325,50.324,50.325,781,0
20191107,50.34,50.34,50.31,50.32,1540,0
20191108,50.322,50.33,50.3,50.315,9251,0
20191111,50.316,50.333,50.316,50.33,986,0
20191112,50.333,50.34,50.317,50.32,2004,0
20191113,50.34,50.34,50.333,50.34,1887,0
20191114,50.347,50.36,50.345,50.345,4066,0
20191115,50.37,50.37,50.33,50.358,29148,0
20191118,50.34,50.38,50.34,50.37,20495,0
20191119,50.39,50.39,50.35,50.37,42924,0
20191120,50.39,50.39,50.37,50.376,22664,0
20191121,50.39,50.39,50.374,50.385,17663,0
20191122,50.38,50.39,50.37,50.39,10588,0
20191125,50.37,50.4,50.37,50.395,1375,0
20191126,50.41,50.42,50.382,50.4,4354,0
20191127,50.42,50.42,50.4,50.4,1947,0
20191129,50.42,50.42,50.405,50.405,7187,0
20191202,50.38,50.42,50.38,50.41,6645,0
20191203,50.408,50.41,50.405,50.405,1252,0
20191204,50.45,50.45,50.43,50.43,7673,0
20191205,50.41,50.435,50.41,50.43,933,0
20191206,50.44,50.44,50.44,50.44,2691,0
20191209,50.45,50.45,50.425,50.425,1216,0
20191210,50.45,50.45,50.435,50.445,4172,0
20191211,50.44,50.45,50.44,50.44,6289,0
20191212,50.418,50.418,50.4,50.415,1198,0
20191213,50.46,50.46,50.448,50.45,5786,0
20191216,50.47,50.47,50.42,50.435,5012,0
20191217,50.42,50.46,50.42,50.445,9989,0
20191218,50.42,50.453,50.42,50.453,7823,0
20191219,50.43,50.48,50.43,50.46,62711,0
20191220,50.48,50.48,50.444,50.46,13301,0
20191223,50.455,50.47,50.454,50.46,2250,0
20191224,50.46,50.46,50.434,50.445,3031,0
20191226,50.445,50.47,50.445,50.47,20877,0
20191227,50.4763,50.49,50.4659,50.4659,7556,0
20191230,50.4757,50.49,50.4757,50.49,263,0
20191231,50.51,50.51,50.481,50.495,2612,0
20200102,50.5181,50.5181,50.493,50.5,667,0
20200103,50.515,50.515,50.515,50.515,1163,0
20200106,50.5291,50.54,50.51,50.525,11419,0
20200107,50.535,50.541,50.52,50.53,5372,0
20200108,50.52,50.55,50.52,50.54,21602,0
20200109,50.5241,50.55,50.5241,50.535,13989,0
20200110,50.536,50.5401,50.5329,50.5401,1039,0
20200113,50.5427,50.5599,50.5385,50.5548,5602,0
20200114,50.54,50.57,50.54,50.57,4281,0
20200115,50.568,50.58,50.55,50.58,14633,0
20200116,50.561,50.58,50.56,50.575,88305,0
20200117,50.58,50.58,50.58,50.58,249,0
20200121,50.58,50.6,50.57,50.6,10285,0
20200122,50.605,50.61,50.599,50.61,2491,0
20200123,50.63,50.63,50.6,50.6,34615,0
