Date,Open,High,Low,Close,Volume,OpenInt
20140319,21.833,21.849,21.72,21.72,28864,0
20140320,21.815,21.815,21.643,21.668,13973,0
20140321,21.815,21.815,21.544,21.572,11196,0
20140324,21.798,21.798,21.581,21.779,40546,0
20140325,22.083,22.083,21.885,21.978,15291,0
20140326,22.039,22.144,21.824,21.84,36130,0
20140327,22.153,22.187,21.668,21.946,23626,0
20140328,22.22,22.421,22.109,22.197,27315,0
20140331,22.388,22.557,22.35,22.37,34272,0
20140401,22.547,22.61,22.533,22.547,80267,0
20140402,22.712,22.712,22.584,22.678,36509,0
20140403,22.772,22.772,22.584,22.678,43472,0
20140404,22.73,23.095,22.525,22.54,29617,0
20140407,22.687,22.987,22.584,22.663,52912,0
20140408,22.879,22.879,22.602,22.628,34790,0
20140409,22.687,22.93,22.638,22.921,69343,0
20140410,22.921,22.938,22.421,22.421,77928,0
20140411,22.37,22.462,22.263,22.411,19208,0
20140414,22.421,22.421,21.963,22.263,58361,0
20140415,22.28,22.37,21.685,21.806,79119,0
20140416,22.074,22.28,22.03,22.178,33376,0
20140417,22.28,22.547,22.197,22.454,59542,0
20140421,22.712,22.817,22.496,22.565,53427,0
20140422,22.712,22.712,22.411,22.436,37604,0
20140423,22.721,22.721,22.324,22.401,54717,0
20140424,22.28,22.37,22.153,22.342,77402,0
20140425,22.444,22.444,21.985,22.03,163083,0
20140428,22.197,22.342,22.022,22.169,85016,0
20140429,22.43,22.43,22.187,22.308,54927,0
20140430,22.618,22.739,22.205,22.421,27685,0
20140501,22.557,22.557,22.454,22.525,54215,0
20140502,22.525,22.61,22.454,22.575,91406,0
20140505,22.516,22.533,22.421,22.525,43689,0
20140506,22.54,22.54,22.462,22.516,30062,0
20140507,22.602,22.73,22.547,22.678,49812,0
20140508,22.672,22.712,22.575,22.602,81369,0
20140509,22.506,22.506,22.28,22.29,113009,0
20140512,22.471,22.533,22.37,22.471,43578,0
20140513,22.506,22.506,22.411,22.43,40686,0
20140514,22.496,22.496,22.324,22.37,34518,0
20140515,22.263,22.263,21.97,21.97,107238,0
20140516,21.97,22.048,21.857,21.956,19948,0
20140519,21.849,22.074,21.849,22.039,53313,0
20140520,22.083,22.169,21.978,21.994,55787,0
20140521,22.048,22.197,22.048,22.125,144750,0
20140522,22.083,22.125,22.022,22.022,45837,0
20140523,22.187,22.246,22.022,22.205,35650,0
20140527,22.436,22.436,22.135,22.316,20653,0
20140528,22.37,22.411,22.246,22.342,22889,0
20140529,22.43,22.436,22.35,22.396,34163,0
20140530,22.37,22.496,22.36,22.401,79918,0
20140602,22.663,22.801,22.35,22.37,35568,0
20140603,22.411,22.496,22.37,22.462,64843,0
20140604,22.332,22.488,22.332,22.488,12435,0
20140605,22.628,22.764,22.525,22.687,160726,0
20140606,22.811,23.023,22.801,23.004,146816,0
20140609,23.014,23.11,22.938,23.095,84253,0
20140610,23.014,23.128,22.965,23.11,88349,0
20140611,23.069,23.069,22.853,22.861,91900,0
20140612,23.051,23.051,22.834,22.957,93429,0
20140613,22.913,22.921,22.73,22.861,128548,0
20140616,22.869,22.869,22.758,22.772,21012,0
20140617,22.772,22.782,22.687,22.739,34129,0
20140618,22.739,23.041,22.672,23.041,51419,0
20140619,23.06,23.11,22.948,23.051,36568,0
20140620,22.987,22.987,22.772,22.904,82810,0
20140623,22.904,22.913,22.782,22.894,62207,0
20140624,22.887,22.887,22.678,22.721,76609,0
20140625,22.712,22.758,22.61,22.654,64654,0
20140626,22.685,22.694,22.485,22.625,51755,0
20140627,22.591,22.635,22.476,22.537,29555,0
20140630,22.591,22.625,22.417,22.493,80365,0
20140701,22.635,22.644,22.544,22.581,43397,0
20140702,22.572,22.644,22.572,22.6,29348,0
20140703,22.71,22.719,22.591,22.685,24919,0
20140707,22.493,22.591,22.337,22.485,71009,0
20140708,22.417,22.417,22.077,22.207,48284,0
20140709,22.241,22.304,22.182,22.201,30399,0
20140710,21.948,22.015,21.738,21.958,101843,0
20140711,22.051,22.094,21.938,22.077,44464,0
20140714,22.191,22.258,22.148,22.201,75947,0
20140715,22.268,22.268,21.965,22.006,61886,0
20140716,22.201,22.304,22.148,22.232,35962,0
20140717,22.086,22.139,21.746,21.755,80729,0
20140718,21.859,22.086,21.859,21.987,45292,0
20140721,21.905,22.015,21.771,21.877,54694,0
20140722,22.042,22.191,22.032,22.069,188813,0
20140723,22.172,22.172,21.958,21.965,23318,0
20140724,22.164,22.223,22.077,22.172,23898,0
20140725,22.172,22.232,21.997,22.032,233491,0
20140728,22.069,22.139,21.973,21.987,72490,0
20140729,22.086,22.086,21.85,21.85,57657,0
20140730,21.85,21.938,21.764,21.938,25614,0
20140731,21.729,21.729,21.399,21.425,78643,0
20140801,21.434,21.563,21.294,21.409,41646,0
20140804,21.589,21.625,21.328,21.563,57090,0
20140805,21.337,21.383,20.924,21.061,70531,0
20140806,20.758,20.974,20.749,20.887,35833,0
20140807,20.887,20.887,20.462,20.609,119340,0
20140808,20.619,20.833,20.58,20.833,20858,0
20140811,20.895,20.895,20.714,20.782,33788,0
20140812,20.782,20.799,20.733,20.741,30867,0
20140813,20.915,20.94,20.841,20.887,125978,0
20140814,20.895,21.015,20.868,20.948,18735,0
20140815,21.243,21.243,20.841,20.895,95618,0
20140818,20.966,21.103,20.966,21.033,26629,0
20140819,21.043,21.13,20.984,21.103,45357,0
20140820,21.078,21.103,20.999,21.085,71277,0
20140821,21.103,21.312,21.103,21.275,51389,0
20140822,21.217,21.235,21.061,21.103,36490,0
20140825,21.193,21.275,21.183,21.226,67157,0
20140826,21.312,21.409,21.294,21.383,48260,0
20140827,21.501,21.619,21.501,21.599,31467,0
20140828,21.373,21.434,21.266,21.365,23065,0
20140829,21.328,21.373,21.2,21.373,29107,0
20140902,21.337,21.337,21.243,21.337,26028,0
20140903,21.695,21.695,21.544,21.544,21264,0
20140904,21.553,21.572,21.337,21.373,31876,0
20140905,21.452,21.537,21.399,21.53,11452,0
20140908,21.511,21.511,21.209,21.235,28494,0
20140909,21.217,21.226,21.095,21.12,17061,0
20140910,21.11,21.193,21.043,21.183,39849,0
20140911,21.085,21.095,21.015,21.053,18706,0
20140912,20.984,21.023,20.895,20.984,45170,0
20140915,20.841,20.887,20.758,20.851,27050,0
20140916,20.741,21.023,20.733,20.974,67822,0
20140917,20.993,21.023,20.851,20.851,8268,0
20140918,20.974,20.974,20.887,20.905,23151,0
20140919,21.023,21.033,20.782,20.825,18739,0
20140922,20.723,20.741,20.59,20.635,12801,0
20140923,20.508,20.59,20.429,20.479,24235,0
20140924,20.419,20.572,20.338,20.539,22329,0
20140925,20.329,20.392,20.13,20.182,25546,0
20140926,20.176,20.3,20.141,20.265,25380,0
20140929,19.956,20.002,19.801,19.931,67950,0
20140930,19.833,19.938,19.737,19.86,49691,0
20141001,19.809,19.818,19.546,19.632,46707,0
20141002,19.649,19.649,19.388,19.563,45662,0
20141003,19.573,19.582,19.361,19.504,36803,0
20141006,19.801,19.826,19.624,19.757,26627,0
20141007,19.59,19.721,19.511,19.511,63524,0
20141008,19.675,19.85,19.432,19.843,47679,0
20141009,19.668,19.668,19.292,19.311,90121,0
20141010,19.247,19.283,18.977,18.977,91761,0
20141013,19.311,19.361,19.194,19.194,35420,0
20141014,19.247,19.301,19.115,19.162,17256,0
20141015,18.89,19.037,18.54,18.95,115355,0
20141016,18.479,18.767,18.357,18.605,30442,0
20141017,18.95,19.057,18.865,18.96,11093,0
20141020,18.803,18.985,18.793,18.969,15072,0
20141021,18.899,19.057,18.899,19.057,12161,0
20141022,18.96,18.993,18.714,18.714,19631,0
20141023,18.872,18.899,18.767,18.767,38090,0
20141024,18.837,18.985,18.837,18.985,28426,0
20141027,18.611,18.714,18.549,18.671,22502,0
20141028,18.837,18.993,18.837,18.977,10107,0
20141029,18.924,18.95,18.575,18.643,37340,0
20141030,18.605,18.89,18.595,18.837,30575,0
20141031,18.803,18.88,18.731,18.855,29398,0
20141103,18.803,18.803,18.699,18.74,33600,0
20141104,18.68,18.793,18.618,18.759,55920,0
20141105,18.777,18.793,18.689,18.767,33389,0
20141106,18.653,18.75,18.515,18.533,31102,0
20141107,18.471,18.567,18.445,18.567,39112,0
20141110,18.721,18.731,18.627,18.643,19450,0
20141111,18.618,18.635,18.479,18.635,60301,0
20141112,18.533,18.585,18.471,18.515,36140,0
20141113,18.471,18.479,18.286,18.367,32775,0
20141114,18.286,18.427,18.217,18.392,21936,0
20141117,18.392,18.417,18.357,18.374,22047,0
20141118,18.515,18.706,18.496,18.671,29842,0
20141119,18.699,18.811,18.671,18.759,12564,0
20141120,18.721,18.759,18.706,18.714,15793,0
20141121,19.003,19.003,18.855,18.977,7611,0
20141124,19.124,19.134,19.057,19.1,65120,0
20141125,19.1,19.1,19.012,19.047,61876,0
20141126,19.084,19.134,19.084,19.115,37097,0
20141128,18.906,18.969,18.803,18.829,34000,0
20141201,18.777,18.777,18.605,18.68,73492,0
20141202,18.605,18.605,18.471,18.515,51769,0
20141203,18.525,18.605,18.515,18.585,14897,0
20141204,18.567,18.611,18.479,18.558,29370,0
20141205,18.575,18.653,18.549,18.595,102540,0
20141208,18.461,18.567,18.367,18.374,41950,0
20141209,18.34,18.34,18.164,18.261,56306,0
20141210,18.164,18.198,18.023,18.069,21842,0
20141211,17.999,17.999,17.726,17.781,86066,0
20141212,17.833,17.833,17.483,17.483,79603,0
20141215,17.561,17.561,17.081,17.142,98155,0
20141216,16.898,17.466,16.889,17.116,75761,0
20141217,17.263,17.607,17.168,17.483,25959,0
20141218,17.589,17.589,17.44,17.553,30378,0
20141219,17.579,17.616,17.483,17.597,29534,0
20141222,17.709,17.755,17.634,17.726,24061,0
20141223,17.717,17.746,17.597,17.693,19943,0
20141224,17.686,17.823,17.667,17.806,23945,0
20141226,17.763,17.861,17.717,17.726,34654,0
