Date,Open,High,Low,Close,Volume,OpenInt
20140904,21.921,21.981,21.879,21.921,1190,0
20140905,21.931,22.006,21.921,22.006,656,0
20140908,21.879,21.879,21.879,21.879,234,0
20140909,21.81,21.81,21.774,21.774,5247,0
20140910,21.732,21.828,21.732,21.828,30245,0
20140911,21.717,21.741,21.655,21.698,20334,0
20140915,21.613,21.613,21.613,21.613,1860,0
20140916,21.535,21.63,21.529,21.595,2941,0
20140918,21.895,21.895,21.837,21.837,5857,0
20140919,21.921,21.921,21.837,21.837,8279,0
20140922,21.921,21.921,21.749,21.758,6473,0
20140923,21.55,21.55,21.458,21.458,6176,0
20140924,21.529,21.655,21.529,21.621,27752,0
20140925,21.474,21.529,21.312,21.312,21840,0
20140926,21.519,21.595,21.519,21.595,2217,0
20140929,21.225,21.373,21.225,21.339,38735,0
20140930,21.502,21.502,21.493,21.493,3977,0
20141001,21.33,21.33,21.225,21.225,1527,0
20141002,20.703,20.79,20.694,20.781,25382,0
20141003,20.986,20.986,20.968,20.986,17487,0
20141007,20.712,20.736,20.6,20.6,14877,0
20141009,20.224,20.224,20.172,20.172,46950,0
20141010,20.105,20.18,20.105,20.172,7026,0
20141013,19.992,19.992,19.973,19.973,2475,0
20141014,20.059,20.078,20.042,20.042,484092,0
20141015,19.571,19.622,19.571,19.571,550,0
20141016,19.254,19.254,19.254,19.254,3925,0
20141017,19.818,19.818,19.818,19.818,161,0
20141022,20.265,20.265,20.265,20.265,960,0
20141023,20.378,20.514,20.361,20.403,8948,0
20141024,20.403,20.505,20.369,20.505,220388,0
20141028,20.514,20.514,20.514,20.514,1220,0
20141029,20.585,20.585,20.464,20.464,7165,0
20141030,20.335,20.575,20.335,20.575,2683,0
20141031,20.925,21.012,20.925,21.012,10303,0
20141103,20.832,20.841,20.798,20.798,1166,0
20141106,21.081,21.081,20.496,21.081,260,0
20141107,20.712,20.719,20.712,20.719,3449,0
20141110,20.849,20.849,20.841,20.841,812,0
20141112,20.719,21.003,20.636,20.712,56827,0
20141113,20.636,20.736,20.609,20.668,7145,0
20141114,20.754,20.754,20.754,20.754,129,0
20141117,20.764,20.918,20.764,20.892,3505,0
20141118,21.19,21.2,21.19,21.2,2390,0
20141119,21.167,21.167,21.141,21.141,1363,0
20141120,20.909,21.046,20.892,21.003,6309,0
20141121,21.621,21.621,21.493,21.568,161068,0
20141124,21.828,21.844,21.692,21.792,22468,0
20141125,21.921,21.931,21.783,21.871,11390,0
20141126,21.837,21.879,21.792,21.844,13525,0
20141128,21.939,21.998,21.895,21.998,5608,0
20141201,21.939,21.939,21.861,21.871,20277,0
20141202,22.006,22.006,21.871,21.973,13367,0
20141203,22.059,22.076,21.988,22.076,17585,0
20141204,21.758,21.948,21.673,21.879,16208,0
20141205,22.059,22.196,22.059,22.153,529124,0
20141208,22.127,22.153,21.895,21.964,11865,0
20141209,21.502,21.683,21.484,21.683,38216,0
20141210,21.673,21.673,21.279,21.279,18839,0
20141211,21.44,21.519,21.296,21.312,115841,0
20141212,21.21,21.312,20.728,20.728,64272,0
20141215,20.968,20.968,20.249,20.593,404723,0
20141216,20.378,20.798,20.265,20.445,29140,0
20141217,20.719,21.012,20.636,20.976,33588,0
20141218,21.339,21.542,21.304,21.542,96248,0
20141219,22.288,22.288,21.235,21.55,251236,0
20141222,21.56,21.595,21.422,21.577,72428,0
20141223,21.692,21.783,21.63,21.708,109772,0
20141224,21.723,21.852,21.723,21.844,24496,0
20141226,21.908,21.916,21.865,21.865,2191,0
20141229,21.587,21.734,21.587,21.719,21502,0
20141230,21.529,21.578,21.388,21.398,164047,0
20141231,21.55,21.55,21.345,21.345,94308,0
20150102,21.535,21.578,21.345,21.473,26005,0
20150105,21.102,21.102,20.728,20.79,57024,0
20150106,20.911,20.954,20.563,20.643,15150,0
20150107,20.877,20.963,20.728,20.927,818436,0
20150108,21.206,21.406,21.163,21.285,16442,0
20150109,21.362,21.388,20.842,21.006,72891,0
20150112,21.206,21.206,20.963,21.066,2816,0
20150113,21.509,21.509,21.109,21.293,13455,0
20150114,21.311,21.457,21.163,21.318,69619,0
20150115,21.569,21.994,21.493,21.535,45290,0
20150116,21.743,22.082,21.734,22.056,137813,0
20150120,22.23,22.272,22.117,22.247,250393,0
20150121,22.037,22.395,22.029,22.395,174465,0
20150122,22.499,22.933,22.395,22.851,322799,0
20150123,23.088,23.096,22.923,22.976,535797,0
20150126,23.124,23.314,23.061,23.295,505575,0
20150127,23.028,23.157,22.906,23.044,2305205,0
20150128,23.009,23.037,22.672,22.698,177794,0
20150129,22.966,23.209,22.897,23.184,390560,0
20150130,23.019,23.069,22.811,22.861,1080981,0
20150202,22.879,23.096,22.759,23.088,149709,0
20150203,23.237,23.383,23.209,23.375,252666,0
20150204,23.245,23.305,23.069,23.078,180852,0
20150205,23.219,23.314,23.166,23.295,174998,0
20150206,23.245,23.28,23.037,23.037,83871,0
20150209,22.811,22.949,22.794,22.887,90464,0
20150210,23.219,23.255,23.019,23.2,265526,0
20150211,23.139,23.209,23.037,23.184,286620,0
20150212,23.47,23.573,23.399,23.573,257775,0
20150213,25.454,25.454,23.417,23.661,184893,0
20150217,23.573,23.809,23.383,23.652,193803,0
20150218,23.739,23.809,23.687,23.756,407793,0
20150219,23.835,23.894,23.756,23.809,277885,0
20150220,23.764,24.206,23.712,24.145,1027443,0
20150223,24.095,24.12,24.016,24.087,190687,0
20150224,24.135,24.302,24.112,24.294,310723,0
20150225,24.215,24.258,24.12,24.19,431960,0
20150226,24.311,24.406,24.294,24.388,385353,0
20150227,24.431,24.555,24.354,24.501,223421,0
20150302,24.52,24.597,24.431,24.587,401700,0
20150303,24.466,24.538,24.224,24.345,1627902,0
20150304,24.415,24.476,24.172,24.457,1347955,0
20150305,24.649,24.711,24.597,24.668,932881,0
20150306,24.77,24.788,24.597,24.633,660890,0
20150309,24.641,24.734,24.613,24.711,695019,0
20150310,24.485,24.57,24.371,24.466,5649519,0
20150311,24.823,25.021,24.734,24.979,1089111,0
20150312,24.911,25.021,24.883,25.021,721193,0
20150313,24.918,25.178,24.892,25.162,637949,0
20150316,25.247,25.404,25.221,25.379,632876,0
20150317,25.031,25.212,25.004,25.178,1239346,0
20150318,25.047,25.221,24.979,25.056,808820,0
20150319,25.039,25.118,24.952,25.083,831880,0
20150320,25.36,25.499,25.281,25.423,921698,0
20150323,25.298,25.325,25.196,25.196,624342,0
20150324,25.387,25.516,25.344,25.369,593212,0
20150325,25.344,25.352,25.101,25.109,3006644,0
20150326,24.823,25.136,24.72,25.056,684066,0
20150327,25.075,25.204,25.047,25.162,329870,0
20150330,25.387,25.499,25.379,25.463,2413894,0
20150331,25.247,25.344,25.162,25.221,988456,0
20150401,25.369,25.507,25.289,25.447,1053483,0
20150402,25.369,25.471,25.369,25.471,3371794,0
20150406,25.49,25.673,25.196,25.56,775843,0
20150407,25.749,25.821,25.681,25.681,966622,0
20150408,25.723,25.733,25.587,25.699,1382316,0
20150409,25.846,26.027,25.821,25.984,708946,0
20150410,26.081,26.176,26.019,26.158,1451956,0
20150413,26.21,26.245,26.063,26.081,696059,0
20150414,26.011,26.087,25.889,26.081,646941,0
20150415,26.167,26.183,26.046,26.046,597772,0
20150416,25.925,25.925,25.723,25.777,1025317,0
20150417,25.36,25.463,25.169,25.23,1669178,0
20150420,25.438,25.533,25.438,25.463,970923,0
20150421,25.777,25.793,25.587,25.664,548981,0
20150422,25.655,25.691,25.454,25.673,683427,0
20150423,25.447,25.57,25.344,25.533,563693,0
20150424,25.471,25.612,25.423,25.533,2482150,0
20150427,25.889,25.976,25.821,25.829,995604,0
20150428,25.655,25.655,25.404,25.612,803631,0
20150429,25.196,25.238,24.692,24.902,1335851,0
20150430,24.924,24.996,24.606,24.658,1289155,0
20150501,24.72,24.996,24.72,24.987,382559,0
20150504,25.127,25.162,25.004,25.004,718078,0
20150505,24.892,24.892,24.415,24.466,1234733,0
20150506,24.546,24.597,24.277,24.38,2208343,0
20150507,24.431,24.587,24.396,24.476,649960,0
20150508,24.883,25.187,24.883,25.169,3145808,0
20150511,25.075,25.118,24.971,25.021,572688,0
20150512,24.831,24.849,24.641,24.813,2498072,0
20150513,24.987,24.987,24.597,24.658,839029,0
20150514,24.902,25.075,24.857,25.031,312576,0
20150515,25.039,25.083,24.788,24.971,1923734,0
20150518,24.902,25.109,24.84,25.091,917848,0
20150519,25.387,25.57,25.36,25.454,862434,0
20150520,25.56,25.639,25.471,25.629,633107,0
20150521,25.543,25.691,25.533,25.673,879384,0
20150522,25.673,25.673,25.57,25.639,393052,0
20150526,25.447,25.463,25.153,25.266,919770,0
20150527,25.387,25.664,25.344,25.596,1055098,0
20150528,25.525,25.57,25.307,25.507,851182,0
20150529,25.281,25.307,24.971,25.039,886762,0
20150601,25.101,25.153,24.979,25.127,447011,0
20150602,24.924,25.004,24.849,24.902,516685,0
20150603,25.118,25.136,24.892,24.924,373682,0
20150604,24.831,25.075,24.555,24.641,799482,0
20150605,24.52,24.668,24.388,24.485,509736,0
20150608,24.241,24.294,23.998,24.058,751747,0
20150609,24.104,24.164,23.955,24.033,2897132,0
20150610,24.329,24.692,24.302,24.587,3898022,0
20150611,24.979,25.047,24.692,24.788,1093671,0
20150612,24.431,24.52,24.25,24.501,892874,0
20150615,24.095,24.154,23.998,24.087,597593,0
20150616,24.058,24.224,24.024,24.19,1522520,0
20150617,24.058,24.154,23.773,23.835,762587,0
20150618,23.835,24.492,23.817,24.164,631490,0
20150619,24.233,24.241,24.068,24.112,640138,0
20150622,24.823,25.066,24.813,24.987,606124,0
20150623,25.387,25.43,25.266,25.325,1300280,0
20150624,25.178,25.212,24.971,24.996,627687,0
20150625,25.153,25.169,24.918,25.039,1161289,0
20150626,25.315,25.379,25.187,25.247,712893,0
20150629,25.039,25.145,23.955,23.974,794178,0
20150630,24.345,24.345,23.875,24.016,1449340,0
20150701,24.492,24.623,24.302,24.449,698248,0
20150702,24.359,24.385,24.173,24.279,920835,0
20150706,23.618,23.83,23.44,23.573,963520,0
20150707,23.449,23.688,23.139,23.662,4239718,0
20150708,23.308,23.405,23.166,23.248,557392,0
20150709,23.926,24.023,23.839,23.839,675256,0
20150710,24.685,24.862,24.306,24.8,1492609,0
20150713,25.039,25.084,24.986,25.066,1013905,0
20150714,24.986,25.216,24.969,25.19,1121485,0
20150715,25.251,25.294,25.102,25.19,2792547,0
20150716,25.657,25.657,25.561,25.614,719639,0
20150717,25.631,25.631,25.525,25.606,1644892,0
20150720,25.79,25.79,25.667,25.727,930800,0
20150721,25.596,25.622,25.402,25.471,1037454,0
20150722,25.34,25.445,25.33,25.376,2988612,0
20150723,25.357,25.421,25.171,25.199,807386,0
20150724,25.251,25.276,24.959,24.979,365029,0
20150727,24.713,24.713,24.483,24.51,3987911,0
20150728,24.808,24.917,24.651,24.845,789949,0
20150729,24.845,25.084,24.8,25.021,1012432,0
20150730,24.959,25.031,24.793,25.021,713525,0
20150731,25.003,25.146,24.862,25.119,809085,0
20150803,25.357,25.366,25.206,25.286,451749,0
20150804,25.312,25.357,25.241,25.34,500554,0
20150805,25.57,25.667,25.516,25.533,2061888,0
20150806,25.648,25.648,25.445,25.543,438205,0
20150807,25.489,25.498,25.33,25.402,299926,0
20150810,25.516,25.606,25.498,25.588,435226,0
20150811,25.19,25.225,25.084,25.155,1134986,0
20150812,24.5,24.614,24.217,24.588,1015716,0
20150813,24.67,24.685,24.5,24.519,832749,0
20150814,24.474,24.588,24.393,24.578,319626,0
20150817,24.289,24.555,24.217,24.555,598832,0
20150818,24.528,24.555,24.412,24.455,2207265,0
20150819,24.192,24.209,23.996,24.058,2935739,0
20150820,23.732,23.732,23.193,23.193,2754016,0
20150821,23.158,23.221,22.406,22.468,2601731,0
20150824,21.303,23.662,17.576,21.366,2720822,0
20150825,22.618,22.682,21.675,21.763,6175025,0
20150826,22.601,22.673,22.018,22.673,2171147,0
20150827,22.963,23.124,22.77,23.06,1962028,0
20150828,22.883,23.077,22.822,23.017,2037547,0
20150831,22.875,23.026,22.762,22.902,3058472,0
20150901,22.451,22.451,22.072,22.187,2800890,0
20150902,22.583,22.601,22.328,22.593,1026698,0
20150903,22.837,23.06,22.717,22.762,2702046,0
20150904,22.311,22.433,22.133,22.301,982995,0
20150908,22.805,22.866,22.645,22.83,1809518,0
20150909,23.248,23.248,22.583,22.628,2448767,0
20150910,22.682,22.805,22.593,22.78,1849750,0
20150911,22.514,22.593,22.433,22.576,1998597,0
20150914,22.425,22.506,22.311,22.425,4349431,0
20150915,22.443,22.699,22.391,22.691,1782346,0
20150916,22.822,22.929,22.717,22.912,2187680,0
20150917,22.866,23.132,22.754,22.815,2424880,0
20150918,22.241,22.443,22.169,22.354,2040603,0
20150921,22.415,22.576,22.32,22.468,1928171,0
20150922,21.903,21.958,21.711,21.912,3197393,0
20150923,21.903,21.931,21.685,21.735,1591791,0
20150924,21.347,21.685,21.187,21.585,3469837,0
20150925,22.018,22.054,21.701,21.798,2008109,0
20150928,21.64,21.649,21.33,21.382,1787795,0
20150929,21.426,21.526,21.268,21.453,2883317,0
20150930,21.921,21.991,21.711,21.903,4492769,0
20151001,21.983,21.983,21.585,21.825,1414825,0
20151002,21.507,22.187,21.507,22.178,1763549,0
20151005,22.514,22.717,22.477,22.682,1402415,0
20151006,22.734,22.847,22.628,22.682,2421030,0
20151007,22.954,23.052,22.725,22.973,3342884,0
20151008,22.805,23.069,22.762,23.069,1354592,0
20151009,23.026,23.052,22.883,23.017,3015558,0
20151012,22.837,22.963,22.837,22.912,532432,0
20151013,22.61,22.822,22.567,22.654,1351308,0
20151014,22.645,22.78,22.54,22.583,727338,0
20151015,22.822,23.069,22.796,23.06,1514913,0
20151016,22.982,23.069,22.919,23.06,1194606,0
20151019,23.035,23.105,22.99,23.077,1302846,0
20151020,22.929,23.035,22.912,22.982,900508,0
20151021,23.149,23.149,22.947,22.963,700619,0
20151022,23.387,23.732,23.387,23.67,1435883,0
20151023,24.006,24.146,23.972,24.095,1365232,0
20151026,24.023,24.051,23.89,23.935,634723,0
20151027,23.776,23.83,23.662,23.704,487647,0
20151028,23.821,24.087,23.759,24.058,729489,0
20151029,23.821,23.899,23.724,23.881,5188406,0
20151030,23.839,23.996,23.794,23.864,968389,0
20151102,24.042,24.173,24.032,24.156,2133316,0
20151103,23.996,24.217,23.996,24.146,1193022,0
20151104,24.227,24.271,24.032,24.13,1040135,0
20151105,24.236,24.297,24.095,24.156,1406673,0
20151106,24.359,24.403,24.182,24.393,1562127,0
20151109,24.182,24.227,23.908,24.006,971461,0
20151110,23.962,24.068,23.899,24.023,608230,0
20151111,24.192,24.227,24.058,24.087,1054440,0
20151112,23.855,23.926,23.618,23.618,662009,0
20151113,23.59,23.714,23.415,23.529,733339,0
20151116,23.564,23.908,23.529,23.908,655103,0
20151117,24.113,24.236,23.996,24.032,1059194,0
20151118,24.146,24.316,24.068,24.279,2820706,0
20151119,24.236,24.342,24.201,24.227,989787,0
20151120,24.297,24.385,24.236,24.271,853809,0
20151123,24.253,24.333,24.104,24.182,1965649,0
20151124,23.83,24.058,23.83,24.023,1124522,0
20151125,24.244,24.377,24.227,24.289,842034,0
20151127,24.578,24.607,24.519,24.537,1051269,0
20151130,24.678,24.704,24.588,24.607,1487513,0
20151201,24.598,24.643,24.438,24.563,1034237,0
20151202,24.377,24.448,24.058,24.113,1425160,0
20151203,23.988,24.023,23.166,23.248,4350045,0
20151204,23.29,23.75,23.265,23.732,3982137,0
20151207,23.794,23.83,23.6,23.714,4963546,0
20151208,23.248,23.352,23.105,23.229,4885394,0
20151209,23.052,23.299,22.725,22.847,6353577,0
20151210,23.017,23.124,22.947,22.982,2671024,0
20151211,22.558,22.654,22.372,22.406,6141737,0
20151214,22.46,22.514,22.054,22.406,4048815,0
20151215,22.682,22.875,22.682,22.796,6822089,0
20151216,23.008,23.282,22.83,23.239,6530202,0
20151217,23.415,23.449,23.202,23.202,8147129,0
20151218,23.008,23.052,22.762,22.762,8183586,0
20151221,23.069,23.069,22.61,22.744,2555200,0
20151222,22.699,22.856,22.593,22.847,10310673,0
20151223,23.096,23.273,23.052,23.273,2913659,0
20151224,23.193,23.405,23.166,23.175,2501924,0
20151228,23.131,23.131,22.953,23.042,1632813,0
20151229,23.246,23.369,23.237,23.332,4064295,0
20151230,23.246,23.26,23.103,23.112,3177969,0
20151231,23.138,23.138,22.845,22.845,2007140,0
20160104,22.448,22.573,22.287,22.573,2105305,0
20160105,22.538,22.573,22.394,22.528,1882439,0
20160106,22.103,22.228,21.971,22.113,2274849,0
20160107,21.617,21.914,21.449,21.474,2820967,0
20160108,21.855,21.865,21.272,21.315,3198942,0
20160111,21.758,21.758,21.324,21.581,3464049,0
20160112,21.899,21.945,21.635,21.875,1930002,0
20160113,21.988,22.014,21.324,21.387,2825606,0
20160114,21.361,21.731,21.2,21.608,3339193,0
20160115,20.804,20.962,20.592,20.777,6698440,0
20160119,21.14,21.148,20.768,20.97,3124158,0
20160120,20.645,20.722,20.114,20.583,4737063,0
20160121,20.731,21.041,20.529,20.846,6477728,0
20160122,21.458,21.59,21.369,21.553,3548961,0
20160125,21.343,21.387,21.144,21.158,8822268,0
20160126,21.361,21.598,21.334,21.598,8620101,0
20160127,21.431,21.693,21.246,21.324,3866531,0
20160128,21.439,21.458,21.032,21.253,3752549,0
20160129,21.439,21.774,21.431,21.758,3175037,0
20160201,21.484,21.67,21.361,21.598,1670118,0
20160202,21.2,21.2,20.891,20.945,2455712,0
20160203,21.015,21.035,20.519,20.881,3671561,0
20160204,20.592,20.895,20.506,20.74,2803286,0
20160205,20.804,20.838,20.448,20.511,2900339,0
20160208,20.051,20.051,19.669,19.829,4096264,0
20160209,19.262,19.608,19.245,19.457,7169065,0
20160210,19.847,20.059,19.556,19.556,4224119,0
20160211,19.201,19.334,18.984,19.211,3951801,0
20160212,19.386,19.583,19.254,19.582,2414135,0
20160216,20.105,20.201,19.945,20.201,1589860,0
20160217,20.511,20.71,20.476,20.677,5039101,0
20160218,20.794,20.855,20.554,20.573,2669897,0
20160219,20.468,20.519,20.316,20.492,1021411,0
20160222,20.83,20.936,20.83,20.926,1317422,0
20160223,20.865,20.874,20.583,20.583,1380008,0
20160224,20.229,20.476,20.006,20.458,6924529,0
20160225,20.626,20.661,20.439,20.654,4433178,0
20160226,20.909,20.945,20.758,20.777,1752604,0
20160229,20.855,21.011,20.768,20.794,1735077,0
20160301,21.19,21.484,21.166,21.449,1303864,0
20160302,21.351,21.494,21.299,21.494,1384529,0
20160303,21.431,21.537,21.343,21.53,866371,0
20160304,21.608,21.67,21.458,21.537,1391971,0
20160307,21.334,21.537,21.334,21.467,1099405,0
20160308,21.405,21.421,21.238,21.307,2448486,0
20160309,21.544,21.572,21.343,21.405,1375849,0
20160310,21.758,21.875,20.926,21.183,5682027,0
20160311,21.793,21.954,21.706,21.954,894408,0
20160314,21.954,22.086,21.927,22.023,682673,0
20160315,21.793,21.879,21.758,21.865,847492,0
20160316,21.731,21.909,21.731,21.883,1303204,0
20160317,21.635,21.793,21.563,21.758,1255181,0
20160318,21.839,21.927,21.812,21.883,1603469,0
20160321,21.82,21.909,21.766,21.875,1210093,0
20160322,21.66,21.917,21.635,21.855,5716151,0
20160323,21.936,21.945,21.731,21.766,7711015,0
20160324,21.484,21.598,21.453,21.544,1076431,0
20160328,21.581,21.635,21.507,21.572,977677,0
20160329,21.494,21.706,21.467,21.689,1302011,0
20160330,21.954,22.035,21.883,21.891,2650725,0
20160331,21.706,21.76,21.544,21.544,1654082,0
20160401,21.121,21.378,21.111,21.343,1366670,0
20160404,21.361,21.421,21.246,21.289,1040658,0
20160405,20.909,20.987,20.817,20.822,1763449,0
20160406,20.855,21.096,20.83,21.096,1031608,0
20160407,20.901,20.936,20.618,20.686,1525583,0
20160408,21.061,21.13,20.97,21.041,1648369,0
20160411,21.246,21.282,21.087,21.096,1265955,0
20160412,21.176,21.351,21.077,21.315,1514854,0
20160413,21.758,21.936,21.758,21.883,1405418,0
20160414,21.997,22.032,21.927,21.988,1052105,0
20160415,21.954,21.988,21.875,21.909,1360734,0
20160418,21.865,22.095,21.865,22.086,1063281,0
20160419,22.324,22.433,22.297,22.427,918518,0
20160420,22.431,22.634,22.431,22.573,1102001,0
20160421,22.404,22.564,22.404,22.457,548272,0
20160422,22.431,22.523,22.404,22.474,1677814,0
20160425,22.287,22.324,22.21,22.317,2251231,0
20160426,22.307,22.388,22.253,22.369,994178,0
20160427,22.369,22.519,22.369,22.466,2168890,0
20160428,22.21,22.457,22.197,22.228,1043351,0
20160429,22.06,22.086,21.875,21.945,1092937,0
20160502,22.023,22.023,21.901,22.023,863587,0
20160503,21.654,21.678,21.563,21.598,2380167,0
20160504,21.413,21.537,21.337,21.387,1125635,0
20160505,21.369,21.494,21.369,21.431,724364,0
20160506,21.324,21.563,21.324,21.553,1201053,0
20160509,21.617,21.685,21.494,21.544,1439762,0
20160510,21.654,21.803,21.626,21.803,650427,0
20160511,21.544,21.635,21.494,21.53,1538832,0
20160512,21.696,21.722,21.413,21.53,1339359,0
20160513,21.511,21.654,21.378,21.413,1432259,0
20160516,21.405,21.645,21.405,21.626,524178,0
20160517,21.494,21.544,21.345,21.369,1634696,0
20160518,21.413,21.66,21.405,21.572,1378528,0
20160519,21.467,21.503,21.387,21.474,1205267,0
20160520,21.59,21.696,21.59,21.66,3482299,0
20160523,21.563,21.645,21.544,21.553,4139598,0
20160524,21.865,22.152,21.865,22.103,1806108,0
20160525,22.28,22.412,22.28,22.333,1111893,0
20160526,22.412,22.466,22.379,22.422,826455,0
20160527,22.448,22.519,22.431,22.511,811399,0
20160531,22.555,22.555,22.351,22.422,1045088,0
20160601,22.237,22.324,22.219,22.297,1114709,0
20160602,22.246,22.404,22.246,22.395,612013,0
20160603,22.121,22.147,21.954,22.095,794808,0
20160606,22.113,22.183,22.06,22.113,853544,0
20160607,22.333,22.409,22.333,22.333,618093,0
20160608,22.287,22.307,22.193,22.302,1986254,0
20160609,22.032,22.183,22.032,22.095,1311727,0
20160610,21.598,21.603,21.369,21.426,1787430,0
20160613,21.103,21.241,20.936,20.979,984479,0
20160614,20.822,20.926,20.677,20.813,1144490,0
20160615,20.945,21.022,20.797,20.838,1551453,0
20160616,20.661,21.025,20.583,21.015,1445078,0
20160617,21.025,21.236,20.926,21.2,1261857,0
20160620,21.689,21.749,21.626,21.635,1142897,0
20160621,21.82,22.068,21.774,21.936,1246063,0
20160622,21.988,22.086,21.847,21.855,2689939,0
20160623,22.193,22.503,22.068,22.457,1869128,0
20160624,20.563,20.979,20.298,20.396,4975502,0
20160627,20.192,20.201,19.843,20.105,10042833,0
20160628,20.563,20.573,20.353,20.519,2176931,0
20160629,20.813,20.896,20.777,20.874,2356859,0
20160630,20.926,21.386,20.885,21.282,2614039,0
20160701,21.272,21.361,21.222,21.236,3603008,0
20160705,20.813,20.86,20.618,20.669,1030433,0
20160706,20.396,20.569,20.258,20.569,2279262,0
20160707,20.569,20.686,20.409,20.495,1214375,0
20160708,20.923,20.996,20.879,20.978,2613293,0
20160711,21.233,21.347,21.207,21.233,1339559,0
20160712,21.635,21.671,21.597,21.597,508886,0
20160713,21.681,21.681,21.55,21.597,661748,0
20160714,21.835,21.903,21.778,21.807,651642,0
20160715,21.77,21.816,21.717,21.77,1299310,0
20160718,21.708,21.843,21.645,21.743,718324,0
20160719,21.616,21.703,21.616,21.698,846987,0
20160720,21.835,21.916,21.835,21.852,695635,0
20160721,21.852,21.971,21.779,21.826,520500,0
20160722,21.916,21.98,21.898,21.971,838852,0
20160725,22.007,22.034,21.907,21.945,790880,0
20160726,21.98,22.081,21.962,22.044,834578,0
20160727,22.246,22.288,22.099,22.126,946962,0
20160728,22.099,22.163,21.998,22.144,1763832,0
20160729,22.117,22.217,22.062,22.195,998038,0
20160801,22.062,22.108,21.954,21.971,748699,0
20160802,21.778,21.778,21.579,21.645,675955,0
20160803,21.588,21.743,21.57,21.743,1044167,0
20160804,21.752,21.842,21.717,21.821,544911,0
20160805,22.025,22.144,22.025,22.099,361639,0
20160808,22.18,22.227,22.153,22.18,438633,0
20160809,22.382,22.526,22.354,22.454,646399,0
20160810,22.49,22.514,22.427,22.454,710406,0
20160811,22.616,22.708,22.581,22.673,719675,0
20160812,22.644,22.695,22.616,22.663,518900,0
20160815,22.7,22.736,22.682,22.682,489175,0
20160816,22.545,22.59,22.463,22.471,706731,0
20160817,22.345,22.417,22.253,22.412,593302,0
20160818,22.335,22.407,22.326,22.382,840053,0
20160819,22.163,22.27,22.108,22.253,1765530,0
20160822,22.135,22.261,22.108,22.227,1024105,0
20160823,22.417,22.49,22.382,22.392,722099,0
20160824,22.481,22.542,22.407,22.422,1291835,0
20160825,22.308,22.382,22.266,22.288,610960,0
20160826,22.392,22.545,22.217,22.372,1146085,0
20160829,22.345,22.476,22.345,22.471,947845,0
20160830,22.616,22.682,22.558,22.599,606495,0
20160831,22.663,22.673,22.444,22.509,1059347,0
20160901,22.682,22.717,22.435,22.599,1008149,0
20160902,22.8,23,22.773,22.973,1030390,0
20160906,23,23.028,22.843,22.91,1014402,0
20160907,23,23.059,22.947,22.983,513625,0
20160908,22.826,22.986,22.809,22.954,658464,0
20160909,22.818,22.818,22.5,22.5,896682,0
20160912,22.28,22.663,22.27,22.663,975469,0
20160913,22.392,22.427,22.152,22.261,912091,0
20160914,22.172,22.261,22.089,22.126,1000204,0
20160915,22.099,22.318,22.062,22.298,710979,0
20160916,22.034,22.081,21.974,22.062,704032,0
20160919,22.227,22.27,22.139,22.153,366914,0
20160920,22.345,22.345,22.227,22.249,379576,0
20160921,22.382,22.536,22.298,22.509,823873,0
20160922,22.843,22.906,22.8,22.835,692069,0
20160923,22.663,22.727,22.653,22.653,909059,0
20160926,22.354,22.399,22.298,22.326,578908,0
20160927,22.135,22.372,22.113,22.363,565638,0
20160928,22.5,22.616,22.408,22.616,2484956,0
20160929,22.554,22.608,22.135,22.208,1332022,0
20160930,22.335,22.626,22.335,22.573,631862,0
20161003,22.463,22.518,22.417,22.514,1464989,0
20161004,22.7,22.8,22.5,22.573,867006,0
20161005,22.673,22.727,22.663,22.7,556985,0
20161006,22.682,22.74,22.636,22.708,595003,0
20161007,22.509,22.545,22.354,22.444,888576,0
20161010,22.608,22.712,22.608,22.673,416159,0
20161011,22.708,22.736,22.505,22.563,657043,0
20161012,22.526,22.573,22.49,22.536,646815,0
20161013,22.19,22.412,22.135,22.363,3227130,0
20161014,22.644,22.709,22.581,22.626,1180489,0
20161017,22.545,22.604,22.49,22.536,710442,0
20161018,22.8,22.853,22.756,22.809,740530,0
20161019,22.826,22.913,22.826,22.873,720373,0
20161020,22.873,23.028,22.863,23,392987,0
20161021,22.89,23.025,22.89,23.019,514565,0
20161024,23.164,23.2,23.091,23.136,444891,0
20161025,23.071,23.136,23,23.071,356602,0
20161026,22.89,23.019,22.881,22.947,513677,0
20161027,23.009,23.081,22.947,22.983,2537485,0
20161028,22.937,23.028,22.853,22.9,693872,0
20161031,22.89,22.933,22.843,22.881,468053,0
20161101,22.835,22.843,22.485,22.581,621640,0
20161102,22.435,22.471,22.246,22.318,737023,0
20161103,22.372,22.399,22.204,22.253,945689,0
20161104,22.099,22.153,21.971,21.98,1125652,0
20161107,22.427,22.526,22.427,22.518,461663,0
20161108,22.454,22.736,22.44,22.7,1368952,0
20161109,22.435,22.918,22.435,22.863,2381338,0
20161110,22.826,22.937,22.573,22.756,1536055,0
20161111,22.626,22.644,22.518,22.616,855309,0
20161114,22.608,22.691,22.545,22.636,774679,0
