Date,Open,High,Low,Close,Volume,OpenInt
20150204,92.693,92.693,92.693,92.693,278,0
20150206,92.712,92.712,92.712,92.712,1703,0
20150210,92.646,92.646,92.646,92.646,273,0
20150211,92.741,92.741,92.741,92.741,565,0
20150213,92.804,92.804,92.804,92.804,471,0
20150217,92.748,92.748,92.748,92.748,1138,0
20150218,92.814,92.814,92.814,92.814,446,0
20150220,92.767,92.767,92.664,92.664,771,0
20150223,92.804,92.804,92.804,92.804,1122,0
20150225,92.804,92.804,92.804,92.804,554,0
20150303,92.767,92.814,92.721,92.721,4499,0
20150304,92.824,92.852,92.741,92.767,6209,0
20150305,92.758,92.814,92.741,92.741,5357,0
20150306,92.833,92.833,92.833,92.833,200,0
20150310,92.833,92.833,92.833,92.833,100,0
20150312,92.833,92.833,92.833,92.833,100,0
20150313,92.833,92.833,92.833,92.833,100,0
20150316,92.824,92.824,92.824,92.824,100,0
20150320,92.824,92.824,92.824,92.824,100,0
20150324,92.824,92.824,92.824,92.824,100,0
20150325,92.843,92.843,92.843,92.843,317,0
20150326,92.843,92.843,92.843,92.843,100,0
20150331,92.843,92.843,92.843,92.843,100,0
20150401,92.843,92.843,92.843,92.843,100,0
20150406,92.843,92.843,92.843,92.843,100,0
20150407,92.852,92.891,92.833,92.881,2353,0
20150409,92.881,92.881,92.881,92.881,6,0
20150413,92.833,92.861,92.833,92.861,317,0
20150414,92.852,92.852,92.852,92.852,100,0
20150415,92.814,92.814,92.814,92.814,748,0
20150424,92.814,92.814,92.814,92.814,100,0
20150427,92.814,92.814,92.814,92.814,100,0
20150513,92.795,92.795,92.795,92.795,640,0
20150518,92.982,92.982,92.982,92.982,777,0
20150528,92.982,92.982,92.982,92.982,1,0
20150529,92.982,92.982,92.982,92.982,100,0
20150601,92.982,92.982,92.982,92.982,100,0
20150602,92.982,92.982,92.982,92.982,2,0
20150603,92.982,92.982,92.982,92.982,100,0
20150605,92.982,92.982,92.982,92.982,100,0
20150608,92.982,92.982,92.982,92.982,100,0
20150610,92.928,92.928,92.84,92.858,859,0
20150612,92.858,92.858,92.858,92.858,100,0
20150617,92.928,92.928,92.792,92.831,2143,0
20150618,92.831,92.831,92.831,92.831,100,0
20150624,92.828,92.828,92.828,92.828,100,0
20150625,92.895,92.895,92.856,92.875,963,0
20150629,92.875,92.875,92.875,92.875,100,0
20150630,92.846,92.846,92.846,92.846,291,0
20150701,92.846,92.846,92.846,92.846,100,0
20150702,92.846,92.846,92.846,92.846,100,0
20150707,92.846,92.846,92.846,92.846,100,0
20150709,92.915,92.915,92.856,92.856,1068,0
20150710,92.856,92.856,92.856,92.856,100,0
20150716,92.856,92.856,92.856,92.856,100,0
20150720,93.162,93.162,93.162,93.162,317,0
20150721,93.162,93.162,93.162,93.162,100,0
20150723,93.162,93.162,93.162,93.162,100,0
20150727,93.162,93.162,93.162,93.162,100,0
20150729,93.162,93.162,93.162,93.162,100,0
20150731,93.162,93.162,93.162,93.162,100,0
20150803,93.162,93.162,93.162,93.162,2,0
20150805,93.162,93.162,93.162,93.162,100,0
20150807,93.162,93.162,93.162,93.162,100,0
