Date,Open,High,Low,Close,Volume,OpenInt
20130703,19.16,19.299,19.123,19.23,3037,0
20130705,19.261,19.339,19.223,19.307,7218,0
20130708,19.513,19.559,19.437,19.482,12436,0
20130709,19.743,19.743,19.53,19.628,11379,0
20130710,19.62,19.764,19.62,19.691,2245,0
20130711,19.911,20.238,19.889,20.238,8241,0
20130712,20.015,20.015,19.968,20.008,14766,0
20130715,20.099,20.099,19.999,20.034,23611,0
20130716,20.06,20.16,20.052,20.151,11205,0
20130717,20.18,20.207,20.12,20.16,20006,0
20130718,20.092,20.198,20.092,20.189,16723,0
20130719,20.128,20.368,20.114,20.18,19610,0
20130722,20.207,20.274,20.189,20.251,32054,0
20130723,20.397,20.437,20.343,20.391,19722,0
20130724,20.437,20.506,20.35,20.35,17012,0
20130725,20.337,20.497,20.306,20.497,14863,0
20130726,20.397,20.474,20.35,20.474,22386,0
20130729,20.318,20.457,20.299,20.337,11307,0
20130730,20.327,20.384,20.198,20.251,26108,0
20130731,20.151,20.457,20.151,20.274,61260,0
20130801,20.521,20.521,20.343,20.397,18479,0
20130802,20.377,20.512,20.377,20.506,56008,0
20130805,20.474,20.506,20.397,20.491,27108,0
20130806,20.506,20.506,20.384,20.437,25716,0
20130807,20.397,20.443,20.384,20.397,32777,0
20130808,20.643,20.748,20.581,20.735,28673,0
20130809,20.775,20.851,20.758,20.819,27240,0
20130812,20.735,20.829,20.735,20.813,27666,0
20130813,20.895,21.003,20.813,20.989,29076,0
20130814,20.93,20.989,20.903,20.957,23575,0
20130815,20.741,20.903,20.675,20.889,29630,0
20130816,20.943,20.989,20.883,20.93,36511,0
20130819,20.93,20.974,20.766,20.766,18669,0
20130820,20.706,20.748,20.681,20.714,18460,0
20130821,20.621,20.627,20.474,20.497,24633,0
20130822,20.689,20.789,20.675,20.681,6231,0
20130823,20.766,20.851,20.735,20.843,13814,0
20130826,20.781,20.796,20.689,20.698,14577,0
20130827,20.512,20.536,20.306,20.359,38022,0
20130828,20.35,20.466,20.35,20.397,10003,0
20130829,20.359,20.457,20.343,20.359,8601,0
20130830,20.395,20.395,20.315,20.348,13015,0
20130903,20.651,20.689,20.521,20.568,10490,0
20130904,20.568,20.714,20.568,20.689,15775,0
20130905,20.689,20.735,20.668,20.675,15618,0
20130906,20.834,20.957,20.728,20.93,434407,0
20130909,21.003,21.22,21.003,21.182,145272,0
20130910,21.457,21.489,21.413,21.489,36305,0
20130911,21.51,21.61,21.482,21.61,14919,0
20130912,21.583,21.655,21.518,21.548,41301,0
20130913,22.449,22.449,21.527,21.618,16692,0
20130916,22.008,22.008,21.779,21.819,29981,0
20130917,21.834,21.879,21.826,21.879,14635,0
20130918,21.864,22.465,21.803,22.465,196044,0
20130919,22.254,22.359,22.196,22.212,172437,0
20130920,22.262,22.374,22.133,22.163,36980,0
20130923,22.163,22.302,21.896,22.117,246891,0
20130924,22.141,22.202,22.032,22.088,148398,0
20130925,22.184,22.184,22.068,22.119,35321,0
20130926,22.247,22.247,22.184,22.184,16091,0
20130927,22.175,22.215,22.143,22.192,46008,0
20130930,22.005,22.052,21.88,21.982,35164,0
20131001,22.052,22.198,22.052,22.15,143268,0
20131002,22.098,22.112,21.966,22.112,25198,0
20131003,22.035,22.052,21.912,21.951,19158,0
20131004,21.912,21.974,21.905,21.951,89610,0
20131007,21.812,21.889,21.797,21.866,11546,0
20131008,21.898,21.898,21.671,21.68,41827,0
20131009,21.756,21.812,21.61,21.77,21173,0
20131010,22.018,22.215,22.005,22.192,18407,0
20131011,22.119,22.267,22.052,22.207,258495,0
20131014,22.222,22.378,22.192,22.347,118022,0
20131015,22.371,22.371,22.267,22.267,20100,0
20131016,22.413,22.509,22.406,22.492,28205,0
20131017,22.547,22.733,22.501,22.733,41864,0
