Date,Open,High,Low,Close,Volume,OpenInt
20050225,24.556,24.83,24.547,24.65,293966,0
20050228,24.601,24.782,24.186,24.318,245993,0
20050301,24.417,24.859,24.417,24.792,113839,0
20050302,24.501,25.025,24.501,24.868,323096,0
20050303,24.997,24.997,24.398,24.482,133331,0
20050304,24.611,24.65,24.252,24.252,62327,0
20050307,24.261,24.932,24.261,24.774,153890,0
20050308,24.679,25.167,24.501,24.501,74536,0
20050309,24.501,24.774,24.465,24.538,75500,0
20050310,24.774,24.774,24.318,24.575,39625,0
20050311,24.792,24.887,24.196,24.28,61043,0
20050314,24.223,24.465,24.223,24.417,43372,0
20050315,24.63,24.708,24.252,24.252,40053,0
20050316,24.427,24.556,24.148,24.205,56972,0
20050317,24.205,24.407,24.101,24.138,39301,0
20050318,24.232,24.232,23.813,23.95,56010,0
20050321,23.969,23.996,23.71,23.756,35985,0
20050322,23.72,24.044,23.625,23.663,51297,0
20050323,23.776,23.877,23.596,23.596,30094,0
20050324,23.568,23.86,23.568,23.615,192658,0
20050328,23.635,23.756,23.568,23.577,39946,0
20050329,23.435,23.691,23.186,23.205,62646,0
20050330,23.344,23.813,23.297,23.813,33521,0
20050331,23.813,23.877,23.663,23.7,21738,0
20050401,23.94,23.979,23.401,23.409,57722,0
20050404,23.234,23.435,23.074,23.353,30520,0
20050405,23.261,23.483,23.137,23.157,30308,0
20050406,23.137,23.418,23.137,23.252,17671,0
20050407,23.344,23.7,23.315,23.644,96277,0
20050408,23.794,23.804,23.512,23.512,55366,0
20050411,23.549,23.549,23.261,23.28,90707,0
20050412,23.252,23.435,22.999,23.363,23777,0
20050413,23.205,23.306,22.812,22.886,77318,0
20050414,22.886,22.925,22.597,22.597,53013,0
20050415,22.543,22.543,21.812,21.822,125620,0
20050418,21.718,22.176,21.718,21.943,97884,0
20050419,22.317,22.625,22.317,22.525,74003,0
20050420,22.802,22.962,22.551,22.578,119729,0
20050421,22.876,23.297,22.829,23.234,128513,0
20050422,23.252,23.252,22.812,22.962,39837,0
20050425,23.129,23.568,23.119,23.315,80104,0
20050426,23.244,23.549,23.093,23.093,57188,0
20050427,23.064,23.435,23.045,23.306,53653,0
20050428,23.205,23.244,22.847,22.857,47227,0
20050429,22.972,23.045,22.421,22.896,67681,0
20050502,23.083,23.093,22.69,22.876,60295,0
20050503,22.857,22.972,22.764,22.839,67255,0
20050504,22.992,23.289,22.839,23.215,378892,0
20050505,23.27,23.483,23.129,23.176,366468,0
20050506,23.435,23.463,23.225,23.391,37912,0
20050509,23.344,24.062,23.344,24.062,192548,0
20050510,23.996,23.996,23.512,23.625,85889,0
20050511,23.804,24.091,23.53,24.053,54938,0
20050512,24.081,24.38,23.842,23.95,92959,0
20050513,24.015,24.436,23.895,24.252,98524,0
20050516,24.337,24.372,24.129,24.31,391207,0
20050517,24.223,24.482,24.044,24.456,618351,0
20050518,24.456,24.997,24.456,24.821,254879,0
20050519,24.914,25.148,24.849,25.101,116409,0
20050520,25.195,25.304,24.942,25.286,238494,0
20050523,25.389,25.559,25.304,25.425,236461,0
20050524,25.38,25.511,25.222,25.511,111481,0
20050525,25.425,25.425,25.081,25.286,98205,0
20050526,25.445,25.782,25.445,25.668,125298,0
20050527,25.763,25.772,25.53,25.668,39731,0
20050531,25.677,25.724,25.53,25.668,57830,0
20050601,25.734,26.257,25.724,26.036,118661,0
20050602,26.191,26.285,26.072,26.174,91134,0
20050603,26.191,26.191,25.949,26.054,71002,0
20050606,26.008,26.136,25.809,25.893,74431,0
20050607,26.017,26.211,25.743,25.753,106238,0
