Date,Open,High,Low,Close,Volume,OpenInt
20060505,45.654,45.654,45.654,45.654,105,0
20060508,46.028,46.028,45.861,45.861,4279,0
20060509,45.701,45.738,44.973,45.058,211537,0
20060510,45.519,45.926,45.519,45.757,5456,0
20060511,45.519,45.519,45.292,45.33,4172,0
20060512,45.842,45.842,45.683,45.683,8454,0
20060515,45.757,46.093,45.738,45.832,20008,0
20060516,46.759,46.927,46.684,46.769,93837,0
20060517,46.684,46.973,46.684,46.759,30171,0
20060518,46.45,46.759,46.45,46.458,4172,0
20060519,46.309,46.327,45.832,46.074,90092,0
20060522,45.888,46.093,45.645,45.962,13909,0
20060523,45.898,45.898,45.5,45.5,3534,0
20060524,45.094,45.282,44.671,45.001,4707,0
20060525,45.123,45.563,45.123,45.563,633,0
20060526,45.757,45.861,45.757,45.776,2142,0
20060530,45.519,45.645,45.519,45.554,2567,0
20060531,45.962,46.207,45.852,45.87,29744,0
20060601,46.411,47.029,46.411,47.029,3854,0
20060602,47.198,47.31,47.141,47.169,40341,0
20060605,47.085,47.085,46.402,46.402,5994,0
20060606,46.778,46.778,46.028,46.272,5134,0
20060607,46.514,47.103,46.514,46.75,7063,0
20060608,46.873,47.076,46.44,46.816,28032,0
20060609,46.684,46.917,46.57,46.598,8669,0
20060612,46.778,46.778,45.664,45.664,3641,0
20060613,45.563,45.832,45.563,45.673,3317,0
20060614,45.235,45.235,44.747,45.029,4600,0
20060615,45.019,45.581,44.833,45.545,6312,0
20060616,45.692,45.692,45.443,45.637,6528,0
20060619,45.683,45.683,45.058,45.114,9201,0
20060620,44.944,45.058,44.842,44.842,3960,0
20060621,45.067,45.87,45.067,45.87,2782,0
20060622,45.757,45.898,45.5,45.627,5994,0
20060623,45.664,46.009,45.664,46.009,1396,0
20060626,46.216,46.225,45.944,46.036,13483,0
20060627,45.981,45.981,45.664,45.664,3425,0
20060628,45.728,45.748,45.001,45.571,5886,0
20060629,46.15,46.421,45.907,46.421,2996,0
20060630,46.485,46.927,46.485,46.759,5779,0
20060703,46.637,46.807,46.533,46.807,7168,0
20060705,46.684,46.769,46.514,46.722,7596,0
20060706,46.873,47.085,46.778,46.778,8347,0
20060707,46.703,47.16,46.703,46.863,2034,0
20060710,47.218,47.479,47.218,47.479,3747,0
20060711,47.349,48.01,47.349,47.973,93517,0
20060712,48.03,48.048,47.682,47.682,15299,0
20060713,47.617,47.718,47.245,47.395,26214,0
20060714,46.798,47.103,46.798,47.038,3208,0
20060717,47.263,47.329,47.122,47.122,4172,0
20060718,47.085,47.169,46.759,47.113,11340,0
20060719,47.795,48.635,47.795,48.535,294245,0
20060720,48.701,48.88,48.469,48.478,20327,0
20060721,48.411,48.411,48.085,48.383,8025,0
20060724,48.615,49.113,48.615,49.113,84528,0
20060725,49.066,49.607,48.926,49.468,68266,0
20060726,49.298,49.298,48.955,49.031,23754,0
20060727,47.608,47.672,47.198,47.588,149795,0
20060728,47.823,47.879,46.742,46.927,297668,0
20060731,46.732,47.329,46.732,47.094,12842,0
20060801,47.01,47.103,46.816,47.019,3425,0
20060802,48.27,48.28,47.925,48.02,44725,0
20060803,47.804,47.982,47.672,47.71,39162,0
20060804,48.253,48.337,47.897,48.039,13694,0
20060807,47.944,48.27,47.944,48.178,15835,0
20060808,48.506,48.89,48.506,48.551,176117,0
20060809,48.936,48.993,48.393,48.393,14768,0
20060810,48.159,48.758,48.159,48.758,8774,0
20060811,48.506,48.588,48.262,48.319,2353,0
20060814,48.598,48.787,48.45,48.45,8454,0
20060815,48.711,48.861,48.663,48.767,22362,0
20060816,49.031,49.085,48.804,49.056,11660,0
20060817,49.161,49.544,49.161,49.459,9415,0
20060818,49.234,49.392,49.113,49.383,9415,0
20060821,49.627,49.627,49.374,49.459,122084,0
20060822,49.627,49.842,49.59,49.599,13375,0
20060823,49.722,49.768,49.383,49.563,19579,0
20060824,49.749,50.134,49.749,50.134,8987,0
20060825,49.656,49.899,49.636,49.731,16904,0
20060828,49.749,50.302,49.627,50.236,5348,0
20060829,50.227,50.562,50.227,50.553,13694,0
20060830,50.654,50.953,50.654,50.793,27072,0
20060831,50.736,50.736,50.366,50.626,6848,0
20060901,50.562,50.644,50.321,50.488,8774,0
20060905,50.571,50.571,50.218,50.246,20758,0
20060906,50.013,50.04,49.788,49.788,41519,0
20060907,49.739,49.739,49.449,49.563,53073,0
20060908,49.778,50.162,49.749,50.022,16159,0
20060911,49.984,50.756,49.768,50.654,19796,0
20060912,50.803,51.581,50.793,51.572,53073,0
20060913,51.562,51.665,51.422,51.508,16373,0
20060914,51.356,51.356,51.027,51.178,15621,0
20060915,51.158,51.309,51.047,51.065,11768,0
20060918,51.027,51.027,50.571,50.626,44830,0
20060919,50.654,50.878,50.562,50.869,42691,0
20060920,51.027,51.336,51.008,51.187,135351,0
20060921,51.139,51.139,50.312,50.394,59169,0
20060922,50.394,50.459,49.768,49.825,28461,0
20060925,49.852,49.852,49.525,49.842,69870,0
20060926,49.693,50.068,49.573,50.04,84100,0
20060927,49.842,50.003,49.712,49.862,28246,0
20060928,49.862,49.862,49.599,49.768,35309,0
20060929,49.899,49.899,49.627,49.778,28246,0
20061002,49.722,49.722,49.345,49.497,30602,0
20061003,49.43,49.43,49.161,49.161,17438,0
20061004,49.066,49.731,48.926,49.731,24824,0
20061005,49.842,50.349,49.516,50.349,89235,0
20061006,50.349,50.349,49.449,49.544,150656,0
20061009,49.401,49.401,48.898,49.038,20973,0
20061010,49.056,49.113,48.535,48.551,178471,0
20061011,48.459,48.993,48.459,48.691,46008,0
20061012,48.89,49.066,48.673,49.066,336616,0
20061013,49.133,49.133,48.364,48.487,96513,0
20061016,48.373,48.777,48.178,48.487,167236,0
20061017,48.411,48.411,47.906,48.058,160605,0
20061018,48.45,48.635,48.337,48.588,29850,0
20061019,48.654,49.205,48.654,49.066,234108,0
20061020,49.133,49.487,49.133,49.421,15088,0
20061023,49.468,49.693,49.123,49.401,26426,0
20061024,49.392,49.392,48.974,49.105,185211,0
20061025,48.974,48.974,47.973,48.076,167878,0
20061026,48.497,48.615,48.309,48.411,52535,0
20061027,48.319,48.787,48.243,48.526,196664,0
20061030,48.487,48.487,47.804,47.906,613315,0
20061031,47.785,47.785,47.479,47.598,168951,0
20061101,47.598,48.319,46.495,46.834,545050,0
20061102,46.834,47.579,46.834,47.263,373532,0
20061103,47.198,47.198,46.703,46.778,185105,0
20061106,47.029,47.663,46.927,47.479,252194,0
20061107,47.588,48.085,47.588,47.804,388293,0
20061108,47.459,47.459,46.807,46.991,710360,0
20061109,46.826,46.881,45.711,45.795,353626,0
20061110,45.88,46.309,45.832,46.244,242563,0
20061113,46.392,46.935,46.392,46.908,140488,0
20061114,47.198,47.218,47.001,47.198,201582,0
20061115,47.198,47.71,47.198,47.672,256903,0
20061116,47.542,47.747,47.542,47.637,133431,0
20061117,47.431,47.431,47.103,47.226,135891,0
20061120,47.057,47.141,46.873,46.963,18085,0
20061121,46.778,46.917,46.561,46.589,258614,0
20061122,46.732,46.927,46.656,46.853,111599,0
20061124,46.684,47.103,46.684,46.863,7596,0
20061127,46.798,46.881,46.505,46.505,97902,0
20061128,46.542,47.16,46.466,46.991,22895,0
20061129,47.103,47.208,46.873,47.122,112776,0
20061130,47.32,48.402,47.32,48.188,1024187,0
20061201,48.411,48.506,47.785,48.131,365074,0
20061204,48.319,48.588,48.319,48.497,403382,0
20061205,48.516,48.683,48.337,48.551,97473,0
20061206,48.516,49.056,48.516,48.898,21400,0
20061207,49.066,49.326,48.946,48.983,22789,0
20061208,49.095,49.188,48.625,49.142,64197,0
20061211,49.261,49.345,48.926,49.251,63877,0
20061212,49.142,49.345,49.022,49.205,64407,0
20061213,49.581,49.581,49.031,49.056,24933,0
20061214,49.012,49.534,49.012,49.038,142950,0
20061215,49.251,49.251,49.133,49.152,33917,0
20061218,49.544,49.646,49.44,49.646,23863,0
20061219,49.534,50.366,49.534,50.201,9630,0
20061220,50.293,50.707,50.274,50.707,95443,0
20061221,50.793,50.934,50.699,50.878,182858,0
20061222,50.841,50.841,50.413,50.616,13161,0
20061226,50.717,50.784,50.571,50.774,14446,0
20061227,50.793,50.917,50.717,50.764,49324,0
20061228,50.888,50.907,50.756,50.86,8454,0
20061229,50.851,50.934,50.707,50.746,8774,0
20070103,50.98,51.056,49.946,50.264,37878,0
20070104,50.172,50.284,49.974,50.236,41298,0
20070105,50.096,50.144,49.664,49.862,318747,0
20070108,49.835,50.497,49.731,50.209,115133,0
20070109,50.284,50.284,49.525,49.607,87849,0
20070110,49.487,49.852,49.17,49.778,75433,0
20070111,49.909,50.699,49.89,50.68,141236,0
20070112,50.587,50.98,50.587,50.934,92662,0
20070116,51.075,51.404,51.075,51.271,93729,0
20070117,51.394,51.591,51.328,51.451,68797,0
20070118,50.774,50.869,50.606,50.672,382196,0
20070119,50.672,50.878,50.587,50.878,273063,0
20070122,50.869,50.869,50.385,50.394,98006,0
20070123,50.413,50.663,50.227,50.431,508774,0
20070124,49.984,50.672,49.927,50.394,79070,0
20070125,50.421,50.626,50.312,50.366,250911,0
20070126,50.366,50.385,50.022,50.227,449069,0
20070129,50.264,50.587,50.264,50.459,213565,0
20070130,50.579,50.943,50.579,50.943,20546,0
20070131,50.888,51.336,50.717,51.281,272632,0
20070201,51.318,51.749,51.196,51.684,148622,0
20070202,51.758,51.908,51.591,51.655,7063,0
20070205,51.805,52.057,51.778,52.02,64090,0
20070206,52.057,52.057,51.693,51.955,168951,0
20070207,52.102,52.432,52.067,52.432,95334,0
20070208,52.263,52.432,52.17,52.216,268672,0
20070209,52.45,52.45,51.87,52.011,69224,0
20070212,52.102,52.405,52.102,52.319,7810,0
20070213,52.571,52.656,52.423,52.526,23539,0
20070214,52.712,52.964,52.571,52.899,5240,0
20070215,53.121,54.198,53.121,54.046,280011,0
20070216,53.869,54.18,53.859,53.952,335867,0
20070220,54.104,54.301,53.971,54.207,210252,0
20070221,54.442,54.442,54.217,54.33,155256,0
20070222,54.535,54.535,54.207,54.387,15193,0
20070223,54.349,54.349,54.009,54.028,236895,0
20070226,53.907,54.037,53.748,54.037,120262,0
20070227,53.571,53.571,52.011,52.795,775626,0
20070228,52.507,52.937,52.338,52.833,369141,0
20070301,51.823,53.003,51.805,52.871,81212,0
20070302,52.909,53.384,52.637,52.637,310080,0
20070305,52.234,52.627,52.047,52.057,390757,0
20070306,52.526,52.777,52.338,52.637,703939,0
20070307,52.46,52.712,52.234,52.507,251233,0
20070308,52.928,53.012,52.58,52.637,32740,0
20070309,52.899,52.899,52.319,52.376,35525,0
20070312,52.58,53.308,52.497,52.721,233577,0
20070313,52.673,52.899,52.16,52.16,27818,0
20070314,52.338,52.478,51.898,52.338,175905,0
20070315,52.517,52.955,52.497,52.861,4817,0
20070316,52.814,53.039,52.656,52.683,5240,0
