Date,Open,High,Low,Close,Volume,OpenInt
20060505,46.581,47.995,46.581,47.995,41647,0
20060508,47.57,47.714,47.067,47.067,16182,0
20060509,47.136,47.136,46.581,46.667,6678,0
20060510,47.166,47.231,46.859,46.983,13361,0
20060511,46.581,46.639,45.671,45.671,13465,0
20060512,45.241,45.241,44.867,45.01,3239,0
20060515,45.095,45.095,43.841,43.841,9081,0
20060516,44.302,44.302,43.9,43.9,1460,0
20060517,43.362,43.362,42.739,42.739,2610,0
20060518,43.494,44.157,43.103,43.103,79534,0
20060519,42.498,42.768,42.498,42.768,305,0
20060522,42.156,42.156,41.907,41.907,1148,0
20060523,43.074,43.074,41.792,41.792,46761,0
20060524,42.932,42.932,42.932,42.932,100,0
20060525,42.498,42.498,42.366,42.375,1044,0
20060526,42.643,42.643,42.634,42.634,305,0
20060530,41.937,41.937,41.656,41.656,33925,0
20060531,41.301,41.301,40.94,40.949,13361,0
20060601,40.736,41.558,40.736,41.558,941,0
20060602,41.992,41.992,41.064,41.064,12004,0
20060605,40.251,40.251,39.129,39.139,25261,0
20060606,38.618,38.618,37.172,37.736,36635,0
20060607,37.756,38.274,37.555,37.555,19519,0
20060608,36.723,37.536,36.407,37.425,41018,0
20060609,37.833,37.901,37.746,37.833,5950,0
20060612,37.01,37.01,36.485,36.485,5016,0
20060613,36.311,36.742,35.747,35.976,27034,0
20060614,36.147,36.339,35.957,35.957,14927,0
20060615,36.193,37.998,36.193,37.931,12004,0
20060616,37.815,37.815,37.366,37.441,6367,0
20060619,37.651,37.651,36.587,36.587,5845,0
20060620,36.799,36.799,36.137,36.137,5845,0
20060621,36.695,37.385,36.695,37.385,5016,0
20060622,37.039,37.143,36.646,36.982,4175,0
20060623,36.867,37.575,36.867,37.258,8457,0
20060626,37.327,38.485,37.327,37.969,48536,0
20060627,37.115,37.346,36.991,36.991,2191,0
20060628,36.542,36.982,36.542,36.982,1774,0
20060629,37.001,38.122,36.596,38.112,38933,0
20060630,38.141,38.141,37.716,37.716,4904,0
20060703,37.651,37.726,37.258,37.622,9504,0
20060705,37.162,37.162,36.789,37.019,37160,0
20060706,37.01,37.425,37.001,37.01,19309,0
20060707,37.029,37.669,36.809,36.818,19622,0
20060710,36.78,37.029,36.465,36.577,63359,0
20060711,36.147,36.147,35.668,35.957,21397,0
20060712,35.976,36.041,34.985,35.083,26096,0
20060713,34.672,35.131,34.328,34.328,21714,0
