Date,Open,High,Low,Close,Volume,OpenInt
20050225,31.333,31.692,31.308,31.692,459139,0
20050228,31.665,31.708,31.382,31.532,754510,0
20050301,31.674,31.79,31.617,31.782,1056388,0
20050302,31.699,31.85,31.558,31.699,318146,0
20050303,31.782,31.929,31.64,31.867,144610,0
20050304,31.99,32.312,31.939,32.263,171366,0
20050307,32.321,32.463,32.272,32.429,527108,0
20050308,32.503,32.511,32.181,32.215,731368,0
20050309,32.181,32.181,31.823,31.85,442512,0
20050310,31.915,31.915,31.583,31.841,188357,0
20050311,31.875,32.007,31.692,31.805,289584,0
20050314,31.867,32.041,31.841,32.032,279100,0
20050315,32.163,32.181,31.85,31.882,478305,0
20050316,31.805,31.805,31.49,31.567,383944,0
20050317,31.567,31.782,31.567,31.699,283802,0
20050318,31.756,31.773,31.46,31.63,315253,0
20050321,31.55,31.63,31.39,31.541,195949,0
20050322,31.567,31.74,31.216,31.26,262106,0
20050323,31.243,31.243,31.01,31.141,583146,0
20050324,31.069,31.185,31.027,31.027,481193,0
20050328,31.134,31.175,30.983,31.043,815606,0
20050329,30.974,31.119,30.619,30.619,2327151,0
20050330,30.712,31.111,30.712,31.111,180404,0
20050331,31.193,31.39,31.175,31.216,1158334,0
20050401,31.55,31.647,31.125,31.286,219806,0
20050404,31.216,31.326,31.078,31.286,150759,0
20050405,31.308,31.417,31.251,31.317,173535,0
20050406,31.408,31.524,31.367,31.375,208237,0
20050407,31.357,31.583,31.357,31.575,1334764,0
20050408,31.617,31.617,31.293,31.293,228122,0
20050411,31.39,31.39,31.2,31.333,333691,0
20050412,31.308,31.55,31.052,31.515,623999,0
20050413,31.39,31.444,31.027,31.095,139551,0
20050414,31.06,31.06,30.555,30.555,396959,0
20050415,30.414,30.521,29.915,29.915,733178,0
20050418,29.962,30.206,29.838,30.19,2282324,0
20050419,30.286,30.546,30.273,30.469,430578,0
20050420,30.469,30.521,30.04,30.057,618211,0
20050421,30.312,30.555,30.138,30.539,661231,0
20050422,30.429,30.555,30.163,30.397,323930,0
20050425,30.429,30.762,30.429,30.745,821390,0
20050426,30.754,30.803,30.454,30.454,577720,0
20050427,30.295,30.563,30.113,30.454,325373,0
20050428,30.388,30.414,30.146,30.163,186912,0
20050429,30.329,30.479,30.008,30.454,424797,0
20050502,30.546,30.687,30.445,30.627,330798,0
20050503,30.627,30.78,30.494,30.669,477220,0
20050504,30.619,31.018,30.619,30.974,407803,0
20050505,31.036,31.156,30.844,30.952,466012,0
20050506,31.166,31.166,30.974,31.043,1129053,0
20050509,31.095,31.301,30.974,31.293,703895,0
20050510,31.134,31.185,30.894,30.959,1195935,0
20050511,31.043,31.125,30.78,31.125,358276,0
20050512,31.156,31.156,30.579,30.603,313806,0
20050513,30.712,30.712,30.105,30.322,479748,0
20050516,30.345,30.678,30.345,30.678,1049874,0
20050517,30.539,31.01,30.539,31.002,566511,0
20050518,31.216,31.408,31.193,31.382,488787,0
20050519,31.417,31.507,31.367,31.49,383582,0
20050520,31.425,31.507,31.341,31.498,173894,0
20050523,31.507,31.723,31.49,31.657,212940,0
20050524,31.657,31.657,31.49,31.601,399488,0
20050525,31.558,31.558,31.341,31.444,153287,0
20050526,31.567,31.665,31.541,31.617,515177,0
