Date,Open,High,Low,Close,Volume,OpenInt
20050225,41.759,42.123,41.686,41.985,36366,0
20050228,42.24,42.334,41.73,41.994,47398,0
20050301,42.212,42.504,42.104,42.504,77208,0
20050302,42.141,42.618,41.958,42.306,23263,0
20050303,42.324,42.324,41.72,42.031,142620,0
20050304,42.221,42.453,42.05,42.113,43792,0
20050307,42.123,42.975,42.123,42.627,50996,0
20050308,42.709,42.91,42.288,42.334,42806,0
20050309,42.334,42.56,42.151,42.249,49908,0
20050310,42.259,42.407,41.828,42.24,29046,0
20050311,42.489,42.489,41.657,41.768,37458,0
20050314,41.921,41.968,41.686,41.874,35707,0
20050315,41.94,42.012,41.444,41.444,26427,0
20050316,41.272,41.666,40.977,41.105,96646,0
20050317,41.042,41.262,40.942,41.023,43138,0
20050318,41.042,41.07,40.639,40.703,51546,0
20050321,40.932,41.051,40.547,40.879,51107,0
20050322,40.977,41.133,40.465,40.52,37566,0
20050323,40.491,40.897,40.474,40.62,28943,0
20050324,40.823,41.07,40.786,40.842,55697,0
20050328,40.932,41.115,40.767,40.767,224309,0
20050329,40.629,40.95,40.337,40.611,173196,0
20050330,40.677,41.178,40.601,41.086,33853,0
20050331,41.169,41.197,40.942,41.023,28943,0
20050401,41.39,41.418,40.639,40.721,50889,0
20050404,40.73,40.913,40.4,40.888,52529,0
20050405,40.888,41.042,40.712,40.786,30577,0
20050406,40.932,41.178,40.703,40.712,29594,0
20050407,40.794,41.382,40.794,41.382,24352,0
20050408,41.253,41.427,40.942,40.942,49798,0
20050411,41.023,41.07,40.695,40.721,30577,0
20050412,40.712,40.996,40.209,40.996,43573,0
20050413,40.794,40.804,40.182,40.293,57660,0
20050414,40.237,40.32,39.641,39.696,114664,0
20050415,38.809,39.017,38.25,38.442,203562,0
20050418,38.452,38.67,38.25,38.461,74697,0
20050419,38.936,39.073,38.632,38.907,50889,0
20050420,39.266,39.403,38.586,38.67,123515,0
20050421,39.053,39.869,39.008,39.678,277601,0
20050422,39.568,39.612,38.99,39.322,148959,0
20050425,39.5,39.827,39.403,39.622,280218,0
20050426,39.456,39.941,39.184,39.184,116303,0
20050427,38.963,39.464,38.907,39.312,75353,0
20050428,39.184,39.322,38.809,38.809,33200,0
20050429,39.231,39.34,38.734,39.286,27737,0
20050502,39.464,39.568,39.155,39.449,83324,0
20050503,39.366,39.818,39.295,39.51,23263,0
20050504,39.604,40.163,39.577,39.995,57221,0
20050505,40.129,40.247,39.818,39.941,30577,0
20050506,40.293,40.32,40.062,40.144,77422,0
20050509,40.091,40.365,39.975,40.365,39093,0
20050510,40.136,40.144,39.696,39.844,57660,0
20050511,40.081,40.2,39.568,40.2,66726,0
20050512,40.109,40.482,39.995,40.218,91296,0
20050513,40.32,40.959,40.31,40.687,114664,0
20050516,40.749,41.197,40.703,41.133,42372,0
20050517,40.977,41.382,40.814,41.317,73167,0
20050518,41.217,42.123,41.217,41.968,160096,0
20050519,42.088,42.324,42.031,42.306,68248,0
20050520,42.259,42.453,42.097,42.434,52311,0
20050523,42.489,42.737,42.39,42.58,73605,0
20050524,42.514,42.872,42.353,42.774,76115,0
20050525,42.672,42.691,42.353,42.691,51652,0
20050526,42.809,43.241,42.809,43.092,59956,0
20050527,43.092,43.14,42.863,43.101,144368,0
20050531,43.13,43.148,42.809,42.863,161950,0
20050601,42.863,43.468,42.863,43.247,252484,0
20050602,43.221,43.478,43.221,43.478,274434,0
20050603,43.442,43.442,42.809,42.993,51435,0
20050606,42.937,42.965,42.635,42.854,57989,0
20050607,43.002,43.331,42.608,42.691,475808,0
20050608,42.801,42.965,42.514,42.709,129516,0
20050609,42.691,43.02,42.443,42.993,40295,0
20050610,42.929,42.929,42.334,42.627,84961,0
20050613,42.652,42.985,42.443,42.747,30032,0
20050614,42.718,42.872,42.407,42.47,28065,0
20050615,42.618,42.801,42.078,42.709,83978,0
20050616,42.551,42.965,42.551,42.91,166864,0
20050617,43.047,43.166,42.801,42.872,32002,0
20050620,42.672,43.02,42.443,42.756,59080,0
20050621,42.901,43.092,42.682,43.038,34180,0
20050622,43.221,43.274,42.975,43.14,48487,0
20050623,43.266,43.641,42.844,42.854,194058,0
20050624,42.765,42.765,42.178,42.204,90096,0
20050627,42.212,42.269,41.72,41.892,56678,0
20050628,42.003,42.416,41.883,42.278,40731,0
20050629,42.416,42.56,42.221,42.362,49468,0
20050630,42.479,42.496,41.902,41.911,70331,0
20050701,42.194,42.194,41.921,42.022,19986,0
20050705,41.702,42.434,41.702,42.212,146115,0
20050706,42.23,42.7,42.23,42.315,22938,0
20050707,41.81,42.453,41.81,42.38,48162,0
20050708,42.443,43.313,42.426,43.313,51327,0
20050711,43.424,43.679,43.331,43.641,73387,0
20050712,43.741,44.146,43.534,44,71749,0
20050713,44.037,44.308,43.955,44.257,76115,0
20050714,44.713,44.803,44.411,44.548,222996,0
20050715,44.439,44.696,44.327,44.506,119032,0
20050718,44.548,44.548,44.3,44.411,75132,0
20050719,44.642,45.189,44.401,45.142,139782,0
20050720,44.439,45.125,44.291,45,50780,0
20050721,44.954,44.954,44.515,44.523,76882,0
20050722,44.642,44.795,44.3,44.567,40514,0
20050725,44.567,44.732,44.275,44.355,59080,0
20050726,44.577,44.66,44.355,44.595,60608,0
20050727,44.421,44.812,44.285,44.686,40952,0
20050728,44.713,44.841,44.506,44.777,29594,0
20050729,44.732,44.787,44.458,44.567,50563,0
20050801,44.632,44.749,44.488,44.567,42262,0
20050802,44.577,45.216,44.577,45.088,80048,0
20050803,44.906,45.349,44.906,45.235,50671,0
20050804,45.072,45.245,44.777,44.916,44885,0
20050805,44.777,44.934,44.595,44.777,26427,0
20050808,44.732,44.868,44.393,44.429,63231,0
20050809,44.622,44.944,44.586,44.66,141531,0
20050810,44.759,44.963,44.055,44.275,45321,0
20050811,44.155,44.468,44.108,44.182,44445,0
20050812,43.964,44.074,43.724,43.909,58969,0
20050815,43.909,44.364,43.779,44.257,33637,0
20050816,44.099,44.146,43.56,43.798,61157,0
20050817,43.853,44.291,43.853,44.108,43573,0
20050818,43.955,44.108,43.779,43.816,42479,0
20050819,44,44.091,43.816,43.816,31343,0
20050822,44.02,44.285,43.715,43.993,375885,0
20050823,43.993,44.117,43.779,44.037,35930,0
20050824,43.806,44.364,43.67,43.77,51546,0
20050825,43.779,43.964,43.733,43.77,24898,0
20050826,43.77,43.843,43.525,43.606,38658,0
20050829,43.606,44.084,42.765,44.047,63446,0
20050830,43.706,43.955,43.56,43.955,39751,0
20050831,43.862,44.291,43.761,44.257,127554,0
20050901,44.084,44.285,43.945,44.047,69345,0
20050902,44.211,44.211,43.964,44.047,26427,0
20050906,44.239,44.595,44.136,44.577,38003,0
20050907,44.449,44.696,44.3,44.548,53730,0
20050908,44.595,44.954,44.586,44.732,73823,0
20050909,44.803,44.963,44.651,44.916,22938,0
20050912,44.906,45.098,44.812,44.963,35055,0
20050913,44.906,45.245,44.787,45,49140,0
