Date,Open,High,Low,Close,Volume,OpenInt
20190812,48.4,48.4,46.57,46.57,1189,0
20190826,49.8717,49.8717,49.8717,49.8717,500,0
20190827,45.25,45.25,45.25,45.25,2,0
20190828,40.73,40.73,40.73,40.73,500,0
20190903,44,44,44,44,525,0
20190913,48,48,44.7,46.053,11700,0
20190930,47.85,49.025,45.02,46.6,1001,0
20191009,45.51,45.51,45.1,45.1,201,0
20191107,44.8,47.36,42.83,45.22,9103,0
20191118,44.39,44.39,44.39,44.39,100,0
20191203,40.85,42.725,36.46,39.58,25777,0
20191204,39,42.05,38.79,39.82,6800,0
20191205,38.9,41.139,38.53,39.85,19063,0
20191206,39.6894,41.33,39.6,40.35,25670,0
20191209,39.5842,40.2143,39.3,39.4,5700,0
20191210,39.89,40.7025,39.32,40.6,4602,0
20191211,40.38,42.53,40.38,42.53,7088,0
20191212,41.99,41.99,41.99,41.99,150,0
20191217,40.9,41.15,39.01,40.6,18394,0
20191218,40.15,42.127,40.15,41.05,7112,0
20191219,40.5,41.25,40.5,41.22,2300,0
20191220,40.8,41.32,40.725,41.32,1300,0
20191226,40.9,42.4,40.2,41.1,12139,0
20191227,40.98,41.2915,40.98,41.2915,200,0
20191230,41.1,42.6,41.0225,41.7827,8604,0
20200102,40.56,41,40.555,40.65,899,0
20200106,41.01,41.01,41.01,41.01,600,0
20200107,40.64,40.64,40.64,40.64,80,0
20200108,40.77,40.77,40.6652,40.6652,402,0
20200109,41.185,41.185,41.185,41.185,600,0
20200110,41.37,41.38,40.8601,41.055,3401,0
20200113,40.75,40.75,40.75,40.75,1,0
20200114,40.93,41.635,40.93,41.635,100,0
20200115,42.875,42.875,42.875,42.875,1,0
20200116,42.4639,42.4639,42.4639,42.4639,5,0
20200117,42.36,42.36,42.36,42.36,1,0
20200121,41.935,41.935,41.935,41.935,39,0
20200122,42.585,42.585,42.585,42.585,7,0
20200123,42.437,42.437,42.01,42.055,304,0
