Date,Open,High,Low,Close,Volume,OpenInt
20070625,15.622,15.622,15.485,15.485,3362,0
20070626,15.559,15.559,15.52,15.52,961,0
20070627,15.364,15.451,15.364,15.451,1444,0
20070628,15.654,15.654,15.654,15.654,322,0
20070629,15.688,15.688,15.622,15.629,9443,0
20070702,15.775,15.775,15.775,15.775,159,0
20070703,15.811,15.84,15.811,15.822,5282,0
20070705,15.884,15.903,15.884,15.903,1444,0
20070706,15.864,15.961,15.864,15.961,5922,0
20070709,15.997,15.997,15.927,15.946,7522,0
20070710,15.869,15.869,15.804,15.804,3525,0
20070711,15.946,15.946,15.596,15.596,6720,0
20070712,15.725,15.725,15.665,15.688,11521,0
20070713,15.746,15.769,15.73,15.769,27525,0
20070716,15.811,15.892,15.635,15.675,33132,0
20070717,15.688,15.757,15.688,15.746,4161,0
20070718,15.635,15.635,15.527,15.596,4961,0
20070719,15.647,15.763,15.647,15.763,16483,0
20070720,15.671,15.671,15.485,15.508,6240,0
20070723,15.559,15.559,15.321,15.321,2876,0
20070724,15.311,15.311,15.046,15.046,19843,0
20070725,15.121,15.121,14.921,14.921,1601,0
20070726,14.808,14.808,14.396,14.541,4484,0
20070727,14.396,14.497,14.396,14.402,2079,0
20070730,14.46,14.46,14.215,14.328,5282,0
20070731,14.561,14.561,14.134,14.134,53134,0
20070801,13.993,14.014,13.785,13.785,5762,0
20070802,13.971,13.971,13.958,13.958,3041,0
20070803,14.06,14.06,13.487,13.533,4484,0
20070806,13.329,13.479,12.954,13.479,7843,0
20070807,13.573,13.689,13.573,13.689,797,0
20070808,13.882,14.169,13.882,14.169,11044,0
20070809,13.815,14.028,13.815,13.897,6720,0
20070810,13.671,13.671,13.622,13.653,3362,0
20070813,13.797,13.797,13.797,13.797,159,0
20070814,13.229,13.229,13.229,13.229,1601,0
20070815,12.933,13.154,12.933,13.126,1759,0
20070816,12.677,12.878,12.473,12.878,1601,0
20070817,13.598,13.648,13.418,13.527,2079,0
20070820,13.785,13.805,13.697,13.741,2079,0
20070822,13.954,14.052,13.882,13.979,1759,0
20070823,14.008,14.028,14.008,14.028,1444,0
20070824,14.02,14.039,13.986,13.993,8801,0
20070828,13.653,13.653,13.547,13.547,961,0
20070829,13.765,13.765,13.765,13.765,1601,0
20070830,13.867,13.867,13.867,13.867,159,0
20070904,14.06,14.06,14.06,14.06,322,0
20070907,13.772,13.772,13.685,13.741,1601,0
20070910,13.622,13.727,13.622,13.709,3999,0
20070913,13.757,13.958,13.757,13.958,1279,0
20070914,13.923,13.923,13.923,13.923,322,0
20070918,14.066,14.235,14.066,14.235,640,0
20070919,14.589,14.589,14.521,14.521,322,0
20070921,14.371,14.508,14.371,14.508,1759,0
20070924,14.46,14.465,14.46,14.465,1923,0
20070925,14.371,14.371,14.371,14.371,159,0
20070926,14.273,14.296,14.273,14.296,322,0
20070928,14.165,14.221,14.165,14.221,797,0
20071001,14.221,14.221,14.221,14.221,640,0
20071002,14.589,14.589,14.589,14.589,159,0
20071003,14.515,14.515,14.515,14.515,322,0
20071004,14.566,14.573,14.561,14.561,3681,0
20071005,14.762,14.762,14.762,14.762,159,0
20071008,14.762,14.769,14.746,14.746,961,0
20071009,14.682,14.79,14.682,14.79,3525,0
20071010,14.762,14.798,14.729,14.798,1279,0
20071012,14.682,14.682,14.678,14.678,797,0
20071015,14.433,14.433,14.433,14.433,322,0
20071016,14.371,14.371,14.336,14.336,2725,0
20071017,14.303,14.303,14.066,14.158,3681,0
20071019,14.084,14.084,13.933,13.933,2725,0
20071023,14.02,14.02,13.986,13.986,4484,0
20071024,13.998,13.998,13.765,13.876,2562,0
20071025,13.954,13.954,13.954,13.954,159,0
20071026,13.933,14.089,13.928,14.066,128031,0
20071029,14.072,14.072,14.039,14.039,1444,0
20071031,14.066,14.066,14.014,14.014,961,0
20071101,13.704,13.704,13.704,13.704,322,0
20071102,13.417,13.417,13.339,13.339,797,0
20071105,13.19,13.258,13.19,13.258,16483,0
20071106,13.377,13.377,13.371,13.371,1601,0
20071107,13.371,13.371,13.054,13.054,3041,0
20071108,12.961,12.961,12.933,12.933,8325,0
20071109,12.916,12.995,12.916,12.995,2403,0
20071113,13.19,13.19,13.19,13.19,1601,0
20071114,13.56,13.56,13.418,13.418,1601,0
20071115,13.034,13.034,13.034,13.034,159,0
20071116,12.933,13.015,12.933,13.001,1759,0
20071119,12.933,12.933,12.642,12.735,2079,0
20071120,12.771,12.771,12.684,12.684,961,0
20071121,12.4,12.523,12.34,12.523,2403,0
20071126,12.707,12.707,12.403,12.403,25925,0
20071127,12.323,12.386,12.304,12.304,21610,0
20071128,12.748,12.898,12.748,12.885,9599,0
20071130,13.174,13.174,13.015,13.015,1120,0
20071203,12.984,12.984,12.973,12.973,797,0
20071204,12.735,12.735,12.735,12.735,479,0
20071205,12.922,12.922,12.821,12.821,1279,0
20071207,13.312,13.318,13.19,13.196,8166,0
20071210,13.345,13.426,13.345,13.39,1444,0
20071211,13.426,13.426,12.973,12.973,4639,0
20071212,12.821,12.821,12.821,12.821,1601,0
20071213,12.722,12.74,12.628,12.74,19843,0
20071214,12.666,12.764,12.655,12.655,2403,0
20071217,12.567,12.567,12.365,12.365,3199,0
20071218,12.298,12.503,12.298,12.503,5922,0
20071219,12.655,12.655,12.498,12.54,5596,0
20071220,12.51,12.51,12.48,12.48,4161,0
20071221,12.715,12.764,12.715,12.764,1923,0
20071224,13.065,13.065,13.029,13.029,2403,0
20071226,12.99,13.001,12.922,12.99,45768,0
20071227,12.859,12.865,12.703,12.722,113465,0
20071228,12.74,12.74,12.518,12.54,2562,0
20071231,12.42,12.473,12.406,12.444,2237,0
20080102,12.621,12.621,12.353,12.42,34409,0
20080103,12.577,12.577,12.271,12.304,30568,0
20080104,12.264,12.264,11.921,11.921,1759,0
20080107,11.98,12.119,11.94,12.015,12645,0
20080108,11.826,11.826,11.741,11.741,6881,0
20080109,11.68,11.68,11.353,11.543,2079,0
20080110,11.561,11.826,11.561,11.826,640,0
20080111,11.666,11.759,11.666,11.759,16168,0
20080114,11.765,11.765,11.746,11.746,1120,0
20080115,11.585,11.585,11.585,11.585,8002,0
20080116,11.697,11.839,11.652,11.746,6402,0
20080117,11.522,11.522,11.488,11.488,797,0
20080118,11.217,11.217,11.184,11.209,3199,0
20080122,10.809,11.253,10.617,11.253,6720,0
20080123,11.281,11.991,11.281,11.991,4484,0
20080124,12.055,12.055,11.897,11.897,961,0
20080128,11.914,12.218,11.914,12.218,479,0
20080129,12.248,12.271,12.248,12.271,479,0
20080130,12.252,12.51,12.252,12.51,2876,0
20080131,12.218,12.218,12.218,12.218,159,0
20080201,12.56,12.703,12.56,12.703,2403,0
20080204,13.245,13.245,12.583,12.696,3525,0
20080205,12.34,12.34,12.34,12.34,797,0
20080206,12.4,12.4,12.379,12.379,322,0
20080207,12.155,12.291,12.155,12.291,2403,0
20080208,12.4,12.4,12.204,12.204,22567,0
20080212,12.149,12.211,12.149,12.204,1601,0
20080213,12.109,12.161,12.109,12.161,322,0
20080214,12.026,12.026,11.967,11.967,797,0
20080215,12.008,12.008,11.86,11.86,640,0
20080219,12.553,12.553,12.553,12.553,159,0
20080220,11.86,12.079,11.846,12.079,19364,0
20080221,12.165,12.165,12.062,12.062,961,0
20080222,11.792,11.967,11.779,11.967,3525,0
20080225,11.86,12.035,11.826,12.015,119227,0
20080226,12.119,12.258,12.119,12.179,59856,0
20080227,12.119,12.165,12.119,12.165,479,0
20080228,12.047,12.047,12.047,12.047,1279,0
20080229,11.805,11.805,11.805,11.805,322,0
20080303,11.673,11.673,11.494,11.494,1279,0
20080304,11.456,11.456,11.31,11.31,797,0
20080305,12.328,12.328,11.403,11.403,1923,0
20080306,11.209,11.223,11.033,11.033,6402,0
20080307,10.879,11.053,10.879,11.053,3525,0
20080310,11.065,11.077,10.909,10.909,797,0
20080311,11.097,11.236,11.097,11.236,26409,0
20080312,11.38,11.604,11.38,11.468,16003,0
20080313,11.13,11.384,11.13,11.384,797,0
20080314,11.261,11.261,11.117,11.117,18885,0
20080317,11.053,11.053,10.872,10.946,1279,0
20080318,11.149,11.149,11.149,11.149,159,0
20080320,11.359,11.561,11.359,11.509,1759,0
20080324,11.826,11.887,11.826,11.887,9443,0
20080325,11.792,11.792,11.729,11.741,20807,0
20080326,11.741,11.741,11.648,11.648,3041,0
20080327,11.622,11.622,11.622,11.622,159,0
20080401,11.561,11.561,11.561,11.561,797,0
20080402,12.204,12.204,11.622,11.818,3838,0
20080403,11.771,11.846,11.771,11.846,1444,0
20080404,11.818,11.921,11.805,11.921,8640,0
20080407,11.903,11.98,11.903,11.948,2725,0
20080408,11.897,11.903,11.897,11.897,640,0
20080409,11.746,11.746,11.746,11.746,322,0
20080410,11.691,11.797,11.691,11.771,2562,0
20080411,11.561,11.571,11.522,11.522,8166,0
20080414,11.509,11.509,11.509,11.509,479,0
20080415,11.509,11.59,11.509,11.59,1120,0
20080416,11.846,11.846,11.846,11.846,1120,0
20080417,12.334,12.334,11.974,11.986,1279,0
20080418,13.047,13.047,11.765,11.765,22021,0
20080421,12.055,12.062,12.015,12.047,5762,0
20080422,11.935,11.935,11.935,11.935,1279,0
20080423,11.955,11.955,11.903,11.903,534,0
20080424,11.903,12.074,11.903,12.074,7040,0
20080425,11.948,12,11.948,11.974,3283,0
20080428,12.104,12.141,12.074,12.126,3199,0
20080429,12.055,12.079,12.035,12.079,4884,0
20080430,11.685,12.104,11.685,12.008,3399,0
20080501,12.119,12.183,12.119,12.183,3525,0
20080502,12.34,12.34,12.312,12.312,2562,0
20080505,12.241,12.248,12.241,12.241,1601,0
20080506,12.323,12.323,12.323,12.323,1923,0
20080507,12.34,12.34,12.198,12.198,1631,0
20080508,12.119,12.149,12.119,12.149,1120,0
20080509,12.248,12.248,12.097,12.097,3999,0
20080512,12.155,12.211,12.155,12.183,5927,0
20080513,12.224,12.224,12.224,12.224,2725,0
20080514,12.284,12.284,12.23,12.236,2480,0
20080515,12.323,12.334,12.323,12.334,479,0
20080516,12.334,12.365,12.312,12.365,10564,0
20080519,12.386,12.406,12.386,12.394,5373,0
20080520,12.334,12.334,12.271,12.284,4799,0
20080521,12.319,12.319,12.161,12.161,41450,0
20080522,12.161,12.161,12.149,12.149,640,0
