Date,Open,High,Low,Close,Volume,OpenInt
20071221,39.619,40.274,39.619,40.274,106294,0
20071224,40.375,40.459,40.375,40.392,32037,0
20071226,40.383,40.496,40.361,40.487,169619,0
20071227,40.267,40.267,40.082,40.082,38446,0
20071228,40.01,40.01,39.906,39.93,33045,0
20071231,39.762,39.898,39.61,39.898,85182,0
20080102,39.875,39.89,39.096,39.424,155546,0
20080103,40.195,40.195,39.214,39.293,36309,0
20080104,40.24,40.24,38.522,38.53,41837,0
20080107,39,39,38.49,38.61,58675,0
20080108,39.787,39.787,38.165,38.243,101264,0
20080109,38.101,38.552,37.924,38.552,46866,0
20080110,37.377,39.173,37.377,38.991,34173,0
20080111,40.593,40.593,38.545,38.681,36439,0
20080114,40.169,40.169,38.601,38.817,22238,0
20080115,38.976,38.976,37.965,37.973,12816,0
20080116,37.989,38.142,37.726,38.101,12691,0
20080117,38.878,38.878,36.611,36.62,22742,0
20080118,38.968,38.968,35.911,36.477,17724,0
20080122,37.241,37.241,34.614,35.936,35432,0
20080123,35.458,37.075,35.109,36.858,51263,0
20080124,36.962,37.219,36.81,37.001,6532,0
20080125,39.119,39.119,36.451,36.451,34678,0
20080128,37.234,37.234,34.289,37.202,21861,0
20080129,38.743,38.743,37.413,37.678,8797,0
20080130,37.838,38.029,37.406,37.406,14201,0
20080131,36.802,38.243,36.802,37.893,21735,0
20080201,38.076,38.552,38.044,38.49,16335,0
20080204,39.654,39.654,38.133,38.133,38071,0
20080205,38.618,38.618,36.785,36.785,15953,0
20080206,37.227,37.227,36.58,36.58,20981,0
20080207,36.573,37.042,36.573,36.834,5025,0
20080208,36.7,36.756,36.222,36.398,31160,0
20080211,37.83,37.83,36.047,36.407,15578,0
20080212,36.748,37.726,36.7,36.834,100889,0
20080213,38.172,38.172,37.017,37.312,22114,0
20080214,38.72,38.72,36.827,36.827,83176,0
20080215,36.611,36.97,36.603,36.97,19223,0
20080219,39.214,39.214,36.85,36.921,19980,0
20080220,36.215,37.177,36.215,37.034,38321,0
20080221,37.211,37.211,36.611,36.628,113204,0
20080222,36.507,37.059,36.291,37.059,5904,0
20080225,38.538,38.538,36.946,37.599,15077,0
20080226,36.493,37.797,31.892,37.639,31283,0
20080227,37.565,37.886,37.552,37.702,15578,0
20080228,37.406,37.497,37.16,37.278,14575,0
20080229,36.834,36.867,36.063,36.063,87822,0
20080303,36.239,36.275,35.936,36.189,4771,0
20080304,35.895,36.047,35.634,36.015,23244,0
20080305,36.215,36.358,35.991,35.991,6031,0
