Date,Open,High,Low,Close,Volume,OpenInt
20190402,24.785,24.785,24.717,24.726,328478,0
20190403,24.815,24.824,24.677,24.733,127621,0
20190404,24.834,24.834,24.726,24.8,87042,0
20190405,24.854,24.903,24.756,24.864,117491,0
20190408,24.834,24.923,24.795,24.923,85936,0
20190409,24.844,24.854,24.795,24.815,75388,0
20190410,24.854,24.864,24.795,24.851,33658,0
20190411,24.874,24.883,24.775,24.864,35184,0
20190412,24.952,24.97,24.903,24.97,30711,0
20190415,24.906,24.942,24.903,24.903,43098,0
20190416,24.944,24.972,24.936,24.95,48002,0
20190417,24.982,24.991,24.896,24.923,84324,0
20190418,24.952,24.972,24.906,24.952,71152,0
20190422,25.011,25.011,24.913,24.977,92285,0
20190423,25.011,25.08,25.011,25.061,33146,0
20190424,25.09,25.09,25.04,25.065,44135,0
20190425,25.011,25.08,24.991,25.036,14205,0
20190426,25.07,25.099,25.031,25.099,17617,0
20190429,25.109,25.139,25.094,25.129,18232,0
20190430,25.119,25.139,25.031,25.094,16601,0
20190501,25.168,25.168,25.04,25.05,94426,0
20190502,25.001,25.06,24.883,24.973,19804,0
20190503,25.09,25.118,25.064,25.083,9362,0
20190506,24.874,25.09,24.874,25.056,47114,0
20190507,24.982,24.996,24.736,24.805,53674,0
20190508,24.805,24.962,24.805,24.864,28070,0
20190509,24.775,24.844,24.677,24.812,22223,0
20190510,24.834,24.942,24.667,24.875,17144,0
20190513,24.628,24.648,24.54,24.585,25390,0
20190514,24.638,24.756,24.569,24.673,14634,0
20190515,24.638,24.824,24.638,24.768,20802,0
20190516,24.864,24.982,24.864,24.942,13450,0
20190517,24.775,24.903,24.775,24.893,67836,0
20190520,24.805,24.805,24.648,24.707,13418,0
20190521,24.893,24.903,24.834,24.839,11682,0
20190522,24.78,24.844,24.768,24.803,4885,0
20190523,24.653,24.707,24.589,24.707,50021,0
20190524,24.756,24.756,24.599,24.756,10842,0
20190528,24.717,24.746,24.584,24.584,14005,0
20190529,24.54,24.54,24.374,24.462,26822,0
20190530,24.461,24.54,24.418,24.477,18014,0
20190531,24.353,24.401,24.304,24.358,12384,0
20190603,24.373,24.373,24.245,24.245,28144,0
20190604,24.412,24.599,24.412,24.584,30501,0
20190605,24.632,24.717,24.618,24.666,23922,0
20190606,24.707,24.801,24.667,24.801,14253,0
