Date,Open,High,Low,Close,Volume,OpenInt
20071115,16.897,16.897,16.897,16.897,731,0
20071116,16.89,16.89,16.847,16.865,1196,0
20071119,16.735,16.735,16.735,16.735,108,0
20071126,16.806,16.806,16.806,16.806,108,0
20071127,16.865,16.865,16.865,16.865,32271,0
20071128,16.969,16.969,16.969,16.969,5227,0
20071129,16.933,16.969,16.933,16.969,305,0
20071130,16.933,16.933,16.933,16.933,14946,0
20071203,16.897,16.897,16.897,16.897,425,0
20071204,16.969,16.969,16.969,16.969,1346,0
20071205,17.82,17.82,17.069,17.069,1005,0
20071206,17.069,17.069,17.069,17.069,2245,0
20071207,17.134,17.134,17.134,17.134,108,0
20071210,17.134,17.134,17.134,17.134,425,0
20071211,17.202,17.202,17.202,17.202,2997,0
20071212,16.865,16.865,16.865,16.865,1952,0
20071213,17.036,17.036,16.897,16.897,2089,0
20071214,16.865,16.865,16.865,16.865,2534,0
20071217,16.665,16.89,16.66,16.89,4930,0
20071218,16.798,16.806,16.735,16.806,3135,0
20071219,16.735,16.735,16.569,16.569,3135,0
20071220,16.897,16.897,16.735,16.735,5085,0
20071221,16.806,16.806,16.806,16.806,2389,0
20071224,16.933,16.933,16.596,16.596,3135,0
20071226,16.735,16.735,16.713,16.713,8964,0
20071227,16.865,16.865,16.865,16.865,1040,0
20071228,17.036,17.036,16.812,16.812,3737,0
20071231,17.069,17.069,16.89,16.89,3737,0
20080102,16.836,16.836,16.836,16.836,1040,0
20080103,16.865,16.865,16.806,16.806,2997,0
20080104,16.749,16.749,16.735,16.735,305,0
20080107,16.591,16.596,16.548,16.596,3288,0
20080108,16.665,16.665,16.665,16.665,2089,0
20080109,16.784,16.784,16.142,16.398,7466,0
20080110,16.735,16.735,16.467,16.467,1651,0
20080111,16.596,16.596,16.264,16.264,610,0
20080115,16.398,16.398,16.398,16.398,4333,0
20080116,16.391,16.391,16.391,16.391,3288,0
20080117,16.37,16.398,15.878,16.113,22556,0
20080118,16.127,16.133,15.961,15.961,4178,0
20080122,15.878,16.063,15.878,16.063,1483,0
20080123,15.763,16.063,15.661,16.063,1952,0
20080124,16.331,16.331,15.695,15.864,10605,0
20080125,16.398,16.398,16.364,16.398,1952,0
20080128,16.364,16.364,16.298,16.331,2997,0
20080129,16.398,16.398,16.331,16.331,2997,0
20080130,16.535,16.535,16.043,16.043,12696,0
20080131,16.622,16.622,15.961,16.245,13595,0
20080201,16.398,16.467,16.311,16.331,17656,0
20080204,16.467,16.467,16.133,16.237,18378,0
20080205,16.836,16.836,16.276,16.298,5085,0
20080206,15.796,16.264,15.777,16.232,17340,0
20080207,16.133,16.133,16.063,16.063,8812,0
20080208,16.193,16.2,15.928,16.077,15836,0
20080211,15.961,16.063,15.961,16.017,72757,0
20080212,15.796,16.063,15.79,16.063,6272,0
20080213,16.032,16.063,15.995,16.063,1283,0
20080214,16.2,16.2,16.063,16.142,12860,0
20080215,16.032,16.063,15.961,15.961,4480,0
20080219,15.857,15.961,15.731,15.845,31669,0
20080220,15.857,16.07,15.533,15.831,11059,0
20080221,15.995,15.995,15.864,15.936,8660,0
20080222,15.617,15.899,15.617,15.831,2389,0
20080225,15.796,15.936,15.735,15.936,7204,0
20080226,15.987,16.063,15.936,16.063,8135,0
20080227,16.096,16.096,15.965,15.965,1040,0
20080228,15.961,15.995,15.796,15.995,7751,0
20080229,15.995,15.995,15.796,15.928,12852,0
20080303,15.533,15.628,15.202,15.569,22709,0
20080304,15.899,15.995,15.731,15.864,3438,0
20080305,16.063,16.063,16.003,16.063,6661,0
20080306,15.864,15.864,15.864,15.864,14782,0
20080307,15.47,15.731,15.464,15.641,16591,0
20080310,15.731,15.831,15.695,15.763,17289,0
20080311,15.543,15.871,15.543,15.598,5827,0
20080312,15.628,15.628,15.517,15.517,9858,0
20080313,15.517,15.533,15.456,15.525,16882,0
20080314,15.517,15.517,15.098,15.187,12550,0
20080317,15.091,15.195,15.091,15.195,3585,0
20080318,15.243,15.258,15.202,15.258,10605,0
20080319,15.845,15.851,15.547,15.547,7166,0
20080320,15.635,15.635,15.598,15.598,1651,0
20080324,15.635,15.731,15.635,15.718,12696,0
20080325,15.864,15.864,15.695,15.731,6069,0
20080326,15.731,15.735,15.628,15.695,11882,0
20080327,15.731,15.731,15.666,15.731,6131,0
20080328,15.79,15.79,15.79,15.79,108,0
20080331,15.731,15.731,15.695,15.695,425,0
20080401,15.661,16.063,15.661,15.724,9320,0
20080402,15.661,15.995,15.661,15.661,9115,0
20080403,15.936,15.995,15.628,15.628,20311,0
20080404,15.718,15.796,15.695,15.796,8071,0
20080407,16.193,16.2,15.796,16.2,10158,0
20080408,16.43,16.43,16.063,16.237,9560,0
20080409,16.43,16.43,16.2,16.264,7766,0
20080410,16.413,16.413,16.063,16.2,11807,0
20080411,16.391,16.391,15.995,16.133,10605,0
20080414,16.37,16.37,16.12,16.12,4333,0
20080415,16.063,16.063,15.735,15.928,23769,0
20080416,15.703,15.857,15.703,15.838,1040,0
20080417,15.871,15.871,15.838,15.845,18378,0
20080418,15.965,16.032,15.784,16.032,13755,0
20080421,15.995,15.995,15.921,15.921,5746,0
20080422,16.077,16.082,16.043,16.063,10789,0
20080423,16.077,16.089,15.899,16.058,16587,0
20080424,16.096,16.133,16.096,16.096,8090,0
