Date,Open,High,Low,Close,Volume,OpenInt
20070613,21.366,21.644,21.356,21.604,116515,0
20070614,21.927,22.136,21.927,22.04,130237,0
20070615,21.996,22.442,21.954,22.335,176772,0
20070618,22.256,22.301,22.229,22.275,218510,0
20070619,22.195,22.459,22.195,22.45,197012,0
20070620,22.538,22.836,22.45,22.45,146358,0
20070621,22.292,22.529,22.256,22.434,214618,0
20070622,22.335,22.39,22.162,22.275,106339,0
20070625,22.256,22.39,22.083,22.17,117315,0
20070626,22.083,22.127,21.777,21.777,114912,0
20070627,21.954,22.083,21.863,22.083,70435,0
20070628,22.083,22.17,21.971,21.971,358235,0
20070629,22.117,22.256,22.083,22.186,153446,0
20070702,22.496,22.737,22.486,22.737,148875,0
20070703,22.915,23.001,22.906,22.96,202275,0
20070705,22.72,22.967,22.601,22.685,311468,0
20070706,22.808,23.124,22.808,23.116,319812,0
20070709,23.141,23.219,23.052,23.21,356636,0
20070710,23.089,23.134,22.843,22.915,253839,0
20070711,22.906,23.045,22.906,22.984,244691,0
20070712,23.176,23.351,23.176,23.351,274534,0
20070713,23.385,23.57,23.385,23.57,217935,0
20070716,23.518,23.527,23.045,23.052,160879,0
20070717,23.176,23.264,23.116,23.116,248126,0
20070718,23.141,23.176,23.02,23.106,270190,0
20070719,23.255,23.351,22.941,23.255,324843,0
20070720,23.411,23.518,23.151,23.176,284138,0
20070723,23.466,23.482,23.369,23.377,136296,0
20070724,23.369,23.394,23.001,23.001,286200,0
20070725,23.045,23.21,22.728,22.827,232569,0
20070726,22.642,22.651,21.946,22.256,187178,0
20070727,22.186,22.301,21.996,22.075,177003,0
20070730,22.04,22.558,21.016,22.127,324616,0
20070731,22.247,22.434,22.083,22.083,183517,0
20070801,22.023,22.136,21.732,22.136,100849,0
20070802,22.162,22.247,22.075,22.247,111484,0
20070803,22.127,22.145,21.636,21.644,105196,0
20070806,21.844,21.908,21.514,21.844,62890,0
20070807,21.627,21.853,21.461,21.768,143155,0
20070808,21.759,22.049,21.689,21.954,86672,0
20070809,21.853,21.996,21.714,21.828,63687,0
20070810,21.461,21.613,21.242,21.47,95022,0
20070813,21.251,21.341,20.822,21.128,79239,0
20070814,21.393,21.47,20.85,20.911,81182,0
20070815,20.379,20.597,20.123,20.141,98448,0
20070816,19.705,19.879,19.205,19.879,186036,0
20070817,18.365,20.106,18.365,19.94,83582,0
20070820,20.334,20.379,19.985,20.271,30644,0
20070821,20.334,20.361,20.168,20.278,49968,0
20070822,20.719,20.778,20.562,20.778,64831,0
20070823,20.99,20.99,20.736,20.857,158021,0
20070824,21.07,21.332,21.016,21.332,149900,0
20070827,21.366,21.644,21.216,21.644,67119,0
20070828,21.268,21.322,20.902,20.902,267332,0
20070829,21.088,21.251,21.025,21.251,60604,0
20070830,21.313,21.604,21.313,21.437,128064,0
20070831,21.899,21.996,21.732,21.954,59573,0
20070904,21.946,22.17,21.863,22.17,196782,0
20070905,21.937,21.937,21.596,21.749,102220,0
20070906,21.863,21.863,21.689,21.863,143384,0
20070907,21.689,21.706,21.514,21.587,111596,0
20070910,21.796,21.82,21.428,21.654,45506,0
20070911,21.672,21.759,21.587,21.714,65174,0
20070912,21.937,21.937,21.613,21.768,263217,0
20070913,21.863,21.908,21.689,21.82,96848,0
20070914,21.759,21.759,21.356,21.627,190150,0
20070917,21.627,21.627,21.341,21.514,75694,0
20070918,21.689,22.083,21.268,22.067,78555,0
20070919,22.195,22.335,21.233,22.109,265618,0
20070920,22.335,22.335,22.083,22.204,81981,0
