Date,Open,High,Low,Close,Volume,OpenInt
20100318,48.659,48.659,48.304,48.551,1016,0
20100319,48.501,49.219,48.501,49.072,63733,0
20100322,49.565,49.565,48.511,48.678,37391,0
20100323,48.561,48.924,48.561,48.797,1563,0
20100325,48.245,48.314,47.812,47.901,65719,0
20100326,48.343,48.343,48.343,48.343,914,0
20100329,48.452,48.688,48.452,48.561,712,0
20100331,48.767,48.767,48.767,48.767,101,0
20100401,48.697,49.022,48.697,49.022,204,0
20100405,48.511,48.511,48.511,48.511,204,0
20100407,46.818,47.773,46.808,47.764,5578,0
20100409,47.605,47.605,47.605,47.605,255,0
20100412,47.203,47.203,47.203,47.203,100,0
20100413,47.379,47.379,46.208,46.208,2439,0
20100414,46.267,46.267,46.267,46.267,193,0
20100416,47.437,48.392,47.437,48.392,610,0
20100419,48.6,48.6,48.226,48.442,5062,0
20100420,47.803,48.264,47.351,47.351,1252,0
20100421,47.213,47.213,46.552,46.552,714,0
20100422,46.602,46.602,46.031,46.031,305,0
20100423,45.579,45.636,45.175,45.175,812,0
20100426,44.83,44.83,44.743,44.781,406,0
20100427,45.381,46.287,45.381,46.287,204,0
20100428,46.001,46.198,45.932,46.149,1422,0
20100429,45.302,45.302,44.318,44.318,812,0
20100430,45.145,45.233,45.145,45.175,406,0
20100503,44.387,44.84,44.053,44.19,2439,0
20100504,45.203,45.599,45.085,45.223,1829,0
20100505,45.962,46.208,45.095,45.962,2998,0
20100506,46.267,52.172,46.011,50.588,3607,0
20100507,40.469,49.948,40.469,48.491,3834,0
20100510,45.569,46.011,43.768,46.011,19182,0
20100511,45.854,45.854,44.761,44.761,1935,0
20100512,45.135,45.135,45.008,45.008,1626,0
20100513,44.879,44.958,44.879,44.958,305,0
20100514,46.297,46.718,46.237,46.718,914,0
20100517,46.425,46.778,46.139,46.778,1626,0
20100518,46.257,47.694,46.257,47.585,3276,0
20100519,48.402,48.402,48.108,48.226,1442,0
20100520,49.288,50.105,49.2,49.367,6974,0
20100521,51.258,52.753,49.19,49.546,6960,0
20100525,50.933,51.423,49.337,49.417,6910,0
20100526,48.462,49.594,47.92,49.506,22151,0
20100527,48.294,48.571,47.113,47.113,5127,0
20100528,47.183,47.183,47.183,47.183,782,0
