Date,Open,High,Low,Close,Volume,OpenInt
20070201,16.799,16.799,16.799,16.799,1234,0
20070205,16.858,16.858,16.83,16.848,98050,0
20070206,16.899,16.899,16.784,16.784,25338,0
20070207,16.838,16.865,16.816,16.865,43620,0
20070208,16.887,16.89,16.887,16.89,21187,0
20070209,16.899,16.92,16.729,16.729,13700,0
20070213,16.663,16.663,16.65,16.65,818,0
20070214,16.816,16.862,16.816,16.862,818,0
20070215,16.862,17.024,16.862,17.018,1663,0
20070220,16.87,16.87,16.87,16.87,406,0
20070226,16.632,16.632,16.632,16.632,12881,0
20070227,15.635,15.813,15.635,15.813,2083,0
20070228,15.915,16.072,15.915,15.95,2907,0
20070301,15.792,15.792,15.696,15.696,3325,0
20070305,15.301,15.321,15.208,15.321,2495,0
20070306,15.436,15.558,15.436,15.558,818,0
20070313,15.565,15.565,15.565,15.565,406,0
20070315,15.383,15.383,15.383,15.383,1234,0
20070320,15.633,15.703,15.633,15.703,2083,0
20070321,15.841,15.967,15.841,15.967,6226,0
20070323,16.147,16.147,16.098,16.128,1663,0
20070327,16.067,16.067,16.067,16.067,406,0
20070328,15.738,15.738,15.738,15.738,818,0
20070329,15.802,15.802,15.802,15.802,406,0
20070330,15.82,15.82,15.82,15.82,406,0
20070402,16.003,16.003,16.003,16.003,1234,0
20070404,16.384,16.562,16.384,16.543,5818,0
20070405,16.545,16.794,16.545,16.771,7890,0
20070409,16.769,16.769,16.722,16.756,17861,0
20070410,16.836,16.836,16.796,16.796,2083,0
20070411,16.713,16.713,16.713,16.713,406,0
20070412,16.644,16.912,16.644,16.912,2495,0
20070413,17.322,17.453,17.255,17.428,29919,0
20070416,17.611,17.756,17.604,17.756,47361,0
20070417,17.956,18.038,17.882,17.906,15790,0
20070418,17.679,17.797,17.679,17.787,6646,0
20070419,17.844,17.928,17.792,17.892,31152,0
20070420,18.11,18.13,17.979,18.106,18692,0
20070423,18.092,18.156,18.076,18.089,22023,0
20070424,18.082,18.082,17.926,18.055,12049,0
20070425,18.052,18.222,17.936,18.222,6646,0
20070426,18.258,18.32,18.232,18.32,7473,0
20070427,18.176,18.251,18.1,18.191,4149,0
20070430,18.076,18.095,17.981,17.981,52350,0
20070501,17.962,18.076,17.956,18.076,4989,0
20070502,18.147,18.362,18.097,18.273,5406,0
20070503,18.273,18.323,18.266,18.323,6226,0
20070504,18.408,18.503,18.386,18.441,8726,0
20070507,18.581,18.611,18.562,18.611,7063,0
20070508,18.432,18.441,18.372,18.441,1234,0
20070509,18.517,18.586,18.493,18.578,10805,0
20070510,18.241,18.241,17.926,17.965,22848,0
20070511,17.962,18.232,17.962,18.232,18275,0
20070514,18.236,18.312,18.159,18.159,18275,0
