Date,Open,High,Low,Close,Volume,OpenInt
20190423,23.51,23.622,23.51,23.573,2944,0
20190424,23.557,23.645,23.557,23.605,7450,0
20190425,23.53,23.595,23.436,23.548,6829,0
20190426,23.595,23.636,23.557,23.636,976,0
20190429,23.717,23.717,23.66,23.66,2445,0
20190430,23.707,23.707,23.608,23.623,6652,0
20190501,23.678,23.678,23.542,23.542,7578,0
20190502,23.514,23.557,23.502,23.557,598,0
20190503,23.707,23.707,23.693,23.707,1086,0
20190506,23.698,23.704,23.698,23.704,213,0
20190507,23.744,23.744,23.574,23.574,572,0
20190508,23.553,23.553,23.553,23.553,84,0
20190509,23.427,23.548,23.296,23.515,2155,0
20190510,23.585,23.585,23.572,23.572,287,0
20190513,23.331,23.331,23.131,23.161,2077,0
20190514,23.379,23.499,23.357,23.466,1968,0
20190515,23.568,23.568,23.568,23.568,491,0
20190516,23.707,23.752,23.696,23.696,536,0
20190517,23.519,23.519,23.486,23.486,677,0
20190520,23.358,23.491,23.358,23.395,6281,0
20190521,23.529,23.632,23.529,23.624,1682,0
20190522,23.641,23.641,23.486,23.533,8235,0
20190523,23.293,23.318,23.098,23.156,14944,0
20190524,23.289,23.363,23.289,23.363,1268,0
20190528,23.377,23.377,23.254,23.254,5647,0
20190529,23.158,23.158,22.944,23.041,3616,0
20190530,23.159,23.159,22.933,22.999,8839,0
20190531,22.752,22.849,22.621,22.734,6878,0
20190603,22.829,22.913,22.78,22.803,3797,0
20190604,23.122,23.377,23.122,23.377,6974,0
20190605,23.319,23.398,23.24,23.308,1942,0
20190606,23.215,23.316,23.153,23.307,3260,0
20190607,23.434,23.518,23.395,23.461,3570,0
20190610,23.693,23.726,23.591,23.591,11509,0
20190611,23.641,23.641,23.452,23.513,7602,0
20190612,23.537,23.585,23.49,23.547,7609,0
20190613,23.718,23.812,23.608,23.74,3126,0
20190614,23.68,23.708,23.622,23.641,9911,0
20190617,23.769,23.868,23.745,23.8,6921,0
20190618,24.01,24.018,23.906,23.978,14702,0
20190619,23.976,24.048,23.976,24.028,3256,0
20190620,24.143,24.18,24.099,24.132,3983,0
20190621,24.086,24.2,24.086,24.129,4380,0
20190624,24.162,24.2,23.924,23.944,13719,0
20190625,23.947,24.066,23.893,23.893,6156,0
20190626,23.934,23.964,23.89,23.89,4138,0
20190627,24.029,24.145,23.994,24.097,11888,0
20190628,24.185,24.299,24.185,24.274,4869,0
20190701,24.536,24.536,24.326,24.341,5271,0
20190702,24.433,24.433,24.289,24.332,2026,0
20190703,24.458,24.489,24.421,24.426,2487,0
20190705,24.45,24.526,24.326,24.463,14175,0
20190708,24.365,24.499,24.365,24.421,3028,0
20190709,24.33,24.421,24.33,24.398,2379,0
20190710,24.516,24.542,24.466,24.507,3356,0
20190711,24.506,24.679,24.419,24.679,3561,0
20190712,24.937,24.937,24.479,24.542,5834,0
20190715,24.69,24.69,24.471,24.516,4242,0
20190716,24.575,24.585,24.479,24.552,4281,0
20190717,24.516,24.536,24.47,24.479,17733,0
20190718,24.506,24.595,24.479,24.531,6566,0
20190719,24.641,24.765,24.573,24.573,8185,0
20190722,24.597,24.61,24.536,24.536,2365,0
20190723,24.68,24.68,24.565,24.624,5014,0
20190724,24.727,24.881,24.631,24.823,5231,0
20190725,24.733,24.794,24.717,24.746,1604,0
20190726,24.746,24.822,24.746,24.822,304,0
