Date,Open,High,Low,Close,Volume,OpenInt
20170928,28.457,28.506,28.323,28.496,13425,0
20170929,28.284,28.341,28.284,28.304,1867,0
20171003,28.011,28.011,27.991,27.991,355,0
20171005,27.51,27.51,27.499,27.499,862,0
20171020,27.743,27.743,27.743,27.743,425,0
20171026,28.294,28.294,28.294,28.294,1645,0
20171030,28.07,28.103,27.876,27.876,9041,0
20171103,27.84,27.84,27.84,27.84,260,0
20171113,27.053,27.053,27.043,27.043,519,0
20171120,26.608,26.608,26.445,26.445,1059,0
20171121,26.551,26.56,26.551,26.56,425,0
20171124,26.24,26.24,26.24,26.24,104,0
20171127,25.882,25.882,25.882,25.882,167,0
20171130,24.915,24.925,24.577,24.577,5789,0
20171201,24.886,25.253,24.713,25.033,9457,0
20171204,24.185,24.19,24.185,24.19,289,0
20171205,24.373,24.529,24.318,24.529,2775,0
20171206,24.713,24.732,24.713,24.732,708,0
20171207,24.703,24.742,24.703,24.742,442,0
20171208,24.371,24.371,24.371,24.371,221,0
20171211,24.529,24.539,24.461,24.509,1990,0
20171212,24.312,24.335,24.312,24.335,239,0
20171213,24.413,24.413,24.413,24.413,108,0
20171214,24.209,24.209,24.209,24.209,102,0
20171215,24.007,24.007,23.774,23.848,958,0
20171218,23.687,23.696,23.289,23.473,6573,0
20171219,23.444,23.444,23.444,23.444,149,0
20171220,23.553,23.673,23.533,23.533,3546,0
20171226,23.405,23.405,23.279,23.279,207,0
20171227,23.311,23.311,23.311,23.311,405,0
20171228,23.391,23.391,23.309,23.309,777,0
20171229,23.377,23.415,23.377,23.415,1832,0
20180102,23.599,23.599,22.835,22.845,9258,0
20180103,22.701,22.816,22.701,22.816,492,0
20180104,22.723,22.728,22.721,22.723,570,0
20180105,22.399,22.487,22.341,22.341,3709,0
20180109,22.158,22.292,22.158,22.292,1048,0
20180110,22.255,22.331,22.255,22.331,438,0
20180111,22.012,22.042,21.587,21.597,1350,0
20180112,21.084,21.133,20.947,21.133,1918,0
20180116,20.706,20.706,20.706,20.706,5168,0
20180117,21.074,21.074,20.91,20.912,977,0
20180118,20.997,21.016,20.9,20.9,490,0
20180122,20.591,20.637,20.591,20.637,600,0
20180126,19.779,19.779,19.779,19.779,1578,0
20180202,19.875,20.378,19.875,20.378,4472,0
20180205,21.133,21.645,21.133,21.645,489,0
20180206,23.396,23.396,21.675,21.675,1704,0
20180207,21.131,21.131,21.131,21.131,324,0
20180208,22.051,22.051,22.051,22.051,155,0
20180227,20.996,20.996,20.996,20.996,130,0
20180307,21.354,21.354,21.354,21.354,280,0
20180316,20.586,20.586,20.586,20.586,427,0
20180319,21.016,21.016,21.016,21.016,162,0
20180326,22.325,22.325,22.325,22.325,133,0
20180402,23.344,23.509,23.336,23.509,1836,0
20180403,23.242,23.682,23.242,23.682,643,0
20180404,23.543,23.543,22.472,22.472,642,0
20180410,22.422,22.422,22.317,22.317,1019,0
20180501,21.627,21.627,21.627,21.627,106,0
20180503,22.231,22.231,22.231,22.231,102,0
20180511,21.066,21.066,21.066,21.066,112,0
20180516,20.614,20.614,20.614,20.614,154,0
20180517,20.698,20.698,20.698,20.698,194,0
20180523,20.922,20.922,20.922,20.922,103,0
20180524,20.835,20.835,20.832,20.832,207,0
20180601,20.535,20.535,20.535,20.535,809,0
20180605,20.048,20.048,20.048,20.048,156,0
20180611,19.284,19.323,19.178,19.178,775,0
20180615,18.635,18.635,18.635,18.635,375,0
20180618,18.572,18.594,18.572,18.594,624,0
20180619,18.855,18.855,18.74,18.74,616,0
20180622,18.49,18.49,18.49,18.49,174,0
20180625,19.134,19.481,19.134,19.441,1494,0
20180626,19.003,19.043,19.003,19.043,773,0
20180629,19.17,19.285,19.17,19.285,878,0
20180706,19.227,19.227,19.227,19.227,261,0
20180709,18.858,18.983,18.684,18.715,4761,0
20180711,18.633,18.633,18.633,18.633,102,0
20180716,18.277,18.277,18.276,18.276,224,0
20180719,18.075,18.096,18.075,18.096,1088,0
20180725,18.441,18.538,18.441,18.538,1563,0
20180727,18.056,18.056,18.056,18.056,154,0
20180730,18.552,18.774,18.552,18.744,1935,0
20180731,18.557,18.713,18.557,18.713,696,0
