Date,Open,High,Low,Close,Volume,OpenInt
20100203,45.291,45.307,45.291,45.299,2437,0
20100204,45.299,45.316,45.299,45.307,1540,0
20100205,45.307,45.316,45.307,45.307,1219,0
20100208,45.316,45.316,45.307,45.307,4191,0
20100209,45.316,45.326,45.316,45.316,2971,0
20100210,45.307,45.326,45.307,45.316,2029,0
20100211,45.334,45.334,45.334,45.334,200,0
20100212,45.316,45.326,45.316,45.316,6191,0
20100216,45.396,45.396,45.361,45.371,19002,0
20100217,45.371,45.371,45.334,45.343,1353,0
20100218,45.343,45.343,45.343,45.343,866,0
20100219,45.326,45.343,45.326,45.343,660,0
20100222,45.352,45.352,45.352,45.352,4522,0
20100223,45.352,45.352,45.352,45.352,200,0
20100224,45.361,45.371,45.361,45.371,1437,0
20100225,45.352,45.371,45.352,45.371,1649,0
20100226,45.361,45.371,45.361,45.361,18261,0
20100301,45.38,45.38,45.371,45.371,1752,0
20100302,45.38,45.38,45.361,45.38,3921,0
20100303,45.371,45.38,45.371,45.38,3560,0
20100304,45.404,45.404,45.396,45.396,543,0
20100305,45.396,45.396,45.396,45.396,1117,0
20100308,45.423,45.451,45.423,45.431,5527,0
20100310,45.404,45.404,45.404,45.404,200,0
20100311,45.441,45.451,45.413,45.413,892,0
20100312,45.423,45.451,45.423,45.451,1540,0
20100315,45.48,45.48,45.423,45.48,8334,0
20100316,45.471,45.471,45.451,45.461,1609,0
20100317,45.461,45.461,45.451,45.451,5717,0
20100318,45.441,45.451,45.441,45.441,660,0
20100319,45.423,45.431,45.423,45.431,1649,0
20100322,45.396,45.396,45.396,45.396,422,0
20100324,45.396,45.396,45.361,45.361,1805,0
20100325,45.352,45.352,45.225,45.225,40542,0
20100326,45.244,45.254,45.244,45.254,2549,0
20100329,45.254,45.254,45.254,45.254,100,0
20100330,45.244,45.254,45.148,45.254,21108,0
20100331,45.192,45.192,45.094,45.139,5403,0
20100405,45.175,45.175,45.158,45.166,16014,0
20100406,45.209,45.209,45.175,45.175,12546,0
20100408,45.158,45.158,45.148,45.148,3612,0
20100412,45.166,45.166,45.148,45.158,2334,0
20100413,45.166,45.184,45.166,45.184,584,0
20100414,45.192,45.192,45.139,45.166,543,0
20100426,45.2,45.273,45.2,45.273,4875,0
20100427,45.244,45.244,45.244,45.244,200,0
20100429,45.299,45.299,45.291,45.291,833,0
20100430,45.264,45.264,45.209,45.209,25961,0
20100504,45.209,45.209,45.209,45.209,1000,0
20100505,45.273,45.273,45.273,45.273,2504,0
20100506,45.225,45.264,45.225,45.254,1540,0
