Date,Open,High,Low,Close,Volume,OpenInt
20150210,46.294,46.457,46.228,46.457,2098,0
20150211,46.64,46.77,46.64,46.705,12999,0
20150212,46.98,47.163,46.98,47.163,3894,0
20150213,47.744,47.744,47.349,47.495,1814,0
20150217,47.341,47.916,47.341,47.515,3608,0
20150218,47.388,47.505,47.349,47.495,6120,0
20150219,47.44,47.633,47.44,47.589,2991,0
20150220,47.606,47.872,47.349,47.872,4520,0
20150223,49.579,49.579,47.836,47.963,5009,0
20150224,47.992,48.02,47.89,47.89,3903,0
20150225,47.943,48.285,47.836,47.898,19070,0
20150226,47.89,47.89,47.726,47.726,2471,0
20150227,47.808,47.828,47.615,47.649,1216,0
20150302,66.592,66.592,47.735,47.934,6099,0
20150303,47.633,47.753,47.633,47.735,3813,0
20150304,47.744,47.916,47.378,47.541,4248,0
20150305,47.551,47.597,47.533,47.57,5228,0
20150306,48.671,48.671,47.054,47.064,4140,0
20150309,47.026,47.341,47.026,47.146,1853,0
20150310,46.944,48.058,46.374,46.374,24504,0
20150311,46.523,47.341,46.394,47.341,5773,0
20150312,46.578,46.972,46.578,46.944,17319,0
20150313,46.438,46.715,46.438,46.715,2616,0
20150316,46.899,47.248,46.374,47.248,4681,0
20150317,47.13,48.192,46.918,47.111,11874,0
20150318,46.881,47.753,46.854,47.753,8822,0
20150319,47.294,47.43,47.294,47.412,1743,0
20150320,47.648,47.88,47.648,47.88,625,0
20150323,47.943,47.943,47.871,47.897,8478,0
20150324,47.705,47.77,47.532,47.532,3587,0
20150325,47.504,47.514,46.814,46.823,10981,0
20150326,46.585,46.776,46.363,46.776,12068,0
20150327,46.72,46.814,46.712,46.806,1305,0
20150330,47.394,47.54,47.18,47.394,1850,0
20150331,47.137,47.827,47.006,47.006,4673,0
20150401,46.806,46.969,46.806,46.887,7392,0
20150402,47.109,47.109,47.006,47.006,1523,0
20150406,49.508,49.508,47.339,47.356,14676,0
20150407,47.438,47.466,47.255,47.255,2962,0
20150408,47.743,47.743,47.292,47.348,3480,0
20150409,47.54,47.569,47.356,47.569,3808,0
20150410,47.695,47.762,47.658,47.762,1305,0
20150413,47.863,47.973,47.56,47.56,5871,0
20150414,47.523,47.588,47.523,47.588,980,0
20150415,47.817,47.897,47.799,47.897,1567,0
20150416,47.827,47.88,47.666,47.77,6476,0
20150417,47.19,47.237,47.1,47.1,2175,0
20150420,47.504,47.588,47.504,47.523,796,0
20150421,47.428,47.466,47.428,47.428,678,0
20150422,47.394,47.54,47.394,47.504,1227,0
20150423,47.596,47.77,47.56,47.762,19784,0
20150424,48.039,48.039,47.614,47.685,2825,0
20150427,47.675,47.685,47.348,47.348,1738,0
20150428,47.19,47.624,47.19,47.624,2500,0
20150429,47.56,47.56,47.062,47.062,4673,0
20150430,46.969,46.996,46.969,46.996,759,0
20150501,47.237,47.237,47.218,47.218,2282,0
20150504,47.579,47.579,47.504,47.532,1087,0
20150505,47.255,47.255,46.934,46.969,759,0
20150506,47.128,47.218,46.463,46.675,2390,0
20150507,46.851,46.878,46.823,46.878,916,0
20150508,47.366,47.366,47.366,47.366,1523,0
20150511,47.418,47.658,47.31,47.329,2175,0
20150512,47.329,47.329,47.329,47.329,152,0
20150513,47.006,47.006,46.934,46.978,869,0
20150514,47.128,47.18,47.119,47.18,869,0
20150518,47.274,47.484,47.274,47.484,245,0
20150519,47.596,47.605,47.447,47.494,7504,0
20150520,47.2,47.447,46.851,47.447,7392,0
20150521,47.474,47.55,47.128,47.55,1305,0
20150526,47.685,47.685,46.851,46.943,3960,0
20150527,47.209,47.366,47.209,47.366,2500,0
20150528,47.18,47.228,47.137,47.209,1721,0
20150529,47.151,47.2,47.091,47.145,1305,0
20150601,47.41,47.41,46.925,47.237,1305,0
20150602,47.237,47.237,47.237,47.237,66,0
20150603,47.339,47.447,47.339,47.447,434,0
20150604,46.978,46.978,46.978,46.978,759,0
20150605,46.96,47.137,46.96,47.052,3154,0
20150608,46.692,46.692,46.605,46.628,1523,0
20150609,46.483,46.595,46.473,46.566,145427,0
20150610,47.034,47.062,47.034,47.062,869,0
20150611,47.329,47.329,47.292,47.292,328,0
20150615,46.786,46.786,46.786,46.786,434,0
20150616,46.806,46.943,46.806,46.943,759,0
20150617,47.151,47.2,47.119,47.128,1087,0
20150618,47.56,47.605,47.56,47.605,324,0
20150619,47.499,47.499,47.397,47.397,2387,0
20150622,47.757,47.757,47.663,47.748,1519,0
20150623,47.68,47.68,47.68,47.68,255,0
20150624,47.545,47.637,47.296,47.296,7914,0
20150625,47.37,47.38,47.165,47.165,2712,0
20150626,47.174,47.174,47.094,47.094,2274,0
20150629,46.648,46.722,46.08,46.08,1734,0
20150630,46.08,46.08,46.08,46.08,348,0
20150701,46.677,46.677,46.427,46.427,3144,0
20150702,46.532,46.532,46.435,46.445,2928,0
20150706,46.345,46.345,46.273,46.273,221,0
20150707,45.985,46.623,45.894,46.623,1625,0
20150708,46.623,46.623,46.623,46.623,102,0
20150709,46.149,46.149,46.149,46.149,102,0
20150710,46.427,46.427,46.427,46.427,323,0
20150713,46.677,46.89,46.677,46.89,1191,0
20150714,46.89,46.89,46.89,46.89,99,0
20150715,46.972,46.972,46.937,46.937,345,0
20150716,47.065,47.194,47.065,47.194,2387,0
20150717,46.881,46.881,46.881,46.881,544,0
20150720,46.899,47.008,46.899,46.963,1409,0
20150721,46.798,46.798,46.648,46.677,1734,0
20150722,46.658,46.685,46.658,46.685,1084,0
20150723,46.685,46.685,46.685,46.685,102,0
20150724,46.282,46.282,46.263,46.263,544,0
20150727,45.599,45.599,45.599,45.599,102,0
20150728,45.599,45.599,45.599,45.599,102,0
20150729,46.409,46.409,46.409,46.409,221,0
20150730,46.445,46.445,46.427,46.427,323,0
20150731,46.55,46.568,46.492,46.492,1519,0
20150803,46.124,46.132,46.107,46.107,738,0
20150804,46.355,46.355,46.187,46.187,433,0
20150805,46.187,46.187,46.187,46.187,102,0
20150806,45.449,45.449,45.449,45.449,373,0
20150807,45.449,45.449,45.449,45.449,102,0
20150810,46.124,46.124,46.124,46.124,221,0
20150811,45.689,45.689,45.689,45.689,404,0
20150812,45.294,45.294,45.294,45.294,221,0
20150813,45.784,45.784,45.784,45.784,221,0
20150814,45.784,45.784,45.784,45.784,102,0
20150817,46.031,46.116,46.031,46.116,1191,0
