Date,Open,High,Low,Close,Volume,OpenInt
20101208,88.976,88.995,88.822,88.877,3668,0
20101209,88.822,88.896,88.814,88.858,1942,0
20101210,88.858,88.858,88.778,88.778,3394,0
20101213,88.732,88.896,88.679,88.841,16405,0
20101214,88.858,88.858,88.655,88.715,5783,0
20101215,88.841,88.896,88.841,88.896,505,0
20101216,88.77,88.911,88.77,88.902,25878,0
20101217,89.064,89.181,89.064,89.163,4027,0
20101220,89.222,89.27,89.128,89.146,23190,0
20101221,89.28,89.289,89.204,89.241,5017,0
20101222,89.241,89.289,89.232,89.28,6250,0
20101223,89.204,89.241,89.204,89.213,770,0
20101227,89.146,89.172,89.038,89.172,6585,0
20101228,89.11,89.11,88.976,89.002,6115,0
20101229,89.014,89.296,88.997,89.258,6646,0
20101230,89.228,89.228,89.114,89.114,3284,0
20101231,89.169,89.29,89.169,89.25,9535,0
20110103,89.232,89.367,89.181,89.333,4546,0
20110104,89.446,89.5,89.43,89.491,18495,0
20110105,89.411,89.43,89.376,89.401,3534,0
20110106,89.5,89.626,89.454,89.607,12249,0
20110107,89.716,89.856,89.716,89.789,1571,0
20110110,89.831,89.866,89.798,89.84,3118,0
20110111,89.928,90.062,89.928,90.011,11313,0
20110112,89.919,90.105,89.875,90.062,54220,0
20110113,90.011,90.177,89.947,90.16,101795,0
20110114,90.153,90.203,90.105,90.105,8611,0
20110118,90.052,90.124,90.002,90.105,11929,0
20110119,90.115,90.144,90.052,90.115,11370,0
20110120,90.002,90.002,89.822,89.822,7826,0
20110121,89.743,89.894,89.743,89.822,9483,0
20110124,89.91,89.955,89.91,89.91,6705,0
20110125,89.937,90.045,89.866,89.983,17384,0
20110126,89.955,89.974,89.84,89.928,12439,0
20110127,89.983,89.983,89.875,89.919,12099,0
20110128,89.919,90.153,89.919,90.144,8991,0
20110131,90.19,90.227,90.156,90.156,5332,0
20110201,90.052,90.221,90.036,90.186,54238,0
20110202,90.203,90.203,89.983,89.983,4973,0
20110203,89.902,89.937,89.866,89.866,16803,0
20110204,89.831,89.831,89.654,89.654,9439,0
20110207,89.607,89.68,89.538,89.68,8858,0
20110208,89.626,89.645,89.411,89.421,8635,0
20110209,89.454,89.538,89.394,89.51,4622,0
20110210,89.446,89.446,89.315,89.315,19242,0
20110211,89.43,89.439,89.343,89.343,4934,0
20110214,89.359,89.401,89.359,89.401,3043,0
20110215,89.394,89.481,89.367,89.481,119715,0
20110216,89.5,89.528,89.385,89.464,16303,0
20110218,89.798,90.052,89.779,90.052,28481,0
20110222,90.329,90.495,90.296,90.495,88738,0
20110223,90.431,90.669,90.431,90.627,16811,0
20110224,90.766,90.766,90.677,90.677,12638,0
20110225,90.703,90.703,90.594,90.669,12605,0
20110228,90.723,90.76,90.66,90.669,17290,0
20110301,90.609,90.809,90.582,90.801,17107,0
20110302,90.856,90.946,90.838,90.856,15328,0
20110303,90.711,90.711,90.641,90.658,6020,0
20110304,90.811,90.956,90.811,90.956,18285,0
20110307,90.901,91.062,90.901,91.017,16803,0
20110308,91.035,91.098,91,91.043,17877,0
20110309,91.16,91.16,91.071,91.134,14071,0
20110310,91.186,91.325,91.126,91.325,8260,0
20110311,91.287,91.287,91.204,91.279,56747,0
20110314,91.394,91.446,91.358,91.366,23862,0
20110315,91.403,91.437,91.307,91.307,8701,0
20110316,91.455,91.597,91.455,91.588,5958,0
20110317,91.639,91.746,91.639,91.746,10226,0
20110318,91.704,91.776,91.626,91.671,5939,0
20110321,91.552,91.643,91.552,91.588,2981,0
20110322,91.463,91.472,91.463,91.472,675,0
20110323,91.552,91.552,91.437,91.463,14462,0
20110324,91.463,91.481,91.384,91.403,19624,0
20110325,91.418,91.418,91.168,91.222,5953,0
20110328,91.177,91.222,91.126,91.194,14580,0
20110329,91.204,91.241,91.126,91.152,4651,0
20110330,91.204,91.27,91.186,91.27,2310,0
20110331,91.347,91.356,91.254,91.254,5981,0
20110401,91.16,91.366,91.16,91.366,6382,0
20110404,91.518,91.571,91.464,91.525,5660,0
20110405,91.537,91.537,91.449,91.503,15097,0
20110406,91.403,91.464,91.395,91.41,8707,0
20110407,91.475,91.546,91.43,91.546,8017,0
20110408,91.535,91.671,91.535,91.598,14215,0
20110411,91.634,91.68,91.616,91.616,17010,0
20110412,91.674,91.735,91.619,91.717,8517,0
20110413,91.671,91.786,91.662,91.758,8845,0
20110414,91.795,91.805,91.626,91.626,8113,0
20110415,91.799,91.907,91.799,91.878,44583,0
20110418,91.865,92.014,91.865,91.95,13960,0
20110419,91.996,92.109,91.978,92.109,26677,0
20110420,92.081,92.091,92.024,92.066,9081,0
20110421,92.07,92.078,91.982,92.061,7473,0
20110425,92.1,92.154,92.075,92.154,38327,0
20110426,92.165,92.274,92.149,92.274,7845,0
20110427,92.236,92.382,92.165,92.382,9233,0
20110428,92.532,92.605,92.505,92.549,17262,0
20110429,92.595,92.66,92.523,92.66,12025,0
20110502,92.549,92.752,92.549,92.68,36436,0
20110503,92.689,92.706,92.642,92.642,29182,0
20110504,92.622,92.68,92.612,92.612,12462,0
20110505,92.549,92.567,92.418,92.418,9186,0
20110506,92.32,92.523,92.32,92.428,10506,0
20110509,92.466,92.54,92.456,92.54,12107,0
20110510,92.505,92.549,92.505,92.505,40307,0
20110511,92.475,92.495,92.303,92.303,43408,0
20110512,92.274,92.284,92.114,92.165,22903,0
20110513,92.193,92.212,92.123,92.184,29178,0
20110516,92.303,92.303,92.149,92.175,48865,0
20110517,92.078,92.165,92.035,92.165,173597,0
20110518,92.264,92.264,92.175,92.22,21992,0
20110519,92.149,92.236,92.14,92.158,36768,0
20110520,92.254,92.254,92.184,92.228,59374,0
20110523,92.244,92.244,92.123,92.149,82966,0
20110524,92.254,92.312,92.193,92.312,15659,0
20110525,92.398,92.398,92.325,92.39,154069,0
20110526,92.456,92.523,92.39,92.514,23262,0
20110527,92.559,92.622,92.485,92.567,15453,0
20110531,92.567,92.632,92.567,92.605,15958,0
20110601,92.651,92.706,92.612,92.706,30656,0
20110602,92.651,92.68,92.612,92.632,11940,0
20110603,92.743,92.781,92.715,92.761,64277,0
20110606,92.715,92.771,92.715,92.771,13657,0
20110607,92.761,92.869,92.689,92.869,9525,0
20110608,92.888,93.01,92.879,92.955,60857,0
20110609,92.898,92.926,92.799,92.828,7953,0
20110610,92.752,92.888,92.715,92.752,40687,0
20110613,92.734,92.828,92.706,92.781,50660,0
20110614,92.743,92.743,92.68,92.715,29328,0
20110615,92.926,93.048,92.879,93,23070,0
20110616,92.991,92.991,92.898,92.917,10359,0
20110617,92.907,92.907,92.809,92.898,22200,0
20110620,92.859,92.859,92.734,92.781,6507,0
20110621,92.761,92.791,92.715,92.781,32327,0
20110622,92.84,92.84,92.706,92.743,11503,0
20110623,92.715,92.724,92.66,92.689,13553,0
20110624,92.698,92.799,92.68,92.771,8607,0
20110627,92.743,92.743,92.642,92.698,8788,0
20110628,92.66,92.68,92.475,92.549,30139,0
20110629,92.632,92.706,92.567,92.706,91674,0
20110630,92.818,92.818,92.632,92.66,20018,0
20110701,92.752,94.883,92.466,92.698,28590,0
