Date,Open,High,Low,Close,Volume,OpenInt
20090820,48.1,48.128,47.943,47.953,3895,0
20090821,48.082,48.948,48.082,48.948,27526,0
20090824,49.24,49.24,48.109,48.226,32356,0
20090825,48.148,49.875,47.787,47.787,19928,0
20090826,47.768,47.847,47.474,47.632,16801,0
20090827,47.797,47.847,47.572,47.827,12682,0
20090828,48.148,48.177,47.572,47.572,30505,0
20090831,47.661,47.847,47.379,47.409,14197,0
20090901,47.797,48.003,47.359,47.544,17629,0
20090902,47.612,47.739,46.833,46.881,276730,0
20090903,47.24,47.259,47.075,47.221,65907,0
20090904,47.369,48.013,47.299,48.003,99610,0
20090908,48.353,48.353,47.894,48.286,145659,0
20090909,48.587,48.753,48.353,48.353,20614,0
20090910,48.032,48.042,47.105,47.389,46275,0
20090911,47.085,47.174,46.685,47.154,45786,0
20090914,47.474,47.632,47.183,47.612,19900,0
20090915,47.867,47.923,47.572,47.877,33047,0
20090916,47.768,48.072,47.514,47.739,41031,0
20090917,47.582,47.661,47.085,47.105,24166,0
20090918,47.369,47.768,47.193,47.563,50772,0
20090921,47.379,47.778,47.23,47.514,38107,0
20090922,47.661,47.67,47.221,47.319,11088,0
20090923,47.465,47.739,47.164,47.259,66161,0
20090924,47.174,47.259,46.929,47.026,35436,0
20090925,46.763,46.948,46.423,46.47,38544,0
20090928,46.314,46.363,46.002,46.021,66840,0
20090929,46.324,46.324,45.895,46.031,69864,0
20090930,46.159,46.198,45.933,46.109,35700,0
20091001,45.827,45.895,45.368,45.554,49035,0
20091002,45.232,45.886,45.232,45.827,121142,0
20091005,45.64,45.904,45.485,45.799,279224,0
20091006,45.866,46.245,45.856,46.217,144276,0
20091007,45.913,45.923,45.611,45.69,42532,0
20091008,45.436,46.363,45.426,46.265,604696,0
20091009,46.5,47.465,46.383,47.25,208439,0
20091012,47.349,47.359,47.055,47.135,68199,0
20091013,46.91,47.007,46.734,46.948,63789,0
20091014,47.399,47.632,47.145,47.612,107476,0
20091015,47.837,47.877,47.419,47.807,204381,0
20091016,47.544,47.689,47.319,47.329,94319,0
20091019,47.289,47.409,46.987,47.026,51295,0
20091020,46.607,46.803,46.48,46.763,71119,0
20091021,46.919,47.279,46.919,46.919,90197,0
20091022,47.319,47.349,47.154,47.221,57618,0
20091023,47.622,47.632,47.349,47.582,56825,0
20091026,47.837,48.256,47.758,48.207,66833,0
20091027,48.082,48.082,47.465,47.534,359139,0
20091028,47.474,47.474,47.115,47.279,307190,0
20091029,47.602,48.013,47.474,47.807,162253,0
20091030,47.437,47.504,46.997,47.095,167112,0
20091102,47.105,47.419,47.036,47.24,104118,0
20091103,47.174,47.827,47.154,47.797,666731,0
20091104,48.042,48.383,47.778,48.138,166227,0
