Date,Open,High,Low,Close,Volume,OpenInt
20080501,265.4,271.49,265.4,267.92,5330,0
20080502,277.62,277.62,269.87,274.09,9689,0
20080505,276.47,277.01,272.86,274.05,6860,0
20080506,272.16,279.38,271.73,278.61,3907,0
20080507,279.56,280.71,275.53,275.6,24953,0
20080508,274.33,275.68,270.49,270.49,26212,0
20080509,266.65,269.53,266.49,268.51,37998,0
20080512,268.63,269.14,264.91,269.14,12193,0
20080513,272.9,276,271.42,275.84,7458,0
20080514,271.57,278.73,271.26,275.23,10826,0
20080515,276.28,285.28,269.84,269.91,17786,0
20080516,273.47,274.09,266.45,272.86,22176,0
20080519,271.53,275.15,269.5,271.38,61288,0
20080520,268.79,271.69,268.31,269.03,20934,0
20080521,271.04,272.16,267.92,268.79,24498,0
20080522,272.5,278.45,272.24,275.27,41322,0
20080523,272.98,273.32,270.14,272.2,32386,0
20080527,276.28,276.86,274.13,276.2,28459,0
20080528,280.95,282.61,279.34,282.3,41243,0
20080529,284.12,289.58,283.46,285.75,84051,0
20080530,282.76,283.42,280.48,282.37,43771,0
20080602,281.5,291.22,277.19,279.22,32370,0
20080603,284.32,284.32,272.98,275.33,35468,0
20080604,274.92,281.5,272.35,280.16,27249,0
20080605,281.74,284.6,281.09,283.7,28835,0
20080606,277.94,279.26,274.37,276.08,38316,0
20080609,278.81,279.84,272.98,276.67,33216,0
20080610,278.33,283.3,276.86,281.13,32107,0
20080611,280.52,283.46,277.01,281.23,44655,0
20080612,285.44,288.89,281.98,287.25,85086,0
20080613,288.24,289.66,284.84,289.31,39840,0
20080616,287.33,290.38,287.33,288.67,37351,0
20080617,287.14,290.18,286.16,287.29,16424,0
20080618,287.14,287.14,281.5,282.22,33974,0
20080619,285.4,287.61,283.38,286.48,36692,0
20080620,281.54,283.15,280.32,282.37,33972,0
20080623,281.35,282.1,278.89,281.31,23001,0
20080624,278.61,280,276.47,276.86,77390,0
20080625,277.23,282.3,277.05,277.46,40630,0
20080626,275.68,276.93,272.39,273.89,51472,0
20080627,270.84,272.46,266.17,266.88,105065,0
20080630,267.8,268.12,264.99,266.25,57495,0
20080701,263.5,269.34,262.64,268.55,49683,0
20080702,266.09,267.76,264.47,265.94,27240,0
20080703,269.87,269.91,265.74,267.06,22372,0
20080707,267.54,269.46,260.85,264.83,48660,0
20080708,264.51,264.51,260.81,261.23,52289,0
20080709,262.06,262.06,258.22,258.22,48627,0
20080710,259.1,261.63,257.29,258.71,82274,0
20080711,258.67,268.04,257.65,266.37,96872,0
20080714,265.1,267.26,259.96,261.12,88276,0
20080715,260.93,263.1,258.79,261.55,62403,0
20080716,267.14,271.61,265.82,271.04,62472,0
20080717,271.3,275.68,269.87,274.53,88184,0
20080718,275.29,276.63,271.85,276.59,41747,0
20080721,275.84,278.1,273.82,273.82,46879,0
20080722,275.29,278.61,274.76,277.27,69468,0
20080723,277.01,280.71,277.01,278.49,66725,0
20080724,276.4,276.4,270.76,272.43,65255,0
20080725,275.68,278.81,273.74,277.74,38862,0
20080728,273.66,274.45,269.87,272.43,42881,0
20080729,275.08,276.78,272.78,274.84,20708,0
20080730,277.74,278.81,271.14,273.7,25176,0
20080731,268.79,270.84,267.88,268.16,36064,0
20080801,270.25,270.49,267.54,267.58,35700,0
20080804,269.91,270.37,266.77,268.91,18950,0
20080805,268.12,273.63,266.69,273.63,34608,0
20080806,274.41,277.58,274.01,275.29,34846,0
20080807,272.98,274.09,265.02,266.09,68272,0
20080808,264.75,267.22,264.07,264.59,43457,0
20080811,266.41,272.62,266.37,268.95,56881,0
20080812,265.59,266.02,263.99,264.63,32427,0
20080813,263.38,267.34,262.18,266.45,53034,0
20080814,263.03,264.15,260.81,262.56,69135,0
20080815,260.63,264.03,258.41,258.79,62204,0
20080818,258.91,258.91,255.53,256.27,36300,0
20080819,255.49,259.14,255.49,258.63,27836,0
20080820,256.87,258.19,254.84,258.19,42223,0
20080821,256.16,260.08,255.85,258,30098,0
20080822,258.48,260.55,257.53,257.84,26960,0
20080825,252.31,253.77,250.85,251.49,67065,0
20080826,253.57,254.54,252,252.39,12299,0
20080827,255.85,255.85,251.6,251.72,22041,0
20080828,253.17,254.5,250.07,251.8,29249,0
20080829,253.37,255.49,252.31,254.18,27988,0
20080902,257.13,257.25,248.9,248.9,36838,0
20080903,249.17,249.76,246.57,247.29,34868,0
20080904,245.9,246.99,243.07,243.23,43398,0
20080905,241.05,243.98,239.23,243.27,45143,0
20080908,247.25,248.13,242.23,242.69,88911,0
20080909,242.42,243.27,236.86,237.44,114359,0
20080910,240.93,241.92,237.95,239.78,27089,0
20080911,237.32,240.71,235.69,239.67,45111,0
20080912,239.67,246.61,238.5,246.18,33820,0
20080915,237.83,240.01,228.45,228.53,215620,0
20080916,216.99,254.34,216.91,229.88,152105,0
20080917,226.53,236.07,224.29,228.14,105618,0
20080918,230.88,236.19,228.1,235.43,55917,0
20080919,243.19,249.6,242.69,248.9,82154,0
20080922,251.96,255.89,249.68,250.77,74725,0
20080923,250.81,253.69,248.5,250.53,69397,0
20080924,249.48,251.49,245.05,248.13,38599,0
