Date,Open,High,Low,Close,Volume,OpenInt
20080328,39.584,39.584,38.016,38.031,149060,0
20080331,36.777,37.274,36.546,37.073,140434,0
20080401,39.287,40.129,38.968,40.04,97414,0
20080402,40.463,40.941,39.903,40.383,53396,0
20080403,39.807,40.192,39.174,39.706,58523,0
20080404,40.176,41.039,40.176,40.639,79784,0
20080407,41.798,42.039,41.213,41.431,85288,0
20080408,41.408,41.646,41.174,41.502,41768,0
20080409,42.001,42.101,41.415,41.662,51770,0
20080410,41.431,41.509,40.704,41.158,79659,0
20080411,40.647,40.822,40.199,40.24,18256,0
20080414,40.415,40.489,40.105,40.247,75157,0
20080415,40.4,40.511,39.823,40.024,65657,0
20080416,39.959,40.449,39.72,40.297,62655,0
20080417,39.448,39.688,39.263,39.607,202511,0
20080418,40.672,41.255,40.672,41.135,117319,0
20080421,40.999,41.431,40.999,41.408,9737,0
20080422,41.246,41.311,40.941,41.255,90480,0
20080423,41.533,41.757,41.255,41.55,20890,0
20080424,42.159,42.863,41.863,42.343,49575,0
20080425,42.462,42.829,42.125,42.694,86239,0
20080428,42.887,43.079,42.621,42.718,42572,0
20080429,42.077,42.334,41.632,41.728,109264,0
20080430,41.87,44.381,41.838,42.654,74067,0
20080501,42.117,42.646,41.952,42.646,22693,0
20080502,43.844,43.844,43.31,43.567,82989,0
20080505,43.853,43.853,43.239,43.535,70735,0
20080506,43.182,43.885,42.863,43.774,89738,0
20080507,43.742,43.837,42.976,42.998,98230,0
20080508,42.511,42.527,42.101,42.294,94827,0
20080509,42.015,42.101,41.383,41.854,35664,0
20080512,42.167,42.583,41.581,42.462,43182,0
20080513,42.431,42.733,42.159,42.646,26313,0
20080514,42.799,43.438,42.799,43.062,27189,0
20080515,43.455,44.189,43.102,44.062,102799,0
20080516,44.222,44.222,43.382,43.758,49578,0
20080519,43.909,44.47,43.774,44.062,64980,0
20080520,42.941,42.941,42.167,42.519,141021,0
20080521,41.943,42.039,40.791,40.862,62668,0
20080522,41.143,41.598,41.039,41.279,81763,0
