Date,Open,High,Low,Close,Volume,OpenInt
20050225,45.585,45.8,45.496,45.758,4005,0
20050228,45.8,45.915,45.628,45.758,5702,0
20050301,45.899,46.172,45.899,46.172,6186,0
20050302,45.893,46.187,45.893,46.13,4369,0
20050303,46.246,46.295,46.048,46.196,7278,0
20050304,46.262,46.466,46.262,46.443,3034,0
20050307,46.42,46.42,46.211,46.287,9582,0
20050308,46.295,46.295,46.088,46.112,4607,0
20050309,45.899,45.956,45.677,45.758,3881,0
20050310,45.842,46,45.758,45.791,3641,0
20050311,45.824,45.94,45.56,45.621,1941,0
20050314,45.711,45.743,45.677,45.725,2668,0
20050315,45.767,45.824,45.553,45.553,2912,0
20050316,45.512,45.512,45.208,45.208,5821,0
20050317,45.255,45.464,45.235,45.373,2306,0
20050318,45.427,45.427,45.235,45.255,1578,0
20050321,45.33,45.33,44.998,45.115,9098,0
20050322,45.131,45.226,44.903,44.903,6789,0
20050323,44.886,45.172,44.844,45.085,11888,0
20050324,45.093,45.235,45.06,45.06,16011,0
20050328,45.141,45.339,45.108,45.279,11399,0
20050329,45.069,45.348,45.032,45.032,5582,0
20050330,45.263,45.686,45.263,45.686,18071,0
20050331,45.553,45.585,45.464,45.512,12735,0
20050401,45.593,45.593,44.919,45.149,29109,0
20050404,45.181,45.339,45.041,45.339,5702,0
20050405,45.348,45.569,45.348,45.56,1335,0
20050406,45.677,45.677,45.437,45.437,8248,0
20050407,45.455,45.758,45.396,45.735,5094,0
20050408,45.85,45.869,45.662,45.702,6309,0
20050411,45.752,45.791,45.677,45.692,4607,0
20050412,45.677,45.991,45.366,45.922,8003,0
20050413,45.885,45.973,45.593,45.702,11888,0
20050414,45.775,45.85,45.636,45.636,8489,0
20050415,45.577,45.611,45.131,45.165,9702,0
20050418,45.165,45.199,44.878,44.961,3758,0
20050419,45.008,45.115,44.769,45.101,17101,0
20050420,45.032,45.076,44.383,44.383,8127,0
20050421,44.886,45.181,44.754,45.149,54942,0
20050422,44.961,45.025,44.655,44.655,4852,0
20050425,44.811,45.149,44.811,45.141,4728,0
20050426,44.961,45.165,44.928,44.928,3641,0
20050427,44.515,45.06,44.515,44.961,44510,0
20050428,44.961,45.149,44.737,44.737,4124,0
20050429,44.819,44.961,44.472,44.961,8733,0
20050502,44.998,45.313,44.998,45.313,224377,0
20050503,45.141,45.577,45.141,45.427,2545,0
20050504,45.528,45.931,45.528,45.869,62463,0
20050505,45.816,45.816,45.388,45.791,3515,0
20050506,45.94,45.94,45.593,45.593,4489,0
20050509,45.593,45.869,45.593,45.8,4973,0
20050510,45.653,45.743,45.427,45.593,6671,0
20050511,45.677,45.816,45.348,45.8,49364,0
20050512,45.8,45.833,45.512,45.621,10916,0
20050513,45.512,45.544,44.953,45.226,7762,0
20050516,45.263,45.711,45.255,45.711,7522,0
20050517,45.56,45.899,45.534,45.899,7762,0
20050518,46.187,46.459,46.016,46.42,11645,0
20050519,46.436,46.568,46.303,46.568,6186,0
20050520,46.592,46.698,46.369,46.689,17344,0
20050523,46.634,46.846,46.459,46.626,6913,0
20050524,46.626,46.681,46.369,46.651,6789,0
20050525,46.559,46.584,46.211,46.466,11888,0
20050526,46.526,46.61,46.459,46.526,6789,0
20050527,46.476,46.501,46.361,46.443,65737,0
20050531,46.254,46.337,46.165,46.229,6913,0
20050601,46.103,46.651,46.103,46.369,4607,0
20050602,46.345,46.722,46.345,46.722,9826,0
20050603,46.6,46.617,46.103,46.318,12251,0
20050606,46.303,46.411,46.074,46.277,9098,0
20050607,46.485,46.722,46.42,46.643,6186,0
20050608,46.674,46.706,46.277,46.379,8853,0
20050609,46.295,46.55,46.262,46.451,15404,0
20050610,46.501,46.533,46.088,46.311,8733,0
20050613,46.337,46.592,46.148,46.395,15522,0
20050614,46.387,46.541,46.295,46.451,5702,0
20050615,46.519,46.519,46.121,46.51,26562,0
20050616,46.379,46.55,46.352,46.51,6064,0
20050617,46.674,46.706,46.443,46.541,5821,0
20050620,46.42,46.584,46.196,46.584,5094,0
20050621,46.584,46.584,46.345,46.476,8248,0
20050622,46.626,46.626,46.345,46.395,11276,0
20050623,46.451,46.485,45.842,46.024,10431,0
20050624,45.885,45.899,45.512,45.544,23772,0
20050627,45.496,45.544,45.348,45.512,14436,0
20050628,45.758,45.982,45.743,45.94,7644,0
20050629,45.991,46.056,45.717,45.717,17710,0
20050630,45.842,45.915,45.472,45.472,6913,0
20050701,45.611,45.783,45.528,45.645,10552,0
20050705,45.677,46.016,45.677,45.899,7278,0
20050706,45.885,45.885,45.512,45.553,30445,0
20050707,45.348,45.56,45.226,45.56,5216,0
20050708,45.388,45.956,45.388,45.956,11764,0
20050711,45.991,46.311,45.991,46.27,42329,0
20050712,46.42,46.533,46.295,46.476,4607,0
20050713,46.476,46.541,46.395,46.51,4489,0
20050714,46.681,46.815,46.659,46.815,3396,0
20050715,46.749,46.749,46.674,46.741,3881,0
20050718,46.634,46.731,46.592,46.666,4852,0
20050719,46.666,46.666,46.427,46.526,42084,0
20050720,46.352,46.61,46.229,46.61,9826,0
20050721,46.666,46.666,46.379,46.42,6789,0
20050722,46.466,46.689,46.411,46.674,6186,0
20050725,46.617,46.617,46.411,46.459,8127,0
