Date,Open,High,Low,Close,Volume,OpenInt
20100914,47.839,48.072,47.839,47.877,3416,0
20100915,47.641,47.641,47.603,47.603,1707,0
20100916,47.782,47.922,47.585,47.922,39195,0
20100917,47.708,48.316,47.603,48.212,13243,0
20100920,48.748,49.131,48.748,49.131,13457,0
20100921,49.223,49.223,49.213,49.213,1281,0
20100922,49.28,49.28,48.371,48.371,8544,0
20100923,48.905,48.905,48.326,48.326,3205,0
20100924,49.289,49.675,49.289,49.675,7157,0
20100927,49.618,49.703,49.401,49.703,11323,0
20100928,49.008,49.953,48.849,49.953,39184,0
20100929,50,50.279,49.869,50.125,16338,0
20100930,50.415,50.415,49.421,49.821,6939,0
20101001,50.07,50.143,50.05,50.143,427,0
20101004,49.441,49.458,49.337,49.458,2564,0
20101005,50.629,50.629,50.62,50.62,215,0
20101006,50.844,50.864,50.241,50.241,1353,0
20101007,50.601,50.601,50.508,50.508,322,0
20101008,50.552,51.03,50.151,51.03,854,0
20101011,51.182,51.182,51.182,51.182,1926,0
20101012,50.694,51.328,50.48,51.319,1387,0
20101013,51.969,52.418,51.969,52.316,2243,0
20101014,52.231,52.231,52.231,52.231,536,0
20101015,52.24,52.24,52.088,52.144,8544,0
20101020,51.79,51.79,51.713,51.713,322,0
20101021,52.202,52.202,51.229,51.229,9826,0
20101025,52.765,52.765,52.372,52.372,8165,0
20101026,52.173,52.173,52.163,52.163,3205,0
20101027,52.015,52.032,51.753,51.781,6086,0
20101028,52.24,52.24,51.79,51.901,2455,0
20101029,51.911,52.173,51.911,52.173,1218,0
20101102,52.325,52.325,52.325,52.325,1068,0
20101103,52.903,52.903,52.709,52.709,6515,0
20101104,54.054,54.186,54.054,54.13,1815,0
20101105,54.672,54.672,54.662,54.662,3205,0
20101108,54.778,54.778,54.778,54.778,427,0
20101110,54.375,54.375,54.375,54.375,951,0
20101111,54.301,54.643,54.301,54.643,13993,0
20101112,54.394,54.394,54.319,54.319,961,0
20101115,54.064,54.064,53.709,53.709,1281,0
20101116,53.214,53.224,53.204,53.224,1068,0
20101118,53.661,53.991,53.661,53.765,1439,0
20101119,53.651,53.999,53.651,53.999,427,0
20101122,54.008,54.253,54.008,54.253,536,0
