Date,Open,High,Low,Close,Volume,OpenInt
20100914,47.058,47.197,47.058,47.197,2180,0
20100916,47.076,47.076,46.535,46.692,11879,0
20100917,46.608,47.259,46.608,47.094,19577,0
20100920,47.83,48.27,47.781,48.27,14005,0
20100921,48.177,48.343,48.122,48.223,4576,0
20100922,47.821,47.821,47.398,47.507,4414,0
20100923,47.259,47.737,47.259,47.737,1013,0
20100924,47.718,48.397,47.718,48.397,7409,0
20100927,48.279,48.48,48.187,48.27,10897,0
20100928,47.747,48.801,47.59,48.801,36508,0
20100929,48.774,49.011,48.546,48.829,20051,0
20100930,49.261,49.261,48.57,48.628,11257,0
20101001,48.929,49.001,48.848,48.848,2942,0
20101005,48.653,49.554,48.653,49.554,4795,0
20101006,49.554,49.554,49.554,49.554,1091,0
20101008,49.361,49.957,49.167,49.957,18417,0
20101011,49.967,50.114,49.957,49.995,21794,0
20101012,49.665,50.26,49.335,50.26,3488,0
20101013,50.324,51.27,50.324,50.986,2223,0
20101014,50.875,50.904,50.71,50.71,1199,0
20101015,51.012,51.059,50.866,50.866,981,0
20101018,50.912,50.949,50.912,50.929,871,0
20101020,50.756,50.839,50.701,50.839,5885,0
20101021,50.904,50.904,50.068,50.068,9588,0
20101022,50.684,50.71,50.684,50.71,4576,0
20101025,51.288,51.636,51.086,51.141,11551,0
20101026,50.82,51.003,50.618,51.003,7192,0
20101027,50.839,50.839,50.802,50.802,871,0
20101028,50.949,50.976,50.361,50.508,5558,0
20101029,50.49,50.839,50.49,50.839,2247,0
20101101,51.251,51.251,50.06,50.06,219,0
20101102,50.904,51.417,50.875,51.28,12510,0
20101103,51.462,51.462,51.307,51.307,9371,0
20101104,52.6,52.6,52.6,52.6,326,0
20101105,53.224,53.306,53.224,53.306,3136,0
20101108,52.913,53.188,52.913,53.188,1036,0
20101109,53.224,53.224,52.362,52.362,6626,0
20101110,52.803,52.959,52.774,52.959,7303,0
20101111,52.673,52.949,52.673,52.949,4686,0
20101112,52.435,52.435,52.435,52.435,1091,0
20101115,52.389,52.426,52.288,52.307,9917,0
20101117,51.031,51.169,51.031,51.169,696,0
20101118,51.923,52.159,51.923,52.159,219,0
