Date,Open,High,Low,Close,Volume,OpenInt
20050225,44.51,45.25,44.495,45.215,14964,0
20050228,45.2,45.29,44.798,44.86,21702,0
20050301,45.028,45.244,45.014,45.118,13610,0
20050302,45.105,45.339,44.837,45.118,19278,0
20050303,45.163,45.235,44.903,45.2,8899,0
20050304,45.542,45.979,45.542,45.897,14964,0
20050307,46.032,46.387,46.032,46.254,11590,0
20050308,46.29,46.29,45.926,46.075,10784,0
20050309,45.995,45.995,45.333,45.333,11860,0
20050310,45.326,45.654,45.045,45.555,7682,0
20050311,45.666,45.695,45.25,45.29,15907,0
20050314,45.506,45.973,45.458,45.973,14153,0
20050315,46.209,46.305,45.806,45.883,15771,0
20050316,45.853,45.876,45.235,45.354,19141,0
20050317,45.549,45.661,45.458,45.585,7955,0
20050318,45.661,45.681,45.229,45.425,9168,0
20050321,45.521,45.534,45.283,45.431,6876,0
20050322,45.549,45.576,44.711,44.711,8899,0
20050323,44.206,44.376,43.997,44.311,10784,0
20050324,44.244,44.523,44.244,44.42,9437,0
20050328,44.539,44.746,44.495,44.495,11860,0
20050329,44.51,44.579,43.925,43.969,14555,0
20050330,44.34,44.495,44.326,44.495,8360,0
20050331,44.83,45.014,44.778,45.014,7144,0
20050401,45.326,45.489,44.837,45.09,17387,0
20050404,45.054,45.244,44.879,45.105,13883,0
20050405,45.37,45.529,45.37,45.514,10650,0
20050406,45.661,45.744,45.481,45.481,16583,0
20050407,45.401,45.736,45.401,45.736,10108,0
20050408,45.778,45.778,45.37,45.437,24401,0
20050411,45.489,45.793,45.489,45.703,9168,0
20050412,45.624,46.283,45.339,46.185,11324,0
20050413,46.165,46.165,45.736,45.862,9571,0
20050414,45.883,45.883,45.362,45.362,12942,0
20050415,45.222,45.32,44.666,44.666,16312,0
20050418,44.51,44.973,44.237,44.74,14423,0
20050419,44.918,45.393,44.903,45.393,9972,0
20050420,45.028,45.283,44.978,44.978,12266,0
20050421,45.25,45.497,45.036,45.45,11188,0
20050422,45.443,45.728,45.346,45.354,2556,0
20050425,45.876,45.987,45.712,45.95,16176,0
20050426,45.904,45.904,45.555,45.569,9571,0
20050427,45.346,45.92,45.132,45.758,13610,0
20050428,45.549,45.831,45.458,45.458,10919,0
20050429,45.489,46.003,45.259,46.003,26152,0
20050502,46.142,46.261,45.995,46.165,15233,0
20050503,45.995,46.075,45.904,45.904,9571,0
20050504,46.142,46.142,45.758,46.023,11590,0
20050505,46.113,46.113,45.624,45.995,8360,0
20050506,45.995,46.136,45.942,45.95,6607,0
20050509,45.995,46.209,45.666,46.193,11324,0
20050510,46.193,46.193,45.965,45.965,8899,0
20050511,45.995,46.209,45.831,46.105,23863,0
20050512,46.217,46.217,45.689,45.689,21299,0
20050513,45.772,45.772,44.42,44.933,18468,0
20050516,45.068,45.32,44.83,45.32,18870,0
20050517,45.29,45.64,45.215,45.64,9704,0
20050518,46.105,46.142,45.889,46.003,18468,0
20050519,46.142,46.142,45.926,46.129,8899,0
20050520,46.105,46.165,45.965,46.053,52843,0
20050523,46.075,46.099,45.853,46.009,8494,0
20050524,45.92,46.009,45.897,45.987,7682,0
20050525,46.083,46.185,45.897,46.142,7415,0
20050526,46.254,46.379,46.129,46.269,13209,0
20050527,46.366,46.572,46.318,46.522,25749,0
20050531,46.588,46.884,46.522,46.72,16717,0
20050601,46.773,47.323,46.773,47.092,17387,0
20050602,47.182,47.227,47.085,47.151,9972,0
20050603,47.254,47.34,46.979,47.092,21570,0
20050606,47.254,47.26,47.092,47.24,17255,0
20050607,47.402,47.759,47.315,47.315,13345,0
20050608,47.479,47.598,47.308,47.372,10919,0
20050609,47.331,47.479,47.069,47.479,9571,0
20050610,47.624,47.773,47.465,47.669,14964,0
20050613,47.655,47.947,47.59,47.883,15502,0
20050614,47.997,48.213,47.883,48.042,33293,0
20050615,48.184,48.184,47.544,47.849,22645,0
20050616,47.849,47.891,47.624,47.891,12942,0
20050617,48.184,48.323,47.988,48.323,11460,0
20050620,48.213,48.456,48.108,48.432,21835,0
20050621,48.48,48.492,48.302,48.381,18736,0
20050622,48.704,48.798,48.432,48.761,35183,0
20050623,48.737,49.078,48.708,48.777,23458,0
20050624,48.777,48.954,48.407,48.407,21165,0
20050627,48.072,48.407,47.997,48.36,26152,0
20050628,48.517,48.814,48.517,48.814,26824,0
20050629,48.926,48.954,48.657,48.704,14827,0
20050630,48.849,49.124,48.833,48.84,13345,0
20050701,48.961,49.206,48.961,49.206,31546,0
20050705,49.212,49.555,49.068,49.445,31679,0
20050706,49.471,49.51,48.626,48.673,33835,0
20050707,48.441,48.879,48.197,48.879,29653,0
