Date,Open,High,Low,Close,Volume,OpenInt
20050225,32.868,33.261,32.868,33.162,628172,0
20050228,33.172,33.172,32.573,32.925,579206,0
20050301,33.082,33.389,33.082,33.28,848686,0
20050302,33.191,34.051,32.934,33.973,1325974,0
20050303,33.973,34.297,33.845,33.914,899644,0
20050304,33.992,34.287,33.816,34.148,889697,0
20050307,34.277,34.406,33.924,34.091,1182130,0
20050308,34.091,34.12,33.389,33.419,805531,0
20050309,33.201,33.271,32.964,33.043,703003,0
20050310,33.063,33.231,32.828,32.896,482797,0
20050311,32.868,33.32,32.838,33.261,1240585,0
20050314,33.251,33.261,32.358,32.435,2646593,0
20050315,32.474,32.583,32.388,32.484,691679,0
20050316,32.484,32.671,32.249,32.622,721215,0
20050317,32.398,32.651,32.121,32.543,571707,0
20050318,32.553,32.622,32.368,32.602,697494,0
20050321,32.553,32.612,31.828,31.828,1086027,0
20050322,31.858,32.77,31.858,32.062,1132394,0
20050323,31.965,32.22,31.908,32.042,943867,0
20050324,32.042,32.671,32.042,32.398,550130,0
20050328,32.328,33.261,32.259,33.142,2314369,0
20050329,33.082,33.082,32.593,32.671,1236450,0
20050330,32.71,32.954,32.651,32.944,906682,0
20050331,33.033,33.201,32.838,32.964,926879,0
20050401,33.033,33.3,32.974,33.132,1094908,0
20050404,33.211,33.591,33.082,33.534,667806,0
20050405,33.534,33.894,33.524,33.816,484483,0
20050406,33.816,34.051,33.495,33.495,850829,0
20050407,33.524,33.591,33.261,33.534,512334,0
20050408,33.591,33.631,33.181,33.261,211940,0
20050411,33.29,33.409,33.231,33.33,365272,0
20050412,33.32,33.884,33.063,33.689,562373,0
20050413,33.601,33.768,32.964,33.033,689995,0
20050414,33.152,33.33,32.455,32.513,730089,0
20050415,32.612,32.671,31.927,31.985,1194065,0
20050418,31.858,32.249,31.819,31.995,819915,0
20050419,32.513,33.399,32.513,33.34,1854526,0
20050420,33.429,33.429,32.868,32.906,922595,0
20050421,33.816,33.904,32.868,33.379,972481,0
20050422,33.389,33.758,32.944,33.379,540795,0
20050425,33.504,34.139,33.429,34.139,1074548,0
20050426,33.983,34.612,33.934,34.416,1045933,0
20050427,34.435,35.143,34.435,34.977,1487720,0
20050428,34.769,35.016,34.592,34.947,1869982,0
20050429,35.006,35.163,34.7,34.868,1808313,0
20050502,34.967,35.359,34.534,34.68,1003698,0
20050503,34.769,35.016,34.661,34.719,956566,0
20050504,34.907,35.349,34.888,35.26,1610601,0
20050505,35.29,35.875,35.201,35.848,824813,0
20050506,36.07,36.229,35.818,35.944,894592,0
20050509,35.972,36.12,35.57,35.768,764672,0
20050510,35.719,35.924,35.426,35.57,538655,0
20050511,35.57,35.63,35.045,35.388,519216,0
20050512,35.417,35.455,34.729,34.729,1103014,0
20050513,34.631,34.927,34.534,34.719,975541,0
20050516,34.996,35.193,34.838,35.133,882349,0
20050517,35.28,36.14,35.231,35.808,1215949,0
20050518,35.944,36.298,35.679,36.05,1305929,0
20050519,37.908,38.905,37.908,38.207,3905235,0
20050520,38.227,39.113,38.188,38.846,1892630,0
20050523,38.688,39.113,38.648,38.865,1248848,0
20050524,38.865,38.915,38.539,38.708,1111429,0
20050525,38.747,38.826,38.569,38.648,793287,0
20050526,39.132,39.132,38.718,38.797,1056647,0
20050527,38.747,38.787,38.256,38.491,773397,0
20050531,38.658,38.865,38.178,38.727,1849170,0
20050601,38.787,39.366,38.629,39.316,1030477,0
20050602,39.396,40.188,39.356,39.866,2086975,0
20050603,40.013,40.063,39.603,39.857,1100108,0
20050606,40.073,40.671,40.073,40.474,1206612,0
20050607,40.454,41.1,40.435,40.903,1272108,0
20050608,41.159,41.168,40.778,40.855,1155196,0
20050609,40.808,41.257,40.671,41.237,788543,0
20050610,41.168,41.493,41.1,41.297,550586,0
20050613,41.247,41.336,40.931,41.001,839960,0
20050614,41.09,41.277,40.922,41.09,1258798,0
20050615,41.09,41.1,40.651,40.903,1113420,0
20050616,40.903,41.13,40.864,41.04,974625,0
20050617,41.05,41.453,40.961,41.356,1380910,0
20050620,41.356,41.413,40.864,41.356,608737,0
20050621,41.463,42.162,41.463,42.004,615624,0
20050622,42.181,42.719,42.181,42.491,765133,0
20050623,42.471,42.501,42.014,42.152,1263541,0
20050624,42.122,42.142,41.168,41.394,1246401,0
20050627,41.394,41.846,41.374,41.747,796503,0
20050628,41.856,42.788,41.856,42.57,367261,0
20050629,42.59,43.161,42.57,42.63,684027,0
20050630,42.64,42.669,42.092,42.181,660308,0
20050701,42.305,43.141,42.305,42.905,753805,0
20050705,42.905,43.299,42.729,42.865,764061,0
20050706,42.865,43.141,42.023,42.083,848686,0
20050707,42.083,42.083,41.453,41.747,876994,0
20050708,41.786,42.122,41.728,42.004,622970,0
20050711,42.053,42.23,41.728,41.777,641487,0
20050712,41.816,42.083,41.552,42.083,593437,0
